Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-03-03,25.18,25.13,25.07,25.09,-1,1509759
2011-03-04,25.13,25.08,25.01,25.13,-1,189111
2011-03-07,25.23,25.06,25.01,25.23,-1,58159
2011-03-08,25.07,25.01,25.01,25.05,-1,178662
2011-03-09,25.06,25.06,25.0,25.03,-1,263257
2011-03-10,25.05,25.03,25.01,25.04,-1,373875
2011-03-11,25.04,24.99,24.97,25.03,-1,52712
2011-03-14,25.0,24.92,24.92,24.99,-1,65030
2011-03-15,24.98,24.59,24.57,24.79,-1,177700
2011-03-16,24.67,24.530001,24.45,24.65,-1,66141
2011-03-17,24.69,24.67,24.6,24.67,-1,79993
2011-03-18,24.84,24.83,24.67,24.71,-1,94554
2011-03-21,24.9,24.88,24.8,24.9,-1,48884
2011-03-22,24.9,24.9,24.84,24.89,-1,61817
2011-03-23,24.96,24.94,24.78,24.95,-1,43466
2011-03-24,24.98,24.969,24.93,24.96,-1,37312
2011-03-25,25.03,25.02,24.97,24.98,-1,40695
2011-03-28,25.05,25.0399,25.01,25.04,-1,146521
2011-03-29,25.06,25.06,25.0,25.04,-1,43832
2011-03-30,25.11,25.11,25.06,25.1,-1,75826
2011-03-31,25.15,25.12,25.0366,25.15,-1,238406
2011-04-01,25.11,25.096,25.05,25.11,-1,83311
2011-04-04,25.2,25.19,25.11,25.2,-1,70285
2011-04-05,25.22,25.190001,25.14,25.22,-1,108616
2011-04-06,25.25,25.2399,25.16,25.16,-1,91839
2011-04-07,25.3,25.28,25.24,25.28,-1,128758
2011-04-08,25.31,25.29,25.26,25.3,-1,158434
2011-04-11,25.33,25.3085,25.27,25.3,-1,213275
2011-04-12,25.32,25.280001,25.27,25.27,-1,71351
2011-04-13,25.31,25.31,25.26,25.3,-1,240651
2011-04-14,25.31,25.3,25.25,25.28,-1,181354
2011-04-15,25.3,25.27,25.24,25.3,-1,181968
2011-04-18,25.36,25.22,25.14,25.16,-1,196774
