Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-09-19,25.11,25.11,25.11,25.11,-1,151
2011-09-20,25.57,25.57,25.2683,25.2683,-1,200
2011-09-21,24.73,24.73,24.56,24.58,-1,650
2011-09-22,24.23,23.76,23.76,23.98,-1,2300
2011-09-23,23.33,23.33,23.33,23.33,-1,193
2011-09-26,23.42,23.42,23.42,23.42,-1,1000
2011-09-27,23.91,23.719999,23.719999,23.91,-1,1600
2011-09-28,23.78,23.5,23.5,23.78,-1,400
2011-09-29,25.16,25.16,24.29,24.29,-1,1500
2011-09-30,24.3652,24.3652,24.3652,24.3652,-1,2000
2011-10-05,23.47,23.47,23.47,23.47,-1,100
2011-10-06,,,,,-1,100
2011-10-07,24.15,24.15,24.15,24.15,-1,100
2011-10-11,24.51,24.51,24.51,24.51,-1,200
2011-10-14,26.43,26.24,25.99,25.99,-1,425
2011-10-17,26.31,26.31,26.17,26.17,-1,200
2011-10-19,26.25,25.58,25.58,26.25,-1,400
2011-10-21,25.51,25.0924,25.0924,25.51,-1,400
2011-10-24,25.35,25.35,25.35,25.35,-1,200
2011-10-26,25.28,25.28,25.28,25.28,-1,200
2011-10-27,25.52,25.52,25.52,25.52,-1,100
2011-10-28,25.59,25.4,25.4,25.52,-1,1026
2011-10-31,25.06,25.06,25.06,25.06,-1,100
2011-11-01,24.96,24.62,24.62,24.77,-1,300
2011-11-02,24.88,24.64,24.54,24.58,-1,1673
2011-11-08,25.16,25.16,24.8116,24.8116,-1,350
2011-11-09,24.7,24.7,24.7,24.7,-1,100
2011-11-10,24.78,24.69,24.69,24.78,-1,600
2011-11-14,24.29,24.061,24.061,24.29,-1,400
2011-11-16,24.05,24.05,24.04,24.04,-1,305
2011-11-18,23.67,23.67,23.67,23.67,-1,100
2011-11-21,23.88,23.88,23.88,23.88,-1,200
2011-11-22,,,,,-1,300
2011-11-25,22.86,22.86,22.86,22.86,-1,400
2011-11-29,23.21,23.21,23.0,23.0,-1,1100
2011-11-30,23.44,23.42,23.42,23.44,-1,400
2011-12-02,23.39,23.24,23.24,23.39,-1,600
2011-12-05,23.57,23.57,23.57,23.57,-1,100
2011-12-06,,,,,-1,100
2011-12-07,23.61,22.89,22.89,23.61,-1,4093
2011-12-08,23.66,23.66,23.4,23.4,-1,600
2011-12-12,23.68,23.68,22.8,22.96,-1,1150
2011-12-13,23.08,23.0,23.0,23.08,-1,550
2011-12-14,22.55,22.55,22.47,22.47,-1,500
2011-12-16,22.77,22.77,22.77,22.77,-1,100
2011-12-19,22.946,22.946,22.83,22.9,-1,400
2011-12-20,,,,,-1,300
2011-12-21,22.95,22.95,22.95,22.95,-1,200
2011-12-23,23.36,23.16,23.16,23.36,-1,500
2011-12-27,23.3388,23.3388,23.3388,23.3388,-1,860
2011-12-28,23.33,22.85,22.85,23.31,-1,1400
2011-12-29,22.98,22.98,22.98,22.98,-1,100
2011-12-30,22.93,22.93,22.93,22.93,-1,100
2012-01-03,23.81,23.81,23.68,23.68,-1,200
2012-01-04,24.33,24.33,23.93,23.93,-1,752
2012-01-05,23.52,22.84,22.6,23.5,-1,1000
2012-01-06,22.85,22.85,22.75,22.75,-1,400
2012-01-09,23.01,23.0,22.6,22.65,-1,1400
2012-01-11,23.3,23.3,23.3,23.3,-1,200
2012-01-12,23.1,23.04,23.04,23.1,-1,200
2012-01-13,22.95,22.95,22.95,22.95,-1,900
2012-01-17,23.44,23.21,23.19,23.44,-1,800
2012-01-19,23.62,23.62,23.54,23.6,-1,1100
2012-01-20,23.69,23.67,23.5,23.55,-1,900
2012-01-23,23.98,23.98,23.97,23.97,-1,200
2012-01-24,23.98,23.91,23.91,23.97,-1,1000
2012-01-25,23.811,23.8,23.75,23.8,-1,1550
2012-01-26,23.87,23.82,23.82,23.87,-1,200
2012-01-27,23.52,23.441,23.441,23.52,-1,800
2012-01-30,23.27,23.22,23.22,23.27,-1,500
2012-01-31,23.17,23.17,23.17,23.17,-1,200
2012-02-01,22.94,22.94,22.94,22.94,-1,100
2012-02-02,23.12,22.86,22.85,22.96,-1,2700
2012-02-03,23.21,23.13,23.12,23.21,-1,1380
2012-02-07,23.37,23.36,23.36,23.37,-1,1900
2012-02-08,23.45,23.45,23.45,23.45,-1,823
2012-02-10,23.5,23.5,23.5,23.5,-1,300
2012-02-14,23.02,23.02,22.91,23.0,-1,2100
2012-02-15,23.12,23.12,23.12,23.12,-1,500
2012-02-16,23.39,23.39,23.39,23.39,-1,200
2012-02-17,23.3,23.3,23.3,23.3,-1,200
2012-02-21,23.62,23.62,23.62,23.62,-1,200
2012-02-23,,,,,-1,300
2012-02-24,24.26,24.26,24.19,24.2,-1,999
2012-02-27,24.93,24.66,24.49,24.49,-1,1650
2012-02-28,24.59,24.59,24.54,24.54,-1,1220
2012-02-29,24.31,23.364,23.364,24.3,-1,700
2012-03-01,24.2,24.2,24.2,24.2,-1,400
2012-03-02,24.5499,24.5499,24.26,24.26,-1,800
2012-03-05,,,,,-1,700
2012-03-06,23.59,23.46,23.46,23.59,-1,200
2012-03-07,,,,,-1,100
2012-03-08,23.22,23.08,23.08,23.22,-1,400
2012-03-09,23.32,23.32,22.84,22.84,-1,1000
2012-03-12,22.69,22.69,22.69,22.69,-1,100
2012-03-13,23.27,23.27,23.05,23.05,-1,200
2012-03-20,24.16,24.16,24.16,24.16,-1,100
2012-03-26,24.14,23.62,23.2901,24.14,-1,55925
2012-03-27,23.57,23.44,23.44,23.57,-1,1500
2012-03-29,23.54,23.44,23.44,23.54,-1,2000
2012-03-30,23.81,23.79,23.68,23.68,-1,1600
2012-04-03,23.57,23.54,23.51,23.55,-1,2400
2012-04-04,23.629,23.629,23.629,23.629,-1,1000
2012-04-05,23.79,23.78,23.77,23.79,-1,2000
2012-04-09,23.95,23.95,23.883,23.91,-1,1200
2012-04-11,,,,,-1,200
2012-04-12,23.46,23.46,23.46,23.46,-1,200
2012-04-13,23.02,23.02,23.02,23.02,-1,300
2012-04-16,22.51,22.4,22.4,22.51,-1,3000
2012-04-17,22.77,22.77,22.76,22.76,-1,300
2012-04-19,22.21,21.951,21.951,22.21,-1,2630
2012-04-23,21.725,21.725,21.725,21.725,-1,1500
2012-04-24,21.64,21.64,21.64,21.64,-1,100
2012-04-25,24.5,21.8,21.8,24.5,-1,1201
2012-04-27,21.33,21.327,21.327,21.33,-1,2300
2012-04-30,21.39,21.12,21.12,21.38,-1,2070
