Date,VOLUME,HIGH,CLOSE,LOW,OPEN,COUNT
2002-01-02,,12.0,,12.0,,
2002-01-03,,12.0,,12.0,,
2002-01-04,,12.0,,12.0,,
2002-01-07,,13.0,,13.0,,
2002-01-08,1000,13.0,,13.0,,
2002-01-09,130,13.0,,13.0,,
2002-01-10,,14.01,,14.01,,
2002-01-11,950,14.2,,14.2,,
2002-01-14,,14.2,,14.2,,
2002-01-15,,14.2,,14.2,,
2002-01-16,200,14.8,,14.8,,
2002-01-17,,14.8,,14.8,,
2002-01-18,,14.7,,14.7,,
2002-01-21,,14.2,,14.2,,
2002-01-22,,14.2,,14.2,,
2002-01-23,40,14.2,,14.2,,
2002-01-24,150,14.75,,14.75,,
2002-01-25,,14.5,,14.5,,
2002-01-28,,14.5,,14.5,,
2002-01-29,,14.5,,14.5,,
2002-01-30,,14.5,,14.5,,
2002-01-31,,14.5,,14.5,,
2002-02-01,100,16.0,,16.0,,
2002-02-04,,15.2,,15.2,,
2002-02-05,700,14.0,,14.0,,
2002-02-06,,14.0,,14.0,,
2002-02-07,,14.0,,14.0,,
2002-02-08,,14.0,,14.0,,
2002-02-11,200,14.0,,14.0,,
2002-02-12,,14.0,,14.0,,
2002-02-13,,14.0,,14.0,,
2002-02-14,1000,14.0,,14.0,,
2002-02-15,,14.0,,14.0,,
2002-02-18,,14.0,,14.0,,
2002-02-19,,14.0,,14.0,,
2002-02-20,,14.0,,14.0,,
2002-02-21,,14.0,,14.0,,
2002-02-22,,13.48,,13.48,,
2002-02-25,,13.48,,13.48,,
2002-02-26,2000,12.81,,12.81,,
2002-02-27,,13.1,,13.1,,
2002-02-28,,13.1,,13.1,,
2002-03-01,40,13.1,,13.1,,
2002-03-04,,13.1,,13.1,,
2002-03-05,,13.1,,13.1,,
2002-03-06,200,13.1,,13.1,,
2002-03-07,,13.1,,13.1,,
2002-03-08,,13.1,,13.1,,
2002-03-11,,13.1,,13.1,,
2002-03-12,,13.1,,13.1,,
2002-03-13,400,13.1,,13.1,,
2002-03-14,,13.1,,13.1,,
2002-03-15,,13.1,,13.1,,
2002-03-18,,13.1,,13.1,,
2002-03-19,,13.1,,13.1,,
2002-03-20,,13.1,,13.1,,
2002-03-21,,13.1,,13.1,,
2002-03-22,,13.1,,13.1,,
2002-03-25,,13.1,,13.1,,
2002-03-26,,13.1,,13.1,,
2002-03-27,,13.1,,13.1,,
2002-03-28,40,13.1,,13.1,,
2002-04-02,,13.1,,13.1,,
2002-04-03,,13.1,,13.1,,
2002-04-04,,13.1,,13.1,,
2002-04-05,,13.3,,13.3,,
2002-04-08,,13.3,,13.3,,
2002-04-09,,13.3,,13.3,,
2002-04-10,,13.3,,13.3,,
2002-04-11,,13.35,,13.35,,
2002-04-12,,13.35,,13.35,,
2002-04-15,,13.4,,13.4,,
2002-04-16,,13.5,,13.5,,
2002-04-17,100,13.13,,13.13,,
2002-04-18,,13.1,,13.1,,
2002-04-19,,13.1,,13.1,,
2002-04-22,,13.1,,13.1,,
2002-04-23,500,13.1,,13.1,,
2002-04-24,50,13.7,,13.7,,
2002-04-25,50,13.49,,13.49,,
2002-04-26,,13.2,,13.2,,
2002-04-29,,13.1,,13.1,,
2002-04-30,1000,13.1,,13.1,,
2002-05-02,,13.1,,13.1,,
2002-05-03,,13.1,,13.1,,
2002-05-06,,13.1,,13.1,,
2002-05-07,,13.1,,13.1,,
2002-05-08,,13.1,,13.1,,
2002-05-09,,13.1,,13.1,,
2002-05-10,,13.1,,13.1,,
2002-05-13,,13.3,,13.3,,
2002-05-14,30,13.29,,13.29,,
2002-05-15,,13.1,,13.1,,
2002-05-16,,13.11,,13.11,,
2002-05-17,,13.1,,13.1,,
2002-05-20,,13.1,,13.1,,
2002-05-21,,13.1,,13.1,,
2002-05-22,,13.1,,13.1,,
2002-05-23,,13.1,,13.1,,
2002-05-24,,13.1,,13.1,,
2002-05-27,,13.1,,13.1,,
2002-05-28,,13.1,,13.1,,
2002-05-29,200,13.1,,13.1,,
2002-05-30,,13.1,,13.1,,
2002-05-31,,13.2,,13.2,,
2002-06-03,,13.1,,13.1,,
2002-06-04,40,13.11,,13.11,,
2002-06-05,,13.2,,13.2,,
2002-06-06,,13.5,,13.5,,
2002-06-07,,13.5,,13.5,,
2002-06-10,40,13.6,,13.6,,
2002-06-11,70,13.5,,13.5,,
2002-06-12,,13.5,,13.5,,
2002-06-13,,13.4,,13.4,,
2002-06-14,,13.3,,13.3,,
2002-06-17,50,13.11,,13.11,,
2002-06-18,,13.11,,13.11,,
2002-06-19,,13.1,,13.1,,
2002-06-20,,13.1,,13.1,,
2002-06-21,,13.1,,13.1,,
2002-06-24,,13.1,,13.1,,
2002-06-25,,13.1,,13.1,,
2002-06-26,,13.1,,13.1,,
2002-06-27,,13.1,,13.1,,
2002-06-28,,13.1,,13.1,,
2002-07-01,,13.1,,13.1,,
2002-07-02,,13.1,,13.1,,
2002-07-03,,13.1,,13.1,,
2002-07-04,,13.1,,13.1,,
2002-07-05,,13.1,,13.1,,
2002-07-08,,13.1,,13.1,,
2002-07-09,,13.0,,13.0,,
2002-07-10,,13.0,,13.0,,
2002-07-11,150,13.0,,13.0,,
2002-07-12,,13.0,,13.0,,
2002-07-15,,13.0,,13.0,,
2002-07-16,,13.0,,13.0,,
2002-07-17,,13.0,,13.0,,
2002-07-18,,13.0,,13.0,,
2002-07-19,,13.0,,13.0,,
2002-07-22,,13.0,,13.0,,
2002-07-23,,13.0,,13.0,,
2002-07-24,,13.0,,13.0,,
2002-07-25,,13.0,,13.0,,
2002-07-26,,13.0,,13.0,,
2002-07-29,,13.0,,13.0,,
2002-07-30,,13.0,,13.0,,
2002-07-31,,13.0,,13.0,,
2002-08-01,,13.0,,13.0,,
2002-08-02,,13.0,,13.0,,
2002-08-05,,13.0,,13.0,,
2002-08-06,,13.0,,13.0,,
2002-08-07,4040,12.5,,12.5,,
2002-08-08,,12.5,,12.5,,
2002-08-09,,12.5,,12.5,,
2002-08-12,600,11.0,,11.0,,
2002-08-13,100,11.5,,11.5,,
2002-08-14,100,11.98,,11.98,,
2002-08-15,,11.98,,11.98,,
2002-08-16,,11.98,,11.98,,
2002-08-19,,11.9,,11.9,,
2002-08-20,,11.9,,11.9,,
2002-08-21,,11.9,,11.9,,
2002-08-22,130,11.9,,11.9,,
2002-08-23,,11.6,,11.6,,
2002-08-26,,11.6,,11.6,,
2002-08-27,,11.07,,11.07,,
2002-08-28,,11.07,,11.07,,
2002-08-29,170,11.06,,11.06,,
2002-08-30,,11.05,,11.05,,
2002-09-02,,11.05,,11.05,,
2002-09-03,,11.0,,11.0,,
2002-09-04,,11.0,,11.0,,
2002-09-05,,11.0,,11.0,,
2002-09-06,,10.5,,10.5,,
2002-09-09,,10.52,,10.52,,
2002-09-10,,10.95,,10.95,,
2002-09-11,,10.5,,10.5,,
2002-09-12,,10.51,,10.51,,
2002-09-13,,10.1,,10.1,,
2002-09-16,,11.0,,11.0,,
2002-09-17,60,11.0,,11.0,,
2002-09-18,40,10.8,,10.8,,
2002-09-19,,10.5,,10.5,,
2002-09-20,60,10.11,,10.11,,
2002-09-23,,10.22,,10.22,,
2002-09-24,200,10.22,,10.22,,
2002-09-25,,10.1,,10.1,,
2002-09-26,,10.1,,10.1,,
2002-09-27,200,10.1,,10.1,,
2002-09-30,700,10.1,,10.1,,
2002-10-01,,10.0,,10.0,,
2002-10-02,,10.2,,10.2,,
2002-10-03,,10.2,,10.2,,
2002-10-04,,10.2,,10.2,,
2002-10-07,,10.2,,10.2,,
2002-10-08,,10.2,,10.2,,
2002-10-09,,10.2,,10.2,,
2002-10-10,,10.2,,10.2,,
2002-10-11,,10.2,,10.2,,
2002-10-14,,10.2,,10.2,,
2002-10-15,,10.2,,10.2,,
2002-10-16,,10.2,,10.2,,
2002-10-17,,10.2,,10.2,,
2002-10-18,,10.2,,10.2,,
2002-10-21,,10.2,,10.2,,
2002-10-22,,10.2,,10.2,,
2002-10-23,,10.2,,10.2,,
2002-10-24,200,10.3,,10.3,,
2002-10-25,,10.2,,10.2,,
2002-10-28,,10.2,,10.2,,
2002-10-29,,10.2,,10.2,,
2002-10-30,,10.2,,10.2,,
2002-10-31,,10.2,,10.2,,
2002-11-01,,10.02,,10.02,,
2002-11-04,300,10.0,,10.0,,
2002-11-05,,10.0,,10.0,,
2002-11-06,,10.0,,10.0,,
2002-11-07,400,10.0,,10.0,,
2002-11-08,300,10.0,,10.0,,
2002-11-11,,10.0,,10.0,,
2002-11-12,,10.0,,10.0,,
2002-11-13,,10.0,,10.0,,
2002-11-14,,10.01,,10.01,,
2002-11-15,,10.01,,10.01,,
2002-11-18,,10.01,,10.01,,
2002-11-19,,10.01,,10.01,,
2002-11-20,,10.01,,10.01,,
2002-11-21,,10.01,,10.01,,
2002-11-22,600,10.0,,10.0,,
2002-11-25,,10.01,,10.01,,
2002-11-26,800,10.0,,10.0,,
2002-11-27,500,9.8,,9.8,,
2002-11-28,499,10.01,,10.01,,
2002-11-29,1700,10.0,,10.0,,
2002-12-02,2010,9.5,,9.5,,
2002-12-03,11600,9.5,,9.5,,
2002-12-04,600,9.5,,9.5,,
2002-12-05,440,10.02,,10.02,,
2002-12-06,,10.0,,10.0,,
2002-12-09,,10.0,,10.0,,
2002-12-10,190,10.0,,10.0,,
2002-12-11,,10.0,,10.0,,
2002-12-12,2000,10.0,,10.0,,
2002-12-13,,10.0,,10.0,,
2002-12-16,,10.0,,10.0,,
2002-12-17,,10.0,,10.0,,
2002-12-18,500,10.0,,10.0,,
2002-12-19,,10.0,,10.0,,
2002-12-20,,10.0,,10.0,,
2002-12-23,500,10.0,,10.0,,
2002-12-27,,10.06,,10.06,,
2002-12-30,,10.0,,10.0,,
2003-01-02,40,10.5,,10.5,,
2003-01-03,,10.5,,10.5,,
2003-01-06,,11.0,,11.0,,
2003-01-07,,11.0,,11.0,,
2003-01-08,,11.0,,11.0,,
2003-01-09,,11.0,,11.0,,
2003-01-10,,11.0,,11.0,,
2003-01-13,,11.0,,11.0,,
2003-01-14,,11.0,,11.0,,
2003-01-15,,11.0,,11.0,,
2003-01-16,,11.0,,11.0,,
2003-01-17,,11.0,,11.0,,
2003-01-20,,11.0,,11.0,,
2003-01-21,,11.0,,11.0,,
2003-01-22,600,11.0,,11.0,,
2003-01-23,,11.0,,11.0,,
2003-01-24,,11.0,,11.0,,
2003-01-27,,11.0,,11.0,,
2003-01-28,1000,11.0,,11.0,,
2003-01-29,,11.0,,11.0,,
2003-01-30,,11.0,,11.0,,
2003-01-31,,11.0,,11.0,,
2003-02-03,,11.0,,11.0,,
2003-02-04,,11.0,,11.0,,
2003-02-05,,11.0,,11.0,,
2003-02-06,,11.2,,11.2,,
2003-02-07,,11.3,,11.3,,
2003-02-10,600,11.0,,11.0,,
2003-02-11,,11.2,,11.2,,
2003-02-12,,11.3,,11.3,,
2003-02-13,,11.5,,11.5,,
2003-02-14,80,11.5,,11.5,,
2003-02-17,,11.25,,11.25,,
2003-02-18,,11.25,,11.25,,
2003-02-19,,11.25,,11.25,,
2003-02-20,,11.25,,11.25,,
2003-02-21,,11.25,,11.25,,
2003-02-24,40,11.25,,11.25,,
2003-02-25,,11.0,,11.0,,
2003-02-26,400,11.0,,11.0,,
2003-02-27,,11.0,,11.0,,
2003-02-28,1600,11.0,,11.0,,
2003-03-03,,11.0,,11.0,,
2003-03-04,,10.5,,10.5,,
2003-03-05,,10.5,,10.5,,
2003-03-06,,10.5,,10.5,,
2003-03-07,300,10.5,,10.5,,
2003-03-10,,10.5,,10.5,,
2003-03-11,,10.4,,10.4,,
2003-03-12,,10.4,,10.4,,
2003-03-13,,10.3,,10.3,,
2003-03-14,525,9.5,,9.5,,
2003-03-17,,9.5,,9.5,,
2003-03-18,,9.55,,9.55,,
2003-03-19,,9.5,,9.5,,
2003-03-20,500,9.5,,9.5,,
2003-03-21,,9.5,,9.5,,
2003-03-24,,9.5,,9.5,,
2003-03-25,,9.5,,9.5,,
2003-03-26,,9.5,,9.5,,
2003-03-27,,9.5,,9.5,,
2003-03-28,,9.8,,9.8,,
2003-03-31,100,9.75,,9.75,,
2003-04-01,,9.75,,9.75,,
2003-04-02,,9.75,,9.75,,
2003-04-03,440,9.75,,9.75,,
2003-04-04,,9.9,,9.9,,
2003-04-07,,9.9,,9.9,,
2003-04-08,3000,10.5,,10.5,,
2003-04-09,,10.2,,10.2,,
2003-04-10,200,10.2,,10.2,,
2003-04-11,300,10.2,,10.2,,
2003-04-14,,10.2,,10.2,,
2003-04-15,,9.9,9.9,9.9,9.9,
2003-04-16,,9.9,9.9,9.9,9.9,
2003-04-17,,9.9,9.9,9.9,9.9,
2003-04-22,,9.9,9.9,9.9,9.9,
2003-04-23,,9.9,9.9,9.9,9.9,
2003-04-24,2000,9.55,9.55,9.55,9.55,
2003-04-25,,9.61,9.61,9.61,9.61,
2003-04-28,,9.61,9.61,9.61,9.61,
2003-04-29,600,10.2,10.2,10.2,10.2,
2003-04-30,,10.2,10.2,10.2,10.2,
2003-05-02,,9.71,9.71,9.71,9.71,
2003-05-05,,9.61,9.61,9.61,9.61,
2003-05-06,,9.61,9.61,9.61,9.61,
2003-05-07,,9.61,9.61,9.61,9.61,
2003-05-08,,10.1,10.1,10.1,10.1,
2003-05-09,,10.1,10.1,10.1,10.1,
2003-05-12,,10.1,10.1,10.1,10.1,
2003-05-13,,10.1,10.1,10.1,10.1,
2003-05-14,,10.1,10.1,10.1,10.1,
2003-05-15,,10.15,10.15,10.15,10.15,
2003-05-16,,10.1,10.1,10.1,10.1,
2003-05-19,,10.1,10.1,10.1,10.1,
