Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2010-09-29,24.96,24.94,24.75,24.75,-1,25700
2010-09-30,25.59,24.97,24.91,25.59,-1,9029
2010-10-01,25.21,25.17,25.05,25.21,-1,39967
2010-10-04,25.63,25.47,25.35,25.63,-1,121758
2010-10-05,26.14,25.9,25.54,26.14,-1,54368
2010-10-06,25.88,25.88,25.65,25.77,-1,41462
2010-10-07,26.25,25.91,25.78,26.21,-1,67309
2010-10-08,25.94,25.91,25.7,25.9,-1,17549
2010-10-11,25.81,25.55,25.5,25.81,-1,29035
2010-10-12,25.25,25.23,24.99,25.16,-1,67579
2010-10-13,25.55,25.53,25.25,25.25,-1,66750
2010-10-14,25.77,25.65,25.52,25.77,-1,36320
2010-10-15,25.83,25.55,25.370001,25.83,-1,76554
2010-10-18,25.7,25.69,25.41,25.41,-1,51726
2010-10-19,25.21,25.03,24.9501,25.1199,-1,37040
2010-10-20,25.45,25.33,25.02,25.02,-1,61269
2010-10-21,25.8,25.61,25.45,25.74,-1,26213
2010-10-22,25.94,25.81,25.75,25.94,-1,20490
2010-10-25,26.16,26.07,26.0,26.16,-1,52272
2010-10-26,25.93,25.87,25.7,25.85,-1,35838
2010-10-27,25.85,25.85,25.61,25.61,-1,25933
2010-10-28,26.08,25.83,25.76,26.08,-1,15410
2010-10-29,26.1,26.09,25.95,25.95,-1,10367
2010-11-01,26.34,26.0,25.9,26.28,-1,60658
2010-11-02,26.81,26.73,26.64,26.81,-1,30245
2010-11-03,27.1,27.04,26.86,27.06,-1,36655
2010-11-04,27.52,27.5,27.35,27.47,-1,31943
2010-11-05,26.83,26.81,26.65,26.73,-1,42618
2010-11-08,26.07,26.0,25.9,26.07,-1,58406
2010-11-09,26.0,25.6499,25.55,26.0,-1,57986
2010-11-10,25.46,25.37,25.01,25.46,-1,24657
2010-11-11,24.53,24.51,24.35,24.52,-1,46492
2010-11-12,24.24,23.9,23.82,24.24,-1,61093
2010-11-15,24.59,24.39,24.26,24.26,-1,24699
2010-11-16,24.36,23.93,23.88,24.36,-1,31374
2010-11-17,24.0,23.93,23.89,23.91,-1,7140
2010-11-18,24.46,24.41,24.32,24.35,-1,123281
2010-11-19,24.59,24.59,24.38,24.59,-1,18317
2010-11-22,24.27,24.21,24.09,24.19,-1,21114
2010-11-23,23.99,23.81,23.74,23.99,-1,26244
2010-11-24,24.14,24.12,23.78,23.78,-1,26906
2010-11-26,23.3812,23.296,22.99,23.38,-1,15386
2010-11-29,23.4,23.3899,23.139,23.29,-1,40046
2010-11-30,23.030001,22.915,22.7,22.91,-1,44750
2010-12-01,23.75,23.67,23.46,23.46,-1,37274
2010-12-02,24.44,24.44,24.08,24.19,-1,80163
2010-12-03,24.45,24.4499,24.27,24.28,-1,62033
2010-12-06,24.77,24.74,24.6405,24.71,-1,71733
2010-12-07,24.89,24.7199,24.71,24.89,-1,91720
2010-12-08,24.88,24.85,24.74,24.78,-1,25800
2010-12-09,24.93,24.88,24.69,24.87,-1,25502
2010-12-10,24.52,24.5,24.31,24.42,-1,20842
2010-12-13,24.37,24.3,24.12,24.12,-1,49826
2010-12-14,24.56,24.49,24.38,24.51,-1,21110
2010-12-15,24.1,23.9,23.88,24.1,-1,61301
2010-12-16,23.59,23.59,23.4,23.54,-1,58082
2010-12-17,23.57,23.57,23.45,23.57,-1,66619
2010-12-20,23.65,23.61,23.51,23.65,-1,10574
2010-12-21,23.76,23.75,23.6401,23.68,-1,11822
2010-12-22,23.99,23.94,23.89,23.895,-1,18956
2010-12-23,24.29,24.2293,24.19,24.29,-1,8680
2010-12-27,24.39,24.34,24.22,24.39,-1,8171
2010-12-28,24.4,24.346,24.32,24.4,-1,20236
2010-12-29,24.76,24.63,24.6,24.76,-1,11550
2010-12-30,24.87,24.8,24.7,24.87,-1,43182
2010-12-31,24.950001,24.93,24.77,24.79,-1,18709
2011-01-03,25.19,25.13,25.04,25.05,-1,38610
