Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-10-17,30.75,30.7,30.5847,30.67,195,7177
2018-10-18,30.45,29.8499,29.7045,30.45,157,19569
2018-10-19,30.0,29.4961,29.4961,30.0,88,8888
2018-10-22,29.74,29.6181,29.5221,29.73,103,9899
2018-10-23,29.2407,29.2,28.61,28.85,68,6563
2018-10-24,28.83,27.74,27.74,28.83,130,14728
2018-10-25,28.255,28.12,27.65,27.65,60,2207
2018-10-26,27.633,27.3,27.08,27.23,51,4102
2018-10-29,27.69,26.26,26.26,27.6,270,54007
2018-10-30,26.97,26.779,26.71,26.71,32,4773
2018-10-31,27.975,27.9,27.68,27.74,80,8583
2018-11-01,28.77,28.77,28.26,28.26,61,6483
2018-11-02,29.4,28.9986,28.855,29.37,49,3537
2018-11-05,28.96,28.7,28.5601,28.96,28,4427
2018-11-06,28.91,28.76,28.66,28.66,43,7699
2018-11-07,29.63,29.5762,29.2,29.25,67,6734
2018-11-08,29.6406,29.1549,29.15,29.49,37,2461
2018-11-09,28.19,27.86,27.86,28.19,44,6015
2018-11-12,27.83,27.23,27.23,27.83,46,3000
2018-11-13,27.7962,27.49,27.44,27.5989,45,7288
2018-11-14,27.85,27.6,27.56,27.81,33,2874
2018-11-15,28.13,28.11,27.84,27.84,17,2270
2018-11-16,27.48,27.48,27.21,27.21,51,12486
2018-11-19,27.403,26.7502,26.7502,27.403,34,2952
2018-11-20,26.43,26.24,25.89,25.89,39,3119
2018-11-21,26.85,26.85,26.7701,26.7701,7,641
2018-11-23,26.74,26.67,26.67,26.74,5,378
2018-11-26,27.32,27.21,27.21,27.3,15,408
2018-11-27,27.3607,27.3607,27.1373,27.21,17,1327
2018-11-28,28.1681,28.1681,27.9421,27.9421,16,2272
2018-11-29,28.505,28.37,28.319,28.32,25,2992
2018-11-30,28.23,28.2055,28.2,28.2,15,617
2018-12-03,28.91,28.56,28.56,28.91,20,907
2018-12-04,28.46,27.64,27.64,28.34,73,8241
2018-12-06,27.49,27.49,26.69,26.84,71,8393
2018-12-07,27.8,27.15,27.15,27.8,13,1707
2018-12-10,27.2436,27.2436,27.05,27.05,18,693
2018-12-11,27.65,27.32,27.25,27.65,36,9048
2018-12-12,27.8426,27.6441,27.58,27.58,36,5528
2018-12-13,27.805,27.6848,27.6637,27.805,31,2346
2018-12-14,27.27,27.094,27.094,27.27,19,1041
2018-12-17,27.0,26.62,26.62,26.88,23,1530
2018-12-18,26.8101,26.64,26.5801,26.61,26,3870
2018-12-19,27.1,26.3999,26.3999,27.04,19,1640
2018-12-20,26.28,26.18,26.09,26.28,71,17058
2018-12-21,26.85,26.1615,26.1615,26.75,69,10216
2018-12-24,26.13,25.8146,25.8146,25.87,21,969
2018-12-26,26.633,26.603,25.85,26.1,19,2018
2018-12-27,26.7951,26.7951,26.38,26.53,13,475
