Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-23,12.14,12.14,11.62,11.62,39,5443
2021-04-26,12.9,12.72,12.63,12.9,153,33571
2021-04-27,13.68,13.38,12.98,13.13,148,45837
2021-04-28,14.0,13.86,13.67,14.0,108,21687
2021-04-29,14.19,13.81,13.7,14.19,97,18545
2021-04-30,14.1,14.1,13.82,13.86,195,198364
2021-05-03,16.91,16.63,15.57,15.9,273,60038
2021-05-04,17.85,17.17,16.21,17.76,493,121146
2021-05-05,17.61,17.56,16.65,17.61,282,146824
2021-05-06,18.05,17.43,17.07,17.7,218,40007
2021-05-07,17.87,17.57,17.41,17.45,150,37905
2021-05-10,20.93,19.87,19.87,20.55,341,60160
2021-05-11,20.3,20.08,19.5,19.6,184,20947
2021-05-12,21.74,20.2,19.73,21.11,501,96243
2021-05-13,19.46,18.28,17.8,19.08,337,71045
2021-05-14,20.79,20.31,19.75,19.75,195,41914
2021-05-17,17.49,16.81,15.55,17.49,430,103441
2021-05-18,17.07,16.89,16.34,16.67,167,24265
2021-05-19,14.5,13.04,11.57,12.47,634,135794
2021-05-20,14.8,13.95,13.0,14.76,361,60900
2021-05-21,13.62,11.76,11.51,13.6,332,77597
2021-05-25,13.15,12.46,12.38,12.57,286,85656
2021-05-26,13.89,13.66,13.4,13.85,214,65785
2021-05-27,14.29,13.73,13.63,14.29,152,35552
2021-05-28,13.0,12.48,12.25,12.96,226,60888
2021-05-31,13.23,12.92,12.51,12.6,96,23397
2021-06-01,13.09,12.6,12.6,12.75,70,15031
2021-06-02,13.83,13.6,13.48,13.48,130,29220
2021-06-03,14.13,13.9,13.74,14.05,109,19991
2021-06-04,13.48,13.34,12.96,13.25,151,22187
2021-06-07,13.99,13.51,13.36,13.88,95,16480
2021-06-08,12.48,12.48,11.28,12.43,382,77269
2021-06-09,13.05,12.71,12.2,12.62,88,16744
2021-06-10,12.66,12.22,12.17,12.66,81,16919
2021-06-11,12.35,11.98,11.95,12.21,59,9433
2021-06-14,12.98,12.57,12.57,12.61,128,30361
2021-06-15,13.06,12.69,12.64,12.93,80,10546
2021-06-16,12.35,12.19,11.95,12.35,106,17187
2021-06-17,12.25,11.88,11.72,12.06,107,13909
2021-06-18,11.61,11.03,10.95,11.61,145,23381
2021-06-21,10.2,9.74,9.74,10.01,159,17263
2021-06-22,9.83,9.64,8.66,9.09,165,29086
2021-06-23,10.24,9.7,9.7,10.19,110,22133
2021-06-24,10.28,10.16,9.9,9.9,45,8773
2021-06-25,9.47,9.22,9.06,9.28,140,28685
2021-06-28,10.75,10.74,10.16,10.16,73,9919
2021-06-29,11.35,11.26,11.23,11.32,83,12612
2021-06-30,11.11,11.11,10.66,10.77,32,5828
2021-07-02,10.73,10.6,10.5,10.52,42,4371
2021-07-05,11.35,11.35,10.97,11.16,51,6368
2021-07-06,11.92,11.92,11.64,11.9,86,56237
2021-07-07,12.22,12.15,11.95,12.16,59,8880
2021-07-08,11.13,11.11,10.95,11.01,89,18918
2021-07-09,11.19,10.83,10.83,11.02,61,13660
2021-07-12,10.86,10.32,10.32,10.86,101,32386
2021-07-13,10.26,9.89,9.88,10.1,56,10385
2021-07-14,10.35,10.17,10.11,10.24,41,8220
2021-07-15,9.9,9.89,9.76,9.84,60,16487
2021-07-16,9.99,9.87,9.82,9.86,83,12684
2021-07-19,9.56,9.49,9.42,9.55,119,26683
2021-07-20,9.48,9.29,9.09,9.16,82,19580
2021-07-21,10.47,10.0,9.86,9.9,88,20699
2021-07-22,10.49,10.42,10.22,10.22,44,8957
2021-07-23,10.74,10.4,10.3,10.68,70,9265
2021-07-26,12.47,12.23,11.91,11.99,145,45109
2021-07-27,11.95,11.52,11.44,11.95,118,30938
2021-07-28,11.95,11.88,11.64,11.84,57,11914
2021-07-29,11.89,11.76,11.76,11.88,37,4960
2021-07-30,12.16,12.15,11.95,11.95,82,14356
2021-08-03,13.03,12.67,12.61,12.96,99,28653
2021-08-04,13.99,13.84,13.27,13.27,138,30424
2021-08-05,14.45,14.35,13.42,13.45,168,49395
2021-08-06,15.13,15.05,14.28,14.34,129,37770
2021-08-09,16.4,16.19,15.83,15.83,142,33419
2021-08-10,16.64,16.12,15.66,16.5,128,28855
2021-08-11,16.78,16.67,16.55,16.6,128,38555
2021-08-12,15.97,15.68,15.31,15.92,172,39925
2021-08-13,16.6,16.54,16.47,16.6,67,11363
2021-08-16,16.96,16.34,16.29,16.96,87,20018
2021-08-17,16.77,16.14,15.99,16.77,40,8175
2021-08-18,16.13,15.69,15.69,15.75,74,9417
2021-08-19,16.55,16.55,15.6,15.6,80,17523
2021-08-20,17.4,17.11,17.02,17.05,150,37500
2021-08-23,17.57,17.16,17.14,17.33,168,33419
2021-08-24,17.03,16.54,16.3,17.03,352,134515
2021-08-25,16.66,16.52,16.05,16.22,348,241477
2021-08-26,16.24,16.14,15.97,16.07,311,101663
2021-08-27,16.8,16.72,16.36,16.36,125,33717
2021-08-30,17.21,17.21,16.27,16.28,163,38739
2021-08-31,17.9,17.66,17.34,17.64,173,43545
2021-09-01,19.52,19.18,18.13,18.13,165,32428
2021-09-02,19.69,19.46,19.23,19.54,90,25507
2021-09-03,20.61,20.24,20.13,20.18,149,48756
2021-09-07,19.46,17.8,15.46,19.46,535,143570
2021-09-08,18.33,18.3,17.5,17.71,104,22347
2021-09-09,18.32,17.92,17.84,18.32,107,28981
2021-09-10,17.34,17.16,16.64,17.32,143,36799
2021-09-13,17.38,16.84,16.12,16.67,185,47067
2021-09-14,17.67,17.37,17.2,17.3,87,27315
2021-09-15,18.34,18.29,17.67,17.67,55,13126
2021-09-16,18.8,18.61,18.43,18.8,74,26845
2021-09-17,18.07,17.8,17.55,17.87,42,6596
2021-09-20,16.3,16.13,15.65,16.05,204,51967
2021-09-21,15.97,15.17,15.1,15.87,102,22115
2021-09-22,16.03,15.81,15.31,15.43,61,10635
2021-09-23,16.42,16.32,15.83,15.83,65,15540
2021-09-24,15.28,15.08,14.57,14.8,269,67354
2021-09-27,16.1,15.48,15.41,15.95,49,11674
2021-09-28,15.23,14.73,14.62,15.15,94,22571
2021-09-29,15.26,14.68,14.66,15.12,97,20013
2021-09-30,15.71,15.59,15.52,15.62,17,4900
