Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,9.5,9.46,9.45,9.46,,7200
2002-01-03,9.54,9.46,9.45,9.45,,4100
2002-01-04,9.8,9.8,9.5,9.5,,44600
2002-01-07,9.75,9.75,9.64,9.65,,37000
2002-01-08,9.65,9.57,9.52,9.52,,7100
2002-01-09,9.62,9.62,9.55,9.61,,7300
2002-01-10,9.65,9.63,9.55,9.6,,10500
2002-01-11,9.7,9.68,9.55,9.6,,185700
2002-01-14,9.6,9.45,9.45,9.55,,82600
2002-01-15,9.54,9.54,9.5,9.53,,6500
2002-01-16,9.54,9.47,9.45,9.54,,16400
2002-01-17,9.5,9.44,9.3,9.3,,48700
2002-01-18,9.4,9.31,9.31,9.39,,2800
2002-01-22,9.6,9.59,9.5,9.51,,131100
2002-01-23,9.6,9.56,9.53,9.59,,15800
2002-01-24,9.64,9.6,9.59,9.59,,106500
2002-01-25,9.66,9.54,9.54,9.61,,15200
2002-01-28,9.6,9.58,9.57,9.6,,4000
2002-01-29,9.6,9.39,9.3,9.6,,19000
2002-01-30,9.5,9.5,9.35,9.44,,83000
2002-01-31,9.6,9.59,9.42,9.52,,80400
2002-02-01,9.5,9.48,9.43,9.5,,3400
2002-02-04,9.6,9.6,9.5,9.58,,16300
2002-02-05,9.59,9.5,9.45,9.57,,13600
2002-02-06,9.43,9.43,9.31,9.4,,28100
2002-02-07,9.4,9.4,9.38,9.4,,12300
2002-02-08,9.59,9.51,9.5,9.5,,12500
2002-02-11,9.65,9.6,9.51,9.51,,13500
2002-02-12,9.63,9.52,9.51,9.6,,28400
2002-02-13,9.6,9.6,9.51,9.58,,14700
2002-02-14,9.71,9.65,9.61,9.71,,20700
2002-02-15,9.78,9.68,9.68,9.73,,5300
2002-02-19,9.75,9.68,9.6,9.75,,134600
2002-02-20,9.68,9.68,9.65,9.68,,17300
2002-02-21,9.64,9.54,9.54,9.63,,21100
2002-02-22,9.58,9.58,9.5,9.58,,36500
2002-02-25,9.64,9.64,9.52,9.58,,16800
2002-02-26,9.62,9.6,9.5,9.62,,54700
2002-02-27,9.6,9.6,9.5,9.55,,11400
2002-02-28,9.53,9.53,9.53,9.53,,100
2002-03-01,9.62,9.55,9.53,9.53,,33900
2002-03-04,9.72,9.67,9.67,9.7,,232500
2002-03-05,9.72,9.6,9.6,9.71,,17000
2002-03-06,9.79,9.79,9.65,9.74,,12600
