Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,15.28,15.1,15.05,15.15,,39400
2002-01-03,15.51,15.45,15.35,15.35,,41200
2002-01-04,15.57,15.45,15.37,15.55,,19900
2002-01-07,15.41,15.25,15.18,15.38,,20800
2002-01-08,15.2,15.2,15.07,15.18,,20100
2002-01-09,15.41,15.26,15.2,15.31,,20400
2002-01-10,15.2,15.2,15.06,15.08,,220000
2002-01-11,15.29,15.09,15.09,15.2,,27000
2002-01-14,14.9,14.8,14.78,14.9,,16200
2002-01-15,14.9,14.65,14.61,14.76,,230600
2002-01-16,14.47,14.35,14.32,14.45,,19500
2002-01-17,14.85,14.84,14.63,14.63,,25800
2002-01-18,14.83,14.74,14.6,14.6,,36800
2002-01-22,14.81,14.58,14.56,14.75,,29500
2002-01-23,14.84,14.78,14.7,14.8,,45400
2002-01-24,14.89,14.8,14.77,14.89,,13900
2002-01-25,14.63,14.63,14.47,14.47,,6900
2002-01-28,14.61,14.51,14.43,14.61,,20500
2002-01-29,14.63,14.34,14.31,14.57,,55100
2002-01-30,14.39,14.39,14.11,14.11,,257400
2002-01-31,14.41,14.41,14.2,14.35,,208800
2002-02-01,14.48,14.4,14.3,14.46,,18500
2002-02-04,14.31,14.15,14.15,14.24,,83300
2002-02-05,14.1,14.03,13.88,14.1,,34800
2002-02-06,13.75,13.61,13.6,13.73,,34100
2002-02-07,13.82,13.81,13.67,13.68,,20300
2002-02-08,13.94,13.85,13.75,13.82,,46900
2002-02-11,14.22,14.22,13.94,13.94,,132000
2002-02-12,14.05,13.95,13.92,14.03,,16500
2002-02-13,14.05,13.97,13.95,13.95,,17000
2002-02-14,14.11,14.06,14.02,14.02,,7400
2002-02-15,14.07,13.76,13.76,14.07,,38600
2002-02-19,13.7,13.59,13.52,13.64,,205000
2002-02-20,13.65,13.65,13.45,13.6,,21400
2002-02-21,13.79,13.61,13.61,13.65,,66400
2002-02-22,13.7,13.67,13.53,13.7,,6400
2002-02-25,13.86,13.85,13.6,13.6,,41800
2002-02-26,13.99,13.93,13.79,13.88,,36400
2002-02-27,14.11,13.88,13.84,13.94,,17400
2002-02-28,14.27,14.26,14.07,14.07,,42000
2002-03-01,14.4,14.36,14.16,14.28,,37800
2002-03-04,15.0,14.84,14.61,14.61,,77000
2002-03-05,14.91,14.76,14.66,14.8,,52500
2002-03-06,15.18,15.16,14.75,14.88,,27000
2002-03-07,15.4,15.21,15.11,15.4,,41500
2002-03-08,15.35,15.25,15.21,15.29,,27000
2002-03-11,15.4,15.39,15.06,15.2,,73600
2002-03-12,15.21,14.95,14.88,14.99,,104700
2002-03-13,15.13,14.91,14.91,15.05,,50400
2002-03-14,15.3,15.11,15.0,15.0,,16300
2002-03-15,15.57,15.5,15.21,15.35,,117500
2002-03-18,15.7,15.68,15.49,15.7,,59400
2002-03-19,15.74,15.74,15.56,15.71,,35200
2002-03-20,15.52,15.4,15.37,15.52,,71500
2002-03-21,15.44,15.33,15.3,15.34,,137000
2002-03-22,15.41,15.36,15.31,15.31,,8000
2002-03-25,15.38,15.16,15.12,15.26,,73900
2002-03-26,15.5,15.36,15.25,15.25,,112500
2002-03-27,15.34,15.26,15.14,15.28,,31200
2002-03-28,15.4,15.34,15.22,15.28,,13900
2002-04-01,15.48,15.4,15.29,15.47,,22900
2002-04-02,15.3,15.14,15.14,15.3,,130100
2002-04-03,15.16,15.09,15.05,15.16,,7800
2002-04-04,15.11,14.93,14.93,15.01,,19700
2002-04-05,15.17,15.06,14.96,15.17,,13400
2002-04-08,14.87,14.76,14.64,14.69,,27300
2002-04-09,14.95,14.75,14.75,14.9,,22200
2002-04-10,15.15,15.14,14.98,15.0,,16900
2002-04-11,15.1,14.73,14.73,15.1,,35100
2002-04-12,14.89,14.85,14.71,14.87,,26200
2002-04-15,15.05,14.9,14.88,15.0,,23200
2002-04-16,15.45,15.43,15.17,15.17,,39500
2002-04-17,15.54,15.31,15.31,15.54,,30500
2002-04-18,15.39,15.1,15.1,15.31,,6100
2002-04-19,15.38,15.38,15.25,15.25,,29200
2002-04-22,15.07,15.06,14.97,15.05,,52100
2002-04-23,15.03,15.0,14.93,14.94,,24200
