Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,9.31,9.26,9.12,9.16,,21400
2002-01-03,9.36,9.35,9.2,9.2,,45300
2002-01-04,9.6,9.59,9.45,9.53,,164700
2002-01-07,9.82,9.69,9.66,9.82,,56000
2002-01-08,9.83,9.62,9.62,9.73,,59800
2002-01-09,9.78,9.46,9.46,9.67,,56000
2002-01-10,9.58,9.51,9.41,9.41,,30200
2002-01-11,9.43,9.37,9.25,9.33,,102700
2002-01-14,9.4,9.35,9.31,9.4,,54000
2002-01-15,9.36,9.21,9.2,9.35,,27300
2002-01-16,9.2,9.01,9.01,9.2,,47800
2002-01-17,9.34,9.34,9.19,9.2,,64100
2002-01-18,9.24,9.16,9.14,9.15,,16300
2002-01-22,9.22,9.14,9.05,9.05,,246300
2002-01-23,9.22,9.22,9.1,9.14,,48600
2002-01-24,9.22,9.13,9.12,9.22,,91500
2002-01-25,9.17,9.14,9.09,9.09,,68000
2002-01-28,9.19,9.14,9.11,9.19,,37500
2002-01-29,9.27,9.06,9.01,9.27,,164600
2002-01-30,9.12,9.1,8.8,9.09,,80600
2002-01-31,9.09,9.09,8.9,9.08,,36300
2002-02-01,9.03,8.86,8.81,9.03,,11100
2002-02-04,8.91,8.6,8.6,8.87,,169700
2002-02-05,8.87,8.8,8.63,8.7,,59200
2002-02-06,8.94,8.84,8.82,8.94,,8000
2002-02-07,8.88,8.79,8.67,8.87,,19900
2002-02-08,8.93,8.91,8.81,8.88,,17600
2002-02-11,9.12,9.1,8.95,9.12,,34200
2002-02-12,9.13,9.04,8.95,8.95,,39700
2002-02-13,9.23,9.1,9.06,9.06,,47300
2002-02-14,9.29,9.16,9.12,9.2,,65000
2002-02-15,9.1,9.06,8.98,9.1,,22800
2002-02-19,9.0,8.84,8.84,8.94,,61400
2002-02-20,9.18,9.01,8.92,8.92,,42600
2002-02-21,9.08,8.94,8.9,8.92,,32400
2002-02-22,9.07,9.07,8.82,8.82,,10500
2002-02-25,8.96,8.91,8.78,8.81,,31400
2002-02-26,8.85,8.64,8.59,8.79,,42200
2002-02-27,8.9,8.81,8.73,8.9,,35400
2002-02-28,8.77,8.67,8.63,8.75,,12100
2002-03-01,8.82,8.82,8.61,8.72,,24400
2002-03-04,9.04,8.92,8.81,8.94,,43400
2002-03-05,9.2,9.02,8.95,9.03,,85700
2002-03-06,9.25,9.24,9.03,9.1,,117200
2002-03-07,9.19,9.15,9.1,9.19,,70300
2002-03-08,9.34,9.25,9.22,9.25,,131900
2002-03-11,9.3,9.3,9.21,9.29,,69000
2002-03-12,9.3,9.23,9.21,9.29,,40000
2002-03-13,9.24,9.16,9.15,9.24,,40600
2002-03-14,9.3,9.26,9.17,9.26,,44400
2002-03-15,9.35,9.24,9.23,9.3,,120900
2002-03-18,9.34,9.23,9.21,9.3,,35900
2002-03-19,9.29,9.29,9.12,9.15,,75200
2002-03-20,9.24,9.15,9.04,9.11,,45200
2002-03-21,9.1,8.95,8.9,9.03,,601600
2002-03-22,9.06,8.94,8.89,8.89,,58400
2002-03-25,9.09,9.0,8.96,9.0,,173400
2002-03-26,9.1,9.02,8.92,8.92,,23100
2002-03-27,9.24,9.18,9.1,9.1,,40100
2002-03-28,9.27,9.19,9.13,9.27,,13400
2002-04-01,9.24,9.19,9.06,9.2,,26400
2002-04-02,9.09,8.95,8.91,9.09,,28200
2002-04-03,8.99,8.92,8.9,8.95,,20600
2002-04-04,9.05,8.97,8.91,8.91,,42000
2002-04-05,9.07,8.95,8.92,8.92,,19000
2002-04-08,8.94,8.94,8.81,8.9,,30500
2002-04-09,9.0,8.94,8.93,9.0,,17100
2002-04-10,8.94,8.93,8.81,8.9,,23000
2002-04-11,9.04,8.81,8.81,8.94,,163300
2002-04-12,9.04,9.04,8.93,8.93,,52300
2002-04-15,9.04,9.04,8.87,9.04,,76400
2002-04-16,9.29,9.22,8.94,8.94,,63500
2002-04-17,9.49,9.29,9.29,9.37,,48300
2002-04-18,9.45,9.43,9.26,9.35,,182300
2002-04-19,9.64,9.62,9.35,9.35,,64600
2002-04-22,9.49,9.39,9.36,9.49,,52000
2002-04-23,9.79,9.66,9.62,9.73,,71100
2002-04-24,9.79,9.77,9.66,9.66,,622400
2002-04-25,9.75,9.57,9.52,9.75,,549800
2002-04-26,9.75,9.6,9.56,9.65,,216800
2002-04-29,9.74,9.56,9.56,9.6,,51200
2002-04-30,9.94,9.89,9.75,9.85,,242400
2002-05-01,9.95,9.94,9.76,9.89,,68100
2002-05-02,10.13,10.06,10.02,10.1,,1843300
2002-05-03,10.07,10.03,9.87,10.07,,227300
2002-05-06,10.06,10.04,9.92,10.0,,76300
2002-05-07,10.1,10.03,9.95,10.05,,90200
2002-05-08,10.2,10.15,10.02,10.02,,213600
2002-05-09,9.96,9.79,9.72,9.9,,88800
2002-05-10,9.97,9.74,9.73,9.73,,54800
2002-05-13,10.1,10.07,9.86,9.86,,215700
2002-05-14,10.09,10.04,9.95,10.05,,218800
2002-05-15,10.06,10.0,9.92,10.04,,173300
2002-05-16,10.08,10.05,9.96,10.04,,191000
2002-05-17,10.23,10.17,10.1,10.14,,576500
2002-05-20,10.16,10.07,10.02,10.14,,552200
2002-05-21,10.0,9.9,9.81,9.98,,131800
2002-05-22,10.0,9.99,9.78,9.8,,111200
2002-05-23,9.97,9.88,9.82,9.95,,129800
2002-05-24,9.83,9.82,9.75,9.83,,187000
2002-05-28,9.86,9.7,9.62,9.76,,176400
2002-05-29,9.59,9.56,9.47,9.51,,126800
2002-05-30,9.64,9.5,9.4,9.6,,191500
2002-05-31,9.59,9.51,9.47,9.54,,459200
2002-06-03,9.51,9.27,9.27,9.41,,278700
2002-06-04,9.61,9.5,9.35,9.4,,123800
2002-06-05,9.65,9.6,9.47,9.62,,50600
2002-06-06,9.62,9.37,9.26,9.6,,194800
2002-06-07,9.64,9.59,9.36,9.49,,87200
2002-06-10,9.73,9.67,9.6,9.63,,198400
2002-06-11,9.58,9.53,9.5,9.58,,121800
2002-06-12,9.43,9.42,9.25,9.25,,115000
2002-06-13,9.45,9.29,9.29,9.39,,69400
2002-06-14,9.19,9.08,8.9,9.1,,609000
2002-06-17,9.19,9.19,8.91,8.92,,72400
2002-06-18,9.17,9.12,9.02,9.12,,68800
2002-06-19,8.96,8.72,8.69,8.96,,117000
2002-06-20,8.85,8.76,8.76,8.84,,209600
2002-06-21,8.81,8.68,8.61,8.8,,81400
2002-06-24,8.84,8.71,8.62,8.75,,79300
2002-06-25,8.85,8.7,8.7,8.84,,73000
2002-06-26,8.65,8.65,8.36,8.45,,154900
2002-06-27,8.95,8.85,8.68,8.69,,562200
2002-06-28,8.93,8.89,8.7,8.7,,75900
2002-07-01,8.85,8.71,8.71,8.85,,26100
2002-07-02,8.79,8.45,8.31,8.7,,149200
2002-07-03,8.86,8.78,8.68,8.86,,307500
