Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,31.12,31.0,30.76,31.04,,72175.0
2002-01-03,31.76,31.76,31.0,31.2,,207275.0
2002-01-04,32.28,32.28,32.0,32.04,,157700.0
2002-01-07,32.2,31.72,31.64,32.04,,216550.0
2002-01-08,31.36,31.04,31.0,31.2,,290575.0
2002-01-09,31.4,30.88,30.8,31.0,,97200.0
2002-01-10,30.64,30.56,30.32,30.6,,439850.0
2002-01-11,30.56,30.2,30.16,30.36,,61025.0
2002-01-14,30.24,29.8,29.76,30.2,,79750.0
2002-01-15,30.12,30.0,29.84,30.08,,121300.0
2002-01-16,30.0,29.64,29.64,29.8,,102500.0
2002-01-17,30.0,29.92,29.76,29.96,,57850.0
2002-01-18,30.08,30.04,29.88,30.08,,45125.0
2002-01-22,29.36,29.28,29.04,29.36,,146125.0
2002-01-23,29.12,29.12,28.84,29.0,,85750.0
2002-01-24,29.16,28.8,28.6,28.88,,252425.0
2002-01-25,29.2,29.08,28.88,29.08,,127000.0
2002-01-28,29.64,29.4,29.28,29.6,,326775.0
2002-01-29,29.04,28.6,28.48,29.04,,155150.0
2002-01-30,28.84,28.8,28.2,28.24,,74400.0
2002-01-31,28.88,28.56,28.48,28.64,,63975.0
2002-02-01,28.32,28.2,27.92,28.2,,211075.0
2002-02-04,28.4,27.68,27.6,28.4,,478300.0
2002-02-05,27.48,27.0,26.84,27.48,,160525.0
2002-02-06,27.48,26.84,26.84,27.2,,120875.0
2002-02-07,27.84,27.64,27.48,27.56,,103950.0
2002-02-08,28.36,28.36,27.88,27.88,,186750.0
2002-02-11,28.72,28.6,28.24,28.36,,68850.0
2002-02-12,28.96,28.8,28.6,28.6,,132975.0
2002-02-13,29.4,29.32,29.08,29.32,,74550.0
2002-02-14,29.68,29.28,29.2,29.52,,109500.0
2002-02-15,29.36,29.08,28.92,29.32,,68800.0
2002-02-19,28.4,27.96,27.96,28.4,,86125.0
2002-02-20,28.44,28.36,27.96,28.28,,62500.0
2002-02-21,29.08,28.84,28.72,29.0,,126000.0
2002-02-22,29.32,29.32,28.96,29.0,,88775.0
2002-02-25,29.6,29.56,29.24,29.4,,80425.0
2002-02-26,29.24,29.08,28.96,29.2,,127125.0
2002-02-27,30.08,29.8,29.48,29.68,,254150.0
2002-02-28,30.24,29.88,29.8,30.0,,277700.0
2002-03-01,31.2,31.2,30.64,30.64,,405225.0
2002-03-04,33.04,33.0,32.08,32.28,,839850.0
2002-03-05,32.56,32.4,32.28,32.52,,610650.0
2002-03-06,33.52,33.36,32.44,32.52,,318950.0
2002-03-07,34.52,34.4,34.0,34.32,,454200.0
2002-03-08,34.72,34.24,34.24,34.64,,335200.0
2002-03-11,34.8,34.68,34.44,34.64,,244100.0
2002-03-12,33.96,33.76,33.48,33.6,,358850.0
2002-03-13,33.2,32.8,32.72,33.08,,294325.0
2002-03-14,33.68,33.2,33.2,33.4,,347175.0
2002-03-15,34.12,34.08,33.64,33.92,,192775.0
2002-03-18,33.24,32.88,32.88,33.16,,331425.0
2002-03-19,33.8,33.76,33.52,33.72,,291350.0
2002-03-20,33.08,32.84,32.84,33.08,,64600.0
2002-03-21,33.04,32.92,32.64,32.84,,121100.0
2002-03-22,32.4,32.12,32.04,32.32,,183450.0
2002-03-25,32.0,31.8,31.64,31.84,,197300.0
2002-03-26,32.16,31.96,31.72,31.76,,298325.0
2002-03-27,32.36,32.12,32.04,32.08,,219725.0
2002-03-28,32.64,32.56,32.32,32.32,,154675.0
2002-04-01,31.56,31.48,31.2,31.44,,300475.0
2002-04-02,31.76,31.48,31.48,31.56,,164675.0
2002-04-03,32.56,32.08,32.0,32.4,,146300.0
2002-04-04,32.84,32.6,32.52,32.72,,153375.0
2002-04-05,33.16,32.92,32.72,33.0,,156550.0
2002-04-08,32.64,32.48,32.28,32.36,,121725.0
2002-04-09,32.56,32.24,32.24,32.4,,173050.0
2002-04-10,32.96,32.88,32.6,32.76,,91325.0
2002-04-11,32.32,31.92,31.84,32.28,,81800.0
2002-04-12,32.0,32.0,31.76,31.92,,119000.0
2002-04-15,32.24,31.92,31.76,32.2,,121650.0
2002-04-16,33.4,33.0,32.44,32.44,,257975.0
2002-04-17,33.36,33.04,32.92,33.2,,347100.0
2002-04-18,33.4,33.32,33.0,33.28,,451825.0
2002-04-19,33.32,33.28,33.04,33.32,,163300.0
2002-04-22,33.68,33.48,33.36,33.6,,214175.0
2002-04-23,33.92,33.72,33.64,33.64,,310900.0
2002-04-24,33.92,33.48,33.36,33.84,,148500.0
2002-04-25,34.16,33.92,33.8,34.0,,187975.0
2002-04-26,34.0,33.76,33.6,33.96,,231675.0
2002-04-29,33.88,33.56,33.56,33.68,,335075.0
2002-04-30,33.88,33.76,33.56,33.64,,400700.0
2002-05-01,34.04,34.0,33.56,33.76,,183025.0
2002-05-02,34.24,34.08,33.8,33.92,,975525.0
2002-05-03,34.28,34.12,33.8,34.2,,261125.0
2002-05-06,33.88,33.76,33.72,33.76,,144400.0
2002-05-07,33.64,33.28,33.28,33.64,,224475.0
2002-05-08,34.2,34.2,33.72,33.88,,335550.0
2002-05-09,33.96,33.64,33.64,33.84,,108050.0
2002-05-10,33.84,33.56,33.52,33.72,,135325.0
2002-05-13,34.0,33.88,33.48,33.56,,73250.0
2002-05-14,34.0,33.88,33.56,33.72,,218575.0
2002-05-15,34.12,33.84,33.64,33.8,,151100.0
2002-05-16,34.8,34.68,34.4,34.4,,582300.0
2002-05-17,36.12,35.48,35.28,35.28,,946900.0
2002-05-20,36.08,35.72,35.52,35.6,,599725.0
