Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,12.82,12.69,12.51,12.8,,36700
2002-01-03,12.7,12.7,12.51,12.51,,62900
2002-01-04,12.82,12.82,12.56,12.56,,3300
2002-01-07,12.79,12.61,12.61,12.67,,900
2002-01-08,12.7,12.68,12.51,12.6,,28500
2002-01-09,12.7,12.7,12.51,12.69,,8700
2002-01-10,12.64,12.6,12.51,12.64,,66900
2002-01-11,12.79,12.56,12.56,12.62,,2600
2002-01-14,12.64,12.46,12.45,12.48,,19000
2002-01-15,12.49,12.49,12.31,12.48,,9200
2002-01-16,12.33,12.31,12.16,12.23,,12100
2002-01-17,12.49,12.49,12.32,12.32,,11200
2002-01-18,12.49,12.49,12.32,12.47,,3200
2002-01-22,12.49,12.27,12.25,12.49,,10700
2002-01-23,12.55,12.53,12.5,12.5,,26000
2002-01-24,12.55,12.54,12.47,12.5,,6400
2002-01-25,12.17,12.17,12.17,12.17,,900
2002-01-28,12.28,12.28,12.2,12.2,,7700
2002-01-29,12.09,12.09,12.0,12.07,,21500
2002-01-30,12.0,12.0,11.87,11.89,,48100
2002-01-31,11.99,11.92,11.91,11.99,,3100
2002-02-01,11.99,11.89,11.89,11.92,,6700
2002-02-04,11.89,11.89,11.78,11.78,,1200
2002-02-05,11.94,11.94,11.76,11.77,,3300
2002-02-06,11.89,11.78,11.71,11.71,,7300
2002-02-07,12.14,11.97,11.85,12.0,,10600
2002-02-08,12.2,12.01,12.0,12.1,,38900
2002-02-11,12.3,12.3,12.11,12.25,,7500
2002-02-12,12.24,12.12,12.06,12.23,,24400
2002-02-13,12.29,12.28,12.08,12.08,,2500
2002-02-14,12.3,12.25,12.25,12.25,,14200
2002-02-19,12.24,12.19,12.06,12.24,,4600
2002-02-20,12.14,11.96,11.96,11.96,,3500
2002-02-21,12.14,12.14,11.96,11.96,,1300
2002-02-22,12.06,12.06,12.05,12.05,,5900
2002-02-25,12.18,12.05,12.0,12.18,,1600
2002-02-26,12.02,12.0,12.0,12.02,,2000
2002-02-27,12.24,12.19,12.01,12.05,,7600
2002-02-28,12.24,12.24,12.1,12.1,,1600
