Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,22.14,22.1,21.78,21.78,,15500.0
2002-01-03,22.16,22.16,21.74,21.9,,81550.0
2002-01-04,22.54,22.48,22.24,22.5,,50450.0
2002-01-07,23.16,22.82,22.76,22.76,,104450.0
2002-01-08,23.08,22.84,22.56,23.0,,8550.0
2002-01-09,23.4,22.94,22.76,23.4,,14250.0
2002-01-10,23.32,22.98,22.82,23.3,,16950.0
2002-01-11,22.44,21.8644,21.64,22.44,,140550.0
2002-01-14,21.96,21.64,21.5,21.68,,17450.0
2002-01-15,22.06,21.88,21.5,21.64,,22250.0
2002-01-16,21.4,20.88,20.88,21.4,,48700.0
2002-01-17,21.58,21.5,20.96,20.96,,18700.0
2002-01-18,21.08,20.9,20.8,20.8,,3650.0
2002-01-22,22.3,22.0,21.8,22.3,,40050.0
2002-01-23,22.5,22.48,21.64,21.98,,15800.0
2002-01-24,22.54,22.34,22.2,22.54,,62700.0
2002-01-25,23.14,23.0,22.82,23.0,,10950.0
2002-01-28,23.56,23.12,23.12,23.4,,27100.0
2002-01-29,22.8,22.36,21.92,22.8,,13450.0
2002-01-30,22.62,22.6,21.82,22.0,,32850.0
2002-01-31,23.04,22.7,22.58,23.0,,49400.0
2002-02-01,22.68,22.3,22.22,22.68,,10750.0
2002-02-04,22.6,21.92,21.82,22.56,,457100.0
2002-02-05,22.44,22.04,22.04,22.44,,700.0
2002-02-06,22.5,22.5,22.2,22.46,,4200.0
2002-02-07,22.9,22.48,22.32,22.68,,67100.0
2002-02-08,22.8,22.48,22.48,22.8,,4500.0
2002-02-11,23.16,23.1,22.78,22.9,,11700.0
2002-02-12,23.1,22.68,22.6,23.02,,3750.0
2002-02-13,23.24,23.08,22.72,23.2,,7400.0
2002-02-14,24.1,23.98,23.38,23.38,,116100.0
2002-02-15,23.98,23.86,23.62,23.98,,17700.0
2002-02-19,22.5,22.0,21.88,22.4,,80950.0
2002-02-20,21.68,21.64,21.3,21.3,,73850.0
2002-02-21,21.7,21.3,21.3,21.54,,63500.0
2002-02-22,21.6,21.6,21.32,21.4,,3250.0
2002-02-25,21.36,21.3,20.8,20.8,,238200.0
2002-02-26,21.2,20.88,20.7,21.2,,31550.0
2002-02-27,22.08,22.06,21.68,21.68,,70850.0
2002-02-28,22.08,22.04,22.0,22.06,,139300.0
2002-03-01,22.42,22.42,21.64,22.0,,145950.0
2002-03-04,23.2,23.2,22.34,22.34,,110550.0
2002-03-05,23.36,23.08,22.8,23.36,,26150.0
2002-03-06,23.98,23.96,23.4,23.4,,10750.0
2002-03-07,23.94,23.86,23.5,23.9,,55450.0
2002-03-08,23.84,23.8,23.64,23.8,,45350.0
2002-03-11,24.38,23.96,23.9,23.9,,32700.0
2002-03-12,23.96,23.88,23.62,23.94,,36700.0
2002-03-13,23.74,23.38,23.22,23.58,,16000.0
2002-03-14,23.8,23.36,23.26,23.8,,285350.0
2002-03-15,23.0,22.74,22.72,23.0,,33350.0
2002-03-18,22.96,22.76,22.42,22.96,,45700.0
2002-03-19,22.8,22.8,22.52,22.6,,18550.0
2002-03-20,23.48,23.02,22.92,23.22,,45600.0
2002-03-21,23.3,23.28,22.82,22.94,,47800.0
2002-03-22,23.86,23.44,23.44,23.44,,47050.0
2002-03-25,24.04,23.7,23.46,24.04,,8750.0
2002-03-26,24.08,23.62,23.62,23.62,,82850.0
2002-03-27,23.7,23.58,23.2,23.7,,56000.0
2002-03-28,23.94,23.94,23.32,23.46,,71000.0
2002-04-01,23.7,23.7,23.24,23.26,,46350.0
2002-04-02,23.86,23.52,23.2,23.8,,24400.0
2002-04-03,23.92,23.58,23.5,23.7,,14650.0
2002-04-04,23.64,23.58,23.32,23.58,,4050.0
2002-04-05,23.58,23.06,23.0,23.58,,15400.0
2002-04-08,23.38,22.66,22.56,23.02,,187750.0
2002-04-09,22.8,22.38,22.14,22.8,,33250.0
2002-04-10,23.1,23.1,22.2,22.44,,64800.0
2002-04-11,23.1,22.76,22.5,23.0,,59000.0
2002-04-12,23.68,23.32,23.0,23.0,,19750.0
2002-04-15,23.66,23.42,23.42,23.64,,40750.0
2002-04-16,24.38,24.3,23.52,23.9,,188450.0
2002-04-17,25.12,25.1,24.5,24.64,,70850.0
2002-04-18,24.7,24.7,24.48,24.7,,80300.0
2002-04-19,25.08,24.64,24.6,24.94,,74200.0
2002-04-22,24.88,24.48,24.42,24.88,,93450.0
2002-04-23,24.78,24.56,24.34,24.78,,69650.0
2002-04-24,24.82,24.64,24.52,24.78,,19150.0
2002-04-25,24.58,24.52,24.32,24.36,,61100.0
2002-04-26,24.3,23.92,23.68,24.3,,46000.0
2002-04-29,23.88,23.68,23.58,23.72,,55500.0
2002-04-30,23.5,23.36,23.0,23.44,,99800.0
2002-05-01,23.68,23.58,23.04,23.34,,25950.0
2002-05-02,22.54,22.26,22.24,22.5,,25150.0
2002-05-03,22.22,21.72,21.7,22.0,,233400.0
2002-05-06,21.46,20.68,20.68,21.46,,88300.0
2002-05-07,21.68,21.68,20.86,20.9,,18600.0
2002-05-08,22.88,22.72,21.72,22.0,,145900.0
2002-05-09,22.2,22.2,21.62,21.92,,70700.0
2002-05-10,22.36,22.14,21.78,22.36,,40300.0
2002-05-13,22.46,22.46,21.82,21.82,,81700.0
2002-05-14,22.9,22.6,22.5,22.6,,152850.0
2002-05-15,23.4,22.84,22.72,23.1,,109850.0
2002-05-16,23.0,22.64,22.22,22.22,,14000.0
2002-05-17,23.18,22.96,22.52,22.7,,177200.0
2002-05-20,22.54,21.68,21.2,22.54,,60300.0
2002-05-21,21.48,21.02,20.92,21.0,,28300.0
2002-05-22,21.8,21.8,21.42,21.7,,16350.0
2002-05-23,21.92,21.8,21.4,21.7,,15650.0
2002-05-24,22.3,22.18,22.18,22.2,,3950.0
2002-05-28,22.2,22.14,21.98,22.2,,10550.0
2002-05-29,21.84,21.76,21.7,21.72,,393900.0
2002-05-30,22.38,22.38,21.8,21.8,,786600.0
2002-05-31,22.7,22.4,22.02,22.38,,291150.0
2002-06-03,21.94,21.42,21.4,21.94,,221400.0
2002-06-04,21.78,21.52,21.4,21.42,,120600.0
2002-06-05,21.8,21.7,21.54,21.8,,65850.0
2002-06-06,21.58,20.92,20.6,21.54,,102950.0
2002-06-07,20.76,20.3,20.2,20.76,,27050.0
2002-06-10,21.08,21.08,20.54,20.6,,37050.0
2002-06-11,20.86,20.12,20.12,20.86,,7850.0
2002-06-12,20.68,20.66,20.2,20.2,,36350.0
2002-06-13,21.4,21.0,20.88,21.4,,68850.0
2002-06-14,21.44,20.9,20.2,21.44,,264450.0
2002-06-17,21.22,21.22,20.5,20.5,,64350.0
2002-06-18,21.48,21.48,21.04,21.18,,148350.0
2002-06-19,20.6,20.22,20.12,20.6,,148900.0
2002-06-20,20.68,20.4,20.12,20.6,,67400.0
2002-06-21,20.88,20.74,20.2,20.74,,31250.0
2002-06-24,20.8,20.58,20.1,20.8,,24400.0
2002-06-25,20.9,20.24,20.24,20.9,,5350.0
2002-06-26,19.6,19.5,19.02,19.1,,304600.0
2002-06-27,19.9,19.72,19.54,19.9,,83150.0
2002-06-28,20.74,20.74,19.96,19.96,,123100.0
2002-07-01,19.56,19.16,18.94,19.56,,29900.0
2002-07-02,19.4,18.54,18.12,19.36,,70200.0
2002-07-03,19.18,18.98,18.4,18.86,,68100.0
2002-07-05,20.26,20.26,19.72,20.16,,22450.0
2002-07-08,20.8,20.68,20.5,20.8,,84400.0
2002-07-09,21.0,20.7,20.54,21.0,,13400.0
2002-07-10,20.7,19.74,19.72,20.7,,12100.0
2002-07-11,20.48,20.46,19.64,19.64,,23200.0
2002-07-12,21.28,20.98,20.74,21.0,,6450.0
2002-07-15,21.0,20.96,18.0,20.7,,54000.0
2002-07-16,21.18,20.88,20.38,20.56,,8000.0
2002-07-17,21.24,21.24,20.62,20.96,,48800.0
2002-07-18,20.96,20.44,20.44,20.96,,3550.0
2002-07-19,20.14,19.82,19.82,20.0,,5350.0
2002-07-22,19.6,19.24,19.06,19.12,,21300.0
2002-07-23,20.0,19.24,19.0,20.0,,32650.0
2002-07-24,19.7,19.68,18.42,18.64,,114950.0
2002-07-25,19.18,17.8,17.16,18.6,,368800.0
2002-07-26,18.02,17.94,17.24,18.02,,58450.0
2002-07-29,18.54,18.54,17.64,18.0,,64000.0
2002-07-30,18.7,18.3,18.1,18.7,,181450.0
2002-07-31,18.56,17.84,17.76,18.56,,41550.0
2002-08-01,18.34,17.64,17.52,18.34,,32800.0
2002-08-02,18.08,17.42,17.42,17.8,,29850.0
2002-08-05,16.84,16.02,16.0,16.5,,81600.0
2002-08-06,17.46,16.82,16.1,16.1,,37650.0
2002-08-07,17.68,17.58,17.2,17.44,,51050.0
2002-08-08,17.9,17.78,17.34,17.34,,17800.0
2002-08-09,18.1,17.84,17.6,17.6,,8600.0
2002-08-12,17.8,17.48,17.24,17.8,,26200.0
2002-08-13,18.1,17.52,17.5,17.5,,31650.0
2002-08-14,18.7,18.7,18.0,18.18,,15250.0
2002-08-15,18.9,18.78,18.16,18.16,,32650.0
2002-08-16,18.62,18.62,18.48,18.5,,45900.0
2002-08-19,18.72,18.68,18.62,18.62,,23300.0
2002-08-20,18.8,17.84,17.74,18.8,,5750.0
2002-08-21,18.28,18.28,17.86,18.28,,3800.0
2002-08-22,18.48,18.48,17.9,18.4,,9150.0
2002-08-23,18.56,18.44,18.02,18.56,,60650.0
2002-08-26,18.6,18.6,18.06,18.24,,36900.0
2002-08-27,18.5,18.0,18.0,18.5,,12050.0
2002-08-28,17.64,17.24,17.2,17.2,,21800.0
2002-08-29,17.48,17.38,17.16,17.22,,162150.0
2002-08-30,17.6,17.6,17.5,17.5,,2700.0
2002-09-03,17.16,16.2,16.2,17.16,,7600.0
2002-09-04,16.9,16.3,16.22,16.78,,80000.0
2002-09-05,16.46,15.8,15.72,16.46,,30200.0
2002-09-06,16.38,16.38,16.08,16.08,,5700.0
2002-09-09,16.88,16.78,16.42,16.6,,7800.0
2002-09-10,17.48,17.4,16.96,17.36,,27750.0
2002-09-11,17.7,17.0,17.0,17.7,,118350.0
2002-09-12,17.16,16.96,16.82,17.16,,9000.0
2002-09-13,16.58,16.52,16.42,16.42,,3400.0
2002-09-16,16.26,16.02,15.82,16.26,,9500.0
2002-09-17,16.82,16.2,16.12,16.78,,81750.0
2002-09-18,16.2,16.06,16.02,16.2,,5700.0
2002-09-19,16.3,15.8,15.8,16.3,,9300.0
2002-09-20,16.2,15.6,15.42,16.2,,2850.0
2002-09-23,15.26,15.1,15.0,15.02,,8000.0
2002-09-24,15.0,14.78,14.62,15.0,,8450.0
2002-09-25,15.3,15.3,14.94,15.08,,10750.0
2002-09-26,15.6,15.0,15.0,15.3,,6750.0
2002-09-27,14.94,14.72,14.7,14.8,,3600.0
2002-09-30,15.3,15.3,14.5,14.6,,57250.0
2002-10-01,15.12,15.0,14.52,15.1,,26550.0
2002-10-02,15.0,14.46,14.46,15.0,,11800.0
2002-10-03,14.48,14.46,14.0,14.38,,2150.0
2002-10-04,14.38,14.02,14.02,14.38,,500.0
2002-10-07,14.0,13.22,13.22,14.0,,31300.0
2002-10-08,14.2,13.9,13.56,14.2,,4950.0
2002-10-09,13.98,13.7,13.62,13.98,,11950.0
2002-10-10,14.06,14.06,13.52,13.52,,90900.0
2002-10-11,14.4,14.4,13.8,13.8,,18800.0
2002-10-14,14.18,13.82,13.78,14.1,,6550.0
2002-10-15,15.48,15.32,14.72,14.88,,149400.0
2002-10-16,15.38,15.06,15.0,15.38,,143100.0
2002-10-17,16.2,16.2,15.72,15.88,,67350.0
2002-10-18,16.8,16.76,16.38,16.8,,27100.0
2002-10-21,16.96,16.96,16.44,16.44,,110700.0
2002-10-22,15.8,15.78,15.54,15.54,,32750.0
2002-10-23,17.22,17.2,16.72,16.72,,46450.0
2002-10-24,17.24,17.24,16.72,17.22,,94700.0
2002-10-25,17.38,17.26,17.0,17.28,,21350.0
2002-10-28,17.5,17.0,17.0,17.18,,26850.0
2002-10-29,17.18,16.66,16.18,17.18,,25500.0
2002-10-30,16.98,16.98,16.24,16.24,,10450.0
2002-10-31,17.02,16.72,16.52,16.86,,1300.0
2002-11-01,17.08,17.06,16.16,16.46,,26650.0
2002-11-04,17.8,17.56,17.18,17.18,,114000.0
2002-11-05,17.22,17.2,16.92,17.16,,72850.0
2002-11-06,17.98,17.8,17.62,17.98,,84050.0
2002-11-07,17.86,17.42,17.24,17.64,,24500.0
2002-11-08,18.24,18.18,17.8,18.18,,10800.0
2002-11-11,17.76,17.2,17.02,17.76,,11450.0
2002-11-12,17.7,17.7,17.28,17.38,,10800.0
2002-11-13,17.68,17.58,17.02,17.6,,62200.0
2002-11-14,17.98,17.56,17.12,17.12,,53750.0
2002-11-15,18.88,18.8,17.8,18.18,,162950.0
2002-11-18,18.8,18.32,18.32,18.7,,232150.0
2002-11-19,18.26,17.54,17.54,18.26,,92850.0
2002-11-20,17.5,17.5,17.08,17.46,,120650.0
2002-11-21,17.6,17.54,17.02,17.04,,753550.0
2002-11-22,17.98,17.64,17.6,17.9,,169700.0
2002-11-25,17.8,17.64,17.5,17.6,,277650.0
2002-11-26,17.6,17.2,17.0,17.6,,126850.0
2002-11-27,17.56,17.56,17.22,17.38,,84950.0
2002-11-29,17.56,17.38,17.14,17.54,,1900.0
2002-12-02,17.86,17.32,17.0,17.86,,67650.0
2002-12-03,17.68,17.4,17.22,17.68,,234400.0
2002-12-04,17.16,16.82,16.72,17.16,,328550.0
2002-12-05,17.56,17.4,16.88,17.56,,17850.0
2002-12-06,17.28,17.28,17.0,17.06,,9300.0
2002-12-09,17.54,17.32,17.2,17.34,,13150.0
2002-12-10,17.54,17.38,17.24,17.52,,102950.0
2002-12-11,17.0,16.7,16.7,17.0,,62300.0
2002-12-12,16.96,16.52,16.5,16.96,,53050.0
2002-12-13,16.22,16.2,16.12,16.14,,17500.0
2002-12-16,16.8,16.42,16.34,16.44,,41050.0
2002-12-17,16.56,16.34,16.0,16.56,,67050.0
2002-12-18,16.46,15.82,15.78,16.46,,82750.0
2002-12-19,15.9,15.82,15.82,15.84,,64150.0
2002-12-20,16.58,16.2,16.1,16.58,,22000.0
2002-12-23,16.36,16.28,15.8,15.8,,16000.0
2002-12-24,16.28,16.28,15.9,16.28,,1400.0
2002-12-26,16.68,16.42,16.04,16.04,,2700.0
2002-12-27,16.36,15.6,15.52,16.36,,36700.0
2002-12-30,15.98,15.66,15.52,15.86,,9600.0
2002-12-31,16.3,16.3,15.7,15.7,,23600.0
2003-01-02,16.58,16.58,16.38,16.58,,19750.0
2003-01-03,17.18,16.6,16.58,16.6,,13950.0
2003-01-06,17.38,17.14,17.02,17.2,,8700.0
2003-01-07,17.38,17.34,16.9,17.06,,46500.0
2003-01-08,17.76,17.28,17.14,17.66,,25150.0
2003-01-09,17.94,17.94,17.4,17.5,,116400.0
2003-01-10,17.96,17.84,17.62,17.86,,71600.0
2003-01-13,18.66,18.54,18.4,18.66,,19150.0
2003-01-14,18.86,18.5,18.32,18.32,,29450.0
2003-01-15,18.48,18.3,18.02,18.14,,17000.0
2003-01-16,18.38,17.86,17.84,18.3,,13250.0
2003-01-17,17.94,17.76,17.42,17.6,,63200.0
2003-01-21,17.98,17.56,17.46,17.46,,40800.0
2003-01-22,18.3,17.9,17.8,17.82,,67250.0
2003-01-23,18.74,18.68,18.32,18.6,,111900.0
2003-01-24,18.6,17.52,17.42,18.6,,113550.0
2003-01-27,18.18,17.7,17.4,17.42,,210450.0
2003-01-28,18.2,18.18,17.58,18.08,,21650.0
2003-01-29,18.06,17.94,17.7,18.06,,560050.0
2003-01-30,18.38,17.7,17.7,18.02,,209650.0
2003-01-31,17.88,17.82,17.62,17.7,,37150.0
2003-02-03,18.0,18.0,17.52,17.7,,16600.0
2003-02-04,18.0,17.88,17.4,18.0,,2100.0
2003-02-05,18.02,18.02,17.62,17.98,,250.0
2003-02-06,17.08,16.76,16.74,16.74,,79250.0
2003-02-07,16.7,16.6,16.32,16.7,,80900.0
2003-02-10,16.48,16.36,16.22,16.48,,74400.0
2003-02-11,16.5,16.4,16.32,16.36,,89300.0
2003-02-12,16.44,16.24,16.24,16.44,,35400.0
2003-02-13,16.22,15.76,15.72,16.22,,83800.0
2003-02-14,16.38,16.14,15.42,15.42,,83600.0
2003-02-18,16.7,16.58,16.2,16.68,,102500.0
2003-02-19,16.38,16.16,15.92,16.38,,36000.0
2003-02-20,16.22,16.22,16.0,16.04,,219050.0
2003-02-21,16.2,16.2,15.86,16.0,,26900.0
2003-02-24,16.3,16.18,16.06,16.06,,183450.0
2003-02-25,15.8,15.8,15.44,15.78,,203700.0
2003-02-26,15.9,15.6,15.58,15.88,,58000.0
2003-02-27,15.8,15.7,15.52,15.8,,61200.0
2003-02-28,16.14,16.1,15.44,15.44,,84750.0
2003-03-03,16.26,15.98,15.74,16.26,,33500.0
2003-03-04,16.16,15.42,15.42,16.0,,28600.0
2003-03-05,15.88,15.78,15.32,15.42,,155750.0
2003-03-06,15.62,15.5,15.32,15.38,,259050.0
2003-03-07,15.7,15.7,15.1,15.36,,70250.0
2003-03-10,15.28,15.18,15.04,15.04,,11800.0
2003-03-11,15.3,15.22,15.12,15.12,,73750.0
2003-03-12,15.62,15.52,15.22,15.34,,57950.0
2003-03-13,16.36,16.36,15.68,15.82,,117850.0
2003-03-14,16.38,16.16,16.08,16.38,,81200.0
2003-03-17,16.4,16.22,15.94,15.94,,225000.0
2003-03-18,16.88,16.54,16.32,16.88,,153800.0
2003-03-19,16.68,16.3,16.2,16.68,,85100.0
2003-03-20,17.1,17.08,16.5,16.5,,67600.0
2003-03-21,17.26,17.24,16.7,17.1,,35300.0
2003-03-24,16.6,15.88,15.8,16.6,,32700.0
2003-03-25,16.56,16.12,15.92,15.92,,418450.0
2003-03-26,16.38,16.24,16.04,16.2,,104200.0
2003-03-27,16.36,16.08,16.06,16.36,,8650.0
2003-03-28,16.36,16.18,15.94,16.08,,38050.0
2003-03-31,15.68,15.58,15.2,15.68,,38800.0
2003-04-01,15.9,15.9,15.34,15.68,,73100.0
2003-04-02,15.94,15.9,15.6,15.88,,109150.0
2003-04-03,15.88,15.52,15.5,15.88,,184150.0
2003-04-04,16.18,16.08,15.96,16.04,,36100.0
2003-04-07,16.96,16.4,16.22,16.88,,91050.0
2003-04-08,16.58,16.04,16.04,16.58,,4650.0
2003-04-09,16.5,16.1,16.0,16.28,,43000.0
2003-04-10,16.78,16.4,16.14,16.78,,71350.0
2003-04-11,16.84,16.42,16.14,16.14,,74100.0
2003-04-14,16.42,16.42,15.8,16.0,,35350.0
2003-04-15,16.64,16.36,16.12,16.64,,11350.0
2003-04-16,16.66,16.44,16.42,16.66,,44900.0
2003-04-17,16.8,16.8,16.26,16.38,,39000.0
2003-04-21,16.84,16.82,16.62,16.62,,13200.0
2003-04-22,16.6,16.58,16.32,16.5,,29000.0
2003-04-23,16.74,16.44,16.32,16.74,,33050.0
2003-04-24,15.7,15.28,15.28,15.64,,180950.0
2003-04-25,15.02,14.74,14.74,14.98,,46300.0
2003-04-28,15.28,15.14,14.68,14.68,,80150.0
2003-04-29,15.58,15.46,15.2,15.2,,460300.0
2003-04-30,15.48,15.12,15.06,15.12,,51000.0
2003-05-01,15.3,15.14,15.0,15.3,,73350.0
2003-05-02,15.6,15.5,15.04,15.3,,411100.0
2003-05-05,15.6,15.42,15.22,15.5,,71250.0
2003-05-06,15.8,15.66,15.4,15.7,,368400.0
2003-05-07,15.7,15.66,15.42,15.7,,34900.0
2003-05-08,15.36,15.26,15.18,15.2,,78200.0
2003-05-09,15.8,15.74,15.38,15.38,,96000.0
2003-05-12,16.1,15.96,15.72,15.72,,202950.0
2003-05-13,16.28,16.1,15.92,16.28,,93500.0
2003-05-14,16.46,15.96,15.88,16.46,,128150.0
2003-05-15,16.3,16.24,15.92,16.3,,188550.0
2003-05-16,16.06,15.74,15.64,16.06,,56300.0
2003-05-19,15.68,15.36,15.36,15.62,,98400.0
