Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,29.32,29.32,29.0,29.2,,7100.0
2002-01-03,29.66,29.6,29.14,29.14,,41650.0
2002-01-04,29.92,29.66,29.52,29.92,,31250.0
2002-01-07,29.66,29.24,29.24,29.66,,3600.0
2002-01-08,29.38,29.06,29.06,29.38,,7050.0
2002-01-09,29.2,28.84,28.82,29.2,,15000.0
2002-01-10,29.02,28.72,28.68,28.78,,39050.0
2002-01-11,29.2,28.86,28.8,28.84,,10700.0
2002-01-14,28.88,28.44,28.44,28.8,,4650.0
2002-01-15,28.88,28.72,28.44,28.54,,131550.0
2002-01-16,28.58,28.32,28.22,28.26,,13500.0
2002-01-17,28.74,28.38,28.38,28.74,,25500.0
2002-01-18,28.54,28.44,28.3,28.32,,14450.0
2002-01-22,28.66,28.2,28.18,28.46,,8000.0
2002-01-23,28.62,28.48,28.4,28.6,,54400.0
2002-01-24,28.7,28.58,28.56,28.62,,23000.0
2002-01-25,28.38,28.28,28.08,28.28,,60350.0
2002-01-28,28.42,28.38,28.16,28.16,,11150.0
2002-01-29,28.3,28.0,27.6,28.16,,22700.0
2002-01-30,28.2,28.2,27.42,28.06,,138400.0
2002-01-31,28.48,28.34,28.16,28.28,,123600.0
2002-02-01,28.66,28.32,28.16,28.66,,32250.0
2002-02-04,28.56,28.18,28.16,28.56,,35450.0
2002-02-05,28.24,27.9,27.8,27.8,,16800.0
2002-02-06,27.98,27.86,27.6,27.9,,64900.0
2002-02-07,28.38,28.28,27.82,27.88,,21050.0
2002-02-08,28.26,28.02,27.88,28.26,,5800.0
2002-02-11,28.46,28.46,28.1,28.46,,21050.0
2002-02-12,28.58,28.4,28.3,28.32,,10500.0
2002-02-13,28.46,28.46,28.34,28.34,,7600.0
2002-02-14,28.82,28.38,28.38,28.48,,22850.0
2002-02-15,28.82,28.4,28.36,28.82,,2550.0
2002-02-19,28.24,28.02,28.02,28.24,,33750.0
2002-02-20,28.2,27.96,27.62,28.0,,19150.0
2002-02-21,28.06,27.92,27.68,27.68,,12100.0
2002-02-22,28.1,28.1,27.7,27.86,,17850.0
2002-02-25,28.18,28.12,28.04,28.06,,38200.0
2002-02-26,28.42,28.24,28.12,28.2,,7050.0
2002-02-27,28.6,28.2,28.14,28.4,,13500.0
2002-02-28,28.3,27.88,27.82,28.1,,13600.0
2002-03-01,28.6,28.58,28.34,28.34,,14800.0
2002-03-04,29.28,29.1,28.58,28.58,,27650.0
2002-03-05,28.98,28.86,28.78,28.82,,12200.0
2002-03-06,29.1,29.1,28.6,28.6,,29850.0
2002-03-07,29.58,29.34,29.12,29.32,,30650.0
2002-03-08,29.6,29.28,29.12,29.6,,21950.0
2002-03-11,29.3,29.3,28.94,29.26,,6850.0
