Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,18.67,18.43,18.4,18.67,,131500
2002-01-03,18.85,18.69,18.5,18.85,,107400
2002-01-04,19.74,19.57,19.41,19.7,,126400
2002-01-07,19.6,19.32,19.2,19.2,,88200
2002-01-08,19.07,18.99,18.51,18.51,,192200
2002-01-09,19.64,19.39,19.3,19.35,,44500
2002-01-10,18.89,18.64,18.33,18.85,,58000
2002-01-11,18.6,18.49,18.42,18.44,,84700
2002-01-14,19.19,19.03,18.96,19.0,,107600
2002-01-15,18.7,18.55,18.36,18.7,,176500
2002-01-16,18.4,18.0,18.0,18.4,,65600
2002-01-17,18.44,18.33,18.15,18.15,,34300
2002-01-18,18.25,18.1,18.04,18.25,,107100
2002-01-22,18.49,18.29,18.25,18.45,,31100
2002-01-23,18.95,18.74,18.7,18.95,,60500
2002-01-24,19.42,19.34,19.25,19.41,,39100
2002-01-25,19.89,19.79,19.45,19.48,,67900
2002-01-28,20.24,20.12,20.05,20.15,,37800
2002-01-29,19.73,19.43,19.41,19.66,,87800
2002-01-30,19.42,19.34,18.76,19.28,,125300
2002-01-31,19.25,19.19,18.98,19.25,,71200
2002-02-01,19.06,18.97,18.8,18.8,,15600
2002-02-04,18.77,18.36,18.35,18.73,,610100
2002-02-05,18.89,18.83,18.75,18.75,,42700
2002-02-06,18.95,18.9,18.71,18.9,,118500
2002-02-07,18.9,18.6,18.56,18.9,,54000
2002-02-08,19.1,18.93,18.83,19.1,,15000
2002-02-11,19.29,19.18,19.0,19.25,,16000
2002-02-12,19.38,19.11,19.09,19.38,,7600
2002-02-13,19.35,19.3,19.11,19.35,,14700
2002-02-14,20.8,20.55,20.43,20.8,,40400
2002-02-15,20.24,20.05,20.03,20.24,,169200
2002-02-19,20.1,19.92,19.86,19.95,,67400
2002-02-20,20.34,20.15,19.83,19.95,,125700
2002-02-21,20.3,20.1,20.05,20.05,,23400
2002-02-22,20.65,20.65,20.2,20.3,,115100
2002-02-25,20.94,20.94,20.51,20.64,,33500
2002-02-26,21.04,20.99,20.65,21.0,,120500
2002-02-27,21.65,21.21,21.21,21.6,,31700
2002-02-28,21.39,21.28,21.19,21.35,,27800
2002-03-01,21.8,21.8,21.01,21.05,,145500
2002-03-04,22.0,21.93,21.56,21.8,,120700
2002-03-05,22.23,21.74,21.74,22.2,,104500
2002-03-06,22.1,21.98,21.74,21.74,,62900
2002-03-07,21.74,21.54,21.35,21.35,,48400
2002-03-08,21.6,21.51,21.51,21.59,,63100
2002-03-11,21.63,21.55,21.37,21.5,,58700
2002-03-12,22.25,21.9,21.87,21.96,,55900
2002-03-13,22.12,21.91,21.91,22.1,,96800
2002-03-14,22.29,22.26,22.05,22.14,,563100
2002-03-15,22.45,22.42,22.11,22.3,,153200
2002-03-18,22.7,22.44,22.38,22.68,,99600
2002-03-19,23.19,23.15,22.97,22.97,,93600
2002-03-20,23.19,22.3,22.3,23.15,,181200
2002-03-21,22.85,22.4,22.3,22.85,,116200
2002-03-22,23.04,22.78,22.71,22.96,,99300
2002-03-25,22.79,22.25,22.25,22.75,,399900
2002-03-26,22.7,22.59,22.41,22.7,,53100
2002-03-27,23.35,23.19,23.0,23.05,,62600
2002-03-28,23.2,22.95,22.9,23.0,,192100
2002-04-01,22.8,22.56,22.25,22.8,,166100
2002-04-02,23.35,23.02,23.02,23.15,,131400
2002-04-03,23.9,23.15,23.1,23.9,,65500
2002-04-04,23.47,23.29,23.11,23.11,,62000
2002-04-05,23.75,23.53,23.4,23.75,,80000
2002-04-08,22.99,22.81,22.45,22.7,,172600
2002-04-09,22.67,21.92,21.61,22.5,,143500
2002-04-10,21.69,21.49,20.6,21.69,,321100
2002-04-11,21.48,21.1,21.1,21.32,,265400
2002-04-12,21.85,21.75,21.58,21.58,,72800
2002-04-15,22.8,22.63,22.5,22.75,,67800
2002-04-16,23.45,23.45,22.85,22.85,,162500
2002-04-17,24.4,24.2,24.0,24.4,,96100
2002-04-18,24.6,24.0,23.76,24.49,,108300
2002-04-19,24.59,23.91,23.8,24.59,,176700
2002-04-22,24.35,23.66,23.61,24.35,,88000
2002-04-23,24.39,24.3,24.11,24.35,,58800
2002-04-24,24.49,24.2,24.05,24.49,,357900
2002-04-25,23.44,23.35,22.7,22.7,,272200
2002-04-26,23.29,23.0,22.75,23.01,,166700
2002-04-29,21.95,21.78,21.55,21.7,,243800
2002-04-30,22.54,22.54,22.0,22.0,,160900
2002-05-01,22.6,22.45,22.0,22.6,,184300
2002-05-02,22.9,22.74,22.61,22.61,,52200
2002-05-03,22.65,22.5,22.37,22.51,,55800
2002-05-06,21.6,21.04,20.8,21.49,,98300
2002-05-07,21.89,21.7,21.25,21.25,,159400
2002-05-08,23.34,23.34,22.65,22.65,,276400
2002-05-09,23.09,22.85,22.6,22.6,,296500
2002-05-10,22.34,21.72,21.7,22.2,,116600
2002-05-13,22.58,22.15,22.11,22.3,,145100
2002-05-14,22.99,22.94,22.56,22.99,,54800
2002-05-15,23.5,23.32,22.98,23.0,,87700
2002-05-16,23.49,23.3,23.2,23.2,,85900
2002-05-17,24.37,24.28,23.7,23.7,,99800
2002-05-20,24.5,23.75,23.68,24.36,,53100
2002-05-21,23.5,22.91,22.9,23.26,,53000
2002-05-22,23.85,23.79,23.7,23.85,,47600
2002-05-23,23.9,23.71,23.5,23.7,,92500
2002-05-24,24.14,23.89,23.8,24.0,,42000
2002-05-28,24.2,24.08,23.9,24.0,,127700
2002-05-29,23.9,23.66,23.66,23.9,,45800
2002-05-30,23.54,23.36,23.2,23.5,,28900
2002-05-31,23.13,23.03,22.92,23.05,,133900
2002-06-03,23.24,22.59,22.58,23.2,,62000
2002-06-04,23.46,23.43,23.22,23.46,,137900
2002-06-05,23.72,23.6,23.37,23.37,,93500
2002-06-06,23.58,23.2,23.01,23.55,,34800
2002-06-07,23.19,22.93,22.79,23.19,,155800
2002-06-10,23.5,23.49,23.31,23.4,,27900
2002-06-11,24.13,23.41,23.41,23.75,,151400
2002-06-12,23.84,23.84,23.51,23.75,,92300
2002-06-13,23.83,23.65,23.56,23.65,,23900
2002-06-14,23.3,23.07,22.91,23.3,,40900
2002-06-17,23.58,23.54,23.13,23.13,,125700
2002-06-18,23.74,23.74,23.21,23.48,,37400
2002-06-19,22.5,22.13,21.82,22.5,,292300
2002-06-20,22.58,22.35,22.15,22.15,,150700
2002-06-21,22.6,22.06,21.97,22.5,,48600
2002-06-24,22.64,22.64,22.2,22.2,,154200
2002-06-25,22.29,21.85,21.7,22.2,,41700
2002-06-26,20.99,20.99,20.35,20.45,,171200
2002-06-27,21.3,21.3,20.77,21.15,,240400
2002-06-28,22.0,21.89,21.77,21.84,,104600
2002-07-01,21.7,21.42,21.41,21.7,,40200
2002-07-02,21.9,21.04,21.03,21.9,,260500
2002-07-03,21.84,21.57,21.22,21.69,,71600
2002-07-05,23.44,23.34,22.82,22.82,,183200
2002-07-08,23.3,23.12,22.72,22.95,,122700
2002-07-09,23.89,23.61,23.56,23.75,,122400
2002-07-10,23.72,23.35,23.11,23.6,,107900
2002-07-11,23.05,23.03,22.41,22.7,,118000
2002-07-12,23.69,23.32,23.31,23.6,,59100
2002-07-15,23.78,23.2,22.67,23.3,,91900
2002-07-16,23.19,22.5,22.5,22.65,,160400
2002-07-17,23.19,22.85,22.6,22.75,,43300
2002-07-18,22.99,22.74,22.51,22.78,,11800
2002-07-19,22.3,21.86,21.85,22.05,,92300
2002-07-22,21.68,21.0,20.81,21.68,,134600
2002-07-23,22.18,21.7,21.55,22.18,,106900
2002-07-24,22.44,22.4,21.0,21.12,,179000
2002-07-25,21.8,20.94,20.94,21.27,,458300
2002-07-26,20.5,20.15,19.72,20.5,,100900
2002-07-29,21.06,21.06,20.0,20.35,,145900
2002-07-30,21.03,20.94,20.6,21.0,,172200
2002-07-31,20.75,20.25,20.1,20.65,,264700
2002-08-01,20.58,19.96,19.91,20.58,,59300
2002-08-02,20.26,19.65,19.5,20.0,,44200
2002-08-05,19.5,18.76,18.72,19.0,,169700
2002-08-06,19.68,19.38,19.05,19.05,,68700
2002-08-07,19.6,19.6,19.11,19.4,,71400
2002-08-08,20.14,20.09,19.5,19.5,,43000
2002-08-09,19.95,19.71,19.56,19.8,,48700
2002-08-12,19.9,19.62,19.55,19.9,,63900
2002-08-13,20.29,20.08,20.0,20.05,,49900
2002-08-14,21.09,21.09,20.51,20.75,,27100
2002-08-15,21.39,20.91,20.9,21.2,,27400
2002-08-16,21.05,20.77,20.76,20.9,,83800
2002-08-19,21.05,21.05,20.71,20.9,,18500
2002-08-20,21.34,21.16,21.11,21.11,,17500
2002-08-21,22.05,21.99,21.71,21.8,,24600
2002-08-22,21.85,21.63,21.51,21.85,,37200
2002-08-23,21.5,21.06,21.06,21.5,,17400
2002-08-26,21.22,21.22,20.91,21.03,,8500
2002-08-27,21.2,20.71,20.71,21.2,,5800
2002-08-28,20.79,20.35,20.23,20.71,,22700
2002-08-29,20.6,20.6,20.4,20.4,,45200
2002-08-30,21.18,21.04,20.7,20.7,,12300
2002-09-03,21.04,20.84,20.62,20.85,,79600
2002-09-04,20.96,20.81,20.72,20.8,,29100
2002-09-05,20.93,20.65,20.52,20.87,,25200
2002-09-06,20.7,20.65,20.47,20.6,,171200
2002-09-09,20.35,20.25,20.05,20.3,,23800
2002-09-10,20.79,20.72,20.67,20.76,,38700
2002-09-11,21.33,20.97,20.91,21.25,,17400
2002-09-12,21.28,20.91,20.9,21.28,,96400
2002-09-13,20.93,20.69,20.5,20.93,,25000
2002-09-16,20.2,19.99,19.66,20.2,,17900
2002-09-17,20.41,20.11,20.11,20.35,,75500
2002-09-18,20.3,20.2,20.01,20.2,,17000
2002-09-19,20.25,20.0,20.0,20.0,,52600
2002-09-20,20.2,19.96,19.78,19.97,,63500
2002-09-23,19.44,18.71,18.65,19.4,,33800
2002-09-24,18.84,18.52,18.42,18.67,,33300
2002-09-25,19.08,18.96,18.26,18.26,,93400
2002-09-26,19.0,18.95,18.75,18.95,,77000
2002-09-27,18.56,18.35,18.35,18.5,,46700
2002-09-30,17.9,17.51,17.43,17.9,,57500
2002-10-01,18.45,18.43,17.98,18.2,,35600
2002-10-02,18.4,17.96,17.96,18.2,,58000
2002-10-03,18.25,17.75,17.75,17.82,,27000
2002-10-04,18.34,17.66,17.58,18.15,,39200
2002-10-07,17.5,17.13,17.11,17.5,,18600
2002-10-08,17.64,17.49,17.25,17.37,,21000
2002-10-09,16.98,16.53,16.53,16.86,,44000
2002-10-10,16.54,16.42,15.61,16.0,,140800
2002-10-11,16.83,16.81,16.31,16.4,,43200
2002-10-14,16.93,16.75,16.71,16.75,,55800
2002-10-15,18.09,18.08,17.37,17.6,,421500
2002-10-16,17.79,17.5,17.4,17.72,,200600
2002-10-17,18.49,18.41,18.15,18.45,,61900
2002-10-18,19.05,18.81,18.79,19.02,,90200
2002-10-21,18.83,18.7,18.4,18.64,,56800
2002-10-22,18.04,17.82,17.76,17.8,,11500
2002-10-23,18.64,18.49,18.21,18.46,,130500
2002-10-24,18.73,18.3,18.3,18.73,,317900
2002-10-25,18.68,18.57,18.18,18.59,,21000
2002-10-28,19.68,19.01,19.0,19.68,,24100
2002-10-29,19.45,19.06,18.75,19.45,,65700
2002-10-30,18.94,18.86,18.53,18.54,,48700
2002-10-31,18.84,18.84,18.73,18.73,,7800
2002-11-01,18.71,18.54,18.4,18.5,,13500
2002-11-04,19.79,19.56,19.54,19.54,,71500
2002-11-05,19.59,19.59,19.16,19.16,,110300
2002-11-06,19.66,19.3,19.01,19.65,,580200
2002-11-07,19.79,19.75,19.32,19.5,,684500
2002-11-08,19.9,19.9,19.81,19.81,,776900
2002-11-11,19.6,19.45,19.35,19.4,,550100
2002-11-12,19.49,19.32,19.21,19.31,,34000
2002-11-13,19.64,19.47,19.3,19.53,,272600
2002-11-14,19.5,19.49,19.18,19.5,,31100
2002-11-15,19.98,19.77,19.76,19.98,,15200
2002-11-18,20.03,19.41,19.41,20.03,,17500
2002-11-19,19.8,19.53,19.46,19.8,,28600
2002-11-20,19.99,19.99,19.53,19.53,,397400
2002-11-21,20.45,20.21,19.83,19.83,,71300
2002-11-22,20.74,20.74,20.38,20.38,,131400
2002-11-25,20.74,20.74,20.61,20.72,,41700
2002-11-26,20.68,20.26,20.26,20.53,,22000
2002-11-27,21.39,21.3,20.92,20.92,,344800
2002-11-29,21.7,21.2,21.2,21.68,,136700
2002-12-02,22.1,21.32,21.21,21.66,,589600
2002-12-03,21.45,21.18,21.02,21.45,,1012400
2002-12-04,20.79,20.05,20.04,20.58,,659000
2002-12-05,20.68,20.34,20.11,20.68,,186100
2002-12-06,20.3,20.3,20.1,20.1,,170100
2002-12-09,20.25,19.7,19.66,20.23,,78800
2002-12-10,20.08,20.08,19.65,19.89,,112500
2002-12-11,20.19,19.94,19.9,19.9,,46300
2002-12-12,20.46,20.31,20.15,20.25,,23600
2002-12-13,20.29,20.28,20.1,20.18,,260100
2002-12-16,20.26,20.26,19.72,19.72,,88700
2002-12-17,20.4,20.33,20.09,20.24,,134400
2002-12-18,20.4,20.09,20.0,20.16,,43200
2002-12-19,20.3,20.11,20.04,20.1,,104900
2002-12-20,20.39,20.29,20.15,20.3,,28000
2002-12-23,20.0,19.79,19.55,19.9,,26400
2002-12-24,19.45,19.2,19.1,19.45,,31700
2002-12-26,19.15,19.02,18.92,18.92,,21400
2002-12-27,18.85,18.33,18.01,18.77,,60000
2002-12-30,18.4,18.38,17.73,18.0,,234400
2002-12-31,18.54,18.35,18.15,18.22,,50400
2003-01-02,18.99,18.78,18.46,18.69,,32900
2003-01-03,19.74,19.65,19.11,19.5,,290800
2003-01-06,20.19,20.19,19.62,19.81,,40300
2003-01-07,19.63,19.45,19.1,19.48,,81300
2003-01-08,19.35,19.15,19.15,19.35,,65300
2003-01-09,19.15,19.15,18.81,18.99,,73200
2003-01-10,18.84,18.77,18.45,18.82,,94600
2003-01-13,19.59,19.38,19.06,19.06,,65500
2003-01-14,19.73,19.69,19.37,19.42,,22700
2003-01-15,19.49,19.1,19.08,19.48,,157600
2003-01-16,19.49,19.32,19.11,19.21,,38300
2003-01-17,18.85,18.68,18.5,18.5,,459200
2003-01-21,18.9,18.78,18.5,18.61,,63800
2003-01-22,18.75,18.4,18.25,18.6,,173600
2003-01-23,19.01,19.01,18.45,18.62,,85600
2003-01-24,18.21,17.81,17.8,18.2,,259800
2003-01-27,17.8,17.5,17.41,17.8,,375700
2003-01-28,18.24,18.24,17.61,17.61,,84900
2003-01-29,17.78,17.6,17.32,17.5,,177200
2003-01-30,18.04,17.36,17.36,17.98,,267600
2003-01-31,17.63,17.63,17.42,17.45,,75100
2003-02-03,18.07,18.07,17.6,17.6,,69400
2003-02-04,17.89,17.66,17.64,17.71,,5300
2003-02-05,18.19,17.8,17.67,17.89,,152000
2003-02-06,17.58,17.4,17.15,17.58,,117400
2003-02-07,17.2,16.97,16.85,17.2,,19000
2003-02-10,17.31,16.99,16.82,17.02,,59600
2003-02-11,16.87,16.58,16.51,16.8,,101800
2003-02-12,17.17,16.92,16.81,16.92,,115800
2003-02-13,16.8,16.6,16.57,16.57,,150200
2003-02-14,17.01,17.01,16.62,16.74,,10100
2003-02-18,17.97,17.61,17.56,17.56,,37300
