Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,13.17,12.96,12.93,13.1,,51900
2002-01-03,13.45,13.29,13.2,13.35,,72400
2002-01-04,13.35,13.19,13.19,13.3,,16100
2002-01-07,13.05,13.05,12.86,12.86,,38400
2002-01-08,13.13,12.99,12.99,13.0,,36200
2002-01-09,12.88,12.8,12.6,12.75,,21600
2002-01-10,12.51,11.91,11.91,12.5,,65700
2002-01-11,12.5,12.32,12.09,12.5,,95100
2002-01-14,11.96,11.7,11.7,11.8,,42700
2002-01-15,12.0,11.75,11.75,12.0,,5700
2002-01-16,12.01,11.87,11.82,11.82,,34900
2002-01-17,12.25,12.14,11.93,12.25,,1037800
2002-01-18,12.3,12.29,12.21,12.21,,4600
2002-01-22,12.09,12.01,12.01,12.09,,500
2002-01-23,12.0,11.97,11.94,12.0,,8200
2002-01-24,12.03,11.94,11.94,12.0,,10900
2002-01-25,11.99,11.98,11.71,11.75,,20300
2002-01-28,11.8,11.8,11.72,11.74,,800
2002-01-29,11.89,11.49,11.31,11.89,,14700
2002-01-30,11.6,11.49,11.17,11.6,,19900
2002-01-31,11.58,11.55,11.55,11.58,,3900
2002-02-01,11.69,11.57,11.5,11.5,,3800
2002-02-04,12.5,11.42,11.28,11.57,,10900
2002-02-05,11.54,11.52,11.52,11.54,,1700
2002-02-06,11.7,11.6,11.53,11.53,,4600
2002-02-07,11.6,11.5,11.42,11.6,,10800
2002-02-08,11.55,11.41,11.41,11.55,,1400
2002-02-11,11.6,11.5,11.5,11.6,,1500
2002-02-12,11.61,11.52,11.51,11.51,,47500
2002-02-13,12.0,12.0,11.66,11.66,,13500
2002-02-14,12.14,12.14,11.7,11.72,,12600
2002-02-15,12.2,12.15,12.0,12.0,,48200
2002-02-19,12.15,11.99,11.99,12.1,,208900
2002-02-20,12.26,12.19,11.84,12.04,,49200
2002-02-21,12.39,12.34,12.24,12.33,,19800
2002-02-22,12.61,12.6,12.3,12.55,,117800
2002-02-25,13.1,13.1,12.77,12.8,,135000
2002-02-26,13.1,12.91,12.91,13.1,,112500
2002-02-27,13.5,13.5,13.01,13.2,,257300
2002-02-28,13.7,13.65,13.4,13.5,,1579300
2002-03-01,13.94,13.94,13.58,13.7,,1123300
2002-03-04,14.0,14.0,13.5,13.91,,898300
2002-03-05,14.25,13.5,13.31,14.25,,208700
2002-03-06,13.15,12.95,12.81,13.15,,1029400
