Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-10-07,105.0,100.5,91.56,105.0,134717,107924250
2020-10-08,101.0,100.5,98.3,100.5,31771,11659760
2020-10-09,103.29,103.0,100.13,100.5,36268,31768490
2020-10-12,104.5,103.55,103.01,103.48,19209,12910790
2020-10-13,103.92,103.2,102.12,103.88,13737,5578480
2020-10-14,103.39,103.0,102.5,103.39,6915,1722660
2020-10-15,103.0,100.26,100.06,103.0,12314,4051740
2020-10-16,101.93,100.47,100.06,100.88,9841,1968440
2020-10-19,101.25,100.4,100.27,100.65,4765,711900
2020-10-20,100.54,100.07,100.0,100.4,6093,2069910
2020-10-21,100.48,98.59,98.4,100.14,13056,2769680
2020-10-22,98.5,96.5,95.5,98.5,19110,4005500
2020-10-23,96.71,96.31,95.6,96.5,10019,1920230
2020-10-26,99.57,99.1,95.51,96.16,11744,2361110
2020-10-27,99.53,98.6,97.95,99.1,8798,2017230
2020-10-28,98.59,97.3,95.5,96.7,6965,2414320
2020-10-29,98.4,97.89,97.0,97.3,4039,662250
2020-10-30,98.2,98.09,97.0,98.1,2512,434390
2020-11-02,98.35,97.96,97.0,98.15,3400,698010
2020-11-03,98.34,97.31,97.25,98.14,3873,724480
2020-11-05,98.43,97.55,97.5,97.6,4982,954780
2020-11-06,97.8,97.03,96.56,97.8,4094,803300
2020-11-09,97.86,96.65,96.65,97.07,9324,1474070
2020-11-10,97.0,96.8,96.5,96.97,5886,1007000
2020-11-11,97.72,96.67,96.56,97.0,5382,847030
2020-11-12,97.48,96.57,96.52,97.05,5306,911950
2020-11-13,96.9,96.59,96.51,96.52,5634,1004620
2020-11-16,98.47,97.7,96.66,96.89,7185,2159810
2020-11-17,100.87,97.77,97.7,98.01,25704,7456310
2020-11-18,99.29,95.98,95.9,97.77,20033,5666060
2020-11-19,97.0,96.9,96.0,96.2,6422,1210850
2020-11-20,99.0,97.51,96.68,97.0,7008,1333230
2020-11-23,98.27,97.52,97.3,97.55,4812,662600
2020-11-24,97.89,97.31,97.11,97.52,4762,712780
2020-11-25,97.73,97.45,97.01,97.3,4124,908280
2020-11-26,97.69,97.41,97.01,97.45,5155,826740
2020-11-27,97.71,97.19,97.01,97.41,4739,512520
2020-11-30,97.47,96.29,96.27,97.47,6414,1170450
2020-12-01,97.17,96.9,96.41,96.5,5146,1009380
2020-12-02,97.0,96.75,96.57,96.9,4072,1264290
2020-12-03,97.06,96.95,96.75,97.0,3227,1050410
2020-12-04,97.43,96.98,96.76,97.0,2975,754020
2020-12-07,97.2,96.16,96.1,97.2,7234,1553230
2020-12-08,96.79,96.11,96.01,96.2,4910,1063620
2020-12-09,96.68,96.1,96.05,96.68,5055,1072180
2020-12-10,96.24,95.89,95.77,96.1,6229,1122130
2020-12-11,96.04,95.76,95.69,95.71,5520,912870
2020-12-14,96.1,95.02,95.02,95.8,7872,1598660
2020-12-15,95.72,94.85,94.5,95.55,7004,1494110
2020-12-16,95.02,94.48,94.31,95.0,5816,986780
2020-12-17,94.93,93.69,93.26,94.7,9789,1788680
2020-12-18,94.0,93.45,92.98,94.0,6673,1820280
2020-12-21,93.69,92.57,92.55,93.6,6926,1361160
2020-12-22,93.02,92.7,92.05,92.57,8333,1975480
2020-12-23,93.18,92.0,91.6,93.0,9915,3347940
2020-12-24,92.38,90.9,90.16,92.08,11335,3058570
2020-12-25,92.87,92.0,90.0,90.53,8267,2889090
2020-12-28,92.63,90.61,90.45,92.5,11049,4751650
2020-12-29,91.18,90.54,90.51,90.95,9055,2015250
2020-12-30,91.37,90.58,90.09,90.51,9453,2719270
2021-01-04,92.65,92.1,90.7,90.7,7007,1343420
2021-01-05,93.58,93.58,91.81,92.1,12560,2181120
2021-01-06,94.5,93.3,93.13,93.9,14977,2793320
2021-01-08,94.85,93.5,93.5,93.58,17576,3100240
2021-01-11,94.33,93.59,93.16,93.5,12333,2063830
2021-01-12,94.2,92.27,92.0,93.6,8576,1592430
2021-01-13,93.33,92.6,92.3,92.46,13074,2677400
2021-01-14,92.99,92.49,92.41,92.99,4849,666870
