Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-05-22,37.29,37.23,35.87,36.52,,197100
2006-05-23,39.22,37.96,37.75,37.75,,620900
2006-05-24,37.57,36.52,35.87,37.13,,638600
2006-05-25,38.32,38.32,36.98,37.18,,367000
2006-05-26,38.74,38.5504,37.7703,38.74,,269400
2006-05-30,39.72,38.17,38.11,39.5,,559100
2006-05-31,39.13,38.85,38.12,38.9,,350700
2006-06-01,38.58,38.53,37.17,37.2,,641300
2006-06-02,39.39,39.13,38.8,39.31,,277300
2006-06-05,40.27,38.13,38.095,40.27,,436000
2006-06-06,38.03,37.01,36.716,38.03,,663600
2006-06-07,37.55,36.14,35.82,36.31,,484100
2006-06-08,35.38,35.27,33.62,35.27,,812800
2006-06-09,36.19,35.07,34.86,35.75,,542200
2006-06-12,35.63,33.78,33.76,35.48,,584700
2006-06-13,33.15,32.2,31.82,32.66,,1580900
2006-06-14,33.5,33.03,32.25,32.85,,646800
2006-06-15,35.05,34.94,34.0,34.4,,882200
2006-06-16,35.0,34.57,34.3,35.0,,602300
2006-06-19,34.47,33.6,33.57,34.17,,366100
2006-06-20,34.73,34.34,33.6,33.91,,388500
2006-06-21,36.04,35.86,34.6,34.6,,551000
2006-06-22,36.21,35.64,35.17,36.0,,590000
2006-06-23,36.5,36.28,35.15,35.17,,467800
2006-06-26,36.8,36.63,36.15,36.62,,301500
2006-06-27,37.05,35.48,35.48,36.97,,470200
2006-06-28,35.93,35.31,35.0,35.7,,415200
2006-06-29,37.96,37.96,35.94,35.95,,588500
2006-06-30,39.06,38.7,38.32,38.7,,1069400
2006-07-03,40.23,40.23,39.32,39.4,,561200
2006-07-05,40.46,39.37,38.85,40.1,,685600
2006-07-06,39.99,39.73,39.04,39.5,,411100
2006-07-07,39.88,39.03,38.95,39.68,,500500
2006-07-10,39.13,38.67,38.25,38.39,,401400
2006-07-11,39.76,39.76,38.79,39.03,,512700
2006-07-12,40.46,39.49,39.37,40.11,,519500
2006-07-13,39.5,38.33,38.28,39.48,,647900
