Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-04-11,104.39,104.35,104.35,104.35,,1900
2007-04-12,104.42,104.42,104.35,104.42,,6100
2007-04-13,104.49,104.23,104.23,104.39,,3400
2007-04-16,104.27,104.19,104.1458,104.27,,7600
2007-04-17,104.4,104.14,104.14,104.15,,28100
2007-04-18,104.27,104.17,104.15,104.19,,6300
2007-04-19,104.57,104.53,104.06,104.2,,47500
2007-04-20,104.54,104.466,104.45,104.54,,4900
2007-04-23,104.66,104.53,104.45,104.59,,1700
2007-04-24,105.31,105.25,104.42,104.59,,398500
2007-04-25,105.41,105.41,105.28,105.28,,16300
2007-04-26,105.6,105.6,105.29,105.43,,48200
2007-04-27,105.6,105.6,105.51,105.51,,8300
2007-04-30,105.63,105.61,105.33,105.56,,15500
2007-05-01,105.43,105.33,105.27,105.27,,8600
2007-05-02,105.39,105.29,105.2,105.35,,4700
2007-05-03,105.48,105.3,105.2,105.37,,17400
2007-05-04,105.44,105.43,105.21,105.35,,4600
2007-05-07,105.42,105.42,105.3,105.32,,4200
2007-05-08,105.55,105.5,105.446,105.54,,16100
2007-05-09,105.6,105.22,105.16,105.59,,9400
2007-05-10,105.81,105.6,105.51,105.7,,17400
2007-05-11,105.78,105.66,105.56,105.64,,12200
2007-05-14,105.7,105.65,105.55,105.69,,11600
2007-05-15,105.93,105.57,105.57,105.7,,39400
2007-05-16,105.86,105.85,105.82,105.83,,78100
2007-05-17,105.93,105.82,105.69,105.89,,14500
2007-05-18,105.95,105.8501,105.85,105.95,,5200
2007-05-21,105.96,105.95,105.85,105.94,,14600
2007-05-22,106.09,105.96,105.7301,106.08,,10200
2007-05-23,106.11,105.88,105.7,105.92,,22500
2007-05-24,106.04,105.91,105.85,106.04,,17100
2007-05-25,106.47,106.06,105.8,105.97,,7400
2007-05-29,105.72,105.64,105.58,105.7,,4900
2007-05-30,105.94,105.88,105.75,105.87,,4300
2007-05-31,105.89,105.71,105.65,105.89,,6200
2007-06-01,105.13,105.11,104.95,105.11,,13500
2007-06-04,105.22,105.2,105.02,105.2,,21800
2007-06-05,105.21,105.05,105.05,105.21,,4500
2007-06-06,105.06,104.92,104.8801,105.0,,74600
2007-06-07,104.74,104.43,104.2,104.74,,12100
2007-06-08,104.27,104.15,103.9201,104.21,,17800
2007-06-11,104.07,103.93,103.6001,103.9,,2900
2007-06-12,103.78,103.4,103.07,103.77,,67300
2007-06-13,103.81,103.58,102.87,103.63,,24600
2007-06-14,103.66,103.66,103.16,103.34,,18200
2007-06-15,103.68,103.64,103.5,103.5,,13500
2007-06-18,103.91,103.7,103.4,103.91,,14600
2007-06-19,103.84,103.83,103.36,103.84,,19600
2007-06-20,103.84,102.9101,102.9101,103.84,,16900
2007-06-21,103.43,103.1,103.0,103.0,,13900
2007-06-22,103.3599,103.3,102.84,103.22,,27800
2007-06-25,103.34,102.7,102.65,103.3,,29000
2007-06-26,103.19,103.0,102.7,102.94,,43600
2007-06-27,102.8,102.64,102.48,102.79,,6800
2007-06-28,102.64,102.1,101.93,102.55,,9500
