Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,9.9,9.8,9.8,9.9,,455
2002-01-03,9.87,9.87,9.32,9.32,,1105
2002-01-04,9.89,9.88,9.88,9.89,,985
2002-01-07,9.84,9.84,9.84,9.84,,868
2002-01-08,9.85,9.85,9.85,9.85,,1347
2002-01-09,9.5,9.5,9.4,9.4,,856
2002-01-10,9.81,9.5,9.5,9.81,,137
2002-01-11,9.85,9.79,9.79,9.85,,50
2002-01-14,9.8,9.5,9.5,9.8,,1614
2002-01-15,9.69,9.5,9.5,9.51,,351
2002-01-16,9.75,9.75,9.49,9.49,,670
2002-01-17,9.75,9.75,9.7,9.74,,206
2002-01-18,9.71,9.5,9.4,9.71,,575
2002-01-21,9.5,9.49,9.4,9.5,,1494
2002-01-22,9.7,9.69,9.4,9.49,,265
2002-01-23,9.66,9.66,9.66,9.66,,105
2002-01-24,9.64,9.39,9.35,9.64,,654
2002-01-25,9.62,9.32,9.32,9.39,,1198
2002-01-28,9.71,9.55,9.5,9.71,,889
2002-01-29,9.69,9.69,9.35,9.5,,683
2002-01-30,9.65,9.6,9.5,9.65,,1016
2002-01-31,9.58,9.58,9.57,9.57,,565
2002-02-01,9.56,9.41,9.41,9.51,,587
2002-02-04,9.5,9.5,9.46,9.46,,548
2002-02-05,9.58,9.46,9.46,9.58,,295
2002-02-06,9.6,9.59,9.46,9.46,,1105
2002-02-07,9.6,9.46,9.46,9.46,,195
2002-02-08,9.59,9.59,9.1,9.51,,1437
2002-02-11,9.54,9.4,9.15,9.54,,938
2002-02-12,9.55,9.5,9.2,9.39,,610
2002-02-13,9.55,9.55,9.49,9.5,,807
2002-02-14,9.55,9.55,9.16,9.49,,320
2002-02-15,9.4,9.39,9.02,9.02,,750
2002-02-18,9.39,9.35,9.2,9.39,,160
2002-02-19,9.45,9.4,9.1,9.34,,640
2002-02-20,9.42,9.42,9.4,9.4,,235
2002-02-21,9.5,9.39,9.39,9.42,,195
