Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-05-05,50.1,50.1,48.62,48.62,,39900
2006-05-08,49.8,49.13,49.13,49.65,,15500
2006-05-09,49.2,48.71,48.62,49.2,,6400
2006-05-10,49.3,49.04,48.91,49.2299,,12800
2006-05-11,48.68,47.67,47.67,48.62,,12900
2006-05-12,47.22,46.98,46.83,47.22,,3100
2006-05-15,47.07,45.76,45.76,47.07,,8700
2006-05-16,46.24,45.82,45.82,46.24,,1400
2006-05-17,45.26,44.6129,44.6129,45.26,,2500
2006-05-18,46.09,44.99,44.99,45.4,,76200
2006-05-19,44.64,44.64,44.36,44.36,,300
2006-05-22,44.0,43.74,43.74,44.0,,1100
2006-05-23,44.96,43.62,43.62,44.96,,44800
2006-05-24,44.81,44.81,44.81,44.81,,100
2006-05-25,44.36,44.23,44.22,44.36,,1000
2006-05-26,44.51,44.5,44.5,44.51,,300
2006-05-30,43.77,43.48,43.48,43.77,,32500
2006-05-31,43.11,42.74,42.7301,43.11,,12800
2006-06-01,43.38,43.38,42.52,42.52,,900
2006-06-02,43.83,42.86,42.86,43.83,,11500
2006-06-05,42.01,40.85,40.84,42.01,,24200
2006-06-06,40.31,39.39,38.8,40.31,,35100
2006-06-07,39.95,39.2,39.2,39.41,,18700
2006-06-08,39.18,39.06,38.0,38.33,,39300
2006-06-09,39.5644,39.49,39.4,39.49,,5700
2006-06-12,38.63,38.08,38.08,38.63,,4800
2006-06-13,38.35,37.55,37.31,37.9,,25900
2006-06-14,37.93,37.53,37.53,37.73,,14300
2006-06-15,39.66,39.59,37.78,37.78,,11500
2006-06-16,39.47,39.08,39.0,39.47,,6100
2006-06-19,39.3,38.19,38.19,39.3,,5600
2006-06-20,38.41,37.72,37.72,38.41,,5600
2006-06-21,39.02,39.02,38.3,38.3,,4800
2006-06-22,38.77,38.6,38.25,38.66,,4000
2006-06-23,39.22,38.89,38.48,38.48,,8100
2006-06-26,40.17,39.63,38.96,38.96,,46500
2006-06-27,38.98,38.61,38.61,38.74,,2100
2006-06-28,38.6,38.6,38.14,38.14,,1700
2006-06-29,39.79,39.78,38.2,38.62,,37300
2006-06-30,39.81,39.37,39.37,39.81,,4700
2006-07-03,39.38,39.27,38.89,39.3,,9100
2006-07-05,38.79,38.64,38.4,38.79,,35600
2006-07-06,39.06,38.633,38.62,38.63,,18500
2006-07-07,39.32,38.43,38.42,38.65,,18800
2006-07-10,38.65,38.18,38.06,38.39,,60700
2006-07-11,37.73,37.53,37.23,37.73,,20500
2006-07-12,37.62,36.62,36.52,37.55,,25000
2006-07-13,36.67,35.83,35.83,36.19,,20800
2006-07-14,34.65,34.5,34.02,34.62,,48400
2006-07-17,34.49,33.94,33.94,34.44,,25800
2006-07-18,34.25,33.1682,32.73,34.25,,39800
2006-07-19,34.89,34.89,33.67,33.67,,99900
2006-07-20,34.96,33.41,33.36,34.96,,40300
2006-07-21,33.63,33.42,32.5,33.04,,108200
2006-07-24,34.62,34.62,33.67,33.67,,40200
2006-07-25,35.75,35.12,34.3,34.33,,53500
2006-07-26,35.23,35.13,34.3471,35.0,,250000
2006-07-27,35.44,34.21,34.08,35.26,,14800
2006-07-28,35.51,35.29,34.75,34.89,,25300
2006-07-31,35.13,35.04,34.73,34.77,,8300
2006-08-01,35.1,34.99,34.25,34.41,,17300
2006-08-02,35.6093,35.27,34.9,35.18,,23100
2006-08-03,37.05,36.83,34.95,34.95,,39900
2006-08-04,38.33,36.75,36.44,37.79,,24300
2006-08-07,37.65,37.15,36.73,36.73,,75100
2006-08-08,37.3,35.64,35.64,37.3,,148500
2006-08-09,34.88,34.1,34.07,34.75,,119900
2006-08-10,34.45,34.21,33.87,33.87,,200700
2006-08-11,33.87,33.43,33.42,33.79,,248700
2006-08-14,33.72,32.997,32.96,33.6,,22200
2006-08-15,34.07,34.06,33.31,33.66,,26100
2006-08-16,35.69,35.6,34.38,34.51,,24800
2006-08-17,36.47,35.9,35.64,35.64,,53700
2006-08-18,35.93,35.91,35.24,35.48,,5600
2006-08-21,35.41,34.97,34.77,35.41,,5300
2006-08-22,35.4364,35.16,34.93,35.2,,134000
2006-08-23,34.87,34.14,34.0,34.87,,55400
2006-08-24,34.65,34.57,33.91,34.05,,294500
2006-08-25,34.846,34.76,34.22,34.22,,5500
