Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,55.49,55.49,54.65,55.36,,121700
2002-01-03,55.91,55.9,55.39,55.49,,61400
2002-01-04,56.6,56.6,56.0,56.07,,82500
2002-01-07,56.77,56.42,56.28,56.4,,80700
2002-01-08,56.48,55.84,55.66,56.48,,92000
2002-01-09,56.4,55.49,55.35,56.05,,99800
2002-01-10,55.78,55.59,55.37,55.62,,64500
2002-01-11,55.65,54.9,54.85,55.5,,58200
2002-01-14,54.83,54.4,54.33,54.66,,100300
2002-01-15,55.02,54.88,54.37,54.63,,69500
2002-01-16,54.61,53.8,53.72,54.61,,67200
2002-01-17,54.25,54.06,53.9,54.09,,58600
2002-01-18,54.14,53.93,53.72,54.0,,54300
2002-01-22,54.28,53.52,53.35,54.26,,58900
2002-01-23,54.13,53.97,53.27,53.65,,32800
2002-01-24,54.58,54.25,53.95,53.95,,58100
2002-01-25,54.67,54.39,54.21,54.21,,32800
2002-01-28,54.61,54.27,54.0,54.55,,77400
2002-01-29,54.46,52.35,52.35,54.3,,271400
2002-01-30,52.95,52.73,51.02,52.33,,123200
2002-01-31,53.75,53.72,53.05,53.15,,68400
2002-02-01,53.71,53.41,53.21,53.69,,76600
2002-02-04,52.88,51.7,51.6,52.8,,79700
2002-02-05,51.74,51.23,50.9,51.6,,81500
2002-02-06,51.49,50.9,50.6,51.11,,129100
2002-02-07,51.66,51.18,50.83,50.83,,51600
2002-02-08,52.18,52.18,51.49,51.54,,59000
2002-02-11,52.96,52.96,51.95,52.01,,297900
2002-02-12,52.87,52.64,52.4,52.66,,28900
2002-02-13,53.23,53.08,52.59,52.61,,51600
2002-02-14,53.39,53.03,52.79,53.25,,30000
2002-02-15,53.1,52.49,52.49,53.08,,42800
2002-02-19,52.17,51.49,51.48,52.14,,29400
2002-02-20,52.18,52.18,50.95,51.64,,29900
2002-02-21,52.34,51.57,51.56,51.8,,34600
2002-02-22,51.98,51.89,51.14,51.33,,25000
2002-02-25,53.09,52.96,52.18,52.34,,81700
2002-02-26,53.27,53.0,52.7,53.04,,33500
2002-02-27,53.78,53.23,52.92,53.34,,56600
2002-02-28,53.93,53.35,53.29,53.5,,48900
2002-03-01,54.32,54.25,53.44,53.55,,40600
2002-03-04,55.81,55.67,54.58,54.64,,168300
2002-03-05,55.92,55.52,55.35,55.52,,178800
2002-03-06,56.63,56.54,55.53,55.58,,56300
2002-03-07,56.68,56.18,55.83,56.66,,117600
2002-03-08,56.87,56.37,56.2,56.72,,65700
2002-03-11,56.77,56.58,55.95,56.22,,55400
2002-03-12,56.46,56.38,55.78,56.05,,51100
2002-03-13,56.23,55.87,55.64,56.15,,51000
2002-03-14,56.02,55.87,55.64,55.98,,118300
2002-03-15,56.53,56.38,56.12,56.14,,34600
2002-03-18,56.84,56.56,56.15,56.59,,65000
2002-03-19,56.94,56.79,56.53,56.86,,59200
2002-03-20,56.6,56.11,56.09,56.41,,319400
2002-03-21,56.12,55.91,55.42,55.9,,92400
2002-03-22,56.08,55.56,55.5,55.79,,49600
2002-03-25,55.74,54.85,54.85,55.7,,51400
2002-03-26,55.66,55.24,54.89,54.89,,82600
2002-03-27,55.85,55.77,55.26,55.33,,105900
2002-03-28,56.3,55.93,55.75,55.75,,79000
2002-04-01,55.78,55.66,55.03,55.52,,50700
2002-04-02,55.77,55.5,55.29,55.41,,53200
2002-04-03,55.61,54.96,54.7,55.5,,42000
2002-04-04,55.3,55.03,54.68,55.0,,66800
2002-04-05,55.41,55.07,54.8,55.28,,54400
2002-04-08,55.29,55.26,54.75,54.8,,44900
2002-04-09,55.45,55.04,54.92,55.28,,73600
2002-04-10,55.55,55.41,54.99,55.0,,77900
2002-04-11,55.3,54.22,54.08,55.3,,45500
2002-04-12,54.56,54.33,54.07,54.34,,542300
2002-04-15,54.6,54.11,54.02,54.48,,330900
2002-04-16,55.56,55.51,54.66,54.66,,295300
2002-04-17,55.89,55.67,55.51,55.51,,409300
2002-04-18,55.71,55.45,54.55,55.71,,425900
2002-04-19,55.48,55.38,55.19,55.45,,413200
2002-04-22,55.01,54.5,54.37,55.0,,250600
2002-04-23,54.65,54.19,54.11,54.42,,286700
2002-04-24,54.54,53.75,53.75,54.28,,267300
2002-04-25,53.66,53.65,53.2,53.43,,64900
2002-04-26,53.87,52.9,52.9,53.73,,64900
2002-04-29,53.14,52.21,52.21,53.0,,421400
2002-04-30,53.41,53.05,52.35,52.56,,343800
2002-05-01,53.72,53.59,52.59,53.06,,64000
2002-05-02,53.84,53.76,53.51,53.52,,89300
2002-05-03,53.7,53.57,53.18,53.7,,77600
2002-05-06,53.58,52.26,52.26,53.38,,67300
2002-05-07,52.85,52.15,52.15,52.7,,80800
2002-05-08,53.85,53.68,53.13,53.13,,79600
2002-05-09,53.68,53.22,53.11,53.56,,94600
2002-05-10,53.34,52.38,52.33,53.34,,63700
2002-05-13,53.32,53.2,52.38,52.44,,47600
2002-05-14,54.28,54.25,53.74,53.95,,45300
2002-05-15,54.63,54.1,53.99,54.0,,65600
2002-05-16,54.55,54.4,54.19,54.25,,48800
2002-05-17,54.62,54.62,54.19,54.6,,88000
2002-05-20,54.28,54.06,53.89,54.26,,158600
2002-05-21,54.5,53.67,53.56,54.25,,98800
2002-05-22,53.91,53.91,53.39,53.56,,64900
2002-05-23,54.57,54.57,53.72,54.08,,116200
2002-05-24,54.57,53.98,53.92,54.53,,236000
2002-05-28,54.12,53.68,53.4,54.12,,157500
2002-05-29,53.53,53.34,53.11,53.39,,88900
2002-05-30,53.32,53.1,52.51,52.94,,185400
2002-05-31,53.77,53.16,53.12,53.12,,47100
2002-06-03,53.35,51.81,51.81,53.26,,158900
2002-06-04,52.04,51.75,51.41,51.65,,212100
2002-06-05,52.22,52.05,51.66,51.66,,82800
2002-06-06,52.15,51.0,50.92,52.14,,97900
2002-06-07,51.47,51.17,50.45,50.51,,78300
2002-06-10,51.57,51.16,50.92,51.3,,58700
2002-06-11,51.69,50.54,50.41,51.43,,112600
2002-06-12,50.81,50.78,49.93,50.5,,130100
2002-06-13,50.9,50.16,50.09,50.4,,136400
2002-06-14,50.09,49.97,48.66,49.46,,205000
2002-06-17,51.47,51.47,50.28,50.28,,179200
2002-06-18,51.71,51.62,51.2,51.31,,121900
2002-06-19,51.55,50.76,50.6,51.37,,105100
2002-06-20,51.02,50.06,50.03,50.88,,172200
2002-06-21,50.22,49.8,49.41,49.78,,277600
2002-06-24,50.1,49.49,48.67,49.6,,480500
2002-06-25,50.19,49.09,48.85,50.1,,688200
2002-06-26,48.45,48.29,47.52,47.65,,757300
2002-06-27,49.06,49.06,47.8,48.75,,737700
2002-06-28,49.89,49.6,48.93,48.93,,130500
2002-07-01,49.82,48.69,48.62,49.75,,94500
2002-07-02,48.55,47.63,47.33,48.47,,98900
2002-07-03,47.8,47.73,46.95,47.49,,84700
2002-07-05,49.34,49.34,48.15,48.15,,23100
2002-07-08,49.5,49.0,48.79,49.5,,65200
2002-07-09,49.2,47.92,47.82,48.75,,98000
2002-07-10,48.24,46.01,46.01,48.15,,202900
2002-07-11,46.6,46.57,45.25,46.05,,144800
2002-07-12,46.7,45.87,45.58,46.7,,53700
2002-07-15,45.75,45.72,43.71,45.25,,416600
2002-07-16,45.69,44.9,44.48,45.3,,112600
2002-07-17,46.12,44.76,44.38,46.12,,86900
2002-07-18,44.92,43.66,43.61,44.85,,61800
2002-07-19,43.34,42.0,41.65,42.94,,512500
2002-07-22,42.0,40.2,39.75,41.45,,258800
2002-07-23,40.59,38.38,38.38,40.25,,297200
2002-07-24,40.88,40.88,37.07,37.07,,180800
2002-07-25,41.34,40.64,39.52,40.22,,96800
2002-07-26,41.3,41.3,40.46,40.9,,167700
2002-07-29,43.65,43.61,42.09,42.35,,150600
2002-07-30,44.17,43.7,42.8,43.2,,159300
2002-07-31,44.31,44.2,43.36,43.82,,108100
2002-08-01,44.16,42.85,42.85,44.15,,142500
2002-08-02,42.9,41.86,41.4,42.9,,91300
2002-08-05,41.84,40.29,40.21,41.7,,74400
2002-08-06,42.37,41.67,41.0,41.0,,224600
2002-08-07,42.61,42.16,41.14,42.6,,87000
2002-08-08,43.94,43.94,42.34,42.4,,140200
2002-08-09,44.41,44.11,43.01,43.2,,101500
2002-08-12,44.07,43.83,43.17,43.27,,115800
2002-08-13,44.14,42.75,42.75,43.68,,146200
2002-08-14,44.55,44.48,42.43,43.08,,145000
2002-08-15,45.16,45.12,44.44,44.75,,111000
2002-08-16,45.27,44.99,44.42,44.7,,118800
2002-08-19,46.2,46.11,44.98,45.05,,100000
2002-08-20,45.9,45.44,45.0,45.9,,327000
2002-08-21,46.12,46.02,45.081,45.8,,127300
2002-08-22,46.85,46.58,45.8,46.25,,80300
2002-08-23,46.85,45.58,45.42,46.4,,58400
2002-08-26,46.28,46.02,45.12,45.75,,66400
2002-08-27,46.61,45.66,45.35,46.61,,86400
2002-08-28,45.32,44.63,44.35,45.27,,126200
2002-08-29,44.9,44.53,43.88,44.14,,45200
2002-08-30,45.24,44.64,44.28,44.34,,51500
2002-09-03,43.88,42.44,42.44,43.88,,99500
2002-09-04,43.51,43.25,42.53,42.8,,112200
2002-09-05,43.11,42.75,42.17,42.7,,49500
2002-09-06,43.73,43.51,43.13,43.5,,83500
2002-09-09,44.1,43.98,42.75,43.3,,42100
2002-09-10,44.15,44.05,43.68,44.15,,53300
2002-09-11,44.99,44.11,44.06,44.98,,63300
2002-09-12,43.98,43.15,42.98,43.98,,49700
2002-09-13,43.31,43.02,42.51,42.9,,50700
2002-09-16,42.9,42.84,42.21,42.77,,40600
2002-09-17,43.4,41.98,41.86,43.4,,55400
2002-09-18,42.19,41.81,41.08,41.72,,68400
2002-09-19,41.28,40.39,40.38,40.8,,110300
2002-09-20,40.57,40.55,40.08,40.35,,72600
2002-09-23,40.22,40.05,39.48,40.0,,207800
2002-09-24,39.94,39.05,39.0,39.35,,101600
2002-09-25,40.27,39.95,38.9,39.85,,135300
2002-09-26,41.04,40.98,40.31,40.5,,133200
2002-09-27,41.05,39.79,39.66,40.77,,89900
2002-09-30,39.78,39.42,38.41,38.9,,151200
2002-10-01,40.93,40.93,39.14,39.8,,78500
2002-10-02,40.9,39.75,39.56,40.5,,58100
2002-10-03,40.31,39.18,39.06,39.92,,50100
2002-10-04,39.4,38.28,37.84,39.4,,99800
2002-10-07,38.32,37.2,37.01,38.15,,72000
2002-10-08,38.11,37.64,36.61,37.55,,50400
2002-10-09,37.24,36.28,36.15,36.75,,72100
2002-10-10,38.14,38.04,35.91,36.53,,102300
2002-10-11,40.19,39.51,38.82,38.9,,132000
2002-10-14,39.87,39.69,39.2,39.45,,75200
2002-10-15,41.9,41.9,41.05,41.2,,121500
2002-10-16,41.7,40.99,40.71,41.4,,118100
2002-10-17,42.35,41.95,41.64,42.35,,92200
2002-10-18,42.22,41.8,41.14,41.54,,170700
2002-10-21,42.99,42.93,41.54,41.8,,99700
2002-10-22,42.99,42.62,42.29,42.47,,97900
2002-10-23,42.99,42.99,41.7,42.35,,95000
2002-10-24,43.49,42.33,42.2,43.49,,127500
2002-10-25,43.19,43.19,42.0,42.15,,145700
2002-10-28,43.69,42.78,42.73,43.65,,389500
2002-10-29,42.72,42.34,41.59,42.65,,226300
2002-10-30,43.08,42.8,42.24,42.47,,76900
2002-10-31,43.34,42.59,42.27,43.18,,84000
2002-11-01,43.63,43.46,42.23,42.35,,99800
2002-11-04,44.75,43.9,43.75,44.1,,179800
2002-11-05,44.34,44.31,43.77,43.93,,127100
2002-11-06,44.8,44.8,43.7,44.47,,223400
2002-11-07,44.4,43.37,43.1,44.4,,438700
2002-11-08,43.84,42.93,42.8,43.45,,312600
2002-11-11,42.95,42.19,41.85,42.95,,155800
2002-11-12,42.96,42.5,42.21,42.51,,212700
2002-11-13,42.81,42.26,41.76,42.3,,169300
2002-11-14,43.31,43.3,42.81,43.09,,183900
2002-11-15,43.83,43.8,42.89,43.15,,101100
2002-11-18,44.17,43.21,43.18,44.15,,159400
2002-11-19,43.64,43.1,43.0,43.3,,101300
2002-11-20,44.19,44.05,43.22,43.22,,121900
2002-11-21,45.39,45.28,44.44,44.44,,181900
