Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,25.155,25.155,24.8,25.05,,13200
2002-01-03,25.21,25.105,24.995,25.185,,76800
2002-01-04,25.55,25.395,25.37,25.4,,8400
2002-01-07,25.5,25.09,25.08,25.5,,10000
2002-01-08,25.225,25.01,24.945,25.225,,1600
2002-01-09,25.29,24.805,24.805,25.15,,7800
2002-01-10,24.885,24.825,24.745,24.88,,15000
2002-01-11,24.925,24.34,24.34,24.925,,19400
2002-01-14,24.37,24.25,24.175,24.35,,67200
2002-01-15,24.29,24.215,23.95,23.975,,63200
2002-01-16,24.025,23.655,23.655,24.025,,60400
2002-01-17,23.875,23.875,23.695,23.875,,13400
2002-01-18,23.86,23.86,23.68,23.68,,3000
2002-01-22,24.25,23.825,23.705,23.9,,29000
2002-01-23,23.695,23.695,23.56,23.6,,3200
2002-01-24,24.16,24.015,23.815,24.04,,38000
2002-01-25,24.28,24.265,23.975,23.975,,6200
2002-01-28,24.375,24.225,24.0,24.375,,8800
2002-01-29,24.195,23.355,23.22,24.17,,50400
2002-01-30,23.6,23.6,22.52,23.225,,56000
2002-01-31,23.91,23.91,23.535,23.625,,5600
2002-02-01,23.895,23.84,23.685,23.85,,10600
2002-02-04,23.305,22.925,22.925,23.075,,19400
2002-02-05,23.025,22.675,22.67,22.805,,10600
2002-02-06,23.105,22.925,22.785,23.05,,10600
2002-02-07,23.25,23.04,22.875,23.075,,7200
2002-02-08,23.225,23.22,22.925,23.05,,17200
2002-02-11,23.64,23.625,23.18,23.225,,14400
2002-02-12,23.525,23.45,23.35,23.44,,10400
2002-02-13,23.77,23.68,23.575,23.575,,6000
2002-02-14,23.725,23.53,23.53,23.725,,18600
2002-02-15,23.65,23.54,23.465,23.65,,4600
2002-02-19,23.35,23.145,23.145,23.35,,3600
2002-02-20,23.575,23.575,23.1,23.225,,10000
2002-02-21,23.85,23.425,23.425,23.7,,64400
2002-02-22,23.7,23.595,23.25,23.375,,31400
2002-02-25,24.195,24.19,23.65,23.65,,37800
2002-02-26,24.225,24.15,23.95,24.225,,31400
2002-02-27,24.55,24.25,24.225,24.225,,17600
2002-02-28,24.62,24.27,24.27,24.5,,15400
2002-03-01,24.795,24.795,24.275,24.375,,478800
2002-03-04,25.635,25.635,24.995,25.0,,32600
2002-03-05,25.595,25.285,25.26,25.395,,91400
2002-03-06,25.94,25.9,25.47,25.475,,81200
2002-03-07,26.0,25.725,25.6,26.0,,407400
