Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2004-07-02,59.61,59.46,59.38,59.38,,470000
2004-07-06,59.08,59.08,59.08,59.08,,100
2004-07-08,59.0,59.0,59.0,59.0,,100
2004-07-09,58.9,58.9,58.9,58.9,,100
2004-07-12,58.82,58.82,58.82,58.82,,300
2004-07-13,59.34,59.33,59.25,59.34,,9200
2004-07-14,59.51,59.26,59.26,59.51,,24200
2004-07-15,59.22,59.06,59.06,59.22,,17500
2004-07-16,59.34,58.89,58.84,59.34,,11700
2004-07-19,58.97,58.86,58.64,58.97,,2500
2004-07-20,59.05,59.0,58.73,58.73,,400
2004-07-21,59.34,58.82,58.82,59.34,,4100
2004-07-22,58.25,58.25,58.06,58.06,,1800
2004-07-23,58.25,57.91,57.75,58.25,,9900
2004-07-26,57.64,57.64,57.44,57.63,,12600
2004-07-27,58.3,58.3,57.83,57.83,,2400
2004-07-28,58.36,58.36,57.78,58.1,,800
2004-07-29,58.42,58.36,58.28,58.35,,22200
2004-07-30,58.32,58.17,58.13,58.32,,1500
2004-08-02,58.64,58.61,58.43,58.43,,1800
2004-08-03,58.63,58.63,58.63,58.63,,9400
2004-08-04,58.12,58.08,58.08,58.12,,800
2004-08-05,57.84,57.84,57.79,57.79,,6100
2004-08-06,57.0,56.67,56.67,56.95,,1500
2004-08-09,56.78,56.78,56.54,56.59,,1400
2004-08-10,57.05,57.05,57.04,57.04,,4100
2004-08-11,57.23,57.23,57.05,57.05,,16500
2004-08-12,57.1,56.73,56.7,57.1,,900
2004-08-13,56.66,56.66,56.66,56.66,,300
2004-08-16,57.5,57.5,57.49,57.49,,1200
2004-08-17,57.95,57.73,57.73,57.9,,1400
2004-08-18,58.35,58.35,57.6,57.6,,700
2004-08-19,58.3,58.05,58.05,58.15,,2100
2004-08-20,58.38,58.38,58.23,58.35,,900
2004-08-23,58.7,58.55,58.55,58.7,,3000
2004-08-24,58.7,58.57,58.56,58.7,,2700
2004-08-25,58.85,58.85,58.55,58.55,,2200
2004-08-26,59.05,59.05,59.0,59.0,,2100
2004-08-27,59.15,59.15,59.0,59.0,,500
2004-08-31,58.77,58.65,58.58,58.77,,3400
2004-09-01,59.1,59.1,58.95,59.05,,18600
2004-09-02,59.18,59.18,59.18,59.18,,600
2004-09-03,59.75,59.62,59.59,59.7,,19100
2004-09-07,60.07,60.05,59.9,59.9,,17100
2004-09-08,59.94,59.78,59.78,59.94,,2800
2004-09-09,59.86,59.71,59.65,59.75,,3200
2004-09-10,59.96,59.95,59.7,59.7,,44100
2004-09-13,60.3,60.03,60.03,60.21,,1000
2004-09-14,60.28,60.28,60.03,60.03,,3100
2004-09-15,60.05,59.98,59.87,59.87,,1500
2004-09-16,60.2,60.2,60.2,60.2,,200
2004-09-17,60.63,60.58,60.45,60.63,,1100
2004-09-20,60.09,60.09,60.02,60.09,,1200
2004-09-21,60.36,60.36,60.06,60.06,,800
2004-09-22,59.75,59.55,59.55,59.75,,700
2004-09-23,59.55,59.3,59.24,59.55,,1600
2004-09-24,59.49,59.48,59.48,59.49,,500
2004-09-27,59.07,58.9,58.9,59.0,,2400
2004-09-28,59.35,59.35,58.95,58.95,,1500
2004-09-29,59.4,59.4,59.27,59.27,,900
2004-09-30,59.58,59.53,59.5,59.5,,400
2004-10-01,60.22,60.22,60.22,60.22,,700
2004-10-04,60.75,60.57,60.57,60.75,,23700
2004-10-05,60.6,60.4,60.4,60.58,,3800
2004-10-06,60.58,60.55,60.38,60.38,,700
2004-10-07,60.6,60.32,60.31,60.6,,4500
2004-10-08,60.39,59.67,59.67,60.3,,5400
