Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-01-22,,,,,1,1
2018-01-26,,,,,1,1
2018-01-29,,,,,1,2
2018-01-30,,,,,1,50
2018-02-01,49.34,49.34,49.34,49.34,12,1500
2018-02-02,48.89,48.89,48.89,48.89,2,175
2018-02-05,48.72,48.66,48.625,48.6953,46,6869
2018-02-06,49.977,49.8754,49.16,49.16,13,1610
2018-02-07,,,,,2,11
2018-02-08,,,,,3,152
2018-02-09,49.86,49.85,49.84,49.86,10,2099
2018-02-12,49.3001,49.3001,49.3001,49.3001,2,177
2018-02-13,,,,,2,80
2018-02-14,49.99,49.96,49.96,49.99,8,4000
2018-02-15,49.86,49.6,49.6,49.86,5,740
2018-02-16,48.83,48.07,48.07,48.73,29,6974
2018-02-20,48.07,48.07,48.07,48.07,4,654
2018-02-21,47.86,47.51,47.51,47.86,18,3819
2018-02-22,48.25,48.25,47.75,47.75,5,545
2018-02-23,48.4299,48.4299,48.05,48.38,5,603
2018-02-26,49.0,48.8747,48.7177,49.0,35,3657
2018-02-27,48.5199,48.5199,48.18,48.49,21,4190
2018-02-28,48.576,48.576,48.576,48.576,3,130
2018-03-01,49.4601,49.46,49.1836,49.21,23,5036
2018-03-02,49.0188,48.85,48.7948,49.0188,17,8757
2018-03-05,48.54,48.5299,48.2099,48.35,15,2400
2018-03-06,48.4,48.27,48.24,48.4,8,1895
2018-03-08,48.42,48.42,48.0,48.2299,20,3433
2018-03-09,48.49,48.32,48.01,48.49,50,10965
2018-03-12,47.92,47.91,47.735,47.75,13,2733
2018-03-13,48.8,48.6,48.39,48.44,39,9840
2018-03-14,48.65,48.64,48.55,48.65,8,650
2018-03-15,47.875,47.79,47.26,47.77,92,18318
2018-03-16,47.4,47.4,47.0,47.21,59,10958
2018-03-19,47.86,47.85,47.38,47.38,15,1922
2018-03-20,47.82,47.61,47.61,47.82,19,2955
2018-03-21,48.08,47.7416,47.7416,48.0,20,4204
2018-03-22,47.82,47.65,47.38,47.43,31,4284
2018-03-23,47.28,46.8,46.76,47.28,15,3313
2018-03-26,47.51,47.51,47.1,47.1,12,2091
2018-03-27,47.86,47.82,47.58,47.66,79,15797
2018-03-28,47.35,47.168,47.024,47.34,34,10733
2018-03-29,47.496,47.42,47.1817,47.38,28,6365
