Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-03-05,30.09,30.09,30.01,30.01,10,2352
2014-03-06,30.299,30.299,30.28,30.28,9,710
2014-03-07,30.1,29.94,29.94,30.1,6,1600
2014-03-10,28.89,28.86,28.86,28.89,4,700
2014-03-12,29.13,29.13,29.12,29.12,3,902
2014-03-13,29.32,29.32,29.32,29.32,4,606
2014-03-14,29.31,29.31,29.31,29.31,9,472
2014-03-18,29.5199,29.5199,29.5199,29.5199,1,100
2014-03-19,29.23,29.23,29.23,29.23,1,200
2014-03-20,28.4999,28.4999,28.4999,28.4999,1,100
2014-03-21,29.811,29.81,29.81,29.81,8,2667
2014-03-24,,,,,1,30
2014-03-25,29.8299,29.8299,29.8299,29.8299,2,167
2014-03-27,29.37,29.37,29.37,29.37,2,130
2014-03-28,29.41,29.41,29.41,29.41,2,125
2014-04-02,29.82,29.82,29.8052,29.8052,3,361
2014-04-09,30.49,30.49,30.49,30.49,1,100
2014-04-10,31.35,31.35,31.35,31.35,2,150
2014-04-11,30.76,30.76,30.76,30.76,5,212
2014-04-14,,,,,1,40
2014-04-16,30.37,30.37,30.37,30.37,1,325
2014-04-22,29.78,29.78,29.78,29.78,1,400
2014-04-30,29.04,29.04,29.04,29.04,1,100
2014-05-13,29.51,29.43,29.43,29.51,2085,212800
2014-05-14,29.42,29.33,29.31,29.42,8,4000
2014-05-15,28.97,28.93,28.91,28.94,13,1400
2014-05-19,28.86,28.76,28.67,28.67,54,5400
2014-05-22,29.0,28.96,28.96,29.0,892,89800
2014-05-23,29.24,29.18,29.18,29.24,58,7400
2014-05-27,29.18,29.15,29.15,29.18,11,1400
2014-05-28,29.54,29.46,29.46,29.54,133,13300
2014-05-29,29.3499,29.28,29.28,29.34,36,4300
2014-05-30,29.4,29.35,29.35,29.4,29,4100
2014-06-02,29.49,29.49,29.45,29.45,5,2500
2014-06-03,29.06,29.06,29.02,29.05,148,14900
2014-06-04,28.85,28.83,28.79,28.82,55,5500
2014-06-05,29.3,29.3,29.3,29.3,1,300
2014-06-09,29.22,29.16,29.16,29.22,84,10000
2014-06-10,29.66,29.62,29.62,29.66,7,900
2014-06-13,29.79,29.76,29.76,29.79,4,500
2014-06-16,29.94,29.94,29.8,29.9,15,11000
2014-06-19,29.1,29.09,29.09,29.1,2,900
2014-06-20,29.02,29.02,29.02,29.02,1,110
2014-06-26,29.53,29.53,29.53,29.53,1,500
2014-06-30,29.92,29.92,29.92,29.92,1,100
2014-07-01,30.04,30.04,30.04,30.04,2,1033
2014-07-02,30.06,30.06,30.06,30.06,3,1500
2014-07-03,30.26,30.26,30.26,30.26,3,1001
2014-07-09,29.9,29.86,29.86,29.89,15,1826
2014-07-10,29.62,29.62,29.62,29.62,3,1500
2014-07-11,29.97,29.97,29.97,29.97,3,1030
2014-07-15,30.32,30.25,30.19,30.3,79,13300
2014-07-16,30.33,30.33,30.33,30.33,4,1570
2014-07-18,30.28,30.23,30.23,30.28,4,1200
2014-07-21,30.1699,30.1699,30.1699,30.1699,2,300
2014-07-22,30.83,30.83,30.76,30.77,20,7500
2014-07-23,30.74,30.74,30.73,30.73,4,1200
2014-07-24,31.3899,31.32,31.31,31.34,8,1420
2014-07-25,31.73,31.71,31.71,31.72,7,1530
2014-07-28,32.53,32.5299,32.3699,32.3699,15,1684
2014-07-29,33.01,32.648,32.62,33.01,15,3342
2014-07-30,32.38,32.3099,32.3037,32.38,10,1554
2014-07-31,32.7,32.66,32.6,32.7,6,1830
2014-08-01,32.5941,32.5941,32.47,32.47,7,1450
2014-08-05,32.96,32.96,32.96,32.96,2,900
2014-08-06,32.94,32.92,32.9052,32.94,7,1403
2014-08-07,32.58,32.54,32.46,32.58,15,3700
2014-08-08,33.05,33.05,32.92,32.97,38,4800
2014-08-11,33.46,33.46,33.46,33.46,3,625
2014-08-12,33.46,33.46,33.46,33.46,5,136
2014-08-13,33.5,33.49,33.49,33.49,6,2000
2014-08-14,33.1092,33.1092,33.1092,33.1092,1,600
2014-08-15,33.72,33.32,33.32,33.72,4,1617
2014-08-18,33.73,33.73,33.73,33.73,2,101
2014-08-19,33.72,33.72,33.72,33.72,1,500
2014-08-20,33.59,33.59,33.58,33.58,4,1250
2014-08-21,33.2452,33.2452,33.2367,33.2367,3,770
2014-08-22,33.45,33.45,33.45,33.45,2,550
2014-08-25,,,,,1,50
2014-08-26,,,,,1,48
2014-08-27,32.95,32.95,32.95,32.95,2,600
2014-08-28,32.54,32.54,32.54,32.54,3,171
2014-08-29,33.05,32.9836,32.9836,33.01,10,818
2014-09-03,34.3299,34.3299,34.01,34.01,4,300
2014-09-04,34.79,34.3999,34.3999,34.79,9,1005
2014-09-05,34.82,34.82,34.79,34.79,11,1855
2014-09-08,35.02,34.796,34.75,35.02,5,786
2014-09-09,,,,,1,80
2014-09-11,34.35,34.35,34.35,34.35,1,200
2014-09-12,34.55,34.5,34.5,34.55,8,1861
2014-09-15,34.83,34.364,34.35,34.83,9,2132
2014-09-16,34.0747,34.0747,33.64,33.97,5,1096
2014-09-17,,,,,2,31
2014-09-18,34.18,34.18,34.18,34.18,2,588
2014-09-19,34.35,34.3,34.3,34.35,13,2322
2014-09-22,34.06,33.54,33.54,34.06,5,931
2014-09-23,33.9168,33.9168,33.9168,33.9168,1,300
2014-09-29,34.4,34.4,34.384,34.4,4,693
2014-09-30,34.78,34.78,34.78,34.78,2,208
2014-10-01,,,,,1,50
2014-10-02,34.45,34.4,34.26,34.26,7,1175
2014-10-06,35.15,35.15,35.07,35.07,2,1000
2014-10-07,,,,,1,30
2014-10-08,,,,,1,30
2014-10-09,35.51,35.02,35.02,35.51,17,2019
2014-10-10,,,,,1,2
2014-10-14,34.88,34.85,34.85,34.86,6,1705
2014-10-15,34.87,34.87,34.84,34.84,11,3561
2014-10-17,35.0,35.0,35.0,35.0,4,702
2014-10-20,,,,,2,62
2014-10-21,34.94,34.94,34.91,34.91,5,4842
2014-10-22,34.54,34.5201,34.5201,34.54,5,1724
2014-10-24,34.5,34.21,34.17,34.5,45,8008
2014-10-27,33.7599,33.7599,33.7599,33.7599,3,663
2014-10-28,34.55,34.55,34.55,34.55,2,410
2014-10-29,35.37,35.02,34.99,35.37,8,1453
2014-10-30,35.28,35.28,35.13,35.13,6,1207
2014-10-31,35.89,35.885,35.8,35.8,16,2358
2014-11-03,35.75,35.73,35.66,35.68,6,2305
2014-11-04,35.74,35.68,35.68,35.72,24,6307
2014-11-05,35.62,35.62,35.62,35.62,1,500
2014-11-06,35.98,35.65,35.65,35.98,2,205
2014-11-10,36.516,36.4799,36.4799,36.516,7,2950
2014-11-11,36.63,36.63,36.48,36.48,13,3037
2014-11-12,36.9,36.839,36.839,36.87,12,7950
2014-11-13,36.81,36.726,36.726,36.81,4,600
2014-11-14,37.4601,37.4601,37.4601,37.4601,2,230
2014-11-17,36.61,36.5799,36.5799,36.61,8,730
2014-11-18,36.22,36.21,36.21,36.22,6,600
2014-11-19,36.11,36.11,36.04,36.04,5,766
2014-11-20,36.12,36.12,36.03,36.03,7,1100
2014-11-21,37.61,37.61,37.08,37.08,6,1500
2014-11-24,37.86,37.52,37.49,37.86,10,4600
2014-11-25,38.005,37.87,37.86,37.97,13,2420
2014-11-26,38.659,38.65,38.24,38.24,24,3891
2014-11-28,39.3695,39.36,38.96,38.96,20,3824
2014-12-01,39.39,39.16,39.09,39.39,745,107705
2014-12-02,41.12,40.98,40.8735,40.99,488,70561
2014-12-03,41.8736,41.86,41.52,41.68,432,69368
2014-12-04,43.8877,43.63,43.4021,43.88,506,96218
2014-12-05,43.45,43.43,43.05,43.44,586,112053
2014-12-08,45.0,44.64,44.5,45.0,376,67811
2014-12-09,42.77,41.64,41.251,42.39,307,63554
2014-12-10,43.04,42.412,42.361,42.85,205,62459
2014-12-11,43.1814,42.78,42.78,42.96,175,31656
2014-12-12,42.96,42.422,42.422,42.78,165,38581
2014-12-15,43.45,42.842,42.633,43.29,177,41233
2014-12-16,44.87,44.53,44.17,44.31,209,36011
2014-12-17,45.76,45.65,44.92,44.92,211,36549
2014-12-18,45.4,44.98,44.78,45.4,120,20112
2014-12-19,45.5096,45.5096,45.02,45.02,83,15923
2014-12-22,45.42,45.3399,45.26,45.42,84,23956
2014-12-23,44.03,43.6,43.55,44.03,139,38184
2014-12-24,43.04,43.04,42.85,42.94,117,19458
2014-12-26,46.14,46.11,45.13,45.13,117,25993
2014-12-29,46.06,45.89,45.884,46.06,47,9661
2014-12-30,45.94,45.847,45.77,45.77,47,11248
2014-12-31,47.33,46.9135,46.9135,47.0,89,15944
2015-01-02,47.5699,47.23,47.23,47.54,142,33817
2015-01-05,48.0,47.6847,47.6847,48.0,49,6746
2015-01-06,48.1999,48.01,47.84,48.1999,57,7441
2015-01-07,48.6536,48.6199,48.47,48.6496,83,12084
2015-01-08,47.31,47.25,47.12,47.31,72,16422
2015-01-09,46.9199,46.81,46.7464,46.9,80,12682
2015-01-12,46.6,46.3744,46.31,46.6,69,10465
2015-01-13,46.84,46.45,46.35,46.53,92,21632
2015-01-14,46.4,46.24,46.12,46.4,52,13331
2015-01-15,47.8499,47.48,47.48,47.6,52,8644
2015-01-16,46.79,46.573,46.422,46.79,90,14608
2015-01-20,44.98,44.76,44.531,44.98,221,37227
2015-01-21,47.0499,47.0499,46.62,46.62,134,18727
2015-01-22,47.49,47.48,47.0101,47.02,83,12504
2015-01-23,47.24,47.13,47.1201,47.14,47,8523
2015-01-26,47.6899,47.64,47.4801,47.555,30,5853
2015-01-27,46.857,46.857,46.62,46.75,23,2611
2015-01-28,45.96,45.3401,45.309,45.96,91,14995
2015-01-29,45.8119,45.8119,45.4,45.52,51,11127
2015-01-30,44.88,43.68,43.61,44.88,212,37342
2015-02-02,44.34,44.2,43.97,43.98,92,13917
2015-02-03,45.55,45.5385,45.12,45.12,50,6213
2015-02-04,46.72,46.27,45.89,46.05,114,31524
2015-02-05,44.35,44.24,44.08,44.35,108,16885
2015-02-06,43.11,43.01,42.55,43.1,144,38178
2015-02-09,43.874,43.71,43.39,43.59,34,5801
2015-02-10,44.607,44.54,44.22,44.22,60,16359
2015-02-11,44.77,44.77,44.53,44.53,39,5224
2015-02-12,45.22,45.22,44.96,44.96,22,2683
2015-02-13,45.5581,45.5254,45.49,45.49,22,5013
2015-02-17,46.058,46.0101,46.0,46.0087,23,4062
2015-02-18,46.01,46.01,45.83,45.83,25,5457
2015-02-19,46.0201,45.94,45.93,46.0201,13,3259
2015-02-20,46.097,46.097,45.8,45.82,18,2594
2015-02-23,46.11,46.0,45.98,46.11,19,2413
2015-02-24,46.48,46.48,46.09,46.15,22,3768
2015-02-25,45.49,45.44,45.29,45.49,20,3819
2015-02-26,46.65,46.58,46.57,46.62,30,6701
2015-02-27,46.63,46.58,46.4599,46.4599,113,20218
2015-03-02,46.98,46.98,46.87,46.87,42,6961
2015-03-03,45.93,45.82,45.82,45.9,35,6274
2015-03-04,46.01,45.95,45.88,45.91,19,2546
2015-03-05,45.8537,45.8537,45.78,45.82,28,4331
2015-03-06,45.43,45.1701,45.17,45.43,31,5232
2015-03-09,46.3,46.12,46.12,46.12,55,8594
2015-03-10,45.67,45.46,45.46,45.48,21,3588
2015-03-11,46.05,46.05,45.99,45.99,10,1255
2015-03-12,47.174,47.04,47.04,47.174,21,3732
2015-03-13,47.07,47.07,47.07,47.07,4,165
2015-03-16,48.9,48.9,48.69,48.69,45,6631
2015-03-17,49.52,49.5,49.32,49.35,34,4926
2015-03-18,51.042,50.91,50.32,50.53,53,7526
2015-03-19,50.797,50.78,50.61,50.73,127,19092
2015-03-20,51.83,51.83,51.73,51.73,66,8285
2015-03-23,52.63,52.52,52.51,52.62,21,1706
2015-03-24,52.48,52.36,52.2501,52.48,53,8954
