Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-06-22,48.09,47.87,47.77,48.09,,1364900
2006-06-23,47.45,47.2514,47.01,47.43,,702000
2006-06-26,47.83,47.76,47.45,47.5,,144200
2006-06-27,48.0,47.45,47.43,48.0,,432500
2006-06-28,47.52,47.37,47.04,47.38,,739000
2006-06-29,48.42,48.42,47.69,47.85,,61200
2006-06-30,48.5,48.19,48.09,48.46,,279000
2006-07-03,48.53,48.53,48.22,48.22,,56500
2006-07-05,48.25,47.95,47.89,48.25,,141800
2006-07-06,48.25,48.05,48.05,48.1,,66400
2006-07-07,48.24,47.72,47.65,48.15,,246300
2006-07-10,47.93,47.86,47.8,47.93,,44200
2006-07-11,47.98,47.98,47.4,47.71,,172200
2006-07-12,47.88,47.36,47.36,47.88,,228600
2006-07-13,47.17,46.82,46.75,47.11,,992100
2006-07-14,46.9,46.8,46.5,46.83,,59200
2006-07-17,47.01,47.0,46.7,46.71,,68900
2006-07-18,47.34,47.34,46.87,47.32,,579300
2006-07-19,48.56,48.54,47.33,47.35,,936400
2006-07-20,48.73,48.2,48.2,48.73,,146000
2006-07-21,47.81,47.78,47.5,47.55,,315900
2006-07-24,48.34,48.33,47.98,47.98,,87100
2006-07-25,48.57,48.57,48.23,48.31,,88400
2006-07-26,48.78,48.58,48.09,48.3,,64000
2006-07-27,48.83,48.09,48.08,48.65,,562400
2006-07-28,49.12,49.07,48.37,48.37,,167500
2006-07-31,48.73,48.62,48.32,48.65,,174900
2006-08-01,48.41,48.22,47.98,48.17,,121500
2006-08-02,48.64,48.44,48.22,48.4499,,223300
2006-08-03,49.11,49.08,48.48,48.5,,124500
2006-08-04,49.52,49.07,48.85,49.52,,75600
2006-08-07,49.05,48.84,48.73,49.01,,335100
2006-08-08,49.23,48.57,48.51,49.02,,98100
2006-08-09,49.0,48.03,47.96,49.0,,119200
2006-08-10,48.45,48.32,47.83,47.83,,51500
2006-08-11,48.23,48.18,47.98,48.07,,115300
2006-08-14,48.61,48.16,48.1,48.4,,473400
2006-08-15,48.96,48.91,48.7,48.7,,127200
2006-08-16,49.24,49.19,48.9,49.17,,308000
2006-08-17,49.3,49.2,49.14,49.14,,55100
2006-08-18,49.2,49.2,49.02,49.02,,47400
2006-08-21,48.99,48.84,48.84,48.95,,56600
2006-08-22,49.04,48.95,48.8101,48.8101,,46300
2006-08-23,49.03,48.38,48.35,49.03,,311700
2006-08-24,48.49,48.46,48.29,48.4,,44000
2006-08-25,48.54,48.25,48.18,48.54,,167100
2006-08-28,48.6,48.6,48.32,48.34,,63200
2006-08-29,48.47,48.44,48.1,48.47,,250900
2006-08-30,48.91,48.87,48.61,48.61,,83900
2006-08-31,49.03,48.97,48.83,48.91,,50700
2006-09-01,49.03,48.94,48.84,48.84,,97200
2006-09-05,49.15,49.05,48.97,48.97,,28400
2006-09-06,48.91,48.75,48.75,48.8,,1500
2006-09-07,48.65,48.27,48.27,48.58,,53000
2006-09-08,48.38,48.35,48.09,48.2,,503800
2006-09-11,48.44,48.4,48.14,48.3,,153200
2006-09-12,49.06,49.04,48.63,48.63,,15600
2006-09-13,49.42,49.41,49.1,49.2,,156100
2006-09-14,49.39,49.39,49.37,49.38,,70100
2006-09-15,49.22,49.13,49.05,49.13,,84000
2006-09-18,49.0,48.87,48.82,48.87,,43900
2006-09-19,48.9,48.72,48.17,48.9,,331000
2006-09-20,49.52,49.49,49.23,49.23,,406200
2006-09-21,49.48,48.91,48.77,49.48,,626700
2006-09-22,48.7,48.58,48.3,48.64,,511600
2006-09-25,49.23,49.23,48.47,48.5,,136300
2006-09-26,49.3,49.2,49.01,49.18,,123400
2006-09-27,49.5,49.46,49.25,49.26,,184500
2006-09-28,49.5,49.41,49.21,49.34,,347400
2006-09-29,49.43,48.84,48.84,49.42,,41600
2006-10-02,48.72,48.31,48.17,48.7,,402100
2006-10-03,48.63,48.37,48.09,48.21,,446600
2006-10-04,48.89,48.82,48.12,48.2,,734600
2006-10-05,49.15,49.15,48.77,48.89,,705200
2006-10-06,49.0,48.83,48.73,49.0,,609700
2006-10-09,49.44,49.41,48.95,49.11,,149100
2006-10-10,49.5,49.37,49.23,49.5,,316800
2006-10-11,49.3,49.2,49.0,49.17,,632700
2006-10-12,49.64,49.64,49.45,49.46,,222700
2006-10-13,49.9,49.89,49.73,49.78,,264800
2006-10-16,49.87,49.77,49.65,49.87,,282000
2006-10-17,49.64,49.55,49.36,49.64,,388900
2006-10-18,49.67,49.6,49.59,49.64,,534300
2006-10-19,49.57,49.4,49.29,49.57,,367600
2006-10-20,49.24,48.72,48.671,49.24,,1267100
2006-10-23,48.92,48.89,48.49,48.49,,401900
2006-10-24,48.74,48.72,48.6,48.67,,264700
2006-10-25,48.77,48.74,48.5,48.77,,259500
2006-10-26,49.16,49.16,48.49,48.76,,462700
2006-10-27,49.11,48.77,48.77,49.1,,547700
2006-10-30,48.97,48.85,48.8,48.85,,207700
2006-10-31,49.07,48.8,48.7,49.07,,100900
2006-11-01,48.89,48.15,48.15,48.75,,201500
2006-11-02,48.17,48.0,47.93,48.02,,323000
2006-11-03,48.38,48.15,47.92,48.13,,223200
2006-11-06,48.55,48.55,48.42,48.46,,103500
2006-11-07,49.05,48.64,48.64,48.79,,182100
2006-11-08,49.0,48.97,48.72,48.77,,84700
2006-11-09,49.07,48.53,48.5,49.07,,12000
2006-11-10,48.83,48.83,48.64,48.66,,215200
2006-11-13,49.27,49.27,48.9801,48.9801,,253600
2006-11-14,49.87,49.87,49.0,49.4,,533500
2006-11-15,50.25,50.25,49.76,49.76,,515500
2006-11-16,50.42,50.42,50.21,50.25,,308800
2006-11-17,50.39,50.28,50.11,50.39,,44600
2006-11-20,50.47,50.42,50.31,50.31,,8200
2006-11-21,50.27,50.21,50.2,50.25,,16300
2006-11-22,50.17,50.06,49.99,50.17,,159000
2006-11-24,50.05,50.03,49.79,49.91,,95300
2006-11-27,49.92,49.09,49.09,49.92,,24300
2006-11-28,49.21,49.16,48.92,48.94,,356000
2006-11-29,49.75,49.75,49.27,49.28,,335000
2006-11-30,49.82,49.62,49.46,49.82,,85700
2006-12-01,49.62,49.4,49.03,49.62,,421800
2006-12-04,50.28,50.28,49.35,49.46,,85800
2006-12-05,50.3645,50.3,50.1,50.1001,,10800
2006-12-06,50.15,50.01,49.97,50.15,,48600
2006-12-07,50.08,49.72,49.69,49.95,,120600
2006-12-08,49.64,49.57,49.38,49.58,,1690900
2006-12-11,49.75,49.75,49.55,49.55,,242500
2006-12-12,49.8,49.8,49.58,49.75,,77300
2006-12-13,49.95,49.89,49.85,49.95,,20100
2006-12-14,50.28,50.28,50.2,50.22,,11500
2006-12-15,50.27,50.07,50.07,50.26,,49500
2006-12-18,50.19,49.73,49.68,50.07,,191500
2006-12-19,49.62,49.56,49.3,49.44,,67400
2006-12-20,49.78,49.69,49.55,49.56,,225600
2006-12-21,50.1,49.83,49.67,49.8,,507400
2006-12-22,49.82,49.67,49.62,49.65,,186700
2006-12-26,50.31,50.27,49.73,49.73,,119400
2006-12-27,50.99,50.99,50.4,50.4,,787400
2006-12-28,51.12,50.85,50.84,51.1,,558600
2006-12-29,50.78,50.12,50.12,50.73,,265900
2007-01-03,50.96,50.58,50.19,50.32,,423700
2007-01-04,50.76,50.75,50.18,50.48,,189900
2007-01-05,50.66,49.7,49.66,50.66,,1188300
2007-01-08,49.73,49.72,49.21,49.7,,215900
2007-01-09,49.79,49.5,48.99,49.74,,1099100
2007-01-10,49.6,49.52,49.29,49.47,,724100
2007-01-11,50.06,49.91,49.66,49.71,,334800
2007-01-12,50.0,49.94,49.85,49.9,,29600
2007-01-16,50.1,49.48,49.47,50.07,,1717000
2007-01-17,49.41,49.13,49.07,49.32,,674000
2007-01-18,48.98,48.76,48.54,48.98,,850500
2007-01-19,48.89,48.8,48.43,48.64,,765400
2007-01-22,48.63,48.57,48.33,48.57,,840200
2007-01-23,48.78,48.65,48.39,48.41,,227300
2007-01-24,49.04,49.04,48.54,48.58,,74000
2007-01-25,48.83,48.38,48.31,48.83,,173700
2007-01-26,48.75,48.68,48.21,48.37,,234700
2007-01-29,49.08,49.05,48.8,48.8,,758200
2007-01-30,49.45,49.4,49.02,49.11,,613600
2007-01-31,49.68,49.36,49.13,49.27,,739800
2007-02-01,49.78,49.76,49.61,49.61,,276500
2007-02-02,50.05,50.05,49.73,49.77,,124600
2007-02-05,49.99,49.81,49.73,49.99,,85200
2007-02-06,50.19,50.16,49.86,49.86,,661000
2007-02-07,50.46,50.42,50.12,50.12,,18600
2007-02-08,50.38,50.38,50.14,50.37,,119200
2007-02-09,50.3,49.8956,49.81,50.3,,1074200
2007-02-12,50.09,50.03,49.8,49.87,,405800
2007-02-13,50.39,50.39,50.12,50.18,,241275
2007-02-14,50.68,50.44,50.28,50.31,,555300
2007-02-15,50.55,50.51,50.306,50.52,,488400
2007-02-16,50.76,50.73,50.51,50.52,,389000
2007-02-20,51.05,50.99,50.42,50.62,,384000
2007-02-21,50.96,50.84,50.76,50.89,,417000
2007-02-22,50.95,50.95,50.67,50.9,,389400
2007-02-23,50.86,50.67,50.44,50.86,,340600
2007-02-26,50.61,50.3,50.05,50.61,,428056
2007-02-27,49.76,48.575,48.5,49.75,,960900
2007-02-28,49.28,48.92,48.61,48.97,,692200
2007-03-01,49.2,48.89,47.83,48.29,,708400
2007-03-02,48.98,48.65,48.61,48.87,,88200
2007-03-05,48.48,47.43,47.4,48.23,,1177300
2007-03-06,48.63,48.48,47.98,48.0,,640100
2007-03-07,48.57,48.12,48.12,48.45,,543700
2007-03-08,48.72,48.39,48.28,48.46,,339500
2007-03-09,48.69,48.51,48.28,48.63,,191400
2007-03-12,48.47,48.41,48.18,48.4,,559600
2007-03-13,48.02,46.88,46.83,47.9,,2208800
2007-03-14,47.34,47.05,46.38,46.98,,838300
2007-03-15,47.93,47.93,47.3,47.3,,1016400
2007-03-16,47.87,47.45,47.38,47.71,,271400
2007-03-19,48.02,47.7,47.61,47.61,,887300
2007-03-20,48.19,48.15,47.67,47.78,,425500
2007-03-21,49.45,49.22,48.12,48.16,,2120000
2007-03-22,49.33,49.0,48.88,49.25,,1267400
2007-03-23,49.19,49.12,49.0,49.03,,973100
2007-03-26,49.05,48.92,48.53,48.91,,161100
2007-03-27,48.82,48.48,48.43,48.82,,509200
2007-03-28,48.3,48.02,47.88,48.28,,601600
2007-03-29,48.54,48.26,47.91,48.31,,766400
2007-03-30,48.5,48.12,47.72,48.33,,747700
2007-04-02,47.95,47.51,47.36,47.95,,967900
2007-04-03,48.23,48.0,47.79,47.8,,400500
2007-04-04,47.97,47.53,47.53,47.97,,1180600
2007-04-05,47.51,47.51,47.33,47.51,,1058700
2007-04-09,47.36,47.2,47.07,47.36,,1069400
2007-04-10,47.3299,47.12,47.05,47.09,,649700
2007-04-11,47.15,46.66,46.57,47.15,,306100
2007-04-12,46.7,46.57,46.23,46.66,,2536300
2007-04-13,47.04,46.97,46.64,46.72,,633600
2007-04-16,48.34,47.85,47.34,48.34,,954200
2007-04-17,48.05,47.8,47.69,47.88,,1254100
2007-04-18,48.19,47.89,47.81,47.81,,1978300
2007-04-19,47.69,47.52,47.2,47.4,,932200
2007-04-20,47.81,47.62,47.39,47.81,,1541700
2007-04-23,47.61,47.24,47.18,47.58,,987700
2007-04-24,47.35,47.15,46.9,47.27,,1299100
2007-04-25,47.49,47.4,47.18,47.32,,2299400
2007-04-26,47.61,47.53,47.2,47.4,,1355900
2007-04-27,47.48,47.33,47.25,47.45,,255200
2007-04-30,47.39,47.15,46.68,47.31,,652330
2007-05-01,47.04,47.0,46.5,46.8,,1519000
2007-05-02,47.54,47.25,46.94,46.98,,763000
2007-05-03,48.11,47.68,47.5,47.5,,807400
2007-05-04,48.26,48.13,47.83,47.83,,1257100
2007-05-07,48.31,48.08,48.06,48.21,,147800
2007-05-08,48.12,47.99,47.67,47.93,,2135800
2007-05-09,48.46,48.27,47.87,47.87,,782200
2007-05-10,48.0,47.36,47.31,48.0,,932700
2007-05-11,47.9,47.88,47.5,47.5,,65100
2007-05-14,47.89,47.45,47.41,47.89,,2392613
2007-05-15,47.72,47.15,47.12,47.51,,196000
2007-05-16,47.47,47.47,47.07,47.25,,230200
2007-05-17,47.41,47.3,47.19,47.39,,496100
2007-05-18,47.48,47.33,47.14,47.31,,329800
2007-05-21,47.74,47.54,47.19,47.28,,716800
2007-05-22,48.05,47.85,47.5,47.6,,784500
2007-05-23,48.56,47.86,47.74,47.74,,1155800
2007-05-24,48.09,47.38,47.3,47.8,,1565107
2007-05-25,47.45,47.38,47.18,47.45,,857300
2007-05-29,47.7,47.64,47.49,47.57,,872300
2007-05-30,47.78,47.74,47.36,47.36,,267700
2007-05-31,47.89,47.58,47.5,47.82,,667200
2007-06-01,48.21,48.17,47.97,47.98,,932066
2007-06-04,48.09,48.09,47.9,48.09,,241610
2007-06-05,47.91,47.55,47.42,47.91,,1195900
2007-06-06,47.34,47.2,47.11,47.34,,496200
2007-06-07,47.11,46.61,46.54,47.11,,1163600
2007-06-08,47.2,47.15,46.54,46.63,,906100
2007-06-11,47.31,47.15,46.88,47.06,,127100
2007-06-12,47.04,46.46,46.46,47.04,,621700
2007-06-13,47.485,47.25,46.38,46.59,,962600
2007-06-14,47.26,46.88,46.87,46.96,,1591500
2007-06-15,47.39,46.94,46.81,46.86,,1296300
2007-06-18,47.0,46.88,46.64,46.95,,228200
2007-06-19,46.96,46.93,46.6,46.75,,1133700
2007-06-20,46.89,46.31,46.29,46.89,,315200
2007-06-21,46.3,46.1,45.83,46.17,,1035800
2007-06-22,46.02,45.61,45.54,46.02,,750600
2007-06-25,46.1,45.57,45.5,45.65,,448800
2007-06-26,45.93,45.74,45.51,45.69,,1049640
2007-06-27,46.38,46.29,45.67,45.76,,1659700
2007-06-28,46.77,46.31,46.05,46.29,,636200
2007-06-29,46.54,45.88,45.77,46.3,,507100
2007-07-02,47.31,46.22,46.12,46.2,,247700
2007-07-03,46.5,46.45,46.28,46.3,,516100
2007-07-05,46.47,46.29,46.13,46.47,,22100
2007-07-06,46.4,46.39,46.1,46.26,,354600
2007-07-09,46.34,45.99,45.9,46.34,,714770
2007-07-10,45.89,44.94,44.93,45.89,,681700
2007-07-11,45.01,44.91,44.65,44.94,,769000
2007-07-12,45.9,45.59,45.18,45.18,,830800
2007-07-13,45.87,45.77,45.62,45.66,,270300
2007-07-16,45.76,45.44,45.37,45.62,,276300
2007-07-17,45.72,45.43,45.43,45.58,,202600
2007-07-18,45.24,44.51,44.14,45.24,,2686800
2007-07-19,45.13,44.8,44.55,44.82,,3302900
2007-07-20,44.68,44.08,43.84,44.66,,1049300
2007-07-23,44.22,43.92,43.92,44.22,,596200
2007-07-24,43.5,42.67,42.5,43.5,,1074900
2007-07-25,43.35,43.0,42.48,43.08,,1694200
2007-07-26,42.49,42.06,41.57,42.2,,1455000
2007-07-27,42.5,41.7,41.63,41.86,,1036800
2007-07-30,42.46,42.05,41.4,41.91,,950200
2007-07-31,42.87,41.64,41.59,42.76,,1763700
2007-08-01,42.03,41.84,40.9,41.61,,1266200
2007-08-02,42.53,42.09,41.82,42.0,,980200
2007-08-03,42.17,40.3,40.3,42.1,,884600
2007-08-06,42.19,41.89,39.94,40.63,,2284100
2007-08-07,43.31,42.75,41.88,41.88,,3428100
2007-08-08,44.98,44.18,42.89,42.89,,4311500
2007-08-09,44.31,43.45,42.91,43.22,,1644800
2007-08-10,44.39,43.58,42.38,42.64,,2019900
2007-08-13,44.43,42.88,42.45,44.1,,1375000
2007-08-14,42.72,41.84,41.81,42.72,,516600
2007-08-15,43.36,41.86,41.48,41.83,,1281800
2007-08-16,44.82,44.79,41.82,41.82,,6803200
2007-08-17,47.16,46.34,45.8,46.0,,2345100
2007-08-20,46.56,45.67,44.99,46.39,,1891900
2007-08-21,46.7,46.36,45.5,45.77,,1969300
2007-08-22,47.1,46.59,45.8,46.76,,2459900
2007-08-23,46.43,45.31,45.2,46.37,,1189700
2007-08-24,45.8,45.8,44.38,45.33,,3961400
2007-08-27,45.4,45.13,44.96,45.38,,1824650
2007-08-28,44.53,43.89,43.81,44.53,,896900
2007-08-29,44.9,44.72,43.78,44.16,,1124800
2007-08-30,45.04,44.25,44.1,44.26,,1330700
2007-08-31,45.02,44.6,44.26,44.79,,1362800
2007-09-04,45.28,44.92,44.64,44.68,,1701300
2007-09-05,44.88,44.28,44.0,44.88,,818600
2007-09-06,44.85,44.62,44.11,44.3,,1308300
2007-09-07,44.57,43.81,43.65,44.57,,1405400
2007-09-10,44.14,43.48,42.89,43.98,,563000
2007-09-11,44.21,43.92,43.52,43.54,,1002800
2007-09-12,43.99,43.65,43.54,43.86,,348900
2007-09-13,44.24,43.99,43.48,43.9,,243500
2007-09-14,44.31,44.31,43.45,43.57,,1853700
2007-09-17,44.34,44.19,43.87,43.92,,156200
2007-09-18,49.01,46.18,43.95,44.35,,1810900
2007-09-19,47.17,46.67,46.44,46.61,,4041500
2007-09-20,46.65,45.9,45.59,46.65,,493600
2007-09-21,45.67,45.26,45.16,45.66,,381200
2007-09-24,45.33,44.37,44.34,45.24,,1067900
2007-09-25,44.35,44.18,43.78,44.26,,1518200
2007-09-26,44.87,44.43,44.09,44.22,,1352600
2007-09-27,44.7,44.65,44.39,44.54,,421700
2007-09-28,44.62,44.03,43.75,44.62,,1284200
2007-10-01,45.09,45.0,43.99,43.99,,940100
2007-10-02,45.59,45.55,45.08,45.08,,371000
2007-10-03,45.65,45.14,45.09,45.41,,660400
2007-10-04,45.7,45.45,45.36,45.36,,204800
2007-10-05,46.11,45.84,45.51,45.89,,698600
2007-10-08,46.23,45.66,45.6075,45.76,,279500
2007-10-09,45.88,45.87,45.35,45.66,,413000
2007-10-10,45.75,45.27,45.2001,45.75,,1187200
2007-10-11,45.7699,45.22,44.9315,45.4,,717300
2007-10-12,45.37,45.04,44.56,45.16,,1190700
2007-10-15,44.63,43.66,43.4,44.57,,1640400
2007-10-16,43.66,42.68,42.53,43.66,,2015600
2007-10-17,43.18,42.16,41.6,43.06,,3076800
2007-10-18,41.78,41.57,40.96,41.78,,2645100
2007-10-19,41.41,40.39,40.39,41.41,,1668500
2007-10-22,41.35,40.98,39.95,40.21,,5975248
2007-10-23,41.34,41.2,40.55,41.34,,1024300
2007-10-24,40.96,40.55,39.581,40.96,,2120100
2007-10-25,41.42,40.97,40.35,40.75,,1521000
2007-10-26,42.39,42.26,40.39,40.39,,2113601
2007-10-29,42.47,41.99,41.75,42.23,,1712800
2007-10-30,41.88,41.85,41.28,41.86,,2366571
2007-10-31,42.3999,42.1,41.12,41.93,,3178236
2007-11-01,42.11,39.66,39.52,42.11,,1382975
2007-11-02,40.24,38.43,38.1,40.24,,2836100
2007-11-05,38.59,38.25,36.14,36.14,,1569041
2007-11-06,39.11,39.11,37.82,38.56,,1255810
2007-11-07,39.08,37.1,37.06,39.08,,1865699
2007-11-08,38.58,38.32,36.84,37.53,,3284830
2007-11-09,39.76,39.19,37.36,38.0,,3238438
2007-11-12,40.47,39.4,39.13,39.9,,1997096
2007-11-13,41.29,41.08,39.87,40.12,,2119095
2007-11-14,41.79,40.44,40.17,41.72,,2124212
2007-11-15,40.37,39.11,38.82,40.37,,3344043
2007-11-16,39.5,38.8,38.25,39.5,,2969482
2007-11-19,38.55,37.69,37.27,38.55,,3764180
2007-11-20,38.23,37.66,36.48,37.73,,2176186
2007-11-21,38.42,37.67,37.04,37.56,,3276094
2007-11-23,39.29,38.72,37.8,37.8,,1081697
2007-11-26,39.11,36.85,36.78,39.11,,1595014
2007-11-27,38.04,37.59,36.91,36.91,,3763050
2007-11-28,39.8,39.8,38.0,38.19,,2195557
2007-11-29,40.0,39.19,38.82,40.0,,1414860
2007-11-30,40.94,40.06,39.71,40.28,,3156350
2007-12-03,40.39,39.47,39.25,39.63,,1838410
2007-12-04,39.56,39.01,38.59,39.56,,696716
2007-12-05,39.89,39.81,39.15,39.68,,1291330
2007-12-06,41.38,41.26,39.64,40.04,,3609825
2007-12-07,41.51,40.83,40.66,41.5,,834898
2007-12-10,41.83,41.61,40.77,40.81,,1436800
2007-12-11,41.93,39.2,39.13,41.93,,2048684
2007-12-12,40.546,38.67,38.14,40.51,,1966278
2007-12-13,38.57,38.4,37.6,38.26,,1484920
2007-12-14,38.42,37.41,37.38,38.05,,1239575
2007-12-17,37.91,37.13,37.03,37.13,,1430153
2007-12-18,38.33,38.08,36.9,37.47,,2537887
2007-12-19,38.3399,37.88,37.33,38.08,,1335898
2007-12-20,38.21,37.7,37.12,37.98,,1808101
2007-12-21,38.47,38.34,37.18,37.62,,1447320
2007-12-24,38.89,38.74,38.47,38.49,,2588573
2007-12-26,38.96,38.84,38.33,38.6,,936910
2007-12-27,38.682,37.55,37.37,38.37,,1705550
2007-12-28,37.86,36.86,36.81,37.86,,860521
2007-12-31,37.55,37.08,36.5,36.75,,1376311
2008-01-02,37.22,36.2,35.845,37.22,,1442639
2008-01-03,36.58,35.65,35.1,36.14,,3384125
2008-01-04,35.0,34.1699,33.98,35.0,,3214720
2008-01-07,35.46,34.67,34.0,34.33,,2696193
2008-01-08,35.14,33.2,33.138,34.95,,1507277
2008-01-09,33.47,33.45,32.05,33.01,,3146821
2008-01-10,34.64,33.96,31.75,32.76,,3891073
2008-01-11,34.43,33.54,33.21,33.8,,4306677
2008-01-14,33.95,33.43,32.9,33.76,,1797440
2008-01-15,33.05,32.71,32.17,33.0,,1421971
2008-01-16,34.07,33.49,32.51,32.9,,4126937
2008-01-17,33.6,32.29,32.2,33.6,,1845150
2008-01-18,32.77,31.82,31.29,32.42,,1711097
2008-01-22,33.89,32.94,30.25,30.5,,3423285
2008-01-23,36.21,35.92,31.92,32.51,,5010589
2008-01-24,36.86,36.5,35.62,36.27,,6385012
2008-01-25,37.04,35.65,35.48,36.76,,4161885
2008-01-28,37.08,37.04,34.89,35.71,,5021880
2008-01-29,37.64,37.61,36.09,37.29,,2784214
2008-01-30,40.0,37.23,37.11,37.68,,4645527
