Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,93.49,92.8,91.25,93.4,,1277600
2002-01-03,93.99,93.99,92.8,93.0,,852600
2002-01-04,95.19,94.72,93.35,94.35,,1013300
2002-01-07,95.45,94.15,94.0,95.25,,971000
2002-01-08,94.3,94.1,93.4,94.2,,1732100
2002-01-09,95.34,93.8,93.64,94.5,,876100
2002-01-10,94.43,94.35,93.6,94.1,,618900
2002-01-11,94.6,93.05,93.03,94.6,,656500
2002-01-14,93.25,91.85,91.56,92.95,,594400
2002-01-15,92.72,92.69,91.56,91.85,,4716700
2002-01-16,91.96,90.5,90.5,91.8,,1264600
2002-01-17,92.35,92.0,90.77,91.5,,1240800
2002-01-18,92.24,91.1,91.02,91.5,,834300
2002-01-22,91.92,90.65,90.26,91.75,,1735400
2002-01-23,91.95,91.84,90.27,90.65,,1580200
2002-01-24,93.0,92.75,92.2,92.4,,1118400
2002-01-25,93.26,92.9,92.26,92.35,,601400
2002-01-28,93.6,93.24,92.57,93.6,,867300
2002-01-29,93.55,91.55,91.01,93.55,,867900
2002-01-30,92.65,92.65,90.11,91.55,,1219700
2002-01-31,92.98,92.75,92.25,92.75,,713700
2002-02-01,93.19,92.3,92.18,92.5,,604400
2002-02-04,92.3,90.54,90.26,92.3,,1272500
2002-02-05,91.11,90.31,89.72,90.35,,1213800
2002-02-06,90.8,89.75,89.27,90.7,,869600
2002-02-07,89.8,88.76,88.76,89.8,,650000
2002-02-08,91.4,91.39,89.1,89.1,,1098300
2002-02-11,92.34,92.3,90.9,91.25,,1164700
2002-02-12,92.52,91.71,91.45,91.7,,642000
2002-02-13,93.0,92.89,92.17,92.35,,718000
2002-02-14,93.39,92.55,92.4,93.15,,1329100
2002-02-15,92.8,91.79,91.55,92.8,,601900
2002-02-19,91.38,90.11,89.98,91.37,,813100
2002-02-20,91.7,91.7,89.68,90.5,,1563900
2002-02-21,91.84,90.01,89.85,91.45,,2222200
2002-02-22,91.35,91.1,89.9,90.35,,1335600
2002-02-25,92.44,92.39,91.41,91.65,,1100500
2002-02-26,93.23,92.75,91.97,92.7,,1507900
2002-02-27,94.06,93.6,92.89,93.5,,810200
2002-02-28,93.85,92.55,92.5,93.6,,764000
2002-03-01,94.95,94.92,92.81,93.24,,1467800
2002-03-04,97.16,97.05,95.1,95.2,,1061000
2002-03-05,97.84,96.9,96.7,96.95,,802600
2002-03-06,98.45,98.33,96.27,97.08,,575500
2002-03-07,99.04,97.95,97.65,98.89,,905000
2002-03-08,99.3,98.69,98.1,99.3,,1720100
2002-03-11,99.13,98.5,98.01,98.31,,666200
2002-03-12,98.74,98.25,97.4,97.7,,1005400
2002-03-13,98.46,97.66,97.65,98.09,,657000
2002-03-14,98.26,97.85,97.55,97.65,,1562600
2002-03-15,98.69,98.62,97.66,98.25,,685100
2002-03-18,99.44,99.44,98.21,99.0,,797400
2002-03-19,99.81,99.44,99.2,99.5,,869200
2002-03-20,99.17,98.0,98.0,99.0,,879600
2002-03-21,99.15,98.94,97.5,98.45,,1692800
2002-03-22,99.0,98.35,98.05,99.0,,1150300
2002-03-25,98.39,96.55,96.37,98.35,,2370400
2002-03-26,98.04,98.04,96.6,96.6,,1651000
2002-03-27,98.95,98.65,97.76,97.85,,2791100
2002-03-28,99.67,98.8,98.65,99.0,,2542600
2002-04-01,99.45,99.22,97.64,98.95,,1016600
2002-04-02,99.06,98.05,98.0,98.7,,827200
2002-04-03,98.5,97.15,96.5,98.49,,842900
2002-04-04,97.54,97.44,96.35,96.5,,845900
2002-04-05,98.02,97.11,97.05,97.7,,807600
2002-04-08,98.6,98.6,96.1,96.1,,1733800
2002-04-09,99.1,98.2,97.9,98.65,,781800
2002-04-10,99.95,99.95,98.25,98.55,,1629800
2002-04-11,99.8,98.29,98.02,99.6,,1515200
2002-04-12,99.69,99.65,98.0,98.9,,1981800
2002-04-15,100.25,99.32,98.92,99.89,,1897100
2002-04-16,101.1,100.97,100.25,100.32,,1208900
2002-04-17,101.67,100.77,100.77,101.65,,1506900
2002-04-18,101.08,100.3,99.5,101.0,,1377200
2002-04-19,101.02,100.73,100.26,100.9,,797400
2002-04-22,100.39,99.46,99.26,100.25,,1288300
2002-04-23,99.82,99.5,99.05,99.35,,796400
