Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-04-18,50.92,50.92,50.92,50.92,1,400
2013-04-23,52.22,52.2199,52.2199,52.22,2,600
2013-04-24,51.7,51.56,51.56,51.7,4,1100
2013-04-25,51.81,51.81,51.81,51.81,1,350
2013-04-26,51.77,51.77,51.77,51.77,1,100
2013-04-29,52.2,52.07,51.85,51.85,20,4745
2013-04-30,51.93,51.84,51.62,51.62,8,1350
2013-05-01,51.8,51.8,51.8,51.8,1,100
2013-05-02,52.04,52.03,51.82,51.82,20,2500
2013-05-03,52.73,52.62,52.6,52.65,9,991
2013-05-06,53.06,52.54,52.4999,53.06,32,19430
2013-05-07,52.59,52.56,52.55,52.59,3,1500
2013-05-08,52.819,52.819,52.74,52.74,4,1600
2013-05-09,52.91,52.83,52.771,52.86,23,4677
2013-05-10,53.49,52.95,52.95,53.49,2,686
2013-05-13,53.2,53.0943,53.0943,53.19,6,4134
2013-05-14,53.56,53.554,53.3199,53.32,10,2158
2013-05-15,54.029,53.73,53.71,53.74,13,3347
2013-05-16,53.62,53.5,53.5,53.58,16,5670
2013-05-17,53.6,53.39,53.37,53.6,10,2745
2013-05-20,53.4,53.3199,53.3,53.4,12,4260
2013-05-21,53.5499,53.5499,53.54,53.54,4,600
2013-05-22,53.88,53.2632,53.2632,53.88,8,1814
2013-05-23,53.137,53.137,52.67,52.67,4,675
2013-05-24,53.18,53.17,53.13,53.18,4,1200
2013-05-28,53.86,53.409,53.26,53.81,16,3962
2013-05-29,53.0,52.69,52.618,53.0,8,2443
2013-05-30,52.92,52.73,52.73,52.89,45,12991
2013-05-31,52.54,52.0,52.0,52.53,8,2381
2013-06-03,51.71,51.71,51.44,51.5,11,2029
2013-06-04,51.68,51.68,51.275,51.64,20,8358
2013-06-05,51.27,50.97,50.81,51.26,11,5381
2013-06-06,51.35,51.35,50.66,50.66,5,9812
2013-06-07,52.21,52.21,51.91,52.01,5,1258
2013-06-10,53.0,52.11,52.0,53.0,16,8461
2013-06-11,52.13,51.87,51.59,51.59,31,14473
2013-06-12,52.14,51.33,51.3001,52.14,18,3380
2013-06-13,51.98,51.98,51.02,51.02,8,2074
2013-06-14,52.132,52.03,52.03,52.132,3,700
2013-06-17,52.5,52.15,52.15,52.4999,4,600
2013-06-18,52.4199,52.372,52.372,52.4199,2,1000
2013-06-19,52.5,51.87,51.87,52.5,6,1100
2013-06-20,51.1,50.19,50.19,51.1,11,2250
2013-06-21,50.62,50.44,50.0501,50.6199,11,1600
2013-06-24,50.1201,50.1201,49.71,50.07,3,515
2013-06-25,50.57,50.57,50.51,50.52,25,14520
2013-06-26,51.49,51.02,50.98,51.49,8,1306
2013-06-27,51.5,51.37,51.37,51.449,8,2411
2013-06-28,51.47,51.37,51.14,51.14,9,2429
2013-07-01,51.524,51.474,51.474,51.524,2,858
2013-07-02,51.6,51.372,51.372,51.6,3,1263
2013-07-03,51.431,51.431,51.21,51.21,2,671
2013-07-05,51.94,51.94,51.7,51.83,7,2192
2013-07-08,52.229,52.229,52.13,52.202,6,615
2013-07-09,52.67,52.59,52.558,52.558,8,1822
2013-07-10,52.68,52.608,52.608,52.62,6,201055
2013-07-11,53.58,53.5784,53.28,53.29,33,27287
2013-07-12,53.72,53.6999,53.54,53.62,23,10917
2013-07-15,53.91,53.82,53.702,53.71,42,102340
2013-07-16,53.93,53.61,53.5,53.9,13,37023
2013-07-17,53.86,53.86,53.74,53.75,84,33307
2013-07-18,54.11,54.11,53.89,53.89,49,30342
2013-07-19,54.389,54.348,54.28,54.28,7,1682
2013-07-22,55.05,54.419,54.34,55.05,8,1650
2013-07-23,54.5,54.33,54.27,54.5,9,1969
2013-07-24,54.48,54.14,54.022,54.48,75,88882
2013-07-25,54.55,54.55,54.16,54.26,62,127972
2013-07-26,54.68,54.68,54.124,54.34,27,31571
2013-07-29,54.71,54.6,54.413,54.71,20,4504
2013-07-30,54.79,54.4858,54.43,54.79,51,25633
2013-07-31,54.75,54.44,54.43,54.75,23,5114
2013-08-01,54.96,54.904,54.73,54.96,51,17117
2013-08-02,55.16,55.16,54.83,54.9,50,25446
2013-08-05,55.09,55.0,54.98,55.04,35,7523
2013-08-06,55.41,54.8,54.56,55.41,36,15124
2013-08-07,55.12,54.6,54.3723,55.12,53,57150
2013-08-08,54.8,54.66,54.47,54.8,34,5999
2013-08-09,54.85,54.522,54.38,54.85,41,7257
2013-08-12,54.77,54.3688,54.27,54.77,6,1200
2013-08-13,54.56,54.42,54.14,54.44,59,8454
2013-08-14,54.4,53.97,53.96,54.4,29,7585
2013-08-15,54.19,53.038,52.95,54.19,42,6260
2013-08-16,52.97,52.79,52.7,52.75,45,7594
2013-08-19,60.102,52.7,52.6,53.09,29,6325
2013-08-20,52.99,52.96,52.4,52.4,48,9912
2013-08-21,52.95,52.6046,52.42,52.95,38,10609
2013-08-22,55.2499,53.01,52.73,52.73,52,12353
2013-08-23,53.16,53.16,52.89,52.89,33,6351
2013-08-26,53.39,53.05,52.9683,53.24,29,7744
2013-08-27,52.59,52.29,52.29,52.517,25,6005
2013-08-28,52.56,52.4,51.86,51.86,47,7046
2013-08-29,52.83,52.67,52.67,52.75,19,5717
2013-08-30,52.55,52.4963,52.418,52.492,20,5989
2013-09-03,52.949,52.8,52.6015,52.8501,47,24715
2013-09-04,53.1,53.0,52.9,52.94,15,8050
2013-09-05,53.079,52.94,52.939,53.079,11,2972
2013-09-06,53.16,52.99,52.99,53.13,13,6213
2013-09-09,53.38,53.37,53.09,53.14,35,113317
2013-09-10,54.15,53.74,53.4922,54.15,51,12919
2013-09-11,53.87,53.87,53.569,53.669,15,3303
2013-09-12,54.12,53.99,53.65,53.65,69,27652
2013-09-13,54.2599,54.2463,54.13,54.13,10,3267
2013-09-16,54.7787,54.6302,54.5563,54.72,24,6114
2013-09-17,54.79,54.76,54.65,54.65,59,20911
2013-09-18,55.539,55.42,54.659,54.66,12,2407
2013-09-19,55.87,55.41,55.2847,55.87,42,17018
