Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2008-06-25,49.44,49.44,49.44,49.44,,1000
2008-06-26,50.37,50.15,50.15,50.37,,2100
2008-06-27,50.67,50.52,50.5,50.67,,6400
2008-06-30,50.9,50.46,50.39,50.9,,4900
2008-07-01,52.2,52.2,51.68,51.68,,2800
2008-07-02,51.96,51.96,51.66,51.67,,3900
2008-07-03,50.09,49.69,49.69,50.09,,200
2008-07-07,45.85,45.62,45.62,45.85,,1250
2008-07-08,46.84,46.62,46.46,46.46,,1100
2008-07-10,46.24,46.24,46.24,46.24,,130
2008-07-11,46.39,46.39,46.13,46.33,,8000
2008-07-14,46.83,46.83,46.39,46.39,,4744
2008-07-15,47.36,47.2,47.2,47.36,,2100
2008-07-16,48.23,48.2299,47.02,47.02,,2590
2008-07-17,47.96,45.97,45.97,47.96,,8650
2008-07-18,44.99,44.52,44.5,44.85,,4050
2008-07-21,44.77,44.65,44.61,44.61,,12900
2008-07-22,44.79,44.27,44.25,44.78,,17000
2008-07-24,43.92,43.74,43.74,43.92,,5900
2008-07-25,44.33,44.33,44.18,44.19,,2600
2008-07-28,44.55,44.39,44.39,44.55,,4100
2008-07-29,45.24,44.87,44.87,45.24,,11350
2008-07-30,44.99,44.985,44.2,44.99,,7400
2008-07-31,45.39,45.38,45.38,45.38,,1300
2008-08-04,46.1,43.48,43.46,46.1,,7700
2008-08-05,43.72,43.2101,43.17,43.72,,3200
2008-08-06,44.26,43.49,43.49,44.26,,500
2008-08-08,42.69,42.69,42.64,42.64,,600
2008-08-11,42.7,42.7,42.26,42.26,,3130
2008-08-12,43.03,42.978,42.978,43.01,,600
2008-08-13,42.79,42.79,41.97,42.32,,12600
2008-08-15,41.19,41.19,41.19,41.19,,2000
2008-08-20,42.13,41.73,41.68,42.13,,3700
2008-08-21,45.05,44.93,44.53,44.53,,390
2008-08-22,44.53,44.53,44.53,44.53,,300
2008-08-27,47.0,46.8,46.69,47.0,,3960
2008-08-28,46.76,45.35,45.35,46.7,,3400
2008-08-29,46.71,45.89,45.88,46.71,,3400
2008-09-02,42.55,42.39,42.19,42.19,,3800
2008-09-03,42.98,42.63,42.56,42.76,,7912
2008-09-04,42.31,42.31,42.31,42.31,,800
2008-09-05,42.0,41.71,41.71,41.89,,2700
2008-09-08,40.86,40.77,40.16,40.16,,2063
2008-09-09,40.61,40.61,40.41,40.41,,2800
2008-09-10,41.07,41.07,40.92,40.92,,2400
2008-09-11,40.29,40.29,40.05,40.07,,7300
2008-09-15,41.3,41.28,40.62,40.62,,3700
2008-09-16,40.63,40.5,40.24,40.63,,7000
2008-09-17,41.27,40.9,40.22,40.4,,14500
2008-09-18,42.42,42.1,41.96,42.42,,4900
2008-09-19,42.39,42.39,42.39,42.39,,1000
2008-09-22,43.42,43.42,42.19,43.2,,1837
2008-09-23,42.98,42.98,42.88,42.88,,600
2008-09-25,43.64,43.64,43.64,43.64,,200
2008-09-26,43.3,43.3,43.3,43.3,,500
2008-09-29,39.932,39.932,39.88,39.88,,209
2008-09-30,40.31,40.31,40.17,40.17,,1100
2008-10-02,38.57,38.57,38.49,38.49,,1150
2008-10-03,39.27,39.215,38.91,39.27,,6094
2008-10-06,38.31,37.91,37.9,38.25,,1600
2008-10-08,37.52,37.52,37.5,37.5,,1000
2008-10-09,37.04,37.04,36.85,36.85,,1300
2008-10-13,36.1,35.89,35.75,36.1,,1500
2008-10-16,33.433,33.433,33.433,33.433,,155
2008-10-17,33.73,33.73,33.58,33.71,,1900
2008-10-20,33.41,32.84,32.84,33.41,,3000
2008-10-22,31.64,31.64,31.57,31.57,,332
2008-10-23,31.44,31.35,31.35,31.4,,2300
2008-10-24,31.5,31.5,31.07,31.07,,8700
2008-10-28,31.34,31.31,31.31,31.34,,1800
2008-10-29,33.95,33.95,33.87,33.87,,2200
2008-10-30,33.25,32.99,32.99,33.1,,1700
2008-10-31,32.65,32.45,32.45,32.65,,2000
2008-11-03,31.9,31.9,31.9,31.9,,200
2008-11-05,32.34,31.23,31.14,32.31,,10323
