Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-12,25.44,25.42,25.2,25.25,,10800
2006-10-13,25.55,25.51,25.51,25.55,,600
2006-10-16,25.61,25.59,25.59,25.61,,1900
2006-10-17,25.55,25.45,25.32,25.55,,1300
2006-10-18,25.75,25.59,25.58,25.75,,800
2006-10-19,25.58,25.58,25.58,25.58,,200
2006-10-20,25.58,25.58,25.58,25.58,,100
2006-10-23,25.74,25.69,25.38,25.46,,151700
2006-10-24,25.86,25.86,25.76,25.76,,10500
2006-10-25,26.0,25.71,25.71,26.0,,60100
2006-10-26,26.15,26.15,26.15,26.15,,200
2006-10-27,26.07,25.89,25.89,25.94,,31000
2006-10-30,26.09,26.09,25.7,25.73,,2600
2006-10-31,26.2,25.89,25.89,26.2,,4400
2006-11-01,26.04,25.55,25.55,26.04,,5900
2006-11-02,25.4,25.4,25.3,25.35,,2700
2006-11-03,25.33,25.33,25.33,25.33,,400
2006-11-06,25.65,25.65,25.65,25.65,,200
2006-11-07,25.9,25.81,25.81,25.87,,4400
2006-11-08,25.88,25.88,25.88,25.88,,100
2006-11-10,25.9,25.9,25.9,25.9,,100
2006-11-13,26.01,26.01,26.01,26.01,,200
2006-11-14,26.39,26.39,25.96,26.0,,29100
2006-11-15,26.68,26.6201,26.6037,26.68,,25400
2006-11-16,26.54,26.54,26.54,26.54,,10000
2006-11-17,26.43,26.43,26.38,26.38,,600
2006-11-20,26.6,26.51,26.47,26.6,,10600
2006-11-22,26.94,26.94,26.94,26.94,,200
2006-11-24,26.88,26.88,26.85,26.85,,300
2006-11-27,26.69,26.38,26.38,26.69,,30400
2006-11-28,26.31,26.31,26.17,26.17,,10400
2006-11-29,26.64,26.64,26.64,26.64,,100
2006-11-30,26.65,26.62,26.47,26.47,,1200
2006-12-01,26.44,26.32,26.29,26.41,,16400
2006-12-04,27.05,27.02,26.76,26.76,,25300
2006-12-05,27.11,27.07,27.07,27.11,,900
2006-12-06,27.07,27.07,27.07,27.07,,100
2006-12-07,27.0,26.9,26.87,27.0,,31100
2006-12-08,26.81,26.81,26.73,26.73,,1200
2006-12-12,26.79,26.75,26.75,26.79,,600
2006-12-13,26.9,26.89,26.86,26.86,,32100
2006-12-14,27.2,27.19,27.19,27.2,,700
2006-12-15,27.07,26.98,26.98,27.07,,300
2006-12-18,26.68,26.65,26.65,26.68,,1200
2006-12-19,26.67,26.67,26.42,26.48,,7800
2006-12-20,26.84,26.84,26.81,26.81,,300
2006-12-21,26.81,26.62,26.6,26.6,,20600
2006-12-22,26.7,26.7,26.68,26.69,,1000
2006-12-26,26.66,26.61,26.57,26.57,,1900
2006-12-27,26.97,26.97,26.85,26.85,,1500
2006-12-28,26.97,26.91,26.91,26.97,,600
2006-12-29,26.91,26.75,26.73,26.91,,2400
2007-01-03,26.95,26.95,26.86,26.86,,3400
2007-01-09,27.19,27.19,27.13,27.13,,800
2007-01-10,27.25,27.25,27.1,27.1,,400
2007-01-11,27.63,27.63,27.63,27.63,,500
2007-01-16,28.04,27.81,27.76,28.0,,106700
2007-01-17,27.88,27.73,27.68,27.88,,39900
2007-01-18,27.85,27.67,27.67,27.7401,,242400
2007-01-19,27.7,27.53,27.53,27.7,,6400
2007-01-22,27.71,27.49,27.49,27.71,,1700
2007-01-23,27.64,27.52,27.44,27.55,,12700
2007-01-24,27.74,27.73,27.63,27.63,,5100
2007-01-25,27.73,27.29,27.23,27.73,,9900
2007-01-26,27.4,27.32,27.21,27.4,,800
2007-01-29,27.4501,27.43,27.32,27.4501,,5900
2007-01-30,27.49,27.45,27.42,27.49,,2500
2007-01-31,27.74,27.74,27.5,27.5,,1700
2007-02-01,27.97,27.97,27.84,27.84,,5800
2007-02-02,28.2,28.04,27.97,28.2,,4300
2007-02-05,28.02,27.97,27.97,27.98,,2300
2007-02-06,28.15,28.12,28.0,28.15,,12800
2007-02-07,28.29,28.2496,28.2495,28.29,,1700
2007-02-08,28.4,28.37,28.29,28.29,,8400
2007-02-09,28.24,27.9699,27.9699,28.24,,300
2007-02-12,27.92,27.92,27.89,27.89,,700
2007-02-13,28.02,28.02,28.01,28.01,,900
2007-02-14,28.26,28.26,28.239,28.239,,200
2007-02-15,28.49,28.46,28.32,28.35,,1500
2007-02-16,28.42,28.35,28.35,28.42,,1200
2007-02-20,28.86,28.81,28.77,28.77,,1500
2007-02-21,28.82,28.79,28.73,28.82,,1900
2007-02-22,28.83,28.69,28.69,28.73,,2600
2007-02-23,28.67,28.66,28.66,28.67,,1100
2007-02-26,28.68,28.37,28.37,28.68,,1600
2007-02-27,27.75,27.34,27.33,27.74,,3700
2007-02-28,27.71,27.71,27.56,27.61,,600
2007-03-01,27.63,27.6,27.18,27.18,,1300
2007-03-02,27.48,27.43,27.36,27.45,,6200
2007-03-05,27.13,26.96,26.96,27.1,,5900
2007-03-06,27.43,27.37,27.11,27.16,,2700
2007-03-07,27.49,27.41,27.25,27.34,,12400
2007-03-08,27.92,27.81,27.73,27.73,,6700
2007-03-12,27.94,27.94,27.94,27.94,,500
2007-03-13,27.81,27.5,27.46,27.81,,2100
2007-03-14,27.49,27.36,27.36,27.49,,3500
2007-03-15,27.67,27.64,27.59,27.59,,2400
2007-03-16,27.69,27.51,27.51,27.6,,5100
2007-03-19,27.81,27.81,27.81,27.81,,200
2007-03-20,27.98,27.98,27.9,27.9,,900
2007-03-21,28.3,28.3,28.03,28.03,,1600
2007-03-22,28.38,28.38,28.27,28.27,,17300
2007-03-23,28.44,28.44,28.27,28.27,,6300
2007-03-26,28.41,28.37,28.17,28.41,,28600
2007-03-27,28.27,28.12,28.12,28.27,,2100
2007-03-28,27.91,27.9,27.89,27.91,,1600
2007-03-29,27.97,27.81,27.81,27.97,,5500
2007-03-30,28.1,27.86,27.86,28.1,,1400
2007-04-02,28.18,28.16,28.05,28.05,,1400
2007-04-03,28.6,28.43,28.36,28.36,,7000
2007-04-04,28.54,28.5,28.46,28.46,,1200
2007-04-05,28.67,28.67,28.54,28.54,,4400
2007-04-09,28.64,28.6,28.57,28.57,,2600
2007-04-10,28.66,28.63,28.63,28.66,,1100
2007-04-11,28.55,28.39,28.39,28.4,,2100
2007-04-12,28.57,28.57,28.37,28.37,,1400
2007-04-13,28.51,28.5,28.47,28.5,,2100
2007-04-16,28.84,28.84,28.72,28.72,,6700
2007-04-17,28.9,28.88,28.76,28.9,,16200
2007-04-18,28.92,28.88,28.83,28.85,,3100
2007-04-19,28.68,28.64,28.63,28.63,,1600
2007-04-20,28.96,28.9,28.86,28.86,,4200
2007-04-23,28.92,28.88,28.88,28.92,,1900
2007-04-24,28.8,28.62,28.62,28.8,,12200
2007-04-25,28.85,28.81,28.81,28.85,,600
2007-04-26,29.07,29.07,29.07,29.07,,200
2007-04-27,29.15,29.11,28.95,28.95,,3100
2007-04-30,29.15,28.62,28.62,29.15,,5600
2007-05-01,28.68,28.68,28.52,28.58,,1500
2007-05-02,28.93,28.92,28.92,28.93,,900
2007-05-03,28.79,28.78,28.76,28.78,,4100
2007-05-04,28.83,28.8,28.8,28.8,,5000
2007-05-07,28.87,28.78,28.78,28.81,,6400
2007-05-08,28.74,28.7,28.6,28.74,,3700
2007-05-10,28.83,28.58,28.58,28.83,,1200
2007-05-11,28.64,28.64,28.64,28.64,,700
2007-05-14,28.72,28.64,28.64,28.72,,1500
2007-05-15,28.61,28.54,28.54,28.61,,2000
2007-05-16,28.64,28.64,28.56,28.6,,5900
2007-05-17,28.74,28.74,28.72,28.74,,900
2007-05-18,28.89,28.86,28.68,28.68,,1800
2007-05-22,29.26,29.24,29.07,29.1,,1900
2007-05-23,29.35,29.14,29.14,29.27,,2000
