Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-12,25.18,25.17,25.04,25.06,,21600
2006-10-13,25.32,25.32,25.32,25.32,,400
2006-10-16,25.32,25.27,25.27,25.32,,800
2006-10-17,25.21,25.21,25.08,25.1,,1800
2006-10-18,25.4,25.28,25.25,25.4,,1300
2006-10-19,25.09,25.09,25.09,25.09,,500
2006-10-20,25.2,25.17,25.17,25.2,,1100
2006-10-23,25.07,25.07,25.07,25.07,,200
2006-10-24,25.09,25.09,25.05,25.05,,3000
2006-10-25,25.14,25.0,25.0,25.14,,1000
2006-10-26,25.31,25.31,25.15,25.15,,61600
2006-10-27,25.17,25.17,25.17,25.17,,1500
2006-10-30,25.02,25.02,25.02,25.02,,100
2006-10-31,25.22,24.98,24.98,25.22,,2400
2006-11-01,24.91,24.73,24.73,24.91,,6900
2006-11-02,24.63,24.59,24.57,24.63,,700
2006-11-03,24.73,24.69,24.66,24.73,,2000
2006-11-06,24.99,24.99,24.87,24.87,,2400
2006-11-07,25.17,25.09,25.05,25.05,,1400
2006-11-08,25.23,25.23,24.95,25.06,,1400
2006-11-09,25.13,25.13,25.13,25.13,,200
2006-11-10,25.03,24.97,24.97,24.99,,1200
2006-11-13,25.2,25.13,25.13,25.18,,72000
2006-11-14,25.25,25.25,25.05,25.05,,14600
2006-11-15,25.44,25.44,25.42,25.42,,1000
2006-11-16,25.51,25.5,25.47,25.47,,500
2006-11-17,25.57,25.52,25.5,25.57,,1900
2006-11-20,25.56,25.54,25.5,25.56,,1900
2006-11-21,25.63,25.57,25.56,25.63,,2300
2006-11-22,25.64,25.64,25.64,25.64,,500
2006-11-24,25.55,25.55,25.55,25.55,,500
2006-11-27,25.59,25.16,25.15,25.59,,900
2006-11-28,25.2299,25.22,25.11,25.11,,900
2006-11-29,25.38,25.37,25.33,25.33,,800
2006-11-30,25.27,25.27,25.27,25.27,,200
2006-12-01,25.39,25.19,25.16,25.39,,600
2006-12-04,25.52,25.48,25.41,25.41,,62700
2006-12-05,25.67,25.62,25.58,25.58,,62600
2006-12-06,25.71,25.68,25.68,25.71,,1600
2006-12-07,25.63,25.59,25.59,25.63,,1100
2006-12-08,25.62,25.59,25.55,25.56,,1300
2006-12-11,25.6599,25.65,25.65,25.6599,,400
2006-12-12,25.71,25.71,25.69,25.69,,300
2006-12-13,25.78,25.74,25.68,25.78,,3500
