Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-12,25.24,25.24,25.16,25.16,,29400
2006-10-13,25.22,25.2,25.2,25.22,,700
2006-10-16,25.25,25.25,25.25,25.25,,1600
2006-10-17,25.34,25.34,25.15,25.18,,35000
2006-10-18,25.36,25.33,25.28,25.36,,19300
2006-10-19,25.3,25.29,25.21,25.22,,25300
2006-10-20,25.36,25.36,25.28,25.33,,2400
2006-10-23,25.4,25.4,25.4,25.4,,200
2006-10-24,25.43,25.43,25.4,25.41,,1400
2006-10-25,25.51,25.46,25.46,25.5,,24800
2006-10-26,25.64,25.64,25.51,25.51,,1500
2006-10-27,25.61,25.61,25.53,25.53,,1600
2006-10-30,25.43,25.43,25.39,25.39,,500
2006-10-31,25.54,25.41,25.41,25.54,,3300
2006-11-01,25.37,25.18,25.18,25.37,,6600
2006-11-02,25.11,25.11,25.11,25.11,,200
2006-11-03,24.99,24.97,24.97,24.99,,900
2006-11-06,25.19,25.19,25.19,25.19,,100
2006-11-07,25.29,25.25,25.25,25.26,,151300
2006-11-08,25.477,25.47,25.27,25.27,,60400
2006-11-10,25.37,25.37,25.36,25.36,,3100
2006-11-14,25.54,25.54,25.4,25.42,,10600
2006-11-16,25.75,25.75,25.75,25.75,,300
2006-11-17,25.69,25.69,25.65,25.68,,1000
2006-11-20,25.76,25.76,25.75,25.76,,1600
2006-11-21,25.77,25.74,25.74,25.77,,2100
2006-11-22,25.77,25.77,25.77,25.77,,400
2006-11-24,25.73,25.73,25.73,25.73,,300
2006-11-27,25.42,25.42,25.42,25.42,,100
2006-11-29,25.72,25.72,25.68,25.68,,200
2006-11-30,25.79,25.79,25.69,25.69,,1200
2006-12-01,25.66,25.66,25.5,25.65,,6600
2006-12-04,26.04,26.04,25.85,25.89,,19000
2006-12-05,26.23,26.23,26.17,26.19,,3000
2006-12-06,26.18,26.18,26.18,26.18,,100
2006-12-07,26.23,26.15,26.15,26.23,,1800
2006-12-08,26.2,26.2,26.2,26.2,,100
2006-12-11,26.22,26.22,26.22,26.22,,1000
2006-12-14,26.51,26.43,26.43,26.51,,1500
2006-12-15,26.17,26.17,26.17,26.17,,5400
2006-12-18,26.16,26.04,26.04,26.16,,1000
2006-12-19,26.13,26.13,26.03,26.07,,4100
2006-12-20,26.17,26.13,26.13,26.13,,1000
2006-12-22,26.15,26.15,26.15,26.15,,400
2006-12-26,26.27,26.27,26.19,26.2101,,900
2006-12-27,26.4,26.4,26.35,26.35,,19000
2006-12-28,26.43,26.39,26.39,26.41,,500
2006-12-29,26.38,26.31,26.31,26.38,,600
2007-01-03,26.34,26.16,26.16,26.34,,300
2007-01-04,26.34,26.34,26.13,26.3,,4200
2007-01-05,26.15,26.11,26.1,26.15,,500
2007-01-08,26.1,26.09,26.04,26.04,,1800
2007-01-09,26.2,26.2,26.17,26.17,,700
2007-01-10,26.31,26.31,26.18,26.18,,400
2007-01-11,26.59,26.56,26.4,26.4,,2000
2007-01-12,26.6,26.58,26.55,26.6,,900
2007-01-16,26.58,26.54,26.54,26.58,,400
2007-01-17,26.61,26.54,26.53,26.56,,3700
2007-01-18,26.6,26.57,26.43,26.56,,3300
2007-01-19,26.58,26.58,26.5,26.52,,800
2007-01-22,26.7,26.66,26.6,26.7,,2900
2007-01-23,26.77,26.72,26.68,26.68,,3800
2007-01-24,26.78,26.72,26.7,26.78,,7000
2007-01-25,26.82,26.61,26.61,26.82,,4400
2007-01-26,26.7,26.7,26.58,26.69,,3100
2007-01-29,26.81,26.81,26.78,26.81,,1200
2007-01-30,26.8,26.78,26.77,26.79,,1700
2007-01-31,26.86,26.86,26.79,26.79,,3300
2007-02-01,27.04,27.04,27.02,27.02,,700
2007-02-02,27.23,27.06,27.06,27.23,,1900
2007-02-05,27.01,26.97,26.97,27.01,,1300
2007-02-06,27.05,26.89,26.88,27.05,,1500
2007-02-07,26.97,26.95,26.93,26.93,,4000
2007-02-08,26.92,26.92,26.85,26.89,,2400
2007-02-09,26.98,26.85,26.84,26.96,,44200
2007-02-12,26.92,26.87,26.87,26.92,,1800
2007-02-13,27.19,27.04,26.99,26.9999,,37700
2007-02-14,27.21,27.2,27.12,27.12,,13500
2007-02-15,27.39,27.33,27.3,27.32,,32100
2007-02-16,27.37,27.35,27.34,27.34,,19900
2007-02-20,27.47,27.47,27.35,27.4,,48100
2007-02-21,27.55,27.54,27.51,27.55,,17300
2007-02-22,27.51,27.39,27.28,27.51,,3800
2007-02-23,27.44,27.36,27.32,27.44,,2800
2007-02-26,27.38,27.33,27.28,27.38,,20200
2007-02-27,27.25,26.49,26.49,27.25,,10200
2007-02-28,26.76,26.7,26.64,26.68,,7200
2007-03-01,26.72,26.62,26.15,26.15,,5600
2007-03-02,26.75,26.3,26.3,26.75,,3600
2007-03-05,26.25,26.24,26.08,26.08,,2000
2007-03-06,26.52,26.52,26.29,26.3,,10800
2007-03-07,26.47,26.31,26.3,26.42,,31400
2007-03-08,27.05,26.57,26.49,26.62,,15300
2007-03-09,26.73,26.72,26.56,26.73,,5300
2007-03-12,26.9,26.9,26.71,26.76,,6100
2007-03-13,26.8,26.46,26.46,26.8,,9500
2007-03-14,26.61,26.52,26.37,26.52,,7700
2007-03-15,26.71,26.71,26.61,26.64,,4900
2007-03-16,26.7,26.54,26.51,26.7,,5600
2007-03-19,26.83,26.74,26.74,26.83,,2000
2007-03-20,26.96,26.96,26.8,26.8,,2600
2007-03-21,27.37,27.34,27.12,27.12,,7400
2007-03-22,27.55,27.41,27.41,27.55,,3600
2007-03-23,27.53,27.53,27.471,27.471,,4600
2007-03-26,27.7,27.56,27.39,27.7,,6700
2007-03-27,27.4,27.36,27.3,27.4,,800
2007-03-28,27.43,27.31,27.2101,27.24,,18500
2007-03-29,27.45,27.45,27.4,27.45,,6100
2007-03-30,27.6,27.48,27.34,27.6,,2600
2007-04-02,27.64,27.62,27.54,27.57,,4400
2007-04-03,27.88,27.85,27.79,27.81,,5300
2007-04-04,27.86,27.84,27.79,27.79,,1400
2007-04-05,27.89,27.85,27.84,27.85,,3300
2007-04-09,27.94,27.82,27.82,27.94,,8800
2007-04-10,27.91,27.91,27.84,27.86,,7500
2007-04-11,27.85,27.77,27.75,27.85,,5200
2007-04-12,27.82,27.81,27.6801,27.6801,,3400
2007-04-13,27.92,27.92,27.85,27.85,,700
2007-04-16,28.08,28.07,28.05,28.06,,3500
2007-04-17,28.3,28.3,28.1,28.1,,6400
2007-04-18,28.15,28.11,28.1,28.15,,2500
2007-04-19,28.15,28.03,28.01,28.01,,2800
2007-04-20,28.35,28.32,28.3,28.34,,22700
2007-04-23,28.42,28.4,28.37,28.42,,8900
2007-04-24,28.49,28.43,28.3,28.45,,11600
2007-04-25,28.54,28.53,28.43,28.53,,21400
2007-04-26,28.47,28.47,28.45,28.47,,3000
2007-04-27,28.39,28.37,28.34,28.39,,3000
2007-04-30,28.46,28.2,28.2,28.43,,4100
2007-05-01,28.28,28.28,28.13,28.13,,6700
2007-05-02,28.49,28.44,28.33,28.33,,2100
2007-05-03,28.4834,28.45,28.33,28.42,,12900
2007-05-04,28.45,28.4,28.33,28.44,,11700
2007-05-07,28.52,28.42,28.41,28.49,,12800
2007-05-08,28.39,28.3444,28.31,28.39,,3500
2007-05-09,28.42,28.31,28.31,28.37,,4600
2007-05-10,28.29,28.1,28.04,28.29,,17100
2007-05-11,28.17,28.16,28.09,28.09,,3700
2007-05-14,28.21,28.05,28.05,28.14,,7900
