Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-24,25.12,25.1,25.03,25.05,,92300
2006-10-25,25.26,25.26,25.1,25.12,,132600
2006-10-26,25.63,25.6,25.27,25.4,,161200
2006-10-27,25.6,25.42,25.419,25.56,,52000
2006-10-30,25.63,25.59,25.3486,25.37,,31600
2006-10-31,25.75,25.64,25.55,25.75,,69200
2006-11-01,25.76,25.19,25.16,25.75,,22900
2006-11-02,25.2,25.1,24.88,25.15,,272600
2006-11-03,25.27,25.18,25.0,25.26,,32000
2006-11-06,25.5897,25.5,25.35,25.35,,16700
2006-11-07,25.75,25.58,25.58,25.63,,107300
2006-11-08,25.82,25.73,25.47,25.52,,19900
2006-11-09,25.62,25.39,25.33,25.62,,34100
2006-11-10,25.54,25.54,25.31,25.4,,45100
2006-11-13,25.69,25.65,25.58,25.58,,32900
2006-11-14,25.88,25.88,25.5798,25.71,,16700
2006-11-15,26.07,26.02,25.9,25.91,,36500
2006-11-16,26.11,26.1,25.9822,26.03,,58000
2006-11-17,26.1,26.09,25.9003,26.0,,30800
2006-11-20,26.18,26.02,26.0,26.11,,52100
2006-11-21,26.14,26.1,26.03,26.08,,38800
2006-11-22,26.2,26.19,26.1099,26.2,,21500
2006-11-24,26.2,26.16,26.05,26.12,,10400
2006-11-27,26.15,25.67,25.67,26.15,,41500
2006-11-28,25.75,25.73,25.53,25.69,,52900
2006-11-29,26.03,26.02,25.79,25.86,,50200
2006-11-30,26.23,26.17,25.93,26.01,,36700
2006-12-01,26.21,26.01,25.83,26.21,,18700
2006-12-04,26.37,26.37,26.0999,26.1,,41500
2006-12-05,26.62,26.56,26.36,26.5,,39000
2006-12-06,26.61,26.5,26.46,26.55,,60700
2006-12-07,26.62,26.52,26.5,26.54,,27000
2006-12-08,26.67,26.48,26.46,26.57,,36900
2006-12-11,26.58,26.52,26.45,26.5,,26500
2006-12-12,26.58,26.55,26.411,26.54,,37100
2006-12-13,26.65,26.45,26.4,26.65,,32800
2006-12-14,26.6,26.56,26.49,26.49,,89400
2006-12-15,26.43,26.36,26.31,26.42,,70500
2006-12-18,26.45,26.25,26.19,26.39,,56400
2006-12-19,26.34,26.3,26.1682,26.23,,31600
2006-12-20,26.52,26.5,26.39,26.39,,35800
2006-12-21,26.5799,26.39,26.34,26.52,,51800
2006-12-22,26.41,26.32,26.25,26.41,,56500
2006-12-26,26.52,26.52,26.4,26.4,,22300
2006-12-27,26.72,26.72,26.63,26.66,,20100
2006-12-28,26.7499,26.69,26.6099,26.74,,52400
2006-12-29,26.73,26.54,26.51,26.66,,26900
2007-01-03,26.93,26.79,26.6,26.74,,55000
2007-01-04,26.78,26.76,26.56,26.7,,49300
2007-01-05,26.65,26.32,26.28,26.65,,104200
2007-01-08,26.42,26.38,26.14,26.26,,63400
2007-01-09,26.49,26.47,26.2,26.43,,38300
2007-01-10,26.4,26.4,26.2,26.36,,31800
2007-01-11,26.53,26.52,26.35,26.35,,83000
2007-01-12,26.66,26.65,26.52,26.52,,167600
2007-01-16,26.72,26.52,26.47,26.71,,47600
2007-01-17,26.54,26.44,26.38,26.48,,35500
2007-01-18,26.5,26.33,26.2901,26.5,,38400
2007-01-19,26.4899,26.46,26.26,26.32,,31500
2007-01-22,26.47,26.22,26.13,26.47,,28000
2007-01-23,26.36,26.29,26.08,26.19,,107000
2007-01-24,26.67,26.67,26.37,26.38,,19600
2007-01-25,26.69,26.39,26.3101,26.69,,73600
2007-01-26,26.43,26.4,26.2001,26.4,,84400
2007-01-29,26.61,26.57,26.4,26.42,,45400
2007-01-30,26.64,26.6,26.51,26.64,,134700
2007-01-31,26.77,26.7,26.53,26.61,,66200
