Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-23,25.65,25.62,25.62,25.65,,500
2006-10-24,25.5,25.41,25.41,25.5,,400
2006-10-26,25.61,25.61,25.61,25.61,,100
2006-10-27,25.54,25.52,25.52,25.54,,500
2006-10-31,25.55,25.55,25.55,25.55,,100
2006-11-03,25.05,25.02,24.84,24.91,,3900
2006-11-06,25.47,25.47,25.1,25.1,,700
2006-11-07,25.72,25.67,25.67,25.72,,700
2006-11-08,25.56,25.56,25.56,25.56,,100
2006-11-13,25.89,25.89,25.89,25.89,,800
2006-11-14,25.77,25.77,25.77,25.77,,1500
2006-11-15,26.33,26.31,26.3,26.3,,700
2006-11-16,26.19,26.19,26.15,26.17,,400
2006-11-17,26.1,26.1,26.09,26.09,,600
2006-11-22,26.35,26.35,26.35,26.35,,100
2006-11-27,25.92,25.63,25.63,25.92,,10100
2006-11-28,25.57,25.57,25.57,25.57,,100
2006-11-29,25.87,25.83,25.68,25.76,,600
2006-11-30,26.07,26.07,26.07,26.07,,100
2006-12-01,25.75,25.75,25.75,25.75,,10000
2006-12-04,26.05,26.05,26.05,26.05,,100
2006-12-05,26.34,26.34,26.34,26.34,,100
2006-12-06,26.34,26.34,26.25,26.25,,300
2006-12-07,26.06,26.06,26.06,26.06,,100
2006-12-08,26.12,26.12,25.95,25.95,,200
2006-12-11,26.09,26.09,26.09,26.09,,100
2006-12-12,25.93,25.9,25.85,25.85,,500
2006-12-13,26.14,26.13,26.13,26.14,,1000
2006-12-18,26.18,25.99,25.99,26.18,,500
2006-12-19,25.97,25.97,25.92,25.92,,1500
2006-12-21,26.08,26.08,26.08,26.08,,300
2006-12-27,26.14,26.13,26.13,26.14,,200
2006-12-29,25.97,25.97,25.97,25.97,,400
2007-01-03,26.18,26.18,26.17,26.17,,10600
2007-01-04,26.26,26.26,25.86,25.86,,10500
2007-01-05,25.94,25.82,25.82,25.94,,300
2007-01-09,25.89,25.88,25.88,25.89,,200
2007-01-12,26.37,26.37,26.37,26.37,,100
2007-01-16,26.39,26.33,26.24,26.39,,1100
2007-01-17,26.38,26.25,26.24,26.38,,500
2007-01-18,25.78,25.62,25.62,25.78,,900
2007-01-22,25.55,25.55,25.55,25.55,,100
2007-01-23,25.76,25.76,25.76,25.76,,100
2007-01-24,26.06,26.06,26.06,26.06,,200
2007-01-29,25.89,25.89,25.89,25.89,,100
2007-02-01,26.28,26.28,26.28,26.28,,100
2007-02-02,26.41,26.38,26.38,26.41,,300
2007-02-06,26.45,26.45,26.42,26.42,,500
2007-02-08,26.82,26.76,26.74,26.74,,2500
2007-02-09,26.78,26.78,26.78,26.78,,100
2007-02-13,26.43,26.43,26.42,26.42,,400
2007-02-20,26.99,26.99,26.99,26.99,,1100
2007-02-21,27.0,27.0,26.97,26.97,,500
2007-02-22,27.01,27.0,26.99,26.99,,300
2007-02-23,27.07,27.07,27.05,27.05,,900
2007-02-26,26.94,26.93,26.93,26.94,,200
2007-02-27,26.51,25.97,25.97,26.51,,1300
2007-02-28,26.01,25.94,25.63,25.63,,600
2007-03-05,25.59,25.59,25.29,25.31,,3100
2007-03-06,25.84,25.84,25.65,25.65,,1600
2007-03-07,25.8,25.71,25.71,25.8,,1600
