Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2005-10-26,15.51,15.38,15.32,15.38,,51500
2005-10-27,15.27,15.27,15.12,15.12,,12300
2005-10-28,15.5099,15.5099,15.28,15.31,,3700
2005-10-31,15.73,15.73,15.62,15.62,,3300
2005-11-01,15.55,15.44,15.41,15.55,,18500
2005-11-02,15.45,15.45,15.41,15.41,,3800
2005-11-03,15.5399,15.46,15.46,15.5399,,3700
2005-11-04,15.45,15.45,15.45,15.45,,300
2005-11-07,15.4,15.3,15.2501,15.4,,1700
2005-11-08,15.29,15.24,15.22,15.25,,3000
2005-11-09,15.45,15.41,15.29,15.33,,5700
2005-11-10,15.39,15.1,15.1,15.39,,1300
2005-11-11,15.24,15.21,15.18,15.24,,2400
2005-11-14,15.19,15.17,15.17,15.19,,600
2005-11-15,15.21,15.13,15.11,15.13,,9300
2005-11-16,15.21,15.18,15.17,15.21,,2100
2005-11-17,15.41,15.41,15.339,15.339,,2500
2005-11-18,15.48,15.39,15.39,15.4601,,6700
2005-11-21,15.48,15.48,15.43,15.43,,4300
2005-11-22,15.52,15.52,15.431,15.5,,7700
2005-11-23,15.64,15.64,15.43,15.43,,3900
2005-11-25,15.73,15.67,15.67,15.73,,5500
2005-11-28,15.75,15.63,15.62,15.75,,3400
2005-11-29,15.76,15.66,15.66,15.74,,6300
2005-11-30,15.71,15.57,15.57,15.67,,2700
2005-12-01,15.7,15.69,15.57,15.57,,3100
2005-12-02,15.82,15.66,15.61,15.69,,24100
2005-12-05,15.7,15.62,15.53,15.7,,4900
2005-12-06,15.73,15.64,15.64,15.72,,23900
2005-12-07,15.67,15.54,15.51,15.66,,1700
2005-12-08,15.72,15.61,15.5,15.5,,7200
2005-12-09,15.89,15.89,15.67,15.67,,6700
2005-12-12,15.97,15.78,15.78,15.97,,3200
2005-12-13,15.91,15.9,15.82,15.82,,9200
2005-12-14,16.18,16.12,16.08,16.1,,27300
2005-12-15,16.18,16.13,16.09,16.16,,22600
2005-12-16,16.11,16.07,16.05,16.05,,5600
2005-12-19,16.02,15.84,15.79,16.02,,29800
2005-12-20,15.91,15.88,15.79,15.79,,2700
2005-12-21,15.94,15.74,15.74,15.92,,8000
2005-12-22,15.83,15.8,15.74,15.74,,4100
2005-12-23,15.87,15.87,15.83,15.86,,4900
2005-12-27,15.84,15.74,15.74,15.84,,2300
2005-12-28,15.76,15.71,15.66,15.75,,10000
2005-12-29,15.71,15.67,15.67,15.69,,1800
2005-12-30,15.65,15.61,15.512,15.56,,3800
2006-01-03,15.9,15.9,15.57,15.75,,6100
2006-01-04,16.05,15.9,15.83,16.05,,10200
2006-01-05,16.03,15.91,15.91,16.03,,3000
2006-01-06,16.1,16.1,15.95,15.95,,700
2006-01-09,16.15,16.09,16.04,16.15,,25600
2006-01-10,16.15,16.07,15.99,16.15,,35400
2006-01-11,16.16,16.08,16.01,16.16,,17700
2006-01-12,16.14,16.09,16.08,16.08,,6100
2006-01-13,16.18,16.18,16.11,16.11,,2500
2006-01-17,16.3,16.27,16.13,16.18,,13000
2006-01-18,16.35,16.34,16.26,16.26,,6400
2006-01-19,16.51,16.51,16.4,16.4,,6100
2006-01-20,16.57,16.38,16.38,16.57,,6300
2006-01-23,16.47,16.38,16.38,16.45,,10200
2006-01-24,16.57,16.56,16.43,16.44,,13700
2006-01-25,16.63,16.34,16.26,16.6,,25100
2006-01-26,16.5,16.2901,16.25,16.47,,15800
2006-01-27,16.45,16.37,16.36,16.4,,17800
2006-01-30,16.45,16.26,16.2401,16.45,,14500
2006-01-31,16.33,16.33,16.23,16.3,,10300
2006-02-01,16.41,16.39,16.32,16.41,,6500
2006-02-02,16.39,16.13,16.11,16.39,,8300
2006-02-03,16.22,16.1,16.08,16.2,,11700
2006-02-06,16.15,16.12,16.08,16.1,,8700
2006-02-07,16.17,16.11,16.06,16.17,,6600
2006-02-08,16.13,16.13,16.05,16.11,,7200
2006-02-09,16.33,16.22,16.16,16.19,,5100
2006-02-10,16.244,16.23,16.13,16.15,,16700
2006-02-13,16.27,16.23,16.2,16.25,,3200
2006-02-14,16.27,16.27,16.16,16.2,,2000
2006-02-15,16.35,16.29,16.22,16.33,,9900
2006-02-16,16.34,16.2801,16.27,16.27,,2400
2006-02-17,16.52,16.4995,16.38,16.4,,64900
2006-02-21,16.5701,16.52,16.48,16.57,,24600
2006-02-22,16.66,16.66,16.55,16.55,,22700
2006-02-23,16.72,16.66,16.57,16.66,,5300
2006-02-24,16.77,16.77,16.66,16.66,,1400
2006-02-27,16.899,16.84,16.81,16.82,,8100
2006-02-28,16.8,16.68,16.65,16.8,,7000
2006-03-01,16.76,16.71,16.68,16.76,,9700
2006-03-02,16.71,16.71,16.62,16.64,,7400
2006-03-03,16.79,16.68,16.64,16.68,,8100
2006-03-06,16.62,16.33,16.33,16.62,,15900
2006-03-07,16.36,16.31,16.23,16.36,,8600
2006-03-08,16.43,16.33,16.15,16.3,,97300
2006-03-09,16.37,16.32,16.29,16.33,,71600
2006-03-10,16.43,16.4,16.29,16.29,,36800
2006-03-13,16.51,16.49,16.47,16.48,,7700
2006-03-14,16.59,16.58,16.45,16.53,,11200
2006-03-15,16.67,16.67,16.5,16.62,,6500
2006-03-16,16.79,16.75,16.67,16.67,,4100
2006-03-17,16.8,16.61,16.58,16.8,,123800
2006-03-20,16.65,16.4,16.39,16.65,,73900
2006-03-21,16.499,16.26,16.26,16.499,,39700
2006-03-22,16.44,16.41,16.27,16.27,,65200
2006-03-23,16.46,16.44,16.36,16.46,,6100
2006-03-24,16.52,16.5,16.45,16.52,,17400
2006-03-27,16.51,16.39,16.35,16.51,,9800
2006-03-28,16.43,16.34,16.3,16.42,,36400
2006-03-29,16.48,16.45,16.29,16.34,,15700
2006-03-30,16.36,16.3,16.29,16.33,,4900
2006-03-31,16.29,16.19,16.17,16.2501,,15700
2006-04-03,16.38,16.27,16.23,16.31,,10300
2006-04-04,16.42,16.38,16.24,16.26,,15700
2006-04-05,16.5199,16.47,16.35,16.43,,8900
2006-04-06,16.47,16.3,16.24,16.47,,307100
2006-04-07,16.2,16.07,16.03,16.2,,163000
