Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-12,25.84,25.83,25.37,25.37,,9100
2006-10-13,26.32,26.17,26.17,26.32,,2100
2006-10-16,26.8,26.79,26.44,26.44,,4000
2006-10-17,26.84,26.48,26.32,26.84,,6500
2006-10-18,26.65,26.34,26.34,26.65,,800
2006-10-19,26.94,26.94,26.69,26.69,,700
2006-10-20,27.05,26.63,26.57,27.05,,1800
2006-10-23,26.65,26.56,26.33,26.65,,1300
2006-10-24,27.15,27.15,26.91,26.91,,11400
2006-10-25,27.79,27.77,27.26,27.28,,6200
2006-10-26,27.86,27.64,27.5,27.83,,5100
2006-10-27,27.83,27.73,27.73,27.8,,2200
2006-10-30,27.19,27.05,27.05,27.19,,2100
2006-10-31,27.1,27.02,26.8,27.1,,4100
2006-11-01,27.04,26.93,26.93,27.04,,4100
2006-11-02,26.89,26.89,26.89,26.89,,200
2006-11-03,27.43,27.43,27.22,27.22,,5500
2006-11-06,27.57,27.57,27.3,27.45,,2900
2006-11-07,27.44,27.33,27.25,27.44,,1000
2006-11-08,27.74,27.74,27.36,27.36,,400
2006-11-09,28.13,27.98,27.98,28.13,,2900
2006-11-10,27.85,27.64,27.58,27.85,,1400
2006-11-13,27.63,27.6,27.6,27.61,,2800
2006-11-14,27.71,27.71,27.58,27.61,,8600
2006-11-15,28.23,28.1,27.84,27.84,,800
2006-11-16,27.47,27.43,27.37,27.47,,2900
2006-11-17,27.63,27.6028,27.1,27.18,,2100
2006-11-20,27.74,27.65,27.64,27.74,,1300
2006-11-21,27.78,27.78,27.78,27.78,,100
2006-11-22,28.11,27.94,27.74,28.11,,1000
2006-11-27,28.15,27.72,27.72,28.15,,1500
2006-11-28,28.16,28.16,28.16,28.16,,400
2006-11-29,28.92,28.92,28.25,28.25,,3500
2006-11-30,29.16,29.1,28.9,29.05,,7000
2006-12-01,29.15,29.15,28.6,29.0,,6600
2006-12-04,29.18,29.08,28.95,29.18,,14300
2006-12-05,29.35,29.14,29.06,29.26,,8300
2006-12-06,29.51,29.26,29.1999,29.1999,,12600
2006-12-07,29.3,29.13,29.0,29.3,,13700
2006-12-08,29.23,29.11,29.11,29.23,,1000
2006-12-11,29.1,29.05,29.05,29.09,,2200
2006-12-12,28.87,28.8,28.77,28.77,,700
2006-12-13,29.15,29.12,28.91,28.91,,2600
2006-12-14,29.6,29.56,29.33,29.33,,4600
2006-12-15,29.47,29.41,29.38,29.47,,1300
2006-12-18,29.51,28.32,28.32,29.51,,6100
2006-12-19,28.85,28.81,28.17,28.17,,5300
2006-12-20,28.8,28.47,28.43,28.8,,3400
2006-12-21,28.6,28.2,28.1799,28.6,,1300
2006-12-22,28.09,28.09,28.09,28.09,,300
2006-12-26,28.12,27.91,27.84,28.1,,2000
2006-12-27,28.18,28.18,27.85,28.08,,4800
2006-12-28,28.21,28.21,28.14,28.19,,1900
2006-12-29,28.07,27.86,27.86,28.07,,2700
2007-01-03,27.41,26.94,26.89,27.41,,2700
2007-01-04,26.76,26.48,26.48,26.76,,1900
2007-01-05,26.5,26.46,26.3,26.49,,9100
2007-01-08,26.82,26.6,26.6,26.82,,2100
2007-01-09,26.46,26.38,26.05,26.19,,6800
2007-01-10,26.24,26.03,26.0275,26.24,,3100
2007-01-11,26.45,25.87,25.87,26.45,,3900
2007-01-12,26.57,26.54,26.09,26.09,,8800
2007-01-16,26.44,26.24,26.23,26.44,,1700
2007-01-17,26.52,26.46,26.4,26.4,,11600
2007-01-18,26.49,26.18,26.13,26.49,,3300
2007-01-19,26.75,26.75,26.36,26.36,,800
2007-01-22,26.96,26.63,26.63,26.96,,2500
2007-01-23,27.52,27.43,27.01,27.01,,5500
2007-01-24,27.57,27.57,27.23,27.251,,3500
2007-01-25,27.3,27.07,27.0,27.21,,18300
2007-01-26,27.19,27.19,27.1201,27.1201,,1200
2007-01-29,27.43,27.2,27.1425,27.43,,1600
2007-01-30,27.8799,27.87,27.39,27.45,,4500
2007-01-31,28.06,28.0099,27.65,27.79,,4100
2007-02-01,28.24,28.24,28.1199,28.14,,2100
2007-02-02,28.31,28.1201,28.1201,28.31,,700
2007-02-05,28.35,28.23,28.19,28.35,,3000
2007-02-06,28.3,28.219,28.11,28.2801,,2100
2007-02-07,28.37,28.12,28.0,28.28,,2800
2007-02-08,28.28,28.28,27.9701,28.12,,49000
2007-02-09,28.39,28.1201,28.1201,28.38,,4700
2007-02-12,28.06,27.93,27.8,28.06,,2800
2007-02-13,28.27,28.24,27.95,27.95,,1800
2007-02-14,28.48,28.4,28.2499,28.47,,5800
2007-02-15,28.1,28.05,27.88,27.88,,2800
2007-02-16,28.11,28.08,28.0499,28.11,,1500
2007-02-20,28.09,28.09,27.89,27.89,,1600
2007-02-21,28.36,28.31,28.07,28.07,,3100
2007-02-22,28.62,28.61,28.61,28.62,,1500
2007-02-23,28.87,28.83,28.7101,28.85,,8300
2007-02-26,29.11,28.99,28.99,29.05,,1300
2007-02-27,28.645,28.13,27.85,28.2,,6400
2007-02-28,28.2,28.11,27.88,27.88,,2600
2007-03-01,28.104,28.104,27.47,27.47,,1200
2007-03-02,27.7,27.7,27.5601,27.5601,,600
2007-03-05,27.42,27.19,27.19,27.39,,3900
2007-03-06,27.74,27.71,27.43,27.49,,7000
2007-03-07,28.43,28.1,27.76,27.84,,28200
2007-03-08,28.5,28.31,28.18,28.5,,29500
2007-03-09,28.421,28.32,28.16,28.32,,21500
2007-03-12,28.44,28.44,28.17,28.17,,7500
2007-03-13,28.44,28.06,28.06,28.44,,1700
2007-03-14,28.39,28.38,27.94,28.3,,3300
2007-03-15,28.52,28.42,28.3001,28.3001,,1600
2007-03-16,28.53,28.25,28.25,28.53,,6100
2007-03-19,28.88,28.87,28.59,28.7,,4000
2007-03-20,28.97,28.97,28.73,28.82,,1900
2007-03-21,29.57,29.44,29.13,29.13,,7000
2007-03-22,29.87,29.8,29.62,29.63,,3600
2007-03-23,29.95,29.95,29.84,29.91,,4900
2007-03-26,30.09,30.08,29.7599,30.09,,9600
2007-03-27,30.04,30.04,29.86,29.99,,4300
2007-03-28,30.157,29.97,29.9,30.06,,9500
2007-03-29,30.1,30.01,30.01,30.1,,500
2007-03-30,30.2,29.9,29.9,30.2,,15500
2007-04-02,30.31,30.31,30.01,30.08,,1300
2007-04-03,30.39,30.35,30.13,30.36,,33300
2007-04-04,30.46,30.46,30.19,30.27,,3500
2007-04-05,30.62,30.59,30.54,30.55,,34600
2007-04-09,30.92,30.68,30.6,30.68,,7900
2007-04-10,31.07,31.07,30.84,30.84,,6500
2007-04-11,31.13,30.89,30.89,31.1,,5100
2007-04-12,31.33,31.32,30.93,31.04,,18100
2007-04-13,31.39,31.38,31.19,31.39,,7100
2007-04-16,31.56,31.54,31.25,31.48,,9400
2007-04-17,31.67,31.35,31.31,31.67,,8400
2007-04-18,31.24,31.15,31.11,31.13,,5400
2007-04-19,30.98,30.85,30.8,30.95,,9000
2007-04-20,31.13,31.06,30.94,31.11,,9900
2007-04-23,31.534,31.4,31.27,31.27,,4600
2007-04-24,31.44,31.42,31.29,31.42,,6300
2007-04-25,32.23,32.1399,31.66,31.67,,9200
2007-04-26,32.28,32.28,31.96,32.19,,5300
2007-04-27,32.44,32.3099,32.05,32.17,,7200
2007-04-30,32.5,31.87,31.87,32.42,,11300
2007-05-01,32.05,32.0,31.77,31.77,,3000
2007-05-02,32.46,32.46,32.11,32.32,,22600
2007-05-03,32.71,32.64,32.32,32.42,,8000
2007-05-04,32.9199,32.54,32.4901,32.66,,5900
2007-05-07,32.68,32.67,32.57,32.58,,6500
2007-05-08,32.66,32.66,32.25,32.58,,13100
2007-05-09,32.67,32.66,32.39,32.62,,8800
2007-05-10,32.82,32.19,32.1701,32.82,,10400
2007-05-11,32.96,32.79,32.31,32.38,,37100
2007-05-14,32.99,32.78,32.68,32.91,,18400
2007-05-15,33.07,32.74,32.7301,32.82,,6200
2007-05-16,32.74,32.74,32.3,32.68,,3100
2007-05-17,33.36,33.36,32.67,32.87,,13700
2007-05-18,33.66,33.66,33.37,33.37,,13700
2007-05-21,34.37,34.14,33.83,33.87,,31200
2007-05-22,34.43,33.98,33.98,34.25,,22400
2007-05-23,34.43,34.0,34.0,34.18,,14500
2007-05-24,34.16,33.2,33.14,34.07,,17600
2007-05-25,33.66,33.64,33.4006,33.59,,10300
2007-05-29,33.6799,33.67,33.4504,33.67,,12100
2007-05-30,34.1699,34.1499,33.34,33.34,,6200
2007-05-31,34.36,34.03,33.97,34.2,,10800
2007-06-01,34.36,34.32,34.2,34.33,,43200
2007-06-04,34.8317,34.8199,34.4,34.48,,72700
2007-06-05,34.63,34.62,34.4,34.63,,14500
2007-06-06,34.43,34.07,33.95,34.43,,21600
2007-06-07,34.06,33.25,33.24,33.99,,24500
2007-06-08,33.4,33.4,32.86,33.08,,27100
2007-06-11,33.83,33.7,33.38,33.46,,14500
2007-06-12,33.68,33.2,33.2,33.46,,23200
2007-06-13,33.97,33.85,33.38,33.52,,20700
2007-06-14,34.49,34.49,34.27,34.27,,27200
2007-06-15,34.89,34.84,34.71,34.8,,18700
2007-06-18,35.06,34.9,34.76,34.91,,30200
2007-06-19,35.09,34.96,34.63,34.9,,120300
2007-06-20,35.2,34.18,34.18,35.2,,60200
2007-06-21,34.76,34.73,34.2,34.44,,87600
2007-06-22,34.81,34.6,34.24,34.69,,64000
2007-06-25,34.63,34.23,34.1001,34.49,,45300
2007-06-26,34.3,33.57,33.57,34.3,,15300
