Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-04-30,40.62,38.85,38.82,39.23,,135700
2007-05-01,40.76,39.21,38.86,38.95,,121000
2007-05-02,39.8,39.1,38.85,38.89,,109900
2007-05-03,39.84,39.38,39.13,39.42,,171000
2007-05-04,39.7,39.3,39.3,39.49,,250700
2007-05-07,39.63,39.56,39.45,39.52,,131100
2007-05-08,39.1,39.1,38.76,38.89,,118700
2007-05-09,39.1,39.04,38.71,38.77,,93100
2007-05-10,38.87,38.2455,38.24,38.73,,137500
2007-05-11,38.4,38.4,37.66,38.31,,148400
2007-05-14,39.0,38.23,38.01,39.0,,153600
2007-05-15,38.22,37.87,37.7,37.79,,129600
2007-05-16,38.53,38.52,38.17,38.3,,154600
2007-05-17,38.42,38.15,37.94,38.42,,148800
2007-05-18,38.49,38.34,38.26,38.36,,115700
2007-05-21,38.51,38.45,38.25,38.47,,115000
2007-05-22,38.39,38.24,38.2,38.35,,66700
2007-05-23,38.2,37.3,37.2,38.2,,122800
2007-05-24,37.11,36.55,36.38,37.01,,274200
2007-05-25,37.73,37.71,37.35,37.39,,159700
2007-05-29,37.56,36.77,36.5,36.5,,152900
2007-05-30,37.17,37.12,36.2,36.47,,130800
2007-05-31,38.0,37.61,37.34,37.45,,209100
2007-06-01,38.82,38.8,38.04,38.04,,346900
2007-06-04,38.95,38.93,38.5,38.63,,112500
2007-06-05,38.98,38.82,38.6,38.9,,199300
2007-06-06,38.58,38.3,38.14,38.5,,133300
2007-06-07,38.26,37.7,37.51,38.17,,169500
2007-06-08,38.18,38.1,37.7,37.89,,81300
2007-06-11,38.9,38.43,38.0,38.08,,237600
2007-06-12,38.47,37.85,37.78,38.13,,84300
2007-06-13,39.08,39.08,38.06,38.06,,188300
2007-06-14,39.88,39.76,39.42,39.42,,186400
2007-06-15,40.4,40.39,40.03,40.05,,257500
2007-06-18,40.56,40.4,40.33,40.5,,93600
2007-06-19,40.34,40.27,40.0,40.2,,75600
2007-06-20,40.56,40.04,39.76,40.47,,108100
