Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-07-26,81.37,81.31,81.24,81.28,,246200
2002-07-29,81.22,81.04,81.04,81.22,,40200
2002-07-30,81.13,81.01,81.0,81.12,,95300
2002-07-31,81.31,81.26,81.15,81.17,,38800
2002-08-01,81.45,81.42,81.33,81.33,,86800
2002-08-02,81.64,81.58,81.4,81.46,,83400
2002-08-05,81.73,81.71,81.57,81.63,,93100
2002-08-06,81.61,81.51,81.45,81.61,,58200
2002-08-07,81.69,81.63,81.54,81.59,,127000
2002-08-08,81.62,81.51,81.47,81.61,,111800
2002-08-09,81.56,81.53,81.46,81.48,,50900
2002-08-12,81.57,81.52,81.47,81.51,,52300
2002-08-13,81.68,81.66,81.48,81.59,,36200
2002-08-14,81.71,81.48,81.46,81.69,,108700
2002-08-15,81.54,81.41,81.3,81.38,,87700
2002-08-16,81.55,81.36,81.31,81.54,,274500
2002-08-19,81.43,81.37,81.31,81.41,,36000
2002-08-20,81.57,81.56,81.46,81.51,,51400
2002-08-21,81.54,81.49,81.42,81.46,,43100
2002-08-22,81.5,81.4,81.38,81.5,,47700
2002-08-23,81.52,81.5,81.44,81.48,,60900
2002-08-26,81.55,81.49,81.45,81.49,,49700
2002-08-27,81.45,81.43,81.35,81.4,,54700
2002-08-28,81.53,81.49,81.46,81.51,,50600
2002-08-29,81.64,81.58,81.55,81.64,,53700
2002-08-30,81.63,81.61,81.52,81.63,,143800
2002-09-03,81.78,81.67,81.61,81.62,,83000
2002-09-04,81.73,81.64,81.6,81.67,,49500
2002-09-05,81.73,81.73,81.64,81.69,,49000
2002-09-06,81.61,81.57,81.53,81.55,,33700
2002-09-09,81.57,81.46,81.45,81.52,,65200
2002-09-10,81.54,81.51,81.42,81.44,,51000
2002-09-11,81.46,81.46,81.36,81.4,,24700
2002-09-12,81.55,81.52,81.46,81.48,,50100
2002-09-13,81.59,81.58,81.52,81.55,,95100
2002-09-16,81.61,81.55,81.54,81.61,,39000
2002-09-17,81.62,81.61,81.48,81.52,,28800
2002-09-18,81.7,81.6,81.6,81.64,,173700
2002-09-19,81.77,81.77,81.66,81.76,,191100
2002-09-20,81.79,81.78,81.7,81.74,,360800
2002-09-23,81.85,81.8,81.75,81.82,,263600
2002-09-24,81.94,81.84,81.78,81.87,,659400
2002-09-25,81.83,81.76,81.7,81.79,,240400
2002-09-26,81.82,81.79,81.69,81.76,,81100
2002-09-27,81.96,81.96,81.81,81.85,,136200
2002-09-30,82.13,82.08,82.0,82.03,,216900
2002-10-01,82.0,81.86,81.84,81.91,,94100
2002-10-02,81.95,81.93,81.83,81.89,,79400
2002-10-03,81.97,81.94,81.8,81.9,,196500
2002-10-04,81.93,81.87,81.76,81.77,,205600
2002-10-07,81.97,81.97,81.88,81.97,,171600
2002-10-08,82.0,81.89,81.85,81.85,,167100
2002-10-09,82.06,82.06,81.92,81.99,,332800
2002-10-10,82.08,81.98,81.93,82.03,,166200
2002-10-11,81.95,81.85,81.8,81.95,,407000
2002-10-14,81.88,81.87,81.82,81.82,,54500
2002-10-15,81.7,81.56,81.54,81.67,,100800
2002-10-16,81.67,81.59,81.55,81.65,,51300
2002-10-17,81.57,81.52,81.48,81.52,,239200
2002-10-18,81.59,81.59,81.41,81.49,,100600
2002-10-21,81.57,81.41,81.37,81.56,,595800
2002-10-22,81.48,81.4,81.37,81.47,,325800
2002-10-23,81.58,81.46,81.43,81.5,,126700
2002-10-24,81.64,81.6,81.5,81.51,,69400
2002-10-25,81.78,81.74,81.66,81.71,,56000
2002-10-28,81.9,81.85,81.83,81.89,,31100
2002-10-29,82.09,82.03,81.93,81.94,,25000
2002-10-30,82.1,82.02,81.97,82.01,,28800
2002-10-31,82.17,82.16,81.99,82.03,,153700
2002-11-01,82.02,81.94,81.86,81.97,,50300
2002-11-04,81.9,81.86,81.83,81.85,,255200
2002-11-05,81.89,81.85,81.78,81.89,,342100
2002-11-06,81.99,81.88,81.8,81.84,,176100
2002-11-07,81.92,81.92,81.84,81.9,,39900
2002-11-08,81.91,81.89,81.83,81.86,,27800
2002-11-11,81.97,81.97,81.86,81.87,,83800
2002-11-12,82.0,81.99,81.93,81.94,,50300
2002-11-13,82.04,82.0,81.94,81.94,,46400
2002-11-14,81.94,81.8,81.8,81.94,,30900
2002-11-15,81.84,81.84,81.75,81.8,,27500
2002-11-18,81.86,81.84,81.77,81.8,,27300
2002-11-19,81.86,81.82,81.78,81.85,,22400
2002-11-20,81.88,81.75,81.7,81.88,,19400
2002-11-21,81.72,81.64,81.63,81.68,,72500
2002-11-22,81.68,81.61,81.61,81.66,,43400
2002-11-25,81.71,81.66,81.61,81.62,,49100
2002-11-26,81.82,81.81,81.69,81.72,,28500
2002-11-27,81.73,81.67,81.61,81.73,,542100
2002-11-29,81.72,81.71,81.67,81.72,,69100
2002-12-02,81.64,81.62,81.42,81.5,,74100
2002-12-03,81.66,81.65,81.58,81.66,,88900
2002-12-04,81.75,81.7,81.62,81.71,,220000
2002-12-05,81.79,81.77,81.63,81.67,,122300
2002-12-06,81.91,81.85,81.78,81.91,,470600
2002-12-09,81.92,81.87,81.84,81.9,,83500
2002-12-10,81.91,81.86,81.82,81.9,,32500
2002-12-11,81.96,81.93,81.88,81.89,,108700
2002-12-12,82.0,81.96,81.87,81.88,,41200
2002-12-13,81.96,81.9,81.88,81.92,,91600
2002-12-16,81.93,81.86,81.83,81.93,,36500
2002-12-17,81.94,81.94,81.87,81.92,,47200
2002-12-18,82.07,82.07,81.99,82.03,,275400
2002-12-19,82.16,82.16,82.04,82.06,,419200
2002-12-20,82.15,82.12,82.07,82.12,,46800
2002-12-23,82.13,82.13,82.07,82.11,,49100
2002-12-24,82.25,82.22,82.2,82.24,,73300
2002-12-26,82.28,82.28,82.19,82.23,,24800
2002-12-27,82.39,82.38,82.3,82.35,,45600
2002-12-30,82.42,82.39,82.34,82.36,,101400
2002-12-31,82.32,82.31,82.24,82.26,,207600
2003-01-02,82.18,82.0,81.96,82.16,,323800
2003-01-03,82.01,82.01,81.91,81.94,,55100
2003-01-06,81.98,81.96,81.87,81.95,,133000
2003-01-07,82.06,82.02,81.93,81.94,,99900
2003-01-08,82.14,82.09,82.07,82.1,,85000
2003-01-09,82.04,81.94,81.91,82.04,,120500
2003-01-10,82.06,82.05,81.94,82.06,,43700
2003-01-13,82.06,82.03,81.97,82.02,,71500
2003-01-14,82.11,82.06,82.04,82.1,,40700
2003-01-15,82.17,82.09,82.09,82.1,,199300
2003-01-16,82.14,82.14,82.02,82.09,,31300
2003-01-17,82.22,82.12,82.12,82.21,,40300
2003-01-21,82.23,82.22,82.13,82.16,,92800
2003-01-22,82.28,82.28,82.2,82.2,,48100
2003-01-23,82.27,82.23,82.2,82.2,,49700
2003-01-24,82.3,82.22,82.22,82.26,,134500
2003-01-27,82.27,82.22,82.19,82.25,,333200
2003-01-28,82.25,82.24,82.17,82.23,,1039400
2003-01-29,82.27,82.17,82.14,82.26,,27400
2003-01-30,82.27,82.27,82.15,82.16,,138300
2003-01-31,82.28,82.25,82.2,82.28,,136600
2003-02-03,82.11,82.08,82.05,82.09,,94800
2003-02-04,82.18,82.17,82.12,82.17,,85700
2003-02-05,82.2,82.14,82.1,82.17,,27300
2003-02-06,82.21,82.18,82.15,82.2,,66400
2003-02-07,82.26,82.25,82.12,82.16,,70100
2003-02-10,82.25,82.19,82.15,82.24,,60900
2003-02-11,82.23,82.22,82.13,82.13,,59000
2003-02-12,82.3,82.29,82.23,82.24,,77900
2003-02-13,82.38,82.36,82.27,82.3,,63500
2003-02-14,82.33,82.29,82.25,82.29,,152100
2003-02-18,82.27,82.26,82.19,82.24,,155900
2003-02-19,82.33,82.3,82.25,82.28,,76800
2003-02-20,82.36,82.35,82.28,82.28,,50000
2003-02-21,82.36,82.28,82.27,82.31,,76400
2003-02-24,82.35,82.32,82.29,82.34,,103100
2003-02-25,82.42,82.37,82.34,82.38,,84200
