Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-12-21,30.1,29.68,29.21,30.1,-1,652409
2011-12-22,30.55,30.43,29.78,29.83,-1,1265061
2011-12-23,30.65,30.65,30.28,30.55,-1,310679
2011-12-27,30.87,30.65,30.51,30.62,-1,456244
2011-12-28,30.67,30.28,30.24,30.58,-1,537361
2011-12-29,30.63,30.55,30.28,30.37,-1,481647
2011-12-30,30.71,30.43,30.41,30.51,-1,632154
2012-01-03,31.32,30.85,30.73,31.04,-1,721635
2012-01-04,30.93,30.87,30.52,30.68,-1,1189102
2012-01-05,31.280001,31.25,30.78,30.84,-1,1412850
2012-01-06,31.299999,31.21,30.93,31.13,-1,1397733
2012-01-09,31.79,31.72,31.34,31.44,-1,2179748
2012-01-10,32.09,31.95,31.809999,32.09,-1,1041437
2012-01-11,31.98,31.91,31.71,31.88,-1,843657
2012-01-12,32.25,32.19,31.85,32.06,-1,1288224
2012-01-13,31.94,31.59,31.53,31.94,-1,1603995
2012-01-17,31.950001,31.63,31.57,31.86,-1,1458735
2012-01-18,32.98,32.89,32.15,32.17,-1,3545299
2012-01-19,33.5,33.43,33.1,33.14,-1,3282989
2012-01-20,33.68,33.67,33.32,33.53,-1,1628194
2012-01-23,33.9,33.67,33.5,33.69,-1,2091093
2012-01-24,33.9,33.8,33.55,33.58,-1,1176839
2012-01-25,33.991,33.9,33.43,33.8,-1,1582140
2012-01-26,34.36,33.73,33.58,33.98,-1,1640521
2012-01-27,33.89,33.76,33.54,33.6,-1,1657939
2012-01-30,33.64,33.53,33.17,33.51,-1,1475649
2012-01-31,33.89,33.52,33.36,33.86,-1,1292290
2012-02-01,34.3,34.07,33.8,33.81,-1,1993168
2012-02-02,34.36,34.08,33.98,34.12,-1,672485
2012-02-03,34.75,34.62,34.34,34.43,-1,919572
2012-02-06,34.48,34.26,34.1,34.48,-1,643207
2012-02-07,34.43,34.36,33.99,34.18,-1,2097381
2012-02-08,34.94,34.67,34.41,34.41,-1,738842
2012-02-09,34.88,34.79,34.55,34.86,-1,969057
2012-02-10,34.52,34.17,34.04,34.49,-1,1225711
2012-02-13,34.54,34.29,33.89,34.5,-1,2299699
2012-02-14,34.42,34.4,34.1,34.15,-1,1523114
2012-02-15,34.86,34.49,34.444,34.54,-1,2680488
2012-02-16,35.31,35.19,34.42,34.42,-1,2355469
2012-02-17,35.49,35.13,35.02,35.47,-1,2675185
2012-02-21,35.19,34.72,34.5836,35.16,-1,1384450
2012-02-22,34.880001,34.52,34.42,34.63,-1,2613917
2012-02-23,34.56,34.44,34.12,34.4,-1,1749070
2012-02-24,34.66,34.4,34.371,34.58,-1,615562
2012-02-27,34.74,34.54,34.0,34.23,-1,2271314
2012-02-28,35.18,35.04,34.56,34.56,-1,1106136
2012-02-29,35.08,34.5,34.46,35.08,-1,1989456
2012-03-01,34.8,34.5,34.38,34.6,-1,1866048
2012-03-02,34.66,34.23,34.16,34.55,-1,1587890
2012-03-05,34.11,33.5,33.38,34.08,-1,4262408
2012-03-06,33.41,33.38,32.99,33.2,-1,2462039
2012-03-07,33.94,33.84,33.42,33.45,-1,2416882
2012-03-08,34.24,34.15,33.935001,34.14,-1,1493300
2012-03-09,34.45,34.42,34.11,34.130001,-1,1164324
2012-03-12,34.4,34.11,34.04,34.33,-1,1163979
2012-03-13,34.9,34.9,34.34,34.34,-1,1235766
2012-03-14,35.27,34.71,34.66,34.9,-1,1650705
2012-03-15,35.35,35.29,34.81,34.88,-1,1684599
2012-03-16,35.450001,35.28,35.23,35.43,-1,928984
2012-03-19,35.74,35.64,35.22,35.31,-1,1373407
2012-03-20,35.56,35.42,35.153,35.36,-1,1362196
2012-03-21,35.76,35.59,35.43,35.59,-1,820187
2012-03-22,35.52,35.39,35.19,35.39,-1,1208279
