Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-09-19,24.55,24.55,24.55,24.55,-1,100
2011-09-20,25.08,25.08,24.66,24.99,-1,1200
2011-09-21,25.11,24.34,24.34,24.96,-1,4365
2011-09-22,24.0,24.0,24.0,24.0,-1,100
2011-09-23,24.43,23.0,23.0,24.43,-1,300
2011-09-26,23.46,23.46,23.264,23.32,-1,950
2011-09-27,23.48,23.39,23.39,23.48,-1,300
2011-09-28,23.26,22.71,22.71,23.26,-1,2200
2011-09-29,22.91,22.91,22.83,22.83,-1,1600
2011-09-30,22.6,22.13,22.13,22.6,-1,600
2011-10-03,22.01,21.72,21.72,22.01,-1,1600
2011-10-04,21.969999,21.6885,21.6885,21.96,-1,1900
2011-10-05,21.690001,21.66,21.66,21.690001,-1,1000
2011-10-06,22.09,21.59,21.59,22.09,-1,200
2011-10-07,21.73,21.73,21.72,21.72,-1,1100
2011-10-10,22.18,21.92,21.92,22.18,-1,2200
2011-10-12,22.84,22.829,22.7299,22.73,-1,2264
2011-10-13,22.95,22.95,22.95,22.95,-1,500
2011-10-14,24.4,23.28,23.1404,24.4,-1,3800
2011-10-17,23.24,23.0,22.8,22.8,-1,1950
2011-10-18,22.9,22.8,22.77,22.77,-1,1700
2011-10-19,23.04,22.52,22.52,23.04,-1,4100
2011-10-20,22.7,22.3,22.12,22.7,-1,8568
2011-10-21,22.84,22.58,22.58,22.84,-1,1500
2011-10-24,22.85,22.59,22.59,22.85,-1,1600
2011-10-25,22.8026,22.7,22.6104,22.72,-1,3300
2011-10-26,22.51,22.4758,22.4758,22.51,-1,500
2011-10-27,23.082,23.082,22.69,22.72,-1,1505
2011-10-28,22.99,22.61,22.61,22.99,-1,1956
2011-10-31,22.33,22.21,22.21,22.33,-1,600
2011-11-01,22.23,22.21,21.9556,21.9556,-1,2332
2011-11-03,22.77,22.77,22.57,22.64,-1,842
2011-11-04,22.74,22.52,22.5,22.74,-1,998
2011-11-07,22.5,22.25,22.15,22.5,-1,1750
2011-11-08,22.2884,22.2685,22.2685,22.2884,-1,400
2011-11-09,22.25,21.96,21.88,22.2,-1,2420
2011-11-10,21.7401,21.59,21.59,21.7401,-1,1600
2011-11-14,21.8001,21.711,21.711,21.8001,-1,1200
2011-11-15,21.93,21.93,21.93,21.93,-1,100
2011-11-16,22.23,21.919,21.919,22.23,-1,300
2011-11-17,21.77,21.598,21.598,21.77,-1,925
2011-11-21,21.17,21.168,21.12,21.12,-1,1400
2011-11-22,21.252,21.25,21.25,21.252,-1,300
2011-11-23,20.8908,20.669,20.669,20.82,-1,500
2011-11-25,20.5255,20.5255,20.5,20.5,-1,200
2011-11-28,20.87,20.87,20.61,20.61,-1,300
2011-11-29,20.72,20.72,20.72,20.72,-1,300
2011-11-30,21.14,20.84,20.84,21.14,-1,2150
2011-12-01,20.75,20.75,20.75,20.75,-1,100
2011-12-02,20.97,20.9697,20.9697,20.97,-1,330
2011-12-07,20.92,20.83,20.83,20.92,-1,2376
2011-12-08,21.0,20.8755,20.8755,21.0,-1,200
2011-12-09,20.42,20.42,20.42,20.42,-1,1000
2011-12-13,20.734,20.65,20.6,20.6,-1,2165
2011-12-16,20.78,20.78,20.78,20.78,-1,200
2011-12-19,20.9,20.817,20.817,20.9,-1,250
2011-12-21,21.33,21.33,21.05,21.05,-1,1100
2011-12-22,22.44,21.34,21.23,21.37,-1,5820
2011-12-23,21.32,21.32,21.28,21.28,-1,250
2011-12-27,21.92,21.92,21.41,21.41,-1,7760
2011-12-28,22.03,21.73,21.73,22.03,-1,707
2011-12-29,21.8099,21.8099,21.6699,21.79,-1,1605
2011-12-30,22.06,22.06,21.85,21.85,-1,1153
2012-01-03,22.38,22.29,22.0,22.0,-1,3420
2012-01-04,22.19,22.16,22.1004,22.1004,-1,851
2012-01-05,21.91,21.85,21.77,21.77,-1,1800
2012-01-06,22.13,21.502,21.49,22.13,-1,1300
2012-01-09,22.14,22.14,21.74,21.93,-1,1000
2012-01-10,22.072,22.072,22.0,22.0,-1,500
2012-01-11,21.85,21.7254,21.7,21.83,-1,2450
2012-01-12,21.2899,21.2899,20.85,20.85,-1,1850
2012-01-13,21.16,21.16,21.16,21.16,-1,1100
2012-01-17,21.21,21.2,21.2,21.21,-1,1775
2012-01-18,21.1602,21.1601,21.11,21.11,-1,1940
2012-01-19,21.3769,21.3769,21.3769,21.3769,-1,1000
2012-01-20,21.34,21.34,21.34,21.34,-1,200
2012-01-25,21.83,21.83,21.68,21.68,-1,5874
2012-01-26,21.99,21.75,21.75,21.99,-1,600
2012-01-30,21.66,21.1,21.1,21.65,-1,10500
2012-01-31,21.4,21.4,21.4,21.4,-1,100
2012-02-03,22.04,22.04,21.81,21.81,-1,650
2012-02-06,22.07,22.07,22.0,22.05,-1,2350
2012-02-07,21.99,21.9,21.389999,21.99,-1,4700
2012-02-08,22.02,22.02,21.93,21.95,-1,13858
2012-02-09,22.2,22.08,22.08,22.08,-1,7300
2012-02-10,,,,,-1,100
