Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-12-19,9.9,9.9,9.26,9.48,11249,5681421
2012-12-20,9.82,9.81,9.49,9.82,1609,540085
2012-12-21,9.79,9.77,9.59,9.78,1713,670062
2012-12-24,9.78,9.75,9.68,9.78,709,194640
2012-12-26,9.73,9.7,9.64,9.73,956,335775
2012-12-27,9.77,9.77,9.61,9.72,1755,474257
2012-12-28,9.8,9.8,9.7,9.73,876,488723
2012-12-31,10.0,9.99,9.72,9.97,3120,1222924
2013-01-02,10.0,9.87,9.81,10.0,1768,414475
2013-01-03,9.93,9.9,9.81,9.93,779,170390
2013-01-04,9.9,9.85,9.8016,9.89,701,166266
2013-01-07,9.86,9.74,9.7,9.85,783,436725
2013-01-08,9.8,9.68,9.5835,9.8,810,211639
2013-01-09,9.78,9.75,9.61,9.7,788,288087
2013-01-10,9.94,9.94,9.8,9.8,1250,505482
2013-01-11,9.98,9.98,9.764,9.94,1034,378854
2013-01-14,10.0,9.92,9.8639,10.0,844,342947
2013-01-15,10.01,9.97,9.86,9.98,1400,360100
2013-01-16,10.0,10.0,9.95,9.98,1573,778372
2013-01-17,10.06,9.95,9.95,10.0,2199,747551
2013-01-18,9.995,9.84,9.84,9.99,438,193965
2013-01-22,10.0,9.99,9.8601,9.89,682,362307
2013-01-23,10.0,9.97,9.94,10.0,548,203228
2013-01-24,10.0,9.95,9.91,9.99,1047,280238
2013-01-25,10.02,10.0,9.9,9.99,2062,741495
2013-01-28,10.01,9.9794,9.96,9.98,1643,514238
2013-01-29,10.03,10.03,9.98,9.99,1552,760440
2013-01-30,10.06,10.05,10.02,10.02,1015,407494
2013-01-31,10.01,9.97,9.95,9.99,730,256222
2013-02-01,10.14,10.13,10.0,10.01,2050,791661
2013-02-04,10.2,10.14,10.1,10.14,1653,539918
2013-02-05,10.25,10.24,10.0701,10.16,1709,719610
2013-02-06,10.49,10.3199,10.25,10.3,2755,1030628
2013-02-07,10.39,10.27,10.25,10.35,981,435760
2013-02-08,10.37,10.37,10.25,10.32,733,331149
2013-02-11,10.39,10.355,10.28,10.39,1450,538382
2013-02-12,10.48,10.45,10.33,10.4,2416,810228
2013-02-13,10.7299,10.56,10.45,10.52,3489,1653517
2013-02-14,10.75,10.66,10.5,10.75,2813,872504
2013-02-15,10.55,10.48,10.36,10.52,2763,922803
2013-02-19,10.63,10.27,10.27,10.59,2668,973941
2013-02-20,10.2501,10.006,9.92,10.25,2629,1045535
2013-02-21,9.91,9.83,9.79,9.91,1059,405325
2013-02-22,9.89,9.8,9.76,9.83,1175,436598
2013-02-25,10.01,9.9,9.87,9.87,1078,365912
2013-02-26,9.95,9.95,9.86,9.94,767,250792
2013-02-27,9.98,9.85,9.8,9.98,459,207440
2013-02-28,9.9,9.68,9.66,9.8,1110,365549
2013-03-01,9.66,9.58,9.53,9.58,728,257911
2013-03-04,9.72,9.55,9.5,9.58,676,175377
2013-03-05,9.88,9.88,9.6,9.6,1062,366724
2013-03-06,9.91,9.88,9.8,9.89,1049,304788
2013-03-07,10.0,10.0,9.9,9.9,538,223764
2013-03-08,10.15,10.08,9.97,10.12,825,383828
2013-03-11,10.19,10.07,10.05,10.19,490,227611
2013-03-12,10.15,9.99,9.99,10.15,322,235831
2013-03-13,10.13,10.05,9.96,10.13,582,250760
2013-03-14,10.08,9.99,9.9162,9.98,1073,477495
2013-03-15,10.028,9.96,9.93,9.97,1263,906193
2013-03-18,10.0,9.84,9.84,9.95,1146,441586
2013-03-19,9.95,9.61,9.53,9.84,1834,675328
2013-03-20,9.85,9.84,9.7,9.77,998,322321
2013-03-21,9.92,9.85,9.85,9.9,437,148516
2013-03-22,9.92,9.82,9.81,9.85,567,325915
2013-03-25,9.92,9.8,9.78,9.9,835,264688
2013-03-26,9.89,9.88,9.75,9.81,673,239844
2013-03-27,9.9199,9.9,9.8,9.86,499,140079
2013-03-28,9.9005,9.89,9.836,9.89,459,287826
2013-04-01,10.03,10.0,9.9,9.95,434,170257
2013-04-02,9.98,9.79,9.77,9.9,1459,544947
2013-04-03,9.84,9.62,9.61,9.84,793,288127
2013-04-04,9.6,9.49,9.41,9.56,909,381805
2013-04-05,9.54,9.52,9.41,9.4806,1101,241153
2013-04-08,9.58,9.54,9.4831,9.57,679,193575
2013-04-09,9.666,9.6,9.53,9.57,837,227920
2013-04-10,9.53,9.47,9.45,9.53,1039,271363
2013-04-11,9.62,9.57,9.48,9.48,488,164882
2013-04-12,9.5,9.23,9.13,9.5,1733,740334
2013-04-15,9.0,8.45,8.26,9.0,2066,1044533
2013-04-16,8.9,8.88,8.701,8.85,766,307467
2013-04-17,8.8,8.58,8.56,8.72,721,274688
2013-04-18,8.71,8.65,8.6095,8.65,271,109459
2013-04-19,8.76,8.76,8.66,8.7,173,52722
2013-04-22,8.88,8.86,8.81,8.87,376,160713
2013-04-23,8.7934,8.74,8.7067,8.79,189,61998
2013-04-24,8.825,8.825,8.7,8.73,1388,581635
2013-04-25,9.03,8.99,8.9,8.9,937,336439
2013-04-26,9.0726,8.99,8.92,9.02,784,292329
2013-04-29,9.21,9.13,9.0999,9.19,803,209402
2013-04-30,9.23,9.11,9.08,9.22,665,162059
2013-05-01,9.08,8.97,8.9,9.0,243,106991
2013-05-02,9.07,9.06,8.94,9.04,276,94942
2013-05-03,9.14,9.09,8.97,9.09,325,76129
2013-05-06,9.15,9.15,9.01,9.09,473,134740
2013-05-07,9.02,8.97,8.92,9.02,610,242974
2013-05-08,9.1712,9.11,9.0501,9.09,426,156527
2013-05-09,9.27,9.18,9.05,9.05,578,390221
2013-05-10,9.19,9.19,9.0591,9.15,243,115814
2013-05-13,9.2399,9.16,9.11,9.19,247,108747
2013-05-14,9.3399,9.32,9.24,9.29,286,127894
2013-05-15,9.32,9.19,9.15,9.31,450,293009
2013-05-16,9.27,9.22,9.12,9.12,381,165333
2013-05-17,9.24,9.17,9.08,9.24,186,125268
2013-05-20,9.37,9.36,9.1,9.17,446,169998
2013-05-21,9.2599,9.22,9.14,9.22,420,253633
2013-05-22,9.36,9.27,9.2,9.3,345,236473
2013-05-23,9.29,9.19,9.14,9.29,265,71430
2013-05-24,9.27,9.1,9.06,9.27,207,92961
2013-05-28,9.39,9.33,9.1,9.1,705,342634
2013-05-29,9.3,9.27,9.23,9.3,575,201832
2013-05-30,9.5,9.44,9.3284,9.38,1219,474341
2013-05-31,9.35,9.3,9.2801,9.32,270,126028
2013-06-03,9.56,9.54,9.4,9.46,811,369585
2013-06-04,9.52,9.52,9.42,9.49,471,191602
2013-06-05,9.74,9.74,9.5258,9.58,2695,1005127
2013-06-06,9.85,9.83,9.77,9.78,1384,458050
2013-06-07,9.76,9.705,9.6,9.7,649,227328
2013-06-10,9.82,9.8,9.7127,9.77,534,189391
2013-06-11,9.655,9.61,9.6,9.64,496,186328
2013-06-12,9.65,9.58,9.58,9.65,249,122106
2013-06-13,9.5,9.4,9.31,9.49,563,216927
2013-06-14,9.38,9.35,9.3,9.31,597,152816
2013-06-17,9.32,9.2,9.2,9.32,487,168185
2013-06-18,9.2,9.15,9.1,9.11,659,183241
2013-06-19,9.16,9.0,9.0,9.15,1333,443942
2013-06-20,8.8,8.6701,8.6201,8.7436,2030,702372
2013-06-21,8.82,8.79,8.6555,8.69,404,177064
2013-06-24,8.71,8.53,8.45,8.71,879,321540
2013-06-25,8.71,8.55,8.55,8.57,196,105255
2013-06-26,8.44,8.109,8.1,8.44,1528,736330
2013-06-27,8.3,8.2,8.13,8.26,887,398907
2013-06-28,8.43,8.39,8.136,8.14,867,314959
2013-07-01,8.73,8.71,8.53,8.53,951,339021
2013-07-02,8.8,8.67,8.67,8.8,664,185626
2013-07-03,8.73,8.64,8.61,8.71,446,193750
2013-07-05,8.63,8.59,8.4201,8.63,1579,324091
2013-07-08,8.778,8.73,8.7,8.7,361,118483
2013-07-09,8.87,8.79,8.7476,8.87,572,144221
2013-07-10,9.0,8.89,8.857,8.93,448,150179
2013-07-11,9.13,9.12,9.02,9.02,1844,495048
2013-07-12,9.1199,9.09,9.05,9.08,97,37256
2013-07-15,9.23,9.23,9.13,9.14,591,98126
2013-07-16,9.2699,9.22,9.21,9.26,208,62535
2013-07-17,9.2699,9.17,9.125,9.26,463,131541
2013-07-18,9.28,9.18,9.18,9.18,573,260819
2013-07-19,9.31,9.25,9.2101,9.25,343,94150
2013-07-22,9.37,9.3,9.3,9.3,500,169006
2013-07-23,9.27,9.25,9.18,9.21,356,114521
2013-07-24,9.36,9.28,9.26,9.3,226,100139
2013-07-25,9.35,9.23,9.2,9.26,211,64739
2013-07-26,9.17,9.09,8.99,9.15,300,105144
2013-07-29,9.2076,9.14,9.13,9.18,1203,373067
2013-07-30,9.11,9.09,9.03,9.11,310,87392
2013-07-31,9.13,9.1,8.9741,9.05,481,118416
2013-08-01,9.14,9.1,9.061,9.14,201,64175
2013-08-02,9.12,9.1,9.0171,9.1,103,42346
2013-08-05,9.18,9.17,9.0964,9.14,172,68872
2013-08-06,9.049,9.0,8.97,9.01,214,91330
2013-08-07,9.05,9.025,8.94,8.97,223,58580
2013-08-08,9.3204,9.28,9.21,9.22,849,371700
2013-08-09,9.34,9.31,9.3,9.3,411,125091
2013-08-12,9.394,9.3,9.29,9.38,226,78547
2013-08-13,9.3499,9.28,9.28,9.34,636,548414
2013-08-14,9.33,9.32,9.2,9.2,302,433401
2013-08-15,9.5562,9.52,9.35,9.35,614,361354
2013-08-16,9.55,9.53,9.49,9.55,214,109856
2013-08-19,9.45,9.42,9.37,9.45,131,56083
2013-08-20,9.49,9.41,9.4,9.4,275,212831
2013-08-21,9.45,9.41,9.38,9.41,170,51260
2013-08-22,9.54,9.54,9.41,9.44,173,84679
2013-08-23,9.54,9.5,9.47,9.51,410,140570
2013-08-26,9.52,9.5,9.4424,9.5,359,129096
2013-08-27,9.53,9.41,9.41,9.53,416,154984
2013-08-28,9.46,9.44,9.36,9.38,448,115470
2013-08-29,9.4,9.32,9.32,9.37,805,269444
2013-08-30,9.3,9.204,9.204,9.27,143,56279
2013-09-03,9.3499,9.31,9.24,9.26,617,274117
2013-09-04,9.13,9.13,9.02,9.11,531,173250
2013-09-05,9.0,9.0,8.93,8.99,219,80246
2013-09-06,9.09,9.07,9.0,9.04,160,53482
2013-09-09,9.06,8.94,8.931,9.04,157,64485
2013-09-10,8.99,8.94,8.93,8.96,282,108409
2013-09-11,9.01,8.94,8.89,8.99,151,66231
2013-09-12,8.87,8.8,8.8,8.84,201,64337
2013-09-13,8.92,8.9,8.8,8.88,124,242885
2013-09-16,9.02,8.88,8.88,8.94,140,70188
2013-09-17,8.91,8.86,8.8101,8.89,203,82312
2013-09-18,9.11,9.11,8.776,8.82,760,218774
2013-09-19,9.24,9.14,9.1,9.16,150,57132
2013-09-20,9.05,8.95,8.92,9.05,316,98257
2013-09-23,8.92,8.875,8.86,8.86,263,89295
2013-09-24,8.96,8.95,8.8568,8.86,254,85301
2013-09-25,8.982,8.96,8.91,8.9296,110,44909
2013-09-26,8.96,8.87,8.87,8.93,261,113431
2013-09-27,8.99,8.97,8.9,8.9,60,19598
2013-09-30,8.96,8.91,8.88,8.95,127,41450
2013-10-01,8.83,8.83,8.72,8.82,239,103015
2013-10-02,8.87,8.85,8.79,8.8,279,103427
2013-10-03,8.77,8.65,8.62,8.77,497,166498
2013-10-04,8.73,8.6801,8.62,8.73,98,28758
2013-10-07,8.8,8.78,8.65,8.65,264,103796
2013-10-08,8.91,8.88,8.85,8.85,560,85296
2013-10-09,8.78,8.69,8.69,8.78,187,167309
2013-10-10,8.8296,8.75,8.729,8.73,333,121807
2013-10-11,8.7499,8.7,8.68,8.68,445,189052
2013-10-14,8.81,8.74,8.74,8.77,104,34603
2013-10-15,8.75,8.71,8.68,8.7,147,97542
2013-10-16,8.83,8.81,8.7,8.73,294,87130
2013-10-17,9.1,9.1,8.93,8.93,456,205161
2013-10-18,9.13,9.08,9.0,9.13,165,43246
2013-10-21,9.18,9.17,9.1,9.12,349,114854
2013-10-22,9.2199,9.199,9.11,9.11,180,80067
2013-10-23,9.19,9.1,9.1,9.15,158,46565
2013-10-24,9.21,9.18,9.13,9.16,212,62730
2013-10-25,9.196,9.15,9.05,9.08,125,52700
2013-10-28,9.24,9.21,9.16,9.16,336,70985
2013-10-29,9.25,9.23,9.18,9.25,134,42111
2013-10-30,9.29,9.26,9.2,9.25,324,77774
2013-10-31,9.1999,9.12,9.1,9.1999,170,56803
2013-11-01,9.16,9.16,9.06,9.12,235,122166
2013-11-04,9.22,9.21,9.15,9.17,92,41708
2013-11-05,9.23,9.17,9.13,9.19,195,69883
2013-11-06,9.36,9.315,9.28,9.28,319,91593
2013-11-07,9.29,9.2601,9.24,9.29,94,34192
2013-11-08,9.23,9.23,9.18,9.18,385,102149
2013-11-11,9.22,9.22,9.11,9.12,572,86104
2013-11-12,9.1399,9.06,9.05,9.1,243,89745
2013-11-13,9.085,9.028,9.0,9.06,369,81813
2013-11-14,9.1528,9.09,9.076,9.09,199,79565
2013-11-15,9.06,9.04,8.951,9.02,213,120675
2013-11-18,9.03,8.859,8.84,8.99,409,146757
2013-11-19,8.9699,8.89,8.86,8.86,316,101168
2013-11-20,8.85,8.77,8.77,8.84,483,126105
2013-11-21,8.82,8.78,8.76,8.8,326,93143
2013-11-22,8.92,8.78,8.76,8.92,344,146641
2013-11-25,8.84,8.55,8.55,8.75,270,133528
2013-11-26,8.78,8.77,8.72,8.76,422,224213
2013-11-27,8.84,8.71,8.7,8.84,619,383926
2013-11-29,8.82,8.7601,8.75,8.82,195,96449
2013-12-02,8.75,8.63,8.62,8.73,405,235125
2013-12-03,8.7,8.69,8.63,8.63,258,126901
2013-12-04,8.86,8.82,8.72,8.75,362,109050
2013-12-05,8.86,8.85,8.75,8.81,234,94793
2013-12-06,8.87,8.78,8.78,8.87,434,98993
2013-12-09,8.9,8.9,8.82,8.85,348,138795
2013-12-10,9.0,8.92,8.87,8.92,239,114574
2013-12-11,8.93,8.88,8.88,8.9,378,183811
2013-12-12,8.75,8.69,8.67,8.74,449,133086
2013-12-13,8.73,8.67,8.67,8.72,270,153384
2013-12-16,8.729,8.68,8.62,8.62,290,139207
2013-12-17,8.64,8.52,8.52,8.62,610,143116
2013-12-18,8.6,8.45,8.43,8.57,741,184664
2013-12-19,8.432,8.36,8.35,8.41,992,260095
2013-12-20,8.44,8.4,8.39,8.4,682,197030
2013-12-23,8.45,8.43,8.36,8.39,1318,417747
2013-12-24,8.44,8.42,8.38,8.44,321,128863
2013-12-26,8.56,8.53,8.4,8.4,626,232700
2013-12-27,8.68,8.67,8.56,8.56,540,197238
2013-12-30,8.66,8.5899,8.57,8.66,684,244947
2013-12-31,8.7,8.68,8.55,8.59,892,305981
2014-01-02,8.89,8.87,8.8101,8.83,569,182691
