Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,115.75,115.53,113.81,115.11,,18652200
2002-01-03,116.95,116.84,115.54,115.65,,15743100
2002-01-04,117.98,117.62,116.55,117.17,,20140700
2002-01-07,117.99,116.79,116.56,117.7,,13106500
2002-01-08,117.06,116.52,115.97,116.798,,12687200
2002-01-09,117.78,115.57,115.34,116.68,,16616900
2002-01-10,116.35,116.08,115.3,115.695,,12823400
2002-01-11,116.28,114.94,114.7,116.21,,13708500
2002-01-14,114.84,114.22,113.96,114.65,,12304300
2002-01-15,115.39,115.15,113.9,114.55,,20221400
2002-01-16,114.4,112.82,112.69,114.3,,17077200
2002-01-17,114.24,113.67,113.4,113.76,,17707900
2002-01-18,113.85,113.15,112.67,113.0,,17028200
2002-01-22,113.93,112.37,112.02,113.75,,11691000
2002-01-23,113.55,113.23,112.02,112.63,,12439100
2002-01-24,114.25,113.58,113.32,113.64,,12163100
2002-01-25,114.18,113.55,113.04,113.12,,12810700
2002-01-28,114.19,113.86,112.92,113.9,,10589500
2002-01-29,114.13,110.28,110.05,113.851,,27736100
2002-01-30,111.87,111.87,108.4,110.39,,34712000
2002-01-31,113.3,113.18,111.62,112.15,,19910100
2002-02-01,113.3,112.65,112.17,113.09,,15838500
2002-02-04,112.23,109.85,109.449,112.23,,24247500
2002-02-05,110.499,109.17,108.53,109.4,,33614000
2002-02-06,109.74,108.7,108.06,109.65,,29670400
2002-02-07,109.86,108.02,108.0,108.72,,23450200
2002-02-08,110.75,110.09,108.3,108.63,,19278100
2002-02-11,111.64,111.44,109.82,110.05,,18792400
2002-02-12,111.71,111.09,110.03,110.96,,13942500
2002-02-13,112.54,112.27,111.35,111.481,,16791900
2002-02-14,112.97,112.06,111.591,112.51,,20458200
2002-02-15,112.24,110.89,110.71,112.15,,18394600
2002-02-19,110.298,108.76,108.61,110.15,,15998300
2002-02-20,110.59,110.59,107.82,109.05,,29247100
2002-02-21,110.63,108.3,108.26,109.931,,26292800
2002-02-22,109.94,109.64,107.87,108.35,,26572900
2002-02-25,111.81,111.45,109.7,109.748,,17459600
2002-02-26,112.04,111.22,110.57,111.6,,22362900
2002-02-27,112.86,111.65,110.65,111.961,,28597900
2002-02-28,112.75,111.15,111.03,111.834,,23755500
2002-03-01,113.85,113.74,111.51,111.72,,26186600
2002-03-04,115.99,115.75,113.65,113.901,,27187800
2002-03-05,116.4,115.38,114.97,115.33,,22733500
2002-03-06,117.15,116.75,115.079,115.1,,20169700
2002-03-07,117.5,116.5,115.57,117.361,,19331900
2002-03-08,117.907,116.99,116.48,117.381,,19930800
2002-03-11,117.9,117.24,116.43,116.891,,15622100
2002-03-12,117.25,117.17,115.94,116.109,,17155000
2002-03-13,116.75,116.04,115.64,116.631,,17176600
2002-03-14,116.43,115.88,115.63,116.04,,11169600
