Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-10-22,30.4537,30.38,30.19,30.19,19,2990
2015-10-23,30.45,30.23,30.2,30.44,61,16450
2015-10-26,30.64,30.12,30.05,30.64,50,41364
2015-10-27,30.06,29.92,29.83,30.06,126,25980
2015-10-28,30.15,29.75,29.75,30.06,64,8306
2015-10-29,29.98,29.976,29.8,29.8,9,4050
2015-10-30,30.19,30.13,29.94,30.19,19,4184
2015-11-02,30.29,30.1,30.1,30.29,10,470
2015-11-03,30.46,30.45,30.27,30.32,22,3839
2015-11-04,30.73,30.3,30.26,30.73,39,5310
2015-11-05,30.49,30.1599,30.1599,30.49,15,13840
2015-11-06,30.0,29.65,29.5757,30.0,23,2718
2015-11-09,29.55,29.4848,29.448,29.55,13,1761
2015-11-10,29.59,29.58,29.55,29.59,14,10950
2015-11-11,29.61,29.57,29.57,29.6034,15,13554
2015-11-12,29.51,29.29,29.2565,29.51,18,4276
2015-11-13,29.23,28.9534,28.9143,29.23,21,4283
2015-11-16,29.42,29.42,28.97,28.97,32,7680
2015-11-17,29.59,29.2,29.2,29.59,43,7020
2015-11-18,29.6734,29.6734,29.33,29.42,33,5283
2015-11-19,29.742,29.74,29.7,29.72,12,1209
2015-11-20,29.86,29.84,29.82,29.82,12,10646
2015-11-23,29.88,29.7,29.7,29.88,40,4326
2015-11-24,29.86,29.86,29.57,29.66,40,5771
2015-11-25,29.99,29.83,29.7934,29.99,15,1520
2015-11-27,29.78,29.78,29.78,29.78,3,854
2015-11-30,31.19,29.73,29.73,29.85,61,65742
2015-12-01,29.95,29.95,29.79,29.94,25,4382
2015-12-02,29.83,29.41,29.4,29.83,108,20449
2015-12-03,29.74,29.21,29.21,29.74,12,2368
2015-12-04,29.4048,29.21,29.21,29.29,4,572
2015-12-07,29.6,29.2198,29.2198,29.6,11,1636
2015-12-08,29.18,29.1612,29.06,29.06,11,1354
2015-12-09,29.52,29.0,28.96,29.14,278,56373
2015-12-10,29.24,29.1,29.02,29.13,14,2219
2015-12-11,28.87,28.67,28.64,28.87,24,6261
2015-12-14,28.712,28.712,28.46,28.71,11,3438
2015-12-15,29.216,29.1,29.07,29.07,10,1939
2015-12-16,29.6269,29.605,29.288,29.41,13,2081
2015-12-17,29.91,29.39,29.34,29.91,25,3609
2015-12-18,28.91,28.6832,28.604,28.91,17,3285
2015-12-21,29.02,28.51,28.51,29.02,45,17485
2015-12-22,28.84,28.84,28.7,28.7,12,4431
2015-12-23,29.42,29.35,29.19,29.19,48,64078
2015-12-24,29.45,29.45,29.41,29.41,9,1724
2015-12-28,29.38,29.2943,29.285,29.38,19,18722
