Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-04-06,25.26,25.0,24.74,25.26,9,2261
2017-04-07,25.1372,24.95,24.94,25.07,27,5028
2017-04-10,25.1,24.971,24.97,25.1,17,5451
2017-04-11,25.311,25.26,25.23,25.311,24,5484
2017-04-12,25.35,25.35,25.28,25.28,13,3294
2017-04-13,25.492,25.492,25.3193,25.3193,13,726
2017-04-17,25.5399,25.3786,25.3786,25.5399,26,7152
2017-04-18,25.46,25.37,25.36,25.36,13,3730
2017-04-19,25.57,25.42,25.2647,25.57,57,7890
2017-04-20,25.34,25.1937,25.1737,25.34,25,4295
2017-04-21,25.41,25.37,25.261,25.28,37,6558
2017-04-24,25.02,24.97,24.95,24.95,21,5640
2017-04-25,24.78,24.7237,24.72,24.75,34,6413
2017-04-26,24.76,24.76,24.7199,24.75,8,1504
2017-04-27,24.86,24.75,24.75,24.8,10,9471
2017-04-28,24.83,24.83,24.83,24.83,3,413
2017-05-01,24.8,24.79,24.72,24.72,20,6502
2017-05-02,24.77,24.76,24.69,24.77,14,957
2017-05-03,24.81,24.76,24.76,24.81,17,4724
2017-05-04,24.73,24.73,24.67,24.69,14,3369
2017-05-05,24.68,24.64,24.6258,24.65,27,4976
2017-05-08,24.62,24.56,24.56,24.6151,13,1758
2017-05-09,24.55,24.55,24.41,24.41,16,4882
2017-05-10,24.61,24.5197,24.5197,24.61,10,1461
2017-05-11,24.64,24.57,24.5,24.54,43,14865
2017-05-12,24.76,24.74,24.67,24.67,16,3533
2017-05-15,24.69,24.6499,24.5601,24.69,8,838
2017-05-16,24.68,24.66,24.581,24.581,40,24081
2017-05-17,25.27,25.26,24.97,24.97,47,67395
2017-05-18,25.47,25.1797,25.1797,25.47,17,3042
2017-05-19,25.06,25.0199,25.0099,25.06,30,2025
2017-05-22,25.02,24.87,24.8228,25.02,39,14029
2017-05-23,24.91,24.81,24.81,24.91,11,3314
2017-05-24,24.82,24.82,24.76,24.79,12,4322
2017-05-25,24.74,24.73,24.7,24.719,13,1612
2017-05-26,24.76,24.76,24.7229,24.76,7,1460
2017-05-30,24.83,24.8,24.8,24.82,10,4394
2017-05-31,24.88,24.8787,24.8787,24.88,10,8451
