Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-07-26,82.8,82.51,82.42,82.67,,316300
2002-07-29,82.16,81.42,81.32,82.06,,8400
2002-07-30,81.9,81.52,81.52,81.75,,6100
2002-07-31,82.8,82.53,81.9,81.95,,29400
2002-08-01,83.02,83.0,82.54,82.54,,25000
2002-08-02,84.1,83.85,82.88,83.16,,52800
2002-08-05,84.44,84.22,83.85,84.04,,61100
2002-08-06,83.9,83.5,83.22,83.87,,64900
2002-08-07,84.14,83.7,83.36,83.6,,40300
2002-08-08,83.77,83.7,83.36,83.58,,40900
2002-08-09,84.88,84.88,84.0,84.0,,35900
2002-08-12,86.7,85.4,85.14,85.3,,32100
2002-08-13,86.47,86.45,85.37,85.78,,74300
2002-08-14,87.9,86.78,86.75,87.46,,130000
2002-08-15,86.5,86.02,85.85,86.38,,87100
2002-08-16,86.52,85.06,84.82,86.44,,85000
2002-08-19,85.34,85.32,84.71,85.05,,47300
2002-08-20,86.29,86.27,85.6,85.62,,40800
2002-08-21,86.1,85.81,85.63,85.68,,40000
2002-08-22,85.55,85.06,85.06,85.55,,34400
2002-08-23,85.95,85.9,85.2,85.2,,20100
2002-08-26,86.21,85.98,85.67,85.7,,23900
2002-08-27,85.68,85.44,85.2,85.4,,301800
2002-08-28,86.18,85.87,85.84,86.04,,18100
2002-08-29,86.86,86.56,86.35,86.76,,135700
2002-08-30,87.13,87.08,86.45,86.75,,78100
2002-09-03,88.04,88.04,87.0,87.08,,102100
2002-09-04,88.3,88.02,87.84,88.03,,66300
2002-09-05,88.65,88.5,87.38,88.57,,648400
2002-09-06,88.19,87.46,87.2,87.97,,140000
2002-09-09,87.83,87.33,87.26,87.5,,83800
2002-09-10,88.0,87.75,87.0,87.17,,336000
2002-09-11,87.3,87.29,86.75,87.0,,177700
2002-09-12,88.14,87.97,87.47,87.48,,43400
2002-09-13,88.94,88.78,88.18,88.33,,155100
2002-09-16,89.22,88.93,88.9,89.2,,73000
2002-09-17,89.32,89.1,88.36,88.64,,75400
2002-09-18,89.56,89.12,89.02,89.16,,196600
2002-09-19,89.77,89.72,89.26,89.7,,109900
2002-09-20,89.52,89.3,89.06,89.45,,113500
2002-09-23,90.24,90.1,89.77,90.0,,163200
2002-09-24,90.94,90.68,90.21,90.3,,251900
2002-09-25,90.36,89.58,89.26,90.1,,127200
2002-09-26,89.53,89.37,88.61,89.05,,429000
2002-09-27,90.04,90.04,89.48,89.53,,298200
2002-09-30,90.9,90.4,90.08,90.66,,297800
2002-10-01,89.3,88.94,88.8,89.16,,257500
2002-10-02,89.48,89.45,88.84,89.24,,91000
2002-10-03,89.51,89.23,88.8,89.3,,29900
2002-10-04,89.72,89.51,88.4,88.4,,131000
2002-10-07,89.96,89.66,89.46,89.9,,433800
2002-10-08,90.52,89.69,89.32,89.5,,530900
2002-10-09,90.38,90.15,89.95,90.3,,402900
2002-10-10,90.17,89.44,89.28,90.17,,97100
2002-10-11,89.22,88.38,88.06,89.1,,421800
2002-10-14,88.55,88.25,88.07,88.5,,18300
2002-10-15,87.3,86.16,86.15,87.0,,297100
2002-10-16,86.6,86.2,85.89,86.6,,125200
2002-10-17,85.56,85.15,85.07,85.14,,233400
2002-10-18,85.39,85.37,84.28,85.02,,459100
2002-10-21,85.6,84.54,84.5,85.5,,134900
2002-10-22,84.85,84.3,84.22,84.85,,215800
2002-10-23,85.2,84.33,84.18,84.75,,127900
2002-10-24,85.25,85.07,84.08,84.16,,339600
2002-10-25,85.56,85.38,85.15,85.35,,146100
2002-10-28,85.64,85.26,85.2,85.56,,97800
2002-10-29,86.89,86.37,85.77,85.82,,125000
2002-10-30,86.68,86.34,86.07,86.37,,31900
2002-10-31,86.86,86.73,86.02,86.05,,512700
2002-11-01,86.93,85.98,85.25,86.3,,125100
2002-11-04,85.75,85.6,85.25,85.48,,342500
2002-11-05,85.6,85.27,85.09,85.6,,73800
2002-11-06,86.13,85.61,84.91,85.05,,118500
2002-11-07,87.73,87.73,86.85,87.05,,147900
2002-11-08,88.65,88.44,87.95,88.4,,294700
2002-11-11,88.92,88.92,88.4,88.55,,70000
2002-11-12,89.15,88.41,88.37,89.15,,494300
2002-11-13,88.69,88.6,87.96,88.45,,104700
2002-11-14,87.65,86.76,86.76,87.65,,118000
2002-11-15,87.23,87.11,86.26,86.54,,110700
2002-11-18,87.63,87.5,86.96,87.02,,32200
2002-11-19,88.23,87.82,87.51,87.95,,51800
2002-11-20,88.22,86.96,86.81,88.2,,307400
2002-11-21,86.5,86.12,85.86,86.5,,323200
2002-11-22,86.39,86.04,85.88,86.33,,184800
2002-11-25,86.38,85.88,85.8,86.0,,288200
2002-11-26,87.02,86.96,86.15,86.2,,377800
2002-11-27,86.33,85.0,84.96,86.25,,325600
2002-11-29,85.63,85.55,85.14,85.16,,31700
2002-12-02,85.4,85.24,84.15,84.36,,284900
2002-12-03,85.7,85.36,85.12,85.7,,113800
2002-12-04,86.0,85.8,85.55,85.9,,129000
2002-12-05,86.28,86.02,85.26,85.28,,206400
2002-12-06,87.09,86.17,85.76,87.0,,440500
2002-12-09,86.85,86.65,86.17,86.2,,400300
2002-12-10,86.93,86.88,86.5,86.61,,151600
2002-12-11,87.65,87.46,86.96,87.15,,163800
2002-12-12,87.6,87.38,87.06,87.06,,135800
2002-12-13,87.16,86.53,86.53,87.14,,425800
2002-12-16,86.9,85.88,85.84,86.9,,115700
2002-12-17,86.35,85.88,85.68,86.3,,290600
2002-12-18,86.69,86.55,86.25,86.48,,191000
2002-12-19,87.49,87.32,86.65,86.8,,134400
2002-12-20,87.56,87.38,87.15,87.23,,41900
2002-12-23,87.4,87.4,86.25,87.36,,74200
2002-12-24,88.08,87.89,87.84,88.0,,46600
2002-12-26,88.06,88.06,87.73,87.9,,13500
2002-12-27,89.03,89.03,88.28,88.55,,140200
2002-12-30,89.24,89.24,88.63,88.9,,274900
2002-12-31,89.33,88.57,88.32,88.95,,109400
2003-01-02,87.9,86.28,86.21,87.7,,192100
2003-01-03,86.54,86.48,85.83,86.15,,311200
2003-01-06,86.29,86.25,85.81,86.17,,35600
2003-01-07,86.75,86.56,86.17,86.19,,69800
2003-01-08,87.14,86.99,86.78,86.88,,160100
2003-01-09,86.17,85.32,85.02,86.17,,237500
2003-01-10,85.92,85.54,85.12,85.92,,145200
2003-01-13,85.87,85.68,85.4,85.54,,53300
2003-01-14,86.28,85.98,85.96,86.0,,98900
2003-01-15,86.7,86.4,86.2,86.28,,129600
2003-01-16,86.6,86.52,85.62,86.38,,57900
2003-01-17,87.24,86.95,86.93,87.1,,97700
2003-01-21,87.45,87.45,86.8,86.88,,107500
2003-01-22,87.9,87.88,87.52,87.68,,107100
2003-01-23,87.7,87.45,87.3,87.32,,110700
2003-01-24,88.44,87.97,87.74,87.74,,285300
2003-01-27,88.04,87.65,87.5,87.9,,150500
2003-01-28,87.78,87.65,87.1,87.65,,454700
2003-01-29,87.88,87.17,86.98,87.83,,221400
2003-01-30,87.9,87.82,87.1,87.2,,108600
2003-01-31,88.21,88.06,87.54,87.9,,182300
2003-02-03,87.91,87.88,87.31,87.67,,55200
2003-02-04,88.4,88.27,88.11,88.37,,56900
2003-02-05,88.7,87.51,87.43,88.23,,223300
2003-02-06,88.26,88.22,87.79,87.84,,120900
2003-02-07,88.52,88.42,87.63,87.77,,247200
2003-02-10,88.4,87.8,87.69,88.12,,76600
2003-02-11,87.91,87.78,87.43,87.6,,259100
2003-02-12,88.13,88.09,87.67,87.8,,121300
2003-02-13,89.18,88.57,88.17,88.27,,440200
2003-02-14,88.37,87.81,87.61,88.3,,829700
2003-02-18,87.98,87.92,87.34,87.56,,213200
2003-02-19,88.7,88.52,88.25,88.39,,62100
2003-02-20,88.9,88.82,88.34,88.34,,486700
2003-02-21,88.72,88.3,88.21,88.56,,250400
2003-02-24,88.9,88.72,88.62,88.88,,168200
2003-02-25,89.65,89.13,89.0,89.4,,358500
2003-02-26,89.75,89.75,89.15,89.38,,334000
2003-02-27,89.99,89.9,89.31,89.46,,695700
2003-02-28,90.54,90.47,89.58,89.68,,213300
2003-03-03,90.45,90.24,89.91,90.0,,204100
2003-03-04,90.45,90.3,90.02,90.13,,83100
2003-03-05,90.63,90.6,90.04,90.62,,126000
2003-03-06,90.68,90.25,90.06,90.55,,166000
2003-03-07,90.79,90.56,90.05,90.72,,263800
2003-03-10,91.03,91.03,90.68,90.81,,147200
2003-03-11,91.16,90.87,90.73,90.99,,82800
2003-03-12,91.36,91.2,90.88,90.92,,454800
2003-03-13,90.39,89.52,89.52,90.15,,830200
2003-03-14,90.12,89.96,89.62,89.9,,590900
2003-03-17,90.52,88.88,88.86,90.52,,724400
2003-03-18,89.2,88.04,88.01,88.96,,415200
2003-03-19,88.07,87.39,87.33,88.04,,398400
2003-03-20,87.95,87.25,86.76,87.82,,206700
2003-03-21,87.05,86.05,86.05,86.92,,843400
2003-03-24,87.6,87.41,86.85,87.1,,373800
2003-03-25,87.82,87.31,86.9,87.65,,606400
2003-03-26,87.65,87.49,87.25,87.25,,309500
2003-03-27,87.87,87.55,87.33,87.75,,191600
2003-03-28,88.08,87.75,87.72,87.92,,253400
2003-03-31,88.93,88.9,88.3,88.3,,643800
2003-04-01,88.79,88.27,87.9,88.4,,289800
2003-04-02,87.7,87.35,87.28,87.65,,312200
2003-04-03,87.58,87.3,87.14,87.25,,245600
2003-04-04,87.3,87.05,86.88,87.06,,184900
2003-04-07,86.86,86.85,85.92,86.22,,485400
2003-04-08,87.59,87.55,86.99,87.05,,194700
2003-04-09,87.86,87.81,87.17,87.4,,102400
2003-04-10,87.85,87.4,87.35,87.75,,53300
2003-04-11,87.32,87.26,86.59,86.82,,450000
2003-04-14,87.11,87.02,86.71,87.1,,207100
2003-04-15,87.53,87.49,87.04,87.33,,128500
2003-04-16,87.9,87.85,87.47,87.53,,97700
2003-04-17,88.4,87.99,87.8,88.24,,106200
2003-04-21,87.83,87.8,87.26,87.48,,148000
2003-04-22,88.26,87.75,87.62,88.15,,299900
2003-04-23,88.01,87.93,87.6,87.78,,42700
2003-04-24,88.99,88.72,88.4,88.4,,199000
2003-04-25,89.1,88.92,88.68,88.75,,529700
2003-04-28,89.09,88.78,88.78,89.09,,80500
2003-04-29,88.77,88.63,88.32,88.53,,177500
2003-04-30,89.52,89.45,88.72,88.79,,294100
2003-05-01,89.6,89.02,88.8,89.2,,231200
2003-05-02,89.07,88.32,88.27,89.06,,231500
2003-05-05,88.87,88.79,88.2,88.31,,77700
2003-05-06,89.4,89.23,88.52,88.84,,260600
2003-05-07,90.33,90.27,89.82,90.0,,306900
2003-05-08,90.9,90.49,90.28,90.6,,437400
2003-05-09,90.62,90.58,90.2,90.3,,110000
2003-05-12,91.19,91.15,90.73,91.14,,364700
2003-05-13,91.37,91.35,90.83,90.9,,227800
2003-05-14,92.98,92.75,91.62,91.83,,1426500
2003-05-15,93.57,93.04,92.6,92.6,,810300
2003-05-16,93.76,93.72,92.95,93.48,,703900
2003-05-19,94.24,93.4,93.13,94.11,,817800
2003-05-20,94.78,94.78,93.12,93.15,,606600
2003-05-21,95.66,94.77,94.12,94.25,,1799600
2003-05-22,95.7,95.61,94.9,95.1,,576200
2003-05-23,96.21,95.85,95.64,95.77,,690600
2003-05-27,95.71,94.12,94.12,95.62,,846400
2003-05-28,94.14,93.96,93.31,93.9,,730500
2003-05-29,94.8,94.78,94.071,94.3,,508300
2003-05-30,94.74,94.6,93.97,94.45,,722200
2003-06-02,93.88,93.51,93.09,93.88,,478600
2003-06-03,94.58,94.26,93.71,93.76,,389400
2003-06-04,94.71,94.54,94.05,94.46,,394100
2003-06-05,95.38,93.8,93.8,95.2,,820900
2003-06-06,94.15,94.14,93.38,93.7,,276800
2003-06-09,94.88,94.77,94.27,94.7,,282200
2003-06-10,95.93,95.9,95.07,95.08,,534800
2003-06-11,96.6,95.78,95.7,96.25,,633600
2003-06-12,96.73,96.53,96.01,96.11,,315400
2003-06-13,97.28,97.18,96.76,96.93,,478400
2003-06-16,97.66,96.26,96.26,97.5,,789300
2003-06-17,96.031,95.5,95.4,95.97,,691600
2003-06-18,95.06,94.28,94.2,95.06,,657600
2003-06-19,94.48,94.1,93.5,93.96,,817700
2003-06-20,94.05,93.75,93.03,93.9,,561700
2003-06-23,94.43,94.31,93.53,93.819,,819900
2003-06-24,95.18,95.18,94.01,94.15,,292900
2003-06-25,95.49,93.66,93.45,95.42,,1002800
2003-06-26,93.25,92.4,92.12,93.25,,1423800
2003-06-27,92.55,92.07,91.55,92.55,,735900
2003-06-30,92.52,92.5,91.68,91.92,,541900
2003-07-01,92.49,91.69,91.51,92.15,,449000
2003-07-02,92.07,91.92,91.11,91.2,,338800
2003-07-03,91.71,90.6,90.6,91.7,,559100
2003-07-07,90.59,90.02,90.02,90.28,,465400
2003-07-08,90.48,90.1,89.63,90.43,,389600
2003-07-09,90.69,90.39,90.11,90.53,,270400
2003-07-10,90.75,90.36,90.12,90.69,,718000
2003-07-11,90.79,90.79,90.21,90.3,,389500
2003-07-14,90.87,89.75,89.63,90.68,,465900
2003-07-15,89.86,87.65,87.4,89.54,,3171100
2003-07-16,88.72,88.15,87.15,87.41,,1205400
2003-07-17,88.04,87.88,87.18,87.33,,897000
2003-07-18,87.96,87.7,87.44,87.65,,550800
2003-07-21,87.6,85.84,85.65,87.5,,1267600
2003-07-22,86.36,86.26,85.44,85.97,,1576900
2003-07-23,87.05,86.55,86.4,86.8,,1374700
2003-07-24,86.08,85.79,85.55,85.9,,701100
2003-07-25,86.62,85.56,85.4,85.98,,1273500
