Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-12-04,25.292,25.2261,25.14,25.14,38,3975
2019-12-05,25.56,25.4779,25.21,25.21,78,11449
2019-12-06,25.9,25.8,25.62,25.62,50,7781
2019-12-09,25.92,25.3682,25.3682,25.92,95,9564
2019-12-10,25.58,25.3983,25.34,25.34,35,6716
2019-12-11,25.61,25.5426,25.4,25.4,70,8990
2019-12-12,25.96,25.689,25.65,25.86,101,15996
2019-12-13,25.7478,25.5967,25.548,25.69,40,4606
2019-12-16,25.79,25.5492,25.5492,25.79,52,5994
2019-12-17,25.42,25.29,25.2698,25.42,79,4595
2019-12-18,25.619,25.6122,25.3,25.3,13,2188
2019-12-19,25.66,25.5733,25.5,25.65,69,6786
2019-12-20,25.8038,25.47,25.47,25.6875,22,3809
2019-12-23,25.7633,25.7633,25.6,25.6,22,2351
2019-12-24,25.8921,25.7362,25.7362,25.8921,17,876
2019-12-26,26.16,25.99,25.8901,25.8901,36,6480
2019-12-27,26.15,26.064,25.99,25.99,41,5879
2019-12-30,26.19,26.1198,26.1,26.18,28,3357
2019-12-31,26.225,26.1585,26.085,26.1632,168,21576
2020-01-02,26.27,26.24,26.14,26.27,39,4118
2020-01-03,26.39,26.33,26.2,26.2,44,3044
2020-01-06,26.45,26.44,26.2266,26.3253,55,10033
2020-01-07,26.27,25.9148,25.9148,26.2544,43,11778
2020-01-08,25.78,25.7257,24.61,25.75,55,7911
2020-01-09,25.86,25.4073,25.39,25.755,60,19168
2020-01-10,25.5551,25.5,25.41,25.4251,40,14285
2020-01-13,25.84,25.71,25.5817,25.6999,36,6169
2020-01-14,25.77,25.65,25.65,25.7013,31,4310
2020-01-15,25.68,25.44,25.43,25.68,22,2953
2020-01-16,25.72,25.6643,25.61,25.65,75,6830
2020-01-17,25.81,25.53,25.37,25.75,54,7717
2020-01-21,25.4,25.15,25.15,25.4,28,3810
2020-01-22,25.16,25.086,25.0365,25.15,26,3000
2020-01-23,24.98,24.7641,24.65,24.98,67,8955
2020-01-24,26.91,24.51,24.51,24.85,22,6877
2020-01-27,24.13,23.93,23.93,24.13,61,6588
2020-01-28,24.05,23.81,23.81,24.05,16,3124
2020-01-29,23.75,23.6,23.51,23.75,15,2234
2020-01-30,23.56,23.56,23.25,23.25,14,601
2020-01-31,23.5474,23.4809,23.4,23.51,35,10164
2020-02-03,24.046,24.0,23.65,23.65,15,1196
2020-02-04,24.53,24.4934,24.375,24.375,22,3188
2020-02-05,24.585,24.585,24.35,24.52,54,9127
2020-02-06,24.55,24.45,24.41,24.55,11,724
2020-02-07,24.825,24.3598,24.3598,24.45,13,677
2020-02-10,24.35,24.22,24.1605,24.35,23,3240
2020-02-11,24.77,24.7203,24.16,24.16,22,2218
2020-02-12,25.301,25.301,24.69,24.69,34,4763
2020-02-13,25.2311,25.1742,25.135,25.18,13,1411
2020-02-14,24.975,24.9138,24.905,24.9228,24,3607
2020-02-18,24.9,24.74,24.6937,24.9,25,3634
2020-02-19,24.86,24.79,24.715,24.81,60,6404
2020-02-20,24.8329,24.7,24.7,24.7,22,3488
2020-02-21,24.68,24.45,24.4295,24.68,22,6947
2020-02-24,24.14,23.68,23.5751,24.14,31,3248
2020-02-25,23.4404,23.0167,23.0167,23.4404,29,1857
2020-02-26,23.02,22.7333,22.7,23.015,28,3830
2020-02-27,22.63,22.2746,22.05,22.12,55,4961
2020-02-28,22.0256,22.0256,21.31,21.74,95,14513
2020-03-02,22.51,22.5073,22.13,22.13,23,4122
2020-03-03,23.105,22.6153,22.6153,23.05,25,2009
2020-03-04,23.075,22.9368,22.81,22.81,14,1051
2020-03-05,22.5985,22.517,22.485,22.56,9,2110
2020-03-06,22.29,22.218,22.0075,22.29,21,1356
2020-03-09,21.24,20.34,20.2,21.24,35,2586
2020-03-10,21.2734,21.0083,20.27,20.86,15,1748
2020-03-11,20.52,19.8372,19.8372,20.52,17,1037
2020-03-12,18.8,18.1332,17.7807,18.8,53,6378
2020-03-13,18.75,18.6719,18.031,18.75,22,5176
2020-03-16,17.0852,16.7717,16.61,16.93,26,11009
2020-03-17,18.04,17.9924,17.421,17.67,21,2046
2020-03-18,17.83,16.5786,16.5786,17.83,23,1305
2020-03-19,17.08,16.8737,15.551,15.59,33,3719
2020-03-20,16.7328,16.7328,16.7328,16.7328,1,50
2020-03-23,16.74,16.2901,16.0,16.74,14,1889
2020-03-24,17.6038,17.6038,17.5,17.5,33,3214
2020-03-25,18.6674,18.4134,17.6,17.6,21,1426
2020-03-26,19.2121,18.64,18.5,18.86,51,9184
2020-03-27,18.79,18.6126,18.39,18.79,21,1459
2020-03-30,19.6255,19.6255,18.9,19.005,11,1080
2020-03-31,19.91,19.695,19.62,19.6286,30,4081
2020-04-01,20.0,19.86,19.54,20.0,17,1108
2020-04-02,20.3816,20.3816,20.3816,20.3816,4,21
2020-04-03,20.8015,20.8015,20.565,20.77,15,1050
2020-04-06,21.36,21.3229,21.0,21.08,34,2083
2020-04-07,22.43,22.4053,21.5,21.5,37,2817
2020-04-08,22.9099,22.6131,22.42,22.78,49,6343
2020-04-09,23.22,22.8639,22.69,22.69,25,2017
2020-04-13,22.76,22.5585,22.5585,22.76,23,1881
2020-04-14,24.8,24.8,23.27,23.27,81,5765
2020-04-15,25.09,24.81,24.23,24.34,120,15010
2020-04-16,25.685,25.44,24.96,24.96,117,11149
2020-04-17,26.14,26.14,25.44,25.7201,43,5192
2020-04-20,27.31,26.6135,25.82,25.82,153,20230
2020-04-21,26.54,25.9,25.58,26.52,86,9600
2020-04-22,27.065,26.9305,26.0,26.48,143,9135
2020-04-23,28.39,27.5004,27.01,27.35,224,23750
2020-04-24,27.94,27.775,27.48,27.5681,66,4201
2020-04-27,28.22,28.09,27.6,28.06,114,7911
2020-04-28,28.41,27.7473,27.59,28.4,120,9054
2020-04-29,28.05,27.93,27.9066,28.04,34,2117
2020-04-30,27.75,27.35,27.35,27.75,38,1814
2020-05-01,27.4351,27.4351,27.0493,27.15,88,3213
2020-05-04,28.3599,28.3599,27.4531,27.76,55,4322
2020-05-05,28.73,28.6,28.5,28.52,92,7896
2020-05-06,29.02,28.29,28.29,29.02,65,4973
2020-05-07,28.908,28.3075,28.3,28.57,41,3068
2020-05-08,28.91,28.7288,28.49,28.49,57,4897
2020-05-11,28.605,28.5737,28.24,28.24,66,5934
2020-05-12,28.75,27.91,27.91,28.43,80,4696
2020-05-13,27.82,26.86,26.2901,27.78,111,6326
2020-05-14,26.6777,26.36,25.77,26.4792,77,7759
2020-05-15,26.91,26.6687,26.39,26.59,68,5599
2020-05-18,27.87,27.6989,27.47,27.47,40,7685
2020-05-19,27.67,27.29,27.29,27.58,36,3362
2020-05-20,28.42,27.5817,27.5,28.42,28,1204
2020-05-21,27.54,27.3964,27.235,27.45,27,4674
2020-05-22,27.29,27.29,27.24,27.24,30,963
2020-05-26,27.89,27.5872,27.49,27.88,33,2217
2020-05-27,28.156,28.156,27.35,27.8,18,1412
2020-05-28,28.43,28.0811,28.01,28.43,48,2924
2020-05-29,28.4445,28.4445,28.02,28.02,21,778
2020-06-01,28.4401,28.44,28.3145,28.435,44,3037
2020-06-02,28.5785,28.5785,28.31,28.31,24,1129
2020-06-03,28.55,28.293,28.1875,28.33,37,1540
2020-06-04,27.94,27.8932,27.79,27.93,22,1472
2020-06-05,28.09,27.49,27.49,28.09,31,5203
2020-06-08,28.25,28.0325,27.89,28.25,32,3913
2020-06-09,27.7883,27.7883,27.711,27.711,23,990
2020-06-10,27.955,27.5698,27.5698,27.955,14,451
2020-06-11,27.21,26.28,26.28,26.93,51,2898
2020-06-12,27.21,26.5821,26.1948,27.21,45,5726
2020-06-15,26.97,26.8229,26.01,26.01,25,1921
2020-06-16,27.188,26.7844,26.7844,26.83,21,1548
2020-06-17,26.7571,26.7571,26.7571,26.7571,10,36
2020-06-18,26.6661,26.6661,26.6661,26.6661,9,265
2020-06-19,27.0,26.5772,26.3591,26.94,29,2405
2020-06-22,26.7336,26.7336,26.282,26.282,29,918
2020-06-23,26.9,26.6,26.6,26.9,18,876
2020-06-24,26.28,26.235,26.05,26.15,49,3541
2020-06-25,26.4391,26.3867,26.3867,26.4391,25,903
2020-06-26,26.25,26.0,26.0,26.25,12,264
2020-06-29,26.15,26.15,26.15,26.15,15,209
2020-06-30,26.8498,26.8498,26.0,26.1,16,2468
2020-07-01,27.15,27.1492,26.6745,26.89,25,1635
2020-07-02,27.74,27.35,27.35,27.4439,35,2833
2020-07-06,28.1683,28.1683,27.35,27.35,28,2320
2020-07-07,28.4,28.208,28.07,28.07,28,4698
2020-07-08,28.67,28.454,28.2787,28.6366,36,4057
2020-07-09,28.42,28.15,28.0001,28.4,16,1976
2020-07-10,28.52,28.3034,28.0638,28.13,52,4748
2020-07-13,29.36,27.7463,27.7463,29.36,63,11097
2020-07-14,27.9716,27.88,27.645,27.8,29,4315
2020-07-15,28.849,28.7541,28.485,28.51,28,2258
2020-07-16,28.8183,28.65,28.65,28.69,33,7576
2020-07-17,29.68,29.5825,28.65,29.05,66,3573
2020-07-20,31.62,30.581,30.35,30.7099,271,44770
2020-07-21,30.89,30.6,30.6,30.85,159,16418
2020-07-22,31.7,31.425,30.9761,31.01,143,14166
2020-07-23,32.19,31.6977,31.5138,31.89,126,11609
2020-07-24,31.995,31.6,31.5769,31.66,104,8651
2020-07-27,32.42,32.4033,32.15,32.33,121,7921
2020-07-28,32.45,31.6,31.6,32.17,91,11128
2020-07-29,31.73,30.4304,30.0,31.73,181,17041
2020-07-30,29.92,29.665,29.3001,29.92,100,9585
2020-07-31,30.2866,30.2866,29.765,30.01,99,12021
2020-08-03,30.7699,30.7029,30.0557,30.42,123,15442
2020-08-04,31.18,31.05,30.76,30.82,135,15650
2020-08-05,31.57,31.0463,30.91,31.51,163,13188
2020-08-06,31.1525,30.65,30.65,31.1,45,6682
2020-08-07,30.7,30.7,30.4973,30.65,40,6307
2020-08-10,31.12,30.6508,30.5697,30.92,138,8909
2020-08-11,30.81,30.21,30.21,30.69,60,3863
2020-08-12,31.0289,30.905,30.51,30.66,30,3182
2020-08-13,31.25,30.9086,30.85,31.25,44,6274
2020-08-14,31.06,30.72,30.7,31.0,58,6571
2020-08-17,31.2999,31.05,30.95,30.95,80,7533
2020-08-18,31.97,31.45,31.4,31.43,153,22329
2020-08-19,31.84,31.59,31.28,31.28,99,9241
2020-08-20,32.23,32.01,31.667,31.77,96,10851
2020-08-21,32.22,31.927,31.76,31.88,80,18040
2020-08-24,32.08,31.96,31.52,32.03,55,4897
2020-08-25,32.53,32.5199,31.8,31.9966,97,20215
2020-08-26,33.08,32.9621,32.38,32.81,125,15138
2020-08-27,33.5899,33.18,33.0,33.0,157,10474
2020-08-28,34.12,34.12,33.29,33.29,99,8206
2020-08-31,34.09,33.68,33.5,33.65,119,19943
2020-09-01,34.34,34.15,33.57,34.12,164,18027
2020-09-02,34.44,33.975,33.925,34.44,102,10391
2020-09-03,33.99,32.63,32.5,33.8066,163,16324
2020-09-04,32.8,32.3,31.54,32.8,105,11205
2020-09-08,31.77,31.11,31.11,31.77,144,15397
2020-09-09,32.28,31.845,31.62,31.65,86,5758
2020-09-10,32.41,31.23,31.1433,31.96,94,8177
2020-09-11,31.5999,31.4,30.94,31.455,70,6724
2020-09-14,32.41,32.3509,31.64,31.64,55,6717
2020-09-15,32.83,32.05,32.011,32.47,88,10517
2020-09-16,32.19,31.8904,31.89,32.16,70,9926
2020-09-17,31.96,31.699,31.54,31.96,60,2849
2020-09-18,32.55,31.3,31.25,32.55,122,11770
2020-09-21,30.87,30.15,29.87,30.87,145,11721
2020-09-22,30.112,30.112,30.0,30.01,37,1769
2020-09-23,30.02,29.0454,29.01,30.02,87,5078
2020-09-24,29.26,28.9434,28.44,28.51,164,37265
2020-09-25,29.2571,29.2571,28.94,28.94,16,696
2020-09-28,29.47,29.3022,29.25,29.3,33,2752
2020-09-29,29.43,29.43,29.1987,29.34,17,4911
2020-09-30,29.405,29.18,29.1001,29.2727,40,3318
2020-10-01,29.155,28.9838,28.8827,29.155,55,4455
2020-10-02,28.58,28.4537,28.201,28.52,90,5787
2020-10-05,28.7,28.63,28.56,28.7,40,3535
2020-10-06,29.0,28.4208,28.4208,28.76,27,3522
2020-10-07,29.218,29.0,28.61,28.64,36,4081
2020-10-08,29.06,28.8875,28.7501,29.0,47,7105
2020-10-09,28.9,28.66,28.66,28.9,37,3002
2020-10-12,28.9078,28.5969,28.5,28.6601,52,5434
2020-10-13,28.56,28.2619,28.11,28.56,73,12730
2020-10-14,28.25,28.15,28.09,28.2037,52,8328
2020-10-15,27.78,27.5,27.5,27.78,87,9489
2020-10-16,27.67,27.5324,27.45,27.48,114,9116
2020-10-19,27.98,27.54,27.36,27.55,196,19997
2020-10-20,28.35,28.31,27.78,27.78,147,12269
2020-10-21,28.6,28.3666,28.3666,28.42,105,10754
2020-10-22,28.4,28.3,28.195,28.38,80,4675
2020-10-23,28.5,28.0938,28.0401,28.5,71,5500
2020-10-26,28.05,27.71,27.575,28.05,169,17672
2020-10-27,27.65,27.5,27.5,27.65,73,3299
2020-10-28,27.25,26.48,26.43,27.25,227,36710
2020-10-29,27.04,26.9393,26.45,26.45,74,9920
2020-10-30,27.3198,27.1976,26.95,26.96,96,8918
2020-11-02,27.35,27.0167,26.9301,27.35,69,5003
2020-11-03,27.38,27.2298,27.1,27.22,59,11371
2020-11-04,27.38,27.05,27.05,27.38,56,3189
2020-11-05,27.71,27.6461,27.45,27.47,77,9126
2020-11-06,28.05,27.95,27.75,27.84,78,9680
2020-11-09,29.06,28.08,28.08,29.06,117,14384
2020-11-10,28.61,28.5,28.03,28.05,58,4687
2020-11-11,29.2628,29.2628,28.52,28.55,264,18666
2020-11-12,29.71,28.78,28.78,29.56,162,15214
2020-11-13,29.028,28.84,28.8,28.8,169,13024
2020-11-16,29.22,28.75,28.531,29.22,240,26261
2020-11-17,28.81,28.6349,28.5881,28.75,116,13898
2020-11-18,28.85,28.6,28.53,28.83,123,12891
2020-11-19,28.6,28.5728,28.2501,28.6,79,9252
2020-11-20,28.73,28.55,28.5211,28.73,62,3459
2020-11-23,28.9299,28.86,28.55,28.62,136,12110
2020-11-24,30.339,29.8,28.945,29.02,237,26424
2020-11-25,31.01,30.4,29.8,29.8,172,20707
2020-11-27,30.63,29.96,29.96,30.25,120,11492
2020-11-30,30.25,29.78,29.77,30.25,159,15130
2020-12-01,30.77,30.27,30.26,30.33,164,21366
2020-12-02,31.17,31.17,30.2101,30.26,174,18580
2020-12-03,31.8582,31.58,31.37,31.37,315,28307
2020-12-04,33.7,33.4697,31.1857,31.48,344,48744
2020-12-07,38.49,36.98,35.4,35.4,597,69582
2020-12-08,37.85,36.839,36.2501,37.85,305,33591
2020-12-09,36.81,35.188,35.0,36.81,350,33455
2020-12-10,37.83,36.99,35.07,35.07,326,43241
2020-12-11,38.45,38.27,37.1,37.91,427,75993
2020-12-14,42.375,40.61,40.01,40.18,1101,135760
2020-12-15,41.78,41.03,40.0805,41.29,415,42504
2020-12-16,41.5048,41.29,41.0,41.3,388,46097
2020-12-17,42.0,41.29,41.0501,41.38,387,50430
2020-12-18,41.28,41.0555,40.58,41.12,336,26585
2020-12-21,41.1799,40.38,39.6,40.51,478,50253
2020-12-22,41.0999,40.55,40.0,40.0,303,28110
2020-12-23,42.38,41.9,40.7,40.72,682,81736
2020-12-24,42.57,42.57,41.9,42.15,251,27909
2020-12-28,43.86,42.94,41.715,42.5,567,84674
2020-12-29,44.84,42.99,42.5,44.84,409,34682
2020-12-30,44.0898,43.56,43.06,43.06,437,43109
2020-12-31,43.56,42.9,42.8285,43.56,361,31509
2021-01-04,43.9,43.15,42.81,43.87,746,65140
2021-01-05,46.07,45.78,43.43,43.43,901,90883
2021-01-06,47.99,46.84,46.0,46.51,994,95373
2021-01-07,48.5899,48.13,46.94,47.15,724,68780
2021-01-08,48.49,46.45,45.65,48.49,1378,120736
2021-01-11,45.95,45.3,44.365,45.89,883,78757
2021-01-12,45.5,43.3289,43.305,45.28,902,55333
2021-01-13,44.69,44.4817,43.63,43.63,477,51862
2021-01-14,46.3569,46.15,45.0152,45.14,710,69393
2021-01-15,46.75,44.7739,44.62,46.31,814,86938
2021-01-19,44.77,43.67,43.2125,44.77,779,71062
