Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-10-20,25.36,25.36,25.1,25.31,-1,4200
2011-10-21,25.67,25.67,25.67,25.67,-1,100
2011-10-25,25.8,25.58,25.58,25.8,-1,3995
2011-10-26,25.73,25.69,25.46,25.73,-1,4195
2011-10-27,26.03,26.03,26.03,26.03,-1,100
2011-10-28,26.07,26.02,26.02,26.07,-1,350
2011-10-31,26.01,25.96,25.96,26.01,-1,522
2011-11-04,25.8,25.8,25.79,25.79,-1,2000
2011-11-07,25.7,25.7,25.7,25.7,-1,100
2011-11-08,26.1,26.1,26.08,26.08,-1,1205
2011-11-09,25.83,25.61,25.6,25.77,-1,3200
2011-11-10,26.49,25.74,25.6699,26.49,-1,2850
2011-11-11,26.25,26.2,26.13,26.13,-1,2400
2011-11-14,26.03,26.03,26.03,26.03,-1,100
2011-11-15,26.24,26.03,25.9,25.9,-1,23522
2011-11-16,25.9948,25.84,25.84,25.9799,-1,1000
2011-11-17,25.65,25.3845,25.3845,25.65,-1,1300
2011-11-18,25.5385,25.5299,25.5299,25.5385,-1,1050
2011-11-21,25.25,25.14,25.05,25.17,-1,4937
2011-11-23,24.89,24.8,24.71,24.8,-1,9520
2011-11-25,24.7899,24.7899,24.44,24.44,-1,1500
2011-11-28,25.31,25.31,25.23,25.23,-1,2424
2011-11-29,25.34,25.34,25.34,25.34,-1,200
2011-11-30,26.45,26.0,25.8,26.45,-1,4756
2011-12-01,26.76,26.2,26.07,26.76,-1,1900
2011-12-02,26.1801,26.12,26.12,26.18,-1,700
2011-12-05,26.339,26.065,26.065,26.2265,-1,5075
2011-12-06,26.29,26.29,26.2,26.2,-1,3483
2011-12-07,26.29,26.29,26.15,26.15,-1,2941
2011-12-08,26.4649,26.4649,25.98,26.25,-1,3500
2011-12-09,26.31,26.31,26.23,26.23,-1,1158
2011-12-12,28.77,25.94,25.88,28.77,-1,3752
2011-12-13,26.99,25.88,25.85,26.99,-1,27782
2011-12-14,25.88,25.79,25.76,25.8,-1,123641
2011-12-15,25.94,25.9,25.9,25.94,-1,3100
2011-12-16,25.93,25.91,25.89,25.89,-1,14300
2011-12-21,26.47,26.45,26.35,26.36,-1,5301
2011-12-22,26.58,26.46,26.4,26.58,-1,1785
2011-12-23,26.72,26.67,26.58,26.72,-1,4078
2011-12-27,26.84,26.84,26.7398,26.7398,-1,6232
2011-12-28,26.68,26.64,26.5972,26.68,-1,3388
2011-12-29,26.77,26.75,26.68,26.69,-1,7117
2011-12-30,26.84,26.72,26.7,26.84,-1,3193
2012-01-03,26.97,26.71,26.71,26.96,-1,11928
2012-01-04,26.7,26.6,26.5825,26.6714,-1,22948
2012-01-05,26.69,26.6,26.5,26.5,-1,10288
2012-01-06,27.16,26.6899,26.6899,27.16,-1,1498
2012-01-09,26.68,26.68,26.59,26.59,-1,2461
2012-01-10,27.12,26.83,26.808,27.12,-1,9190
2012-01-11,27.24,26.82,26.79,27.24,-1,4214
2012-01-12,26.9199,26.9199,26.8049,26.82,-1,1982
2012-01-13,26.7999,26.7999,26.68,26.68,-1,9990
2012-01-17,27.2,26.9599,26.91,27.2,-1,26048
2012-01-18,27.1,27.1,27.0045,27.01,-1,19476
2012-01-19,27.22,27.19,27.14,27.14,-1,3385
2012-01-20,27.47,27.17,27.1299,27.47,-1,8307
2012-01-23,27.2,27.1193,27.0571,27.2,-1,5195
2012-01-24,27.09,27.07,27.04,27.04,-1,3124
2012-01-25,27.26,27.26,26.97,26.97,-1,4300
2012-01-26,27.71,27.17,27.1321,27.71,-1,9384
2012-01-27,27.15,27.15,27.102,27.1235,-1,3909
2012-01-30,27.02,27.02,26.87,26.87,-1,400
2012-01-31,27.11,27.07,27.041,27.11,-1,7500
2012-02-01,27.32,27.3199,27.25,27.25,-1,4314
2012-02-02,27.29,27.2175,27.184,27.29,-1,26491
2012-02-03,27.4,27.39,27.3,27.3,-1,9970
2012-02-06,27.34,27.28,27.28,27.34,-1,5209
2012-02-07,27.4456,27.4456,27.25,27.25,-1,20117
2012-02-08,27.69,27.35,27.3426,27.69,-1,13143
2012-02-09,27.43,27.43,27.3,27.3,-1,4815
2012-02-10,27.53,27.23,27.22,27.53,-1,9148
2012-02-13,27.43,27.32,27.281,27.43,-1,8587
2012-02-14,27.49,27.39,27.29,27.49,-1,11553
2012-02-15,27.44,27.35,27.28,27.43,-1,8356
2012-02-16,27.74,27.53,27.311,27.74,-1,18083
2012-02-17,27.58,27.578,27.5013,27.5529,-1,13545
2012-02-21,27.85,27.482,27.39,27.85,-1,7904
2012-02-22,27.53,27.5,27.42,27.4639,-1,10804
2012-02-23,27.65,27.64,27.5109,27.57,-1,7657
2012-02-24,27.73,27.7,27.6,27.6608,-1,4624
2012-02-27,27.7,27.64,27.6308,27.69,-1,8058
2012-02-28,27.77,27.745,27.68,27.7,-1,181333
2012-02-29,27.79,27.638,27.631,27.79,-1,8767
2012-03-01,27.76,27.7,27.65,27.75,-1,13053
2012-03-02,28.5,27.64,27.61,28.24,-1,26249
2012-03-05,27.82,27.7609,27.27,27.82,-1,3001
2012-03-06,27.67,27.532,27.4537,27.67,-1,18793
2012-03-07,27.73,27.6499,27.4689,27.73,-1,7703
2012-03-08,28.0,27.84,27.726,28.0,-1,10170
2012-03-09,27.93,27.91,27.784,27.816,-1,6305
2012-03-12,28.06,28.06,27.9431,27.98,-1,4627
2012-03-13,28.46,28.05,28.05,28.46,-1,8312
2012-03-14,28.46,28.1,28.1,28.46,-1,4159
2012-03-15,28.16,28.13,28.0417,28.08,-1,43838
2012-03-16,28.14,28.14,28.14,28.14,-1,155
2012-03-19,28.39,28.22,28.1,28.39,-1,15883
2012-03-20,28.24,28.1699,28.0979,28.11,-1,15106
2012-03-21,28.31,28.18,28.14,28.31,-1,14200
2012-03-22,28.099,28.08,28.0503,28.09,-1,8641
2012-03-23,28.16,27.96,27.89,28.16,-1,4237
2012-03-26,28.2699,28.23,28.21,28.24,-1,2287
2012-03-27,28.35,28.24,28.24,28.35,-1,11224
2012-03-28,28.2111,28.1375,28.05,28.2111,-1,8652
2012-03-29,28.05,28.05,28.0209,28.04,-1,775
2012-03-30,28.29,28.231,28.22,28.22,-1,13161
2012-04-02,28.46,28.3878,28.29,28.29,-1,5762
2012-04-03,28.2496,28.2496,28.2496,28.2496,-1,200
2012-04-04,28.27,28.25,28.1785,28.1824,-1,3609
2012-04-05,28.56,28.2299,28.2063,28.56,-1,8313
2012-04-09,28.08,28.030001,27.82,27.86,-1,20367
2012-04-10,27.96,27.6927,27.629,27.96,-1,6756
2012-04-11,27.88,27.85,27.85,27.85,-1,7785
2012-04-12,28.05,28.05,27.8489,27.87,-1,5959
2012-04-13,28.03,27.91,27.91,27.97,-1,9541
2012-04-16,28.08,27.93,27.89,28.08,-1,165901
2012-04-17,28.3038,28.3038,28.074,28.074,-1,1588
2012-04-18,28.2937,28.28,28.2,28.2,-1,20767
2012-04-19,28.22,28.0501,27.53,27.53,-1,8125
2012-04-20,28.39,28.31,28.2393,28.2963,-1,11397
2012-04-23,28.31,28.1008,27.963,28.31,-1,46744
2012-04-24,28.54,28.13,28.13,28.54,-1,15977
2012-04-25,28.4045,28.399,28.28,28.28,-1,5711
2012-04-26,28.646,28.646,28.41,28.4799,-1,4366
2012-04-27,28.722,28.709,28.6199,28.68,-1,5951
2012-04-30,28.99,28.601,28.601,28.99,-1,15961
2012-05-01,28.9,28.78,28.67,28.83,-1,60615
2012-05-02,28.81,28.78,28.62,28.81,-1,22966
2012-05-03,28.7999,28.68,28.59,28.79,-1,9366
2012-05-04,28.5192,28.36,28.3471,28.5,-1,23233
2012-05-07,28.43,28.39,28.27,28.36,85,217530
2012-05-08,28.341,28.341,28.1029,28.24,67,16101
2012-05-09,28.29,28.22,28.0484,28.07,127,73332
2012-05-10,28.41,28.35,28.27,28.36,66,398169
2012-05-11,28.47,28.37,28.3424,28.3745,83,130025
2012-05-14,28.21,28.12,28.01,28.21,172,152143
2012-05-15,28.22,28.1,28.04,28.1,281,751019
2012-05-16,28.21,28.16,28.0799,28.21,21,10065
2012-05-17,28.039,27.7322,27.7,28.03,69,32646
2012-05-18,27.8,27.5122,27.48,27.79,94,51552
2012-05-21,27.7734,27.7734,27.535,27.56,26,24667
2012-05-22,27.975,27.82,27.7865,27.81,69,51928
2012-05-23,27.91,27.91,27.6,27.76,40,72393
