Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-04-10,547.9992,544.16,541.36,546.0,,484737.5
2006-04-11,547.12,545.6,538.4,546.56,,162137.5
2006-04-12,550.4792,542.72,542.48,545.76,,156037.5
2006-04-13,551.92,550.56,539.2,540.0,,70087.5
2006-04-17,559.2,558.32,549.44,553.6,,114712.5
2006-04-18,568.4,566.0,556.56,560.8,,115337.5
2006-04-19,577.28,574.8,563.92,564.64,,98725.0
2006-04-20,577.28,568.72,564.08,575.36,,105400.0
2006-04-21,585.84,582.48,566.4,567.12,,133225.0
2006-04-24,579.6,568.08,566.32,571.2,,130350.0
2006-04-25,574.48,565.12,556.96,573.44,,356737.5
2006-04-26,566.8,556.32,555.6,563.52,,112400.0
2006-04-27,556.64,549.6,548.56,552.8,,79450.0
2006-04-28,564.0,556.96,551.92,554.08,,108512.5
2006-05-01,573.2,572.0,560.0,561.2,,69437.5
2006-05-02,581.52,578.72,570.72,574.72,,108875.0
2006-05-03,579.84,561.76,560.0,579.84,,126875.0
2006-05-04,558.16,546.56,538.24,554.96,,194687.5
2006-05-05,547.796,544.0,541.44,546.4,,83900.0
2006-05-08,543.92,543.04,530.4352,537.04,,164037.5
2006-05-09,553.44,547.2,542.08,543.92,,97875.0
2006-05-10,558.16,558.16,539.84,546.56,,88062.5
2006-05-11,568.4,562.4,559.36,568.0,,129437.5
2006-05-12,563.52,552.88,552.32,563.52,,75950.0
2006-05-15,542.16,533.04,531.6,539.76,,83737.5
2006-05-16,543.2,533.6,530.48,536.56,,100250.0
2006-05-17,534.0,525.6,523.12,533.36,,102837.5
2006-05-18,534.32,533.92,520.8,525.44,,81987.5
2006-05-19,531.6944,524.56,521.2,528.0,,101512.5
2006-05-22,532.56,530.24,519.12,519.12,,96212.5
2006-05-23,547.36,542.16,537.68,538.0,,78862.5
2006-05-24,543.44,528.8,528.4,537.68,,50087.5
2006-05-25,543.04,542.4,530.48,533.44,,37537.5
2006-05-26,545.84,542.0,538.64,539.68,,33687.5
2006-05-30,552.64,546.56,545.76,549.76,,61175.0
2006-05-31,543.28,541.84,532.64,541.12,,58962.5
2006-06-01,546.0,534.56,532.08,534.72,,115350.0
2006-06-02,553.2,551.2,540.4,542.08,,55437.5
2006-06-05,558.24,549.92,547.52,557.52,,49150.0
2006-06-06,551.6,550.08,542.4,544.72,,22475.0
2006-06-07,546.64,538.24,536.08,546.16,,45000.0
2006-06-08,536.96,536.96,526.48,532.24,,38537.5
2006-06-09,545.6,544.56,540.0,540.0,,42750.0
2006-06-12,547.12,536.64,534.88,547.12,,26650.0
2006-06-13,529.84,521.44,521.04,527.52,,75337.5
2006-06-14,527.28,526.32,520.0,524.08,,41675.0
2006-06-15,532.16,529.28,527.6,530.8,,38587.5
2006-06-16,531.76,530.0,522.0,527.76,,27337.5
2006-06-19,526.9128,524.32,519.9072,526.56,,23500.0
2006-06-20,529.6,522.32,519.3664,527.28,,27050.0
2006-06-21,533.84,530.8,520.24,522.72,,30100.0
2006-06-22,536.24,536.0,529.52,533.52,,29675.0
