Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT
2002-01-02,2000.0,1960.0,2000.0,1979.0,99,
2002-01-03,2045.0,2024.0,2024.0,2030.0,19,
2002-01-04,2010.0,1995.0,1995.0,2004.0,33,
2002-01-07,1880.0,1880.0,1880.0,2000.0,10,
2002-01-08,1830.0,1800.0,1820.0,1830.0,7,
2002-01-09,1780.0,1770.0,1770.0,1778.0,85,
2002-01-10,1800.0,1775.0,1800.0,1780.0,33,
2002-01-11,1830.0,1810.0,1830.0,1825.0,56,
2002-01-14,1855.0,1805.0,1805.0,1825.0,8,
2002-01-15,1870.0,1870.0,1870.0,1855.0,5,
2002-01-16,1880.0,1860.0,1880.0,1860.0,18,
2002-01-17,1850.0,1835.0,1835.0,1850.0,9,
2002-01-18,1840.0,1820.0,1820.0,1840.0,15,
2002-01-21,1843.0,1805.0,1838.0,1805.0,24,
2002-01-22,1800.0,1800.0,1800.0,1800.0,37,
2002-01-23,1840.0,1800.0,1840.0,1812.0,127,
2002-01-24,1830.0,1800.0,1812.0,1816.0,89,
2002-01-25,,,,1790.0,0,
2002-01-28,1790.0,1785.0,1790.0,1785.0,25,
2002-01-29,,,,1760.0,0,
2002-01-30,1765.0,1744.0,1745.0,1765.0,16,
2002-01-31,1768.0,1768.0,1768.0,1768.0,35,
2002-02-01,1798.0,1798.0,1798.0,1785.0,1,
2002-02-04,1830.0,1821.0,1821.0,1785.0,9,
2002-02-05,1839.0,1839.0,1839.0,1830.0,1,
2002-02-06,1845.0,1815.0,1815.0,1845.0,76,
2002-02-07,1850.0,1850.0,1850.0,1850.0,4,
2002-02-08,,,,1850.0,0,
2002-02-11,1845.0,1828.0,1845.0,1830.0,17,
2002-02-12,,,,1830.0,0,
2002-02-13,1795.0,1780.0,1795.0,1825.0,11,
2002-02-14,,,,1770.0,1,
2002-02-15,1785.0,1780.0,1780.0,1780.0,12,
2002-02-18,1770.0,1755.0,1770.0,1780.0,9,
2002-02-19,1765.0,1765.0,1765.0,1771.0,2,
2002-02-20,1800.0,1780.0,1800.0,1780.0,19,
2002-02-21,1810.0,1785.0,1785.0,1786.0,55,
2002-02-22,1816.0,1780.0,1780.0,1805.0,436,
2002-02-25,1810.0,1800.0,1800.0,1805.0,128,
2002-02-26,1795.0,1775.0,1775.0,1780.0,407,
2002-02-27,1790.0,1776.0,1790.0,1780.0,114,
2002-02-28,1785.0,1778.0,1785.0,1775.0,419,
2002-03-01,1780.0,1770.0,1775.0,1770.0,243,
2002-03-04,1760.0,1750.0,1760.0,1756.0,44,
2002-03-05,1746.0,1740.0,1746.0,1740.0,11,
2002-03-06,1760.0,1740.0,1750.0,1758.0,66,
2002-03-07,1790.0,1755.0,1755.0,1777.0,125,
2002-03-08,1810.0,1800.0,1800.0,1800.0,20,
2002-03-11,1800.0,1790.0,1800.0,1800.0,17,
2002-03-12,1800.0,1770.0,1770.0,1780.0,45,
2002-03-13,1812.0,1800.0,1800.0,1812.0,27,
2002-03-14,1815.0,1801.0,1810.0,1815.0,54,
2002-03-15,1818.0,1791.0,1815.0,1815.0,31,
2002-03-18,1830.0,1800.0,1800.0,1818.0,85,
2002-03-19,,,,1845.0,0,
2002-03-20,,,,1845.0,0,
2002-03-22,,,,1845.0,0,
2002-03-25,,,,1845.0,0,
2002-03-26,,,,1845.0,0,
2002-03-27,,,,1845.0,0,
2002-03-28,,,,1845.0,0,
2002-04-02,1845.0,1845.0,1845.0,1845.0,1,
2002-04-03,,,,1845.0,0,
2002-04-04,,,,1845.0,0,
2002-04-05,1850.0,1850.0,1850.0,1850.0,1,
2002-04-08,1880.0,1850.0,1850.0,1880.0,22,
2002-04-09,1890.0,1880.0,1880.0,1885.0,8,
2002-04-10,1885.0,1860.0,1875.0,1883.0,3,
2002-04-11,,,,1883.0,0,
2002-04-12,,,,1870.0,29,
2002-04-15,,,,1870.0,0,
2002-04-16,,,,1870.0,0,
2002-04-17,,,,1865.0,0,
2002-04-18,1875.0,1864.0,1864.0,1875.0,6,
2002-04-19,1880.0,1880.0,1880.0,1880.0,3,
2002-04-22,1890.0,1880.0,1880.0,1880.0,9,
2002-04-23,,,,1890.0,0,
2002-04-24,1860.0,1860.0,1860.0,1860.0,2,
2002-04-25,,,,1865.0,0,
2002-04-26,1875.0,1875.0,1875.0,1875.0,8,
2002-04-29,,,,1875.0,0,
2002-04-30,,,,1875.0,29,
2002-05-02,1905.0,1885.0,1885.0,1905.0,133,
2002-05-03,1950.0,1900.0,1950.0,1920.0,22,
2002-05-06,,,,1920.0,8,
2002-05-07,1920.0,1915.0,1915.0,1920.0,7,
2002-05-08,1920.0,1905.0,1920.0,1905.0,21,
2002-05-09,1900.0,1900.0,1900.0,1900.0,80,
2002-05-10,1902.0,1895.0,1900.0,1895.0,15,
2002-05-13,1880.0,1880.0,1880.0,1880.0,4,
2002-05-14,,,,1880.0,12,
2002-05-15,1920.0,1900.0,1900.0,1900.0,7,
2002-05-16,,,,1900.0,2,
