Date,HIGH,CLOSE,LOW,OPEN,VOLUME,COUNT
2017-06-21,390,280,264,300,299790600,-1
2017-06-22,282,264,260,276,57519000,-1
2017-07-03,274,260,240,270,21551600,-1
2017-07-04,264,264,252,260,13452200,-1
2017-07-05,264,264,246,260,11462200,-1
2017-07-06,270,264,258,262,27620600,-1
2017-07-07,268,262,258,264,10999500,-1
2017-07-10,266,262,252,260,8321000,-1
2017-07-11,264,260,256,262,9271800,-1
2017-07-12,262,258,256,258,10583300,-1
2017-07-13,260,260,254,260,5728000,-1
2017-07-14,260,258,256,260,3268400,-1
2017-07-17,258,254,254,256,3696400,-1
2017-07-18,260,250,244,254,11108100,-1
2017-07-19,254,248,246,250,2410700,-1
2017-07-20,250,244,244,248,6336700,-1
2017-07-21,250,242,240,244,6130100,-1
2017-07-24,244,232,230,242,12127000,-1
2017-07-25,272,258,230,232,36501800,-1
2017-07-26,268,258,252,258,10263100,-1
2017-07-27,260,254,246,260,4491000,-1
2017-07-28,260,240,238,254,6102500,-1
2017-07-31,254,244,236,242,4988400,-1
2017-08-01,254,242,240,246,3787900,-1
2017-08-02,244,240,236,242,4177700,-1
2017-08-03,242,238,236,238,3212500,-1
2017-08-04,250,236,234,240,2762100,-1
2017-08-07,240,236,234,236,3498600,-1
2017-08-08,238,236,232,238,3380100,-1
2017-08-09,236,232,230,234,3743500,-1
2017-08-10,236,232,228,234,5872900,-1
2017-08-11,232,228,226,232,5183700,-1
2017-08-14,230,228,226,228,2619100,-1
2017-08-15,236,230,224,226,3199700,-1
2017-08-16,240,232,228,230,12153100,-1
2017-08-18,234,230,228,232,2723900,-1
2017-08-21,234,230,230,230,1585600,-1
2017-08-22,230,226,226,230,3508300,-1
2017-08-23,240,240,226,226,14194200,-1
2017-08-24,244,238,238,244,3917700,-1
2017-08-25,238,238,232,238,4359600,-1
2017-08-28,244,242,234,240,2991200,-1
2017-08-29,254,242,242,242,8052000,-1
2017-08-30,248,246,240,246,3069700,-1
2017-08-31,250,250,240,246,4952100,-1
2017-09-04,254,242,242,254,3278400,-1
2017-09-05,242,238,236,242,2846700,-1
2017-09-06,240,236,234,240,1777300,-1
2017-09-07,238,232,232,234,943200,-1
2017-09-08,234,230,230,232,2085000,-1
2017-09-11,236,230,228,230,2395000,-1
2017-09-12,232,228,224,232,11568100,-1
2017-09-13,230,224,224,228,5081800,-1
2017-09-14,228,226,224,226,2088600,-1
2017-09-15,236,228,226,226,2765000,-1
2017-09-18,228,224,224,228,1920900,-1
2017-09-19,228,220,220,224,2481800,-1
2017-09-20,232,226,220,220,4815600,-1
2017-09-22,228,226,224,226,1588000,-1
2017-09-25,230,228,224,226,3620000,-1
2017-09-26,230,230,222,230,4539000,-1
2017-09-27,234,226,226,230,2347100,-1
2017-09-28,230,226,226,228,3205400,-1
2017-09-29,228,224,222,226,912900,-1
2017-10-02,226,224,222,226,3605400,-1
2017-10-03,228,222,220,224,3348500,-1
2017-10-04,226,222,222,222,2233100,-1
2017-10-05,226,226,220,222,1939800,-1
2017-10-06,228,228,224,224,2150900,-1
2017-10-09,228,222,222,228,951200,-1
2017-10-10,224,218,218,222,1070400,-1
2017-10-11,224,216,216,218,5781600,-1
2017-10-12,218,214,214,218,5329600,-1
2017-10-13,218,210,208,216,3921700,-1
2017-10-16,230,230,208,208,9827700,-1
2017-10-17,230,220,214,230,1919400,-1
2017-10-18,220,216,214,220,2768500,-1
2017-10-19,218,216,212,216,2275500,-1
2017-10-20,218,216,210,216,3734300,-1
2017-10-23,218,216,212,216,2074500,-1
2017-10-24,222,218,216,216,3566100,-1
2017-10-25,222,220,216,220,7605100,-1
2017-10-26,222,220,216,220,6119900,-1
2017-10-27,222,222,216,222,4515600,-1
2017-10-30,234,234,220,222,10447700,-1
2017-10-31,238,232,228,234,10989500,-1
2017-11-01,236,230,220,232,4962200,-1
2017-11-02,230,226,222,230,4982100,-1
2017-11-03,226,226,220,226,5301800,-1
2017-11-06,226,226,222,226,5533700,-1
2017-11-07,226,224,222,224,3872800,-1
2017-11-08,226,224,222,224,368000,-1
2017-11-09,226,226,218,224,5927200,-1
2017-11-10,226,226,220,222,2259100,-1
2017-11-13,234,232,220,226,13916500,-1
2017-11-14,238,232,228,232,1276700,-1
2017-11-15,246,240,228,232,9626800,-1
2017-11-16,246,240,234,246,6756400,-1
2017-11-17,242,236,236,242,781500,-1
2017-11-20,238,234,234,236,889200,-1
2017-11-21,260,250,234,234,34769600,-1
2017-11-22,256,240,238,256,7503500,-1
2017-11-23,240,234,230,240,3407000,-1
2017-11-24,236,234,228,234,11461200,-1
2017-11-27,236,234,232,234,673000,-1
2017-11-28,240,236,232,232,2296800,-1
2017-11-29,240,238,236,240,339300,-1
2017-11-30,238,236,232,234,227400,-1
2017-12-04,250,236,230,230,9430300,-1
2017-12-05,240,240,228,236,9917900,-1
2017-12-06,240,234,232,238,460300,-1
2017-12-07,232,232,230,232,307600,-1
2017-12-08,244,230,226,232,18605800,-1
2017-12-11,240,232,228,230,4309000,-1
2017-12-12,232,232,228,230,1261900,-1
2017-12-13,232,230,230,230,735400,-1
2017-12-14,242,238,226,230,7821200,-1
2017-12-15,238,234,228,238,6634500,-1
2017-12-18,232,232,228,230,621700,-1
2017-12-19,232,228,226,230,198000,-1
2017-12-20,240,226,222,228,9890000,-1
2017-12-21,230,230,224,230,197700,-1
2017-12-22,228,228,224,226,162500,-1
2017-12-27,228,224,222,228,1171000,-1
2017-12-28,248,232,220,222,8492300,-1
2017-12-29,254,244,228,234,40893800,-1
2018-01-02,250,238,236,250,1055200,-1
2018-01-03,240,234,234,240,470200,-1
2018-01-04,234,232,230,234,1587400,-1
2018-01-05,232,230,230,232,228400,-1
2018-01-08,234,230,226,230,1643800,-1
2018-01-09,230,230,226,230,725000,-1
2018-01-10,232,232,226,228,261000,-1
2018-01-11,234,228,228,234,222700,-1
2018-01-12,230,230,224,228,614500,-1
2018-01-15,232,232,226,230,445000,-1
2018-01-16,238,228,228,232,548300,-1
2018-01-17,234,230,226,228,193100,-1
2018-01-18,230,226,226,230,335700,-1
2018-01-19,232,220,220,226,3778000,-1
2018-01-22,230,220,220,220,3687300,-1
2018-01-23,230,220,220,224,3700700,-1
2018-01-24,224,220,220,224,790100,-1
2018-01-25,226,224,222,224,1281200,-1
2018-01-26,226,222,222,224,1394700,-1
2018-01-29,226,226,222,222,561200,-1
2018-01-30,232,224,222,226,1553900,-1
2018-01-31,228,224,222,222,211700,-1
2018-02-01,226,222,220,224,2037500,-1
2018-02-02,226,222,222,222,995900,-1
2018-02-05,226,220,220,222,1717900,-1
2018-02-06,224,214,210,220,1963100,-1
2018-02-07,220,216,210,216,1290500,-1
2018-02-08,220,218,200,214,318100,-1
2018-02-09,220,210,210,216,3159000,-1
2018-02-12,234,226,214,214,7373000,-1
2018-02-13,232,228,224,228,1678400,-1
2018-02-14,246,240,228,228,57784200,-1
2018-02-15,268,266,240,242,34110500,-1
2018-02-19,284,266,258,270,36801200,-1
2018-02-20,278,264,264,264,22697500,-1
2018-02-21,270,266,260,264,15485900,-1
2018-02-22,290,282,266,266,34368800,-1
2018-02-23,294,282,282,284,29549300,-1
2018-02-26,302,296,282,282,61556700,-1
2018-02-27,340,300,296,296,90126500,-1
2018-02-28,310,304,300,306,33509000,-1
2018-03-01,306,296,292,306,20156100,-1
2018-03-02,308,298,294,296,23598700,-1
2018-03-05,306,296,296,298,12038000,-1
2018-03-06,304,292,292,298,17704300,-1
2018-03-07,316,300,292,294,73738700,-1
2018-03-08,308,300,300,302,35094200,-1
2018-03-09,304,300,300,302,19016300,-1
2018-03-12,306,298,296,300,35162900,-1
2018-03-13,302,296,294,298,20980800,-1
2018-03-14,298,296,284,296,21734700,-1
2018-03-15,300,294,292,298,13884100,-1
2018-03-16,298,290,278,294,32951700,-1
2018-03-19,294,290,282,292,18406200,-1
2018-03-20,290,290,286,290,21018000,-1
2018-03-21,294,288,286,290,20375500,-1
2018-03-22,292,284,284,288,14747800,-1
2018-03-23,290,282,276,280,22512200,-1
2018-03-26,300,298,280,280,28481700,-1
2018-03-27,326,310,300,306,85394400,-1
2018-03-28,314,308,306,310,18315100,-1
2018-03-29,322,320,306,308,71467000,-1
2018-04-02,332,322,320,322,48589200,-1
2018-04-03,328,318,316,322,39241200,-1
2018-04-04,326,306,302,318,29515200,-1
2018-04-05,316,306,304,306,19397500,-1
2018-04-06,312,308,306,306,19138100,-1
2018-04-09,312,310,304,310,25798300,-1
2018-04-10,312,310,304,310,54208700,-1
2018-04-11,322,318,310,310,82835900,-1
2018-04-12,328,320,318,322,68968900,-1
2018-04-13,338,330,322,322,80402300,-1
2018-04-16,348,346,332,334,66787600,-1
2018-04-17,360,354,348,348,63373000,-1
2018-04-18,362,350,350,354,29122100,-1
2018-04-19,388,382,342,350,92658900,-1
2018-04-20,398,394,382,382,72938000,-1
2018-04-23,404,390,390,396,60820200,-1
2018-04-24,394,380,366,392,26645700,-1
2018-04-25,390,378,364,382,35981000,-1
2018-04-26,386,372,364,380,30593900,-1
2018-04-27,382,378,366,374,29246700,-1
2018-04-30,404,392,376,380,116021400,-1
2018-05-02,394,386,378,390,50782700,-1
2018-05-03,388,378,376,388,30218800,-1
2018-05-04,378,370,332,378,40607000,-1
2018-05-07,390,390,370,370,71260800,-1
2018-05-08,394,380,380,392,38067300,-1
2018-05-09,426,420,380,382,166004700,-1
2018-05-11,430,414,414,424,66848700,-1
2018-05-14,420,414,404,414,47568700,-1
2018-05-15,420,416,412,416,29901600,-1
2018-05-16,450,448,414,416,99511700,-1
2018-05-17,456,440,440,448,66643700,-1
2018-05-18,476,462,440,442,171140800,-1
2018-05-21,560,545,462,462,294399300,-1
2018-05-22,590,530,520,550,182966600,-1
2018-05-23,535,510,500,530,53900600,-1
2018-05-24,540,540,490,510,96035700,-1
2018-05-25,550,530,520,540,41718600,-1
2018-05-28,550,520,510,535,52858800,-1
2018-05-30,575,545,520,520,128234200,-1
2018-05-31,570,540,520,545,61547700,-1
2018-06-04,555,525,515,545,74035800,-1
