Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,21.66,21.58,21.44,21.44,,40700
2002-01-03,22.0,21.98,21.47,21.61,,138100
2002-01-04,22.51,22.4,22.15,22.26,,232400
2002-01-07,22.67,22.4,22.4,22.57,,419400
2002-01-08,22.44,22.02,22.0,22.44,,258600
2002-01-09,22.28,21.89,21.89,22.25,,207100
2002-01-10,21.9,21.51,21.29,21.9,,39600
2002-01-11,21.54,21.25,21.25,21.51,,50200
2002-01-14,21.11,20.55,20.55,21.0,,47200
2002-01-15,20.88,20.65,20.55,20.6,,20000
2002-01-16,20.5,20.16,20.06,20.4,,122600
2002-01-17,20.25,20.25,19.69,20.02,,153000
2002-01-18,20.35,20.07,20.01,20.01,,95600
2002-01-22,20.44,20.22,20.15,20.35,,20500
2002-01-23,20.59,20.55,20.24,20.24,,110300
2002-01-24,21.16,20.97,20.77,20.77,,554000
2002-01-25,21.73,21.59,21.02,21.02,,275400
2002-01-28,21.77,21.57,21.48,21.77,,45700
2002-01-29,21.65,21.29,21.17,21.47,,535400
2002-01-30,21.47,21.46,21.08,21.09,,135700
2002-01-31,21.96,21.92,21.18,21.18,,1334600
2002-02-01,22.1,21.82,21.75,22.1,,152800
2002-02-04,21.87,21.62,21.51,21.85,,326100
2002-02-05,21.69,21.34,21.32,21.57,,3021200
2002-02-06,21.61,21.4,21.35,21.4,,765300
2002-02-07,21.53,21.35,21.3,21.35,,1864700
2002-02-08,21.78,21.78,21.38,21.38,,1571100
2002-02-11,22.46,22.37,21.83,21.84,,1880400
2002-02-12,22.4,22.22,22.13,22.25,,785800
2002-02-13,22.54,22.46,22.22,22.22,,625900
2002-02-14,22.5,22.41,22.26,22.5,,3685000
2002-02-15,22.78,22.5,22.49,22.6,,2898600
2002-02-19,22.57,22.07,22.07,22.54,,1359600
2002-02-20,22.44,22.39,22.18,22.26,,1129500
2002-02-21,22.99,22.6,22.47,22.47,,3098600
2002-02-22,22.91,22.8,22.58,22.58,,1044600
2002-02-25,23.03,22.92,22.75,23.0,,1867800
2002-02-26,23.07,22.96,22.79,22.96,,532000
2002-02-27,23.28,23.09,22.95,23.06,,2008600
2002-02-28,23.29,23.08,23.02,23.14,,1985000
2002-03-01,23.42,23.42,22.95,22.97,,1607700
2002-03-04,24.07,24.06,23.5,23.54,,567100
2002-03-05,23.83,23.37,23.36,23.75,,1945600
2002-03-06,23.87,23.8,23.43,23.5,,1172000
2002-03-07,23.81,23.64,23.58,23.8,,616400
2002-03-08,23.86,23.54,23.37,23.74,,1269100
