Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-06-19,50.06,49.96,49.58,49.7,66,16588
2018-06-20,50.889,50.58,50.45,50.45,912,189989
2018-06-21,50.85,50.27,50.2,50.77,604,428740
2018-06-22,50.61,50.49,50.19,50.59,389,181638
2018-06-25,50.23,49.45,49.015,50.23,1488,2509603
2018-06-26,49.78,49.5322,49.35,49.72,461,104005
2018-06-27,50.0,49.1,49.1,49.82,448,144983
2018-06-28,49.79,49.59,48.97,49.1,751,336481
2018-06-29,49.84,49.53,49.4204,49.8,374,152346
2018-07-02,49.84,49.84,48.94,49.11,645,321297
2018-07-03,50.0,49.23,49.189,50.0,371,97459
2018-07-05,50.0,49.9799,49.33,49.59,659,324879
2018-07-06,50.8164,50.77,49.93,50.14,704,199770
2018-07-09,51.2,51.06,50.65,51.2,567,118112
2018-07-10,51.21,51.039,50.87,51.21,2675,1153296
2018-07-11,51.23,50.97,50.65,50.7,541,227517
2018-07-12,51.77,51.77,51.14,51.3,613,361366
2018-07-13,51.7998,51.69,51.4486,51.78,353,80077
2018-07-16,51.78,51.54,51.45,51.78,733,200891
2018-07-17,51.68,51.55,50.72,50.81,591,172559
2018-07-18,51.6,51.4,51.23,51.59,398,147833
2018-07-19,51.47,51.04,51.0062,51.43,517,258442
2018-07-20,51.186,50.87,50.84,51.05,512,158390
2018-07-23,51.1,51.08,50.65,50.93,499,94753
2018-07-24,52.11,51.44,51.16,52.11,710,211201
2018-07-25,51.875,51.81,51.38,51.53,1088,612027
2018-07-26,50.02,49.8562,49.57,49.75,1746,833638
2018-07-27,49.83,48.91,48.638,49.77,975,1111208
2018-07-30,49.02,48.14,47.869,49.02,1039,251253
2018-07-31,48.77,48.46,48.14,48.37,867,1211405
2018-08-01,48.779,48.26,48.119,48.56,697,1250389
2018-08-02,48.66,48.58,47.9,48.09,669,190710
2018-08-03,48.93,48.91,48.65,48.86,321,117156
2018-08-06,49.41,49.4,48.82,48.91,589,110254
2018-08-07,49.799,49.46,49.42,49.68,685,128846
2018-08-08,49.6,49.42,49.3584,49.55,415,114201
2018-08-09,49.885,49.69,49.46,49.46,664,306361
2018-08-10,49.53,49.27,49.15,49.53,418,177577
2018-08-13,49.61,49.2,49.17,49.33,779,261036
2018-08-14,49.63,49.55,49.11,49.44,437,189801
2018-08-15,49.2999,48.86,48.49,49.24,1385,555147
2018-08-16,49.2347,48.84,48.76,49.19,584,177579
2018-08-17,48.81,48.61,48.4,48.66,694,226924
2018-08-20,48.85,48.69,48.3707,48.85,445,145778
2018-08-21,49.23,48.99,48.81,48.95,439,384889
2018-08-22,49.03,48.93,48.75,48.85,2283,501855
2018-08-23,49.17,48.73,48.7199,48.88,730,283725
2018-08-24,49.44,49.44,48.88,48.96,742,330882
2018-08-27,50.019,49.92,49.6609,49.75,853,299237
2018-08-28,50.06,49.7,49.631,50.06,570,150238
2018-08-29,50.02,49.98,49.67,49.83,680,270866
2018-08-30,50.035,49.67,49.48,49.81,1025,344409
2018-08-31,49.62,49.18,49.0419,49.62,622,234969
2018-09-04,49.05,48.57,48.3999,49.05,1477,343694
2018-09-05,48.52,47.94,47.76,48.52,1495,773599
2018-09-06,47.98,47.58,47.17,47.91,1933,599592
2018-09-07,47.95,47.68,47.23,47.28,2344,755726
2018-09-10,47.98,47.78,47.5587,47.98,983,310874
2018-09-11,48.36,48.26,47.66,47.72,1820,615753
2018-09-12,48.25,48.12,47.85,48.13,2516,713288
2018-09-13,48.52,48.46,48.21,48.31,2205,754494
2018-09-14,48.64,48.37,48.25,48.64,2471,1190839
2018-09-17,48.42,47.9,47.86,48.42,1708,810780
2018-09-18,48.41,48.24,47.9,47.95,1291,430348
2018-09-19,48.42,48.37,47.99,48.29,3922,2385315
2018-09-20,48.95,48.9,48.52,48.77,3739,4554248
2018-09-21,49.04,48.55,48.42,49.02,18114,7974618
2018-09-24,48.62,48.55,48.01,48.21,15224,6769350
2018-09-25,48.65,48.57,48.25,48.54,12731,3994751
2018-09-26,49.25,48.76,48.6001,48.65,12113,5688601
2018-09-27,49.53,49.18,48.89,49.06,8853,3649353
2018-09-28,49.12,49.0,48.7984,49.07,6458,2306627
2018-10-01,49.22,48.8,48.5699,49.17,17521,7636941
2018-10-02,48.9625,48.76,48.58,48.77,12936,5823514
