Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,24.69,24.6,24.1,24.4,,3182000
2002-01-03,25.75,25.68,24.91,24.91,,2751100
2002-01-04,26.15,25.84,24.87,26.06,,4569000
2002-01-07,26.15,25.56,25.51,26.0,,1551500
2002-01-08,25.93,25.75,25.38,25.45,,616500
2002-01-09,26.32,25.55,25.4,26.15,,2242000
2002-01-10,25.62,25.34,25.23,25.45,,861600
2002-01-11,25.59,25.1,25.02,25.46,,1731800
2002-01-14,25.08,24.71,24.53,24.95,,1294400
2002-01-15,25.1,24.87,24.58,24.77,,1220400
2002-01-16,24.71,24.26,24.25,24.6,,2038000
2002-01-17,24.89,24.86,24.43,24.7,,795000
2002-01-18,24.39,24.03,23.86,24.25,,1600100
2002-01-22,24.26,23.17,23.13,24.2,,1892000
2002-01-23,23.68,23.52,23.01,23.25,,1468200
2002-01-24,24.15,23.87,23.6,23.6,,4121000
2002-01-25,24.02,23.78,23.62,23.65,,1119300
2002-01-28,24.15,23.95,23.0,23.0,,1093000
2002-01-29,24.13,23.1,23.01,24.06,,1163100
2002-01-30,23.4,23.4,22.44,23.01,,2932800
2002-01-31,24.0,23.74,23.25,23.75,,1377400
2002-02-01,23.81,23.3,23.195,23.55,,2049900
2002-02-04,23.32,22.64,22.5,23.3,,1297500
2002-02-05,22.84,22.29,22.2,22.35,,3453000
2002-02-06,22.56,22.16,21.99,22.56,,1205700
2002-02-07,22.47,21.83,21.8,22.16,,1710700
2002-02-08,22.27,22.25,21.66,21.95,,1143900
2002-02-11,22.75,22.75,22.21,22.35,,632500
2002-02-12,22.7,22.38,22.26,22.36,,1007400
2002-02-13,22.82,22.74,22.5,22.6,,556300
2002-02-14,22.95,22.5,22.44,22.94,,795300
2002-02-15,22.54,21.85,21.75,22.38,,1198400
2002-02-19,21.63,21.08,21.05,21.5,,1801800
2002-02-20,21.36,21.34,20.62,21.11,,1621700
2002-02-21,21.16,20.35,20.32,21.01,,1015900
2002-02-22,20.84,20.48,20.07,20.25,,1214400
2002-02-25,21.38,21.17,20.61,20.78,,1308400
2002-02-26,21.46,21.04,20.84,21.35,,447000
2002-02-27,21.44,20.89,20.65,21.29,,1599600
2002-02-28,21.2,20.656,20.61,20.85,,414600
2002-03-01,21.72,21.69,20.9,20.92,,1573500
2002-03-04,22.48,22.48,21.45,21.8,,1674200
2002-03-05,22.85,22.55,22.4,22.45,,919500
2002-03-06,22.92,22.77,22.2,22.4,,508300
2002-03-07,23.11,22.69,22.42,23.03,,479900
2002-03-08,23.48,23.29,23.0,23.32,,1976700
2002-03-11,23.56,23.36,22.93,23.1,,959600
2002-03-12,22.86,22.86,22.56,22.85,,915900
2002-03-13,22.6,22.26,22.18,22.6,,581800
2002-03-14,22.38,22.0,21.97,22.35,,359100
2002-03-15,22.27,22.16,21.94,22.01,,406800
2002-03-18,22.6,22.23,22.11,22.6,,642500
2002-03-19,22.46,22.32,22.15,22.31,,577400
2002-03-20,22.03,21.64,21.6,21.96,,1082400
2002-03-21,22.1,22.07,21.5,21.7,,1566100
2002-03-22,22.09,21.75,21.73,22.05,,882300
2002-03-25,21.99,21.26,21.26,21.85,,1153600
2002-03-26,21.74,21.42,21.18,21.22,,2001400
2002-03-27,21.47,21.41,21.18,21.36,,812700
2002-03-28,21.84,21.67,21.58,21.6,,1339900
2002-04-01,22.05,21.91,21.35,21.52,,356300
2002-04-02,21.68,21.27,21.22,21.58,,454000
2002-04-03,21.44,20.94,20.731,21.2,,741900
2002-04-04,21.23,21.03,20.76,21.0,,1401200
2002-04-05,21.25,20.7,20.66,21.25,,811300
2002-04-08,20.67,20.6,19.98,20.15,,828800
2002-04-09,20.82,20.08,20.02,20.7,,917600
2002-04-10,20.34,20.14,19.7,20.15,,1225300
2002-04-11,20.0,19.47,19.39,19.95,,704600
2002-04-12,19.9,19.8,19.54,19.7,,913700
2002-04-15,20.1,19.85,19.74,20.1,,650600
2002-04-16,20.79,20.75,20.35,20.5,,1652300
2002-04-17,21.06,20.83,20.66,21.0,,1085200
2002-04-18,20.87,20.61,20.26,20.7,,1156100
2002-04-19,20.85,20.55,20.51,20.85,,226000
2002-04-22,20.24,20.04,19.84,20.1,,498000
2002-04-23,20.15,19.63,19.56,20.03,,348500
2002-04-24,19.87,19.33,19.31,19.68,,749200
2002-04-25,19.57,19.46,19.14,19.3,,711400
2002-04-26,19.69,18.8,18.8,19.6,,1957400
2002-04-29,19.06,18.68,18.55,18.76,,960800
2002-04-30,19.29,19.05,18.65,18.8,,1531200
2002-05-01,19.1,18.89,18.38,18.95,,454300
2002-05-02,19.18,18.41,18.35,18.88,,463900
2002-05-03,19.08,17.97,17.82,18.34,,830000
2002-05-06,18.08,17.46,17.44,17.75,,672700
2002-05-07,17.75,17.46,17.27,17.64,,748700
2002-05-08,19.3,19.27,18.39,18.5,,3023900
2002-05-09,19.24,18.64,18.61,19.2,,1937900
2002-05-10,18.71,18.0,17.89,18.65,,847700
2002-05-13,18.75,18.71,18.0,18.05,,1016800
2002-05-14,19.67,19.61,19.25,19.54,,2082800
2002-05-15,20.1,19.55,19.2,19.25,,2931800
2002-05-16,19.85,19.84,19.45,19.55,,735900
2002-05-17,20.13,19.94,19.69,20.05,,929300
2002-05-20,19.77,19.42,19.34,19.65,,1072500
2002-05-21,19.7,18.94,18.91,19.7,,2520500
2002-05-22,19.17,19.17,18.73,18.9,,931400
2002-05-23,19.44,19.32,18.86,19.24,,389500
2002-05-24,19.14,18.9,18.8,19.01,,453100
2002-05-28,19.01,18.73,18.52,18.94,,953100
2002-05-29,18.63,18.38,18.37,18.53,,1000100
2002-05-30,18.58,18.47,18.13,18.24,,498500
2002-05-31,18.77,18.26,18.26,18.62,,813400
2002-06-03,18.42,17.72,17.64,18.27,,704200
2002-06-04,18.15,17.97,17.55,17.55,,1539500
2002-06-05,18.19,18.19,17.75,17.9,,687300
2002-06-06,18.03,17.75,17.59,17.95,,814500
2002-06-07,17.57,17.36,16.89,17.15,,1571800
2002-06-10,17.52,17.2,17.14,17.26,,691500
2002-06-11,17.54,16.82,16.82,17.4,,948800
2002-06-12,17.2,17.16,16.56,16.68,,1031600
2002-06-13,17.38,16.87,16.81,17.38,,676400
2002-06-14,16.91,16.84,16.11,16.5,,882800
2002-06-17,17.47,17.41,16.95,16.95,,403900
2002-06-18,17.6,17.22,17.2,17.2,,348300
2002-06-19,17.08,16.54,16.46,17.0,,581500
2002-06-20,16.68,16.16,16.02,16.6,,476500
2002-06-21,16.24,15.7,15.58,15.8,,701800
2002-06-24,16.19,15.97,15.27,15.5,,902600
2002-06-25,16.2,15.42,15.39,16.18,,638800
2002-06-26,15.63,15.43,14.5,14.6,,1230800
2002-06-27,15.84,15.84,15.14,15.62,,564600
2002-06-28,16.17,15.82,15.72,15.95,,454000
2002-07-01,15.88,15.15,15.13,15.78,,584500
2002-07-02,15.15,14.7,14.61,14.9,,1413700
2002-07-03,15.24,15.24,14.52,14.52,,518700
2002-07-05,16.1,16.06,15.45,15.45,,2239700
2002-07-08,16.2,15.58,15.47,16.17,,1090100
2002-07-09,15.76,15.35,15.31,15.56,,397600
2002-07-10,15.56,14.94,14.94,15.45,,907900
2002-07-11,15.49,15.49,14.68,14.85,,1277900
2002-07-12,15.85,15.42,15.29,15.85,,1111100
2002-07-15,15.72,15.72,14.76,15.1,,548700
2002-07-16,16.04,15.54,15.41,15.5,,1004900
2002-07-17,16.3,15.65,15.45,16.3,,1817000
2002-07-18,15.82,15.32,15.3,15.51,,369300
2002-07-19,15.36,14.84,14.64,15.07,,1419600
2002-07-22,14.88,14.06,13.95,14.51,,1157600
2002-07-23,14.21,13.36,13.35,14.18,,1009300
2002-07-24,14.05,14.05,12.9,12.9,,894300
2002-07-25,13.9,13.21,12.95,13.85,,1236900
2002-07-26,13.5,13.39,13.05,13.35,,1156000
2002-07-29,14.25,14.18,13.66,13.8,,1010900
2002-07-30,14.53,14.4,13.96,14.03,,766800
2002-07-31,14.38,14.32,14.03,14.22,,359200
2002-08-01,14.35,13.69,13.64,14.17,,1067300
2002-08-02,13.7,13.4,13.2,13.55,,942300
2002-08-05,13.36,12.82,12.76,13.27,,443200
2002-08-06,13.78,13.36,13.15,13.15,,434700
2002-08-07,14.0,13.6,13.11,13.92,,681100
2002-08-08,14.18,14.1,13.37,13.59,,397100
2002-08-09,14.21,14.05,13.79,13.88,,196600
2002-08-12,14.09,13.92,13.73,13.8,,188900
2002-08-13,14.3,13.61,13.6,13.95,,698500
2002-08-14,14.52,14.45,13.62,13.74,,896400
2002-08-15,14.8,14.65,14.3,14.72,,357900
2002-08-16,15.14,15.0,14.35,14.35,,1860500
2002-08-19,15.62,15.55,15.0,15.04,,1219300
2002-08-20,15.42,15.11,15.05,15.4,,667200
2002-08-21,15.64,15.58,15.11,15.36,,640100
2002-08-22,15.84,15.76,15.43,15.7,,783000
2002-08-23,15.56,15.19,15.05,15.51,,951000
2002-08-26,15.36,15.29,14.88,15.15,,642400
2002-08-27,15.37,14.78,14.72,15.32,,1136800
2002-08-28,14.65,14.37,14.29,14.6,,1118900
2002-08-29,14.69,14.57,14.06,14.1,,666300
2002-08-30,14.49,14.2,14.19,14.35,,1605200
2002-09-03,13.96,13.5,13.5,13.85,,1459900
2002-09-04,13.94,13.92,13.5,13.52,,919200
2002-09-05,13.63,13.45,13.36,13.55,,392900
2002-09-06,14.02,13.9,13.62,13.62,,2943900
2002-09-09,14.11,14.05,13.57,13.68,,699200
2002-09-10,14.33,14.29,14.04,14.17,,290000
2002-09-11,14.7,14.37,14.31,14.7,,718500
2002-09-12,14.25,13.84,13.84,14.15,,340400
2002-09-13,14.04,13.9,13.72,13.75,,246800
2002-09-16,13.87,13.67,13.56,13.8,,200800
2002-09-17,14.02,13.5,13.46,13.87,,378600
2002-09-18,13.55,13.36,13.14,13.27,,605500
2002-09-19,13.12,12.76,12.76,13.05,,1149700
2002-09-20,13.0,12.83,12.73,13.0,,1491300
2002-09-23,12.63,12.43,12.3,12.54,,898500
2002-09-24,12.56,12.23,12.16,12.26,,1327800
2002-09-25,12.88,12.7,12.31,12.51,,1345100
2002-09-26,12.95,12.55,12.47,12.9,,1616900
2002-09-27,12.72,12.24,12.23,12.45,,1092800
2002-09-30,12.14,11.83,11.72,12.14,,1585300
