Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,25.37,25.31,24.92,25.2,,412500
2002-01-03,25.32,25.23,25.03,25.16,,146200
2002-01-04,25.28,25.16,24.9,25.28,,76200
2002-01-07,25.13,24.97,24.86,25.0,,173700
2002-01-08,24.98,24.84,24.8,24.82,,66000
2002-01-09,25.18,24.93,24.84,24.9,,528500
2002-01-10,25.08,24.97,24.81,24.9,,41100
2002-01-11,25.27,25.03,25.01,25.05,,41100
2002-01-14,25.35,25.23,24.14,25.11,,49800
2002-01-15,25.43,25.26,25.01,25.42,,49100
2002-01-16,25.37,25.02,25.02,25.35,,125700
2002-01-17,25.27,25.25,25.03,25.23,,51600
2002-01-18,25.33,25.15,25.01,25.06,,37100
2002-01-22,25.43,25.43,25.07,25.23,,89300
2002-01-23,25.58,25.52,25.31,25.38,,80200
2002-01-24,25.5,25.15,25.13,25.5,,2455900
2002-01-25,25.31,25.1,25.09,25.1,,46400
2002-01-28,25.23,25.1,25.01,25.15,,48700
2002-01-29,25.28,24.79,24.71,25.23,,50700
2002-01-30,25.13,25.09,24.82,24.9,,73300
2002-01-31,25.28,25.23,25.01,25.16,,74000
2002-02-01,25.51,25.25,25.25,25.51,,43700
2002-02-04,25.39,24.98,24.93,25.25,,71700
2002-02-05,25.4,25.27,25.03,25.15,,307000
2002-02-06,25.21,25.15,24.84,25.21,,190300
2002-02-07,25.09,24.88,24.8,25.0,,246000
2002-02-08,25.06,24.94,24.62,24.68,,32900
2002-02-11,25.34,25.34,25.06,25.2,,160000
2002-02-12,25.45,25.33,25.17,25.27,,31200
2002-02-13,25.57,25.49,25.39,25.49,,139900
2002-02-14,25.67,25.49,25.4,25.5,,58300
2002-02-15,25.69,25.5,25.5,25.56,,53300
2002-02-19,25.59,25.18,25.18,25.42,,211800
2002-02-20,25.73,25.69,25.28,25.48,,170300
2002-02-21,25.97,25.37,25.37,25.73,,93800
2002-02-22,25.9,25.79,25.5,25.55,,104100
2002-02-25,25.95,25.83,25.7,25.93,,257500
