Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-10-08,30.21,30.21,30.01,30.01,4,2000
2015-10-09,30.2,30.16,30.06,30.2,20,4335
2015-10-12,30.42,30.3499,30.27,30.4199,11,2250
2015-10-13,30.16,30.16,30.16,30.16,5,508
2015-10-15,30.07,30.07,30.03,30.03,3,2515
2015-10-16,30.66,30.642,30.5958,30.5958,3,400
2015-10-19,31.01,30.9999,30.7,30.7,14,2001
2015-10-20,31.36,31.03,30.99,31.36,22,3240
2015-10-21,31.055,31.055,31.055,31.055,1,400
2015-10-22,31.4625,31.4475,31.177,31.18,19,2180
2015-10-23,31.07,31.07,30.94,31.0526,12,3548
2015-10-26,31.12,31.11,31.028,31.028,4,576
2015-10-27,31.12,31.1183,31.0,31.06,17,3350
2015-10-28,31.33,31.005,31.005,31.24,6,3210
2015-10-29,31.146,31.146,31.01,31.03,8,3906
2015-10-30,30.95,30.95,30.95,30.95,3,211
2015-11-02,,,,,1,35
2015-11-03,31.6,31.35,31.32,31.6,3,520
2015-11-04,31.52,31.22,31.22,31.52,12,1850
2015-11-05,31.28,31.1,30.95,31.28,30,23810
2015-11-06,30.38,29.95,29.95,30.38,22,9031
2015-11-09,30.1036,29.71,29.6,30.0601,112,45453
2015-11-10,30.11,30.03,29.85,30.11,61,27240
2015-11-11,30.26,30.1339,29.99,30.105,66,27147
2015-11-12,30.08,29.95,29.86,29.86,134,63887
2015-11-13,29.87,29.56,29.556,29.82,69,47674
2015-11-16,29.62,29.53,29.53,29.53,9,4200
2015-11-17,30.18,29.99,29.93,30.0,76,25680
2015-11-18,30.3448,30.3448,26.7,29.64,73,28556
2015-11-19,30.55,30.51,30.41,30.41,12,3517
2015-11-20,30.77,30.76,30.71,30.71,4,597
2015-11-23,31.012,30.92,30.92,30.97,8,2392
2015-11-24,31.02,30.45,30.45,31.02,12,2524
2015-11-25,,,,,3,33
2015-11-30,31.0,30.75,30.7223,31.0,14,1627
2015-12-01,31.2586,31.2586,30.98,30.98,35,5557
2015-12-02,31.22,30.62,30.62,31.11,27,4397
2015-12-03,30.37,30.01,30.01,30.37,7,776
2015-12-04,30.83,30.62,30.31,30.31,22,4378
2015-12-07,,,,,3,25
2015-12-08,30.76,30.72,29.92,30.28,19,4645
2015-12-09,30.55,30.55,30.51,30.51,4,643
2015-12-10,30.3,30.3,30.3,30.3,7,660
2015-12-11,30.18,30.1382,30.1382,30.18,4,330
