Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,28.45,28.43,27.69,27.9,,22500
2002-01-03,28.58,28.58,28.12,28.5,,71700
2002-01-04,28.7,28.45,28.3,28.65,,76200
2002-01-07,28.7,28.48,28.36,28.6,,39800
2002-01-08,28.39,28.13,28.12,28.3,,390600
2002-01-09,28.24,27.88,27.85,28.15,,26000
2002-01-10,28.16,28.1,27.65,27.7,,35100
2002-01-11,28.3,27.83,27.83,28.3,,262900
2002-01-14,28.23,28.09,27.7,27.7,,42400
2002-01-15,28.37,28.1,27.93,28.37,,86600
2002-01-16,28.17,27.98,27.95,28.09,,40000
2002-01-17,27.94,27.7,27.57,27.9,,43700
2002-01-18,27.74,27.65,27.45,27.51,,34100
2002-01-22,27.5,27.05,27.05,27.5,,78600
2002-01-23,27.55,27.45,27.1,27.1,,128900
2002-01-24,27.64,27.39,27.21,27.5,,63600
2002-01-25,27.31,27.22,27.11,27.3,,217200
2002-01-28,27.28,27.22,27.1,27.2,,14000
2002-01-29,27.44,26.87,26.8,27.42,,27700
2002-01-30,26.84,26.84,26.28,26.7,,49500
2002-01-31,27.09,27.02,26.65,26.65,,79400
2002-02-01,27.34,27.08,27.05,27.25,,17200
2002-02-04,27.25,26.8,26.66,27.25,,18800
2002-02-05,26.79,26.44,26.3,26.59,,14800
2002-02-06,26.5,25.91,25.78,26.4,,123100
2002-02-07,26.43,26.28,25.82,25.82,,99700
2002-02-08,26.48,26.42,26.1,26.1,,53800
2002-02-11,26.6,26.6,26.2,26.49,,63500
2002-02-12,26.83,26.6,26.48,26.55,,106900
2002-02-13,26.95,26.76,26.65,26.7,,46500
2002-02-14,26.99,26.82,26.61,26.61,,82800
2002-02-15,26.99,26.77,26.65,26.99,,65700
2002-02-19,26.76,26.31,26.31,26.6,,49900
2002-02-20,26.64,26.64,26.0,26.51,,23300
2002-02-21,26.59,26.11,25.95,26.4,,51200
2002-02-22,26.52,26.47,25.84,26.15,,34100
2002-02-25,26.81,26.77,26.4,26.61,,32400
2002-02-26,27.0,26.74,26.69,27.0,,446400
2002-02-27,27.21,26.92,26.87,26.96,,54700
2002-02-28,27.29,26.97,26.97,27.11,,25500
2002-03-01,27.55,27.55,27.2,27.25,,255100
2002-03-04,27.88,27.88,27.54,27.75,,100400
2002-03-05,27.97,27.86,27.69,27.9,,88600
2002-03-06,28.45,28.45,27.9,27.95,,262000
2002-03-07,28.5,28.28,28.05,28.5,,56000
2002-03-08,28.54,28.2,28.0,28.3,,63900
2002-03-11,28.29,28.29,27.96,28.1,,75800
2002-03-12,28.19,28.0,27.92,28.1,,46600
2002-03-13,28.18,28.0,27.96,28.1,,18600
2002-03-14,28.2,27.9,27.85,28.18,,56200
2002-03-15,28.05,27.91,27.8,27.8,,21500
2002-03-18,28.08,28.04,27.61,27.61,,69700
2002-03-19,28.2,28.17,27.89,28.19,,48200
2002-03-20,28.23,28.0,27.84,28.15,,25300
2002-03-21,28.3,28.3,28.06,28.2,,27500
2002-03-22,28.36,27.97,27.97,28.3,,119100
2002-03-25,28.13,28.01,27.8,27.97,,54700
2002-03-26,28.11,27.86,27.75,28.1,,42700
2002-03-27,28.14,27.93,27.75,27.95,,228500
2002-03-28,28.37,28.18,27.98,28.25,,33500
2002-04-01,27.93,27.89,27.7,27.9,,36300
2002-04-02,28.05,28.05,27.65,27.65,,35800
2002-04-03,28.1,28.05,27.81,27.95,,14600
2002-04-04,28.19,28.09,27.91,28.0,,24000
2002-04-05,28.25,27.94,27.8,28.25,,12400
2002-04-08,27.9,27.74,27.53,27.9,,51500
2002-04-09,27.9,27.15,27.15,27.9,,366700
2002-04-10,27.72,27.72,27.18,27.18,,25100
2002-04-11,27.44,26.89,26.86,27.44,,262600
2002-04-12,27.07,27.07,26.65,26.9,,19900
2002-04-15,26.86,26.65,26.62,26.86,,101800
2002-04-16,27.36,27.3,26.88,26.95,,54200
2002-04-17,27.61,27.44,27.35,27.5,,41500
2002-04-18,27.45,27.37,26.9,27.45,,102200
2002-04-19,27.16,27.13,26.95,27.16,,47700
2002-04-22,26.85,26.72,26.7,26.82,,18900
2002-04-23,27.24,26.85,26.8,26.8,,120000
2002-04-24,27.17,26.92,26.7,26.7,,49600
2002-04-25,26.92,26.74,26.51,26.51,,37000
2002-04-26,26.65,26.31,25.4,26.53,,22300
2002-04-29,26.4,25.92,25.92,26.4,,226900
2002-04-30,26.49,26.47,26.04,26.15,,56800
2002-05-01,26.78,26.72,26.11,26.31,,45300
2002-05-02,26.77,26.55,26.45,26.77,,11700
2002-05-03,26.66,26.4,26.32,26.66,,25100
2002-05-06,26.55,26.26,26.25,26.5,,73800
2002-05-07,26.19,26.0,25.95,26.09,,29000
2002-05-08,26.46,26.37,26.02,26.06,,34500
2002-05-09,26.54,26.15,26.15,26.22,,175700
2002-05-10,26.21,25.55,25.53,26.18,,237900
2002-05-13,25.94,25.86,25.35,25.5,,177200
2002-05-14,26.26,26.25,26.0,26.04,,69000
2002-05-15,26.36,26.11,26.1,26.23,,57400
2002-05-16,26.42,26.21,26.13,26.31,,13800
2002-05-17,26.12,25.96,25.66,26.02,,45600
2002-05-20,26.15,26.1,25.86,25.99,,32200
2002-05-21,26.57,26.29,26.1,26.18,,54400
2002-05-22,26.76,26.76,26.37,26.41,,107100
