Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2002-01-02,28.85,28.69,28.25,28.85,,1201300
2002-01-03,28.85,28.6,28.51,28.75,,83400
2002-01-04,29.25,29.07,28.9,29.0,,52800
2002-01-07,29.45,28.9,28.9,29.32,,44400
2002-01-08,29.3,29.0,28.95,29.0,,37600
2002-01-09,29.2,28.6,28.6,29.0,,856200
2002-01-10,28.9,28.8,28.6,28.7,,354900
2002-01-11,28.74,28.26,28.21,28.55,,27700
2002-01-14,28.3,28.05,28.05,28.1,,562500
2002-01-15,28.3,28.23,28.0,28.0,,45400
2002-01-16,28.1,27.75,27.75,28.05,,48500
2002-01-17,28.1,28.08,27.65,27.85,,49900
2002-01-18,28.13,28.0,27.9,27.98,,366700
2002-01-22,28.53,28.18,28.15,28.35,,31900
2002-01-23,28.79,28.79,28.25,28.25,,22000
2002-01-24,28.94,28.8,28.7,28.7,,4050300
2002-01-25,28.8,28.5,28.45,28.7,,30800
2002-01-28,29.0,28.99,28.75,28.75,,37700
2002-01-29,29.25,28.38,28.38,29.15,,26000
2002-01-30,29.2,29.1,28.3,28.3,,166700
2002-01-31,29.54,29.54,29.1,29.19,,206800
2002-02-01,29.5,29.24,29.1,29.45,,532000
2002-02-04,29.34,28.75,28.75,29.25,,838500
2002-02-05,29.0,28.72,28.64,28.8,,1511000
2002-02-06,28.78,28.49,28.4,28.7,,64200
2002-02-07,28.86,28.15,28.15,28.45,,959900
2002-02-08,28.54,28.4,28.15,28.26,,15600
2002-02-11,29.25,29.25,28.6,28.6,,885100
2002-02-12,29.25,29.0,28.9,29.15,,722500
2002-02-13,29.6,29.43,29.3,29.48,,43100
2002-02-14,29.7,29.54,29.3,29.5,,275400
2002-02-15,29.6,29.2,29.15,29.6,,607200
2002-02-19,29.39,28.86,28.83,29.1,,241400
2002-02-20,29.45,29.43,28.89,29.1,,158500
2002-02-21,29.75,29.15,29.15,29.4,,746200
2002-02-22,29.19,29.19,28.6,28.91,,17100
2002-02-25,29.7,29.68,29.4,29.4,,28000
2002-02-26,30.19,30.0,29.55,29.9,,206000
2002-02-27,30.25,29.95,29.7,30.25,,398300
2002-02-28,30.05,29.7,29.56,29.89,,376400
2002-03-01,30.0,29.98,29.7,29.7,,216600
2002-03-04,30.45,30.43,29.9,30.05,,159300
2002-03-05,30.2,29.54,29.36,30.2,,251200
2002-03-06,29.98,29.95,29.45,29.45,,113500
2002-03-07,30.36,30.18,29.91,30.36,,526600
2002-03-08,30.59,30.35,30.15,30.55,,236300
2002-03-11,30.39,30.21,29.91,30.15,,517300
2002-03-12,30.44,30.27,29.9,30.01,,304500
2002-03-13,30.31,30.2,30.0,30.25,,602300
2002-03-14,30.42,30.2,30.14,30.3,,76100
2002-03-15,30.65,30.55,30.29,30.35,,58300
2002-03-18,30.75,30.56,30.2,30.75,,29800
2002-03-19,30.82,30.69,30.47,30.7,,287000
2002-03-20,30.74,30.57,30.42,30.5,,86800
2002-03-21,30.55,30.19,29.9,30.55,,186900
2002-03-22,30.3,30.05,29.76,29.85,,249700
2002-03-25,30.14,29.5,29.5,30.05,,561900
2002-03-26,30.12,29.9,29.6,29.6,,383400
2002-03-27,30.16,30.1,29.78,29.85,,165100
2002-03-28,30.2,30.04,29.95,30.0,,246700
2002-04-01,29.6,29.48,29.1,29.35,,54300
2002-04-02,29.3,28.95,28.9,29.3,,291500
2002-04-03,29.32,28.73,27.92,29.05,,104400
2002-04-04,29.26,29.12,28.75,28.75,,267400
2002-04-05,29.55,29.3,29.23,29.35,,191400
2002-04-08,29.77,29.74,29.06,29.06,,238200
2002-04-09,30.04,29.95,29.77,29.77,,1285500
2002-04-10,30.43,30.3,30.09,30.13,,1083400
2002-04-11,30.54,29.84,29.84,30.5,,31800
2002-04-12,30.48,30.45,30.0,30.0,,60400
2002-04-15,30.45,29.99,29.87,30.45,,135400
2002-04-16,30.43,30.43,30.1,30.1,,30300
2002-04-17,30.5,30.12,30.01,30.5,,21200
2002-04-18,30.19,29.92,29.58,30.08,,708800
2002-04-19,30.14,30.05,29.98,30.09,,57100
2002-04-22,30.1,29.76,29.65,30.1,,45000
2002-04-23,30.02,29.81,29.62,29.62,,44100
2002-04-24,30.08,29.55,29.48,29.92,,53300
2002-04-25,29.64,29.63,29.33,29.38,,348600
2002-04-26,29.93,29.45,29.39,29.83,,124600
2002-04-29,29.58,29.13,29.13,29.37,,1014800
2002-04-30,29.29,29.2,29.05,29.05,,174500
2002-05-01,29.47,29.36,28.7,29.25,,99800
2002-05-02,29.69,29.63,29.48,29.55,,128100
2002-05-03,29.6,29.23,29.18,29.6,,87700
2002-05-06,29.54,28.7,28.7,29.2,,59800
2002-05-07,29.24,29.12,28.91,29.03,,178700
2002-05-08,29.62,29.55,29.27,29.57,,18500
2002-05-09,29.33,29.1,28.99,29.3,,349900
2002-05-10,29.25,28.62,28.62,29.2,,532000
2002-05-13,29.05,28.93,28.83,28.83,,10100
2002-05-14,29.96,29.96,29.65,29.78,,259400
2002-05-15,30.19,29.78,29.78,29.89,,405600
2002-05-16,30.16,30.0,29.9,30.0,,132200
2002-05-17,30.32,30.25,30.1,30.2,,207500
2002-05-20,30.41,30.15,30.1,30.37,,470500
2002-05-21,30.15,29.4,29.4,30.15,,162900
2002-05-22,29.37,29.27,29.04,29.2,,326800
2002-05-23,29.56,29.55,29.24,29.45,,55300
2002-05-24,29.79,29.32,29.31,29.65,,21900
2002-05-28,29.25,28.86,28.66,29.2,,790400
2002-05-29,29.02,28.8,28.8,28.88,,26500
2002-05-30,28.74,28.55,28.4,28.66,,120900
2002-05-31,29.29,29.05,28.76,28.8,,207900
2002-06-03,29.04,28.28,28.28,29.0,,38600
2002-06-04,28.28,28.12,27.75,28.28,,718100
2002-06-05,28.73,28.7,28.3,28.3,,145400
2002-06-06,28.6,28.25,28.14,28.6,,489800
2002-06-07,28.48,28.28,28.01,28.01,,1344700
2002-06-10,28.96,28.75,28.45,28.45,,609600
2002-06-11,29.38,28.6,28.6,29.1,,568200
2002-06-12,28.84,28.84,28.42,28.61,,106500
2002-06-13,28.66,28.18,28.16,28.55,,457000
2002-06-14,28.0,28.0,27.4,27.9,,2402900
