Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-06-22,18.57,18.56,18.46,18.53,,10200
2006-06-23,18.645,18.645,18.645,18.645,,50000
2006-06-27,18.39,18.295,18.29,18.35,,142000
2006-06-28,18.35,18.29,18.18,18.35,,83000
2006-06-29,18.755,18.755,18.34,18.46,,278000
2006-06-30,18.855,18.81,18.775,18.855,,758200
2006-07-05,18.655,18.57,18.42,18.655,,234000
2006-07-06,18.675,18.675,18.555,18.59,,170400
2006-07-07,18.65,18.53,18.49,18.53,,254000
2006-07-10,18.78,18.65,18.585,18.655,,697200
2006-07-11,18.655,18.65,18.38,18.5,,193000
2006-07-12,18.58,18.215,18.2,18.58,,250000
2006-07-13,18.11,17.95,17.895,18.035,,562200
2006-07-14,17.875,17.695,17.605,17.875,,264800
2006-07-17,17.88,17.76,17.7,17.73,,112600
2006-07-18,17.74,17.505,17.29,17.74,,399200
2006-07-19,17.975,17.925,17.64,17.64,,294800
2006-07-20,17.995,17.7,17.7,17.99,,509200
2006-07-21,17.575,17.475,17.425,17.565,,330600
2006-07-24,17.89,17.865,17.675,17.705,,261800
2006-07-25,18.095,18.035,17.805,18.005,,1268200
2006-07-26,17.845,17.675,17.675,17.84,,479800
2006-07-27,17.725,17.44,17.435,17.655,,72600
2006-07-28,17.69,17.645,17.495,17.505,,928600
2006-07-31,17.905,17.81,17.715,17.78,,1606600
2006-08-01,17.595,17.455,17.36,17.585,,315600
2006-08-02,17.605,17.52,17.44,17.555,,1385200
2006-08-03,18.03,17.92,17.415,17.415,,1920400
2006-08-04,18.26,17.945,17.835,18.185,,956400
2006-08-07,17.925,17.88,17.755,17.785,,931000
2006-08-08,17.895,17.595,17.595,17.82,,689200
2006-08-09,17.805,17.41,17.41,17.8,,1684800
2006-08-10,17.83,17.81,17.43,17.445,,1283200
2006-08-11,17.82,17.705,17.705,17.81,,292000
2006-08-14,18.0,17.84,17.82,17.89,,192800
2006-08-15,18.205,18.205,17.995,18.02,,562000
2006-08-16,18.62,18.555,18.225,18.305,,1124800
2006-08-17,18.83,18.66,18.56,18.57,,844200
2006-08-18,18.75,18.67,18.52,18.75,,855000
2006-08-21,18.42,18.4,18.345,18.395,,423000
2006-08-22,18.385,18.305,18.26,18.385,,406200
2006-08-23,18.26,18.06,18.0,18.225,,1045400
2006-08-24,17.875,17.81,17.745,17.875,,642400
2006-08-25,17.785,17.755,17.66,17.765,,1491800
2006-08-28,18.07,17.93,17.925,17.925,,623200
2006-08-29,18.09,18.08,17.89,18.05,,1020000
2006-08-30,18.145,18.14,18.035,18.08,,527800
2006-08-31,18.235,18.17,18.15,18.225,,1001000
2006-09-01,18.3,18.265,18.11,18.21,,430800
2006-09-05,18.41,18.405,18.29,18.29,,532200
2006-09-06,18.325,18.17,18.165,18.31,,1118800
2006-09-07,18.34,18.205,18.05,18.185,,991400
2006-09-08,18.5,18.5,18.205,18.22,,1854400
2006-09-11,18.75995,18.695,18.35,18.405,,273200
2006-09-12,19.225,19.185,18.765,18.77,,782800
2006-09-13,19.305,19.26,19.12,19.17,,1550800
2006-09-14,19.31,19.275,19.12,19.27,,1101000
2006-09-15,19.465,19.31,19.225,19.465,,742000
2006-09-18,19.435,19.35,19.205,19.28,,810200
2006-09-19,19.485,19.485,19.21,19.46,,1659800
2006-09-20,19.87,19.8,19.685,19.695,,458200
2006-09-21,19.925,19.565,19.49,19.925,,467800
2006-09-22,19.54,19.53,19.305,19.425,,1441600
2006-09-25,19.865,19.865,19.505,19.63,,1005400
2006-09-26,19.935,19.895,19.745,19.865,,368400
2006-09-27,19.995,19.82,19.745,19.92,,518200
2006-09-28,19.915,19.915,19.65,19.9,,824600
2006-09-29,19.94,19.645,19.625,19.94,,983000
2006-10-02,19.88,19.69965,19.585,19.645,,197000
2006-10-03,20.015,19.98,19.59,19.605,,658000
2006-10-04,20.355,20.345,19.85,19.91,,994000
2006-10-05,20.335,20.325,20.075,20.215,,2120600
2006-10-06,20.185,20.11,20.01,20.125,,827800
2006-10-09,20.31,20.245,19.99,20.015,,299200
2006-10-10,20.345,20.225,20.195,20.255,,1599400
2006-10-11,20.29995,20.21025,20.17,20.23,,89400
2006-10-12,20.67,20.665,20.3,20.3,,241400
2006-10-13,20.71,20.69,20.615,20.635,,131400
2006-10-16,20.765,20.73,20.615,20.675,,266000
2006-10-17,20.71,20.525,20.33505,20.71,,270200
2006-10-18,20.79,20.53,20.46,20.79,,725000
2006-10-19,20.635,20.435,20.395,20.55,,269400
2006-10-20,20.53,20.435,20.35,20.53,,177000
2006-10-23,20.86,20.8,20.415,20.46,,814200
2006-10-24,20.85,20.75,20.62,20.825,,633000
2006-10-25,20.83,20.58,20.485,20.8,,500600
2006-10-26,20.945,20.945,20.55,20.685,,89800
2006-10-27,20.885,20.645,20.645,20.765,,639600
2006-10-30,20.89,20.855,20.51,20.51,,519600
2006-10-31,20.95,20.695,20.6,20.95,,434200
2006-11-01,20.675,20.235,20.23,20.675,,543000
2006-11-02,20.23,20.105,19.9,19.905,,1506000
2006-11-03,20.22,19.925,19.735,20.22,,307800
2006-11-06,20.22,20.15,19.98,19.98,,198400
2006-11-07,20.455,20.305,20.25,20.25,,115400
2006-11-08,20.485,20.43,20.195,20.195,,294200
2006-11-09,20.52,20.29,20.24,20.52,,657400
2006-11-10,20.65,20.645,20.36,20.395,,573200
2006-11-13,20.84,20.515,20.515,20.665,,177400
2006-11-14,20.94,20.94,20.57,20.725,,306800
2006-11-15,21.07,20.85,20.845,20.95,,598200
2006-11-16,20.875,20.84,20.675,20.79,,2735800
2006-11-17,20.85,20.645,20.56,20.85,,766200
