Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-01-27,51.35,51.35,51.11,51.12,-1,19000
2011-01-31,50.58,50.58,50.32,50.32,-1,200
2011-02-01,51.34,51.31,50.88,50.88,-1,400
2011-02-02,51.651,51.52,51.52,51.61,-1,900
2011-02-04,53.5,53.5,52.25,52.25,-1,23488
2011-02-07,54.1985,54.05,53.705,53.705,-1,6525
2011-02-08,53.95,53.95,53.63,53.64,-1,6030
2011-02-09,54.34,53.98,53.808,54.02,-1,40965
2011-02-10,54.57,54.32,53.76,53.795,-1,17211
2011-02-11,55.2,55.16,54.61,54.61,-1,3689
2011-02-14,55.41,55.1849,55.1849,55.39,-1,4993
2011-02-15,55.1,54.65,54.6132,55.1,-1,5457
2011-02-16,55.12,55.03,54.6931,54.85,-1,16191
2011-02-17,55.09,55.06,54.9252,54.95,-1,2734
2011-02-18,55.38,54.91,54.91,55.11,-1,7572
2011-02-22,53.95,53.12,53.12,53.8,-1,2267
2011-02-23,52.7162,52.5,52.5,52.7162,-1,3876
2011-02-24,52.9058,52.9058,52.28,52.56,-1,12518
2011-02-25,53.94,53.91,53.47,53.49,-1,18294
2011-02-28,54.52,53.67,53.39,54.52,-1,5792
2011-03-01,53.09,53.07,53.006,53.036,-1,890
2011-03-02,53.73,53.03,52.88,53.34,-1,17623
2011-03-03,54.37,54.37,53.86,53.86,-1,1597
2011-03-04,54.43,54.35,54.34,54.34,-1,3401
2011-03-07,54.52,53.42,52.85,54.48,-1,8114
2011-03-08,54.1,53.76,53.05,53.9,-1,4439
2011-03-09,52.1792,52.1792,52.1792,52.1792,-1,351
2011-03-10,51.7,51.45,51.45,51.54,-1,3352
2011-03-11,51.66,51.66,51.08,51.08,-1,8273
2011-03-14,51.67,51.36,51.18,51.65,-1,12753
2011-03-15,50.86,50.86,50.83,50.83,-1,826
2011-03-16,51.01,50.04,50.04,51.01,-1,594580
2011-03-17,50.5,50.34,50.34,50.5,-1,1631
2011-03-18,50.24,49.9999,49.93,50.24,-1,7358
2011-03-21,50.54,50.5,50.41,50.519,-1,968
2011-03-22,50.522,50.37,50.26,50.26,-1,4791
2011-03-23,50.78,50.78,50.53,50.57,-1,3068
2011-03-24,51.8,51.57,51.28,51.56,-1,2664
2011-03-25,52.19,51.66,51.66,52.19,-1,5100
2011-03-28,51.8699,51.8699,51.844,51.844,-1,500
2011-03-29,52.07,52.05,51.61,51.61,-1,5921
2011-03-30,52.812,52.812,51.11,51.11,-1,800
2011-03-31,53.09,53.0,52.84,52.9032,-1,9691
2011-04-01,53.0,52.4,52.38,53.0,-1,2064
2011-04-04,52.45,52.42,52.34,52.45,-1,1105
2011-04-05,52.95,52.52,52.52,52.72,-1,3178
2011-04-06,53.19,53.0,52.98,53.19,-1,3202
2011-04-07,52.95,52.669998,52.66,52.95,-1,4187
2011-04-08,52.6,52.39,52.27,52.58,-1,2690
2011-04-12,51.6,51.48,51.43,51.43,-1,5100
2011-04-13,52.15,52.15,52.15,52.15,-1,2000
2011-04-14,52.25,52.25,51.86,52.03,-1,902
2011-04-15,52.4,52.4,52.4,52.4,-1,190
2011-04-18,51.15,51.03,51.03,51.13,-1,8200
2011-04-20,52.03,51.95,51.95,52.03,-1,700
2011-04-21,53.12,53.12,53.11,53.11,-1,1500
2011-04-25,53.55,53.53,53.346,53.55,-1,7130
2011-04-26,53.6,53.6,53.6,53.6,-1,100
2011-04-27,54.1,54.099998,53.5414,53.5414,-1,837
2011-04-28,54.1,54.042,53.95,54.1,-1,846
2011-04-29,54.48,54.4799,54.4,54.4,-1,1126
2011-05-03,53.81,53.0,53.0,53.26,-1,1662
2011-05-04,52.64,52.576,52.55,52.64,-1,427
2011-05-05,52.95,52.95,52.95,52.95,-1,100
2011-05-06,53.11,52.9714,52.9714,53.11,-1,394
2011-05-09,53.2168,53.2168,53.2168,53.2168,-1,500
2011-05-10,54.03,54.0,53.77,54.03,-1,10059
