Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-01-27,25.79,25.75,25.525,25.545,-1,44200
2011-01-28,,,,,-1,1000
2011-01-31,25.02,25.02,24.94,24.94,-1,400
2011-02-01,25.34,25.34,25.2,25.2,-1,800
2011-02-02,25.035,24.85,24.85,25.035,-1,600
2011-02-04,25.13,24.815,24.815,25.13,-1,19200
2011-02-08,25.18,25.18,25.17,25.17,-1,1800
2011-02-09,25.325,25.27,25.19,25.255,-1,82216
2011-02-10,25.495,25.465,25.1949995,25.22,-1,53984
2011-02-11,25.87,25.835,25.52,25.525,-1,57052
2011-02-14,26.095,25.905,25.8199995,26.095,-1,19736
2011-02-15,26.125,26.11,25.92,25.935,-1,22892
2011-02-16,26.42,26.36,26.22415,26.35,-1,66286
2011-02-17,26.48,26.48,26.31,26.43,-1,7982
2011-02-18,26.585,26.375,26.375,26.585,-1,3612
2011-02-22,25.835,25.335,25.335,25.83,-1,5714
2011-02-23,24.93,24.765,24.4505,24.9295,-1,12472
2011-02-24,24.955,24.89455,24.52,24.645,-1,10996
2011-02-25,25.1,25.095,25.04,25.065,-1,36862
2011-02-28,25.265,25.195,25.135,25.18005,-1,15344
2011-03-01,25.155,24.665,24.5945,24.935,-1,14964
2011-03-02,24.9169,24.7796,24.62,24.725,-1,6210
2011-03-03,25.5024,25.4781,25.4637,25.465,-1,5170
2011-03-04,25.605,25.07,25.035,25.605,-1,5206
2011-03-07,25.58,25.02,24.775,25.58,-1,13172
2011-03-08,25.87,25.86,25.085,25.11,-1,11772
2011-03-09,25.755,25.66,25.55,25.555,-1,7550
2011-03-10,25.65495,25.59445,25.15,25.315,-1,11194
2011-03-11,25.735,25.735,25.43,25.541,-1,15578
2011-03-14,25.472,25.28,25.235,25.472,-1,5640
2011-03-15,25.2,25.152,24.775,24.775,-1,3438
2011-03-16,25.315,24.91,24.90995,25.315,-1,10248
2011-03-17,25.20625,25.03,25.025,25.20625,-1,4198
2011-03-18,25.3724,25.31,25.28505,25.37,-1,3994
2011-03-21,25.874,25.874,25.5885,25.86,-1,1344
2011-03-22,25.72965,25.615,25.615,25.72965,-1,448
2011-03-23,25.685,25.665,25.485,25.485,-1,4200
