Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2009-11-04,73.86,73.86,73.86,73.86,-1,4000
2009-11-05,72.93,72.93,72.93,72.93,-1,4000
2009-11-12,73.01,73.01,73.01,73.01,-1,101
2009-11-16,76.6,76.23,76.23,76.6,-1,4275
2009-11-17,76.67,76.67,76.67,76.67,-1,100
2009-11-18,76.1,75.63,75.59,76.1,-1,9300
2009-11-19,76.34,75.69,75.69,76.34,-1,1100
2009-11-20,75.9,75.42,75.42,75.9,-1,1200
2009-11-23,,,,,-1,3100
2009-11-24,75.74,75.74,75.74,75.74,-1,200
2009-11-25,76.59,76.59,75.22,75.22,-1,4300
2009-11-27,76.78,76.78,76.78,76.78,-1,1305
2009-11-30,76.58,76.58,76.51,76.51,-1,3935
2009-12-02,75.97,75.97,75.23,75.23,-1,7305
2009-12-04,72.73,72.68,72.32,72.43,-1,23200
2009-12-07,72.92,72.75,72.57,72.57,-1,39800
2009-12-11,70.66,70.66,70.66,70.66,-1,500
2009-12-14,71.33,71.33,71.33,71.33,-1,1500
2009-12-16,70.88,69.98,69.98,70.86,-1,13300
2009-12-17,72.1987,72.1987,71.06,71.28,-1,7300
2009-12-18,72.43,71.43,71.43,72.43,-1,5900
2009-12-21,70.46,69.73,69.73,70.46,-1,2050
2009-12-22,69.16,69.06,68.67,68.95,-1,5250
2009-12-23,70.077,70.077,70.0,70.0,-1,2100
2009-12-24,69.07,68.43,68.43,69.07,-1,3225
2009-12-28,67.67,67.34,67.34,67.67,-1,540
2009-12-29,68.02,68.02,67.36,67.8,-1,11900
2009-12-30,69.11,69.11,68.62,68.94,-1,3220
2009-12-31,68.98,68.7,67.21,68.44,-1,15824
2010-01-04,68.69,68.65,68.65,68.69,-1,600
2010-01-05,69.43,69.43,68.8,68.8,-1,2679
2010-01-06,67.6,67.6,67.6,67.6,-1,1000
2010-01-07,67.63,67.63,67.5,67.5,-1,1100
2010-01-08,67.34,67.17,66.56,67.34,-1,1400
2010-01-11,66.77,66.61,66.58,66.7,-1,8400
2010-01-12,68.09,68.07,67.67,67.67,-1,1300
2010-01-14,68.22,68.22,67.09,67.21,-1,3200
2010-01-15,69.35,69.25,69.15,69.15,-1,1700
2010-01-19,68.96,68.96,68.96,68.96,-1,215
2010-01-20,70.21,70.21,69.84,69.8599,-1,2950
2010-01-21,70.96,70.76,70.35,70.35,-1,5075
2010-01-22,70.91,70.6704,70.3,70.6791,-1,720
2010-01-25,69.89,69.89,69.67,69.67,-1,450
2010-01-26,70.38,69.645,69.645,70.38,-1,3125
2010-01-27,69.97,69.62,69.62,69.97,-1,495
2010-01-28,68.96,68.96,68.96,68.96,-1,500
2010-01-29,70.01,70.01,70.01,70.01,-1,100
2010-02-01,70.13,69.52,69.4,70.13,-1,7517
2010-02-02,69.83,69.759,69.62,69.62,-1,2000
2010-02-03,69.15,68.35,68.35,69.15,-1,1650
2010-02-04,70.26,70.26,69.8,69.8,-1,3700
2010-02-05,69.69,69.69,69.69,69.69,-1,1000
2010-02-08,70.33,70.33,70.32,70.32,-1,600
2010-02-09,70.32,69.22,69.22,70.3,-1,5800
2010-02-10,69.588,68.33,67.92,69.588,-1,18744
2010-02-11,67.97,67.51,67.1,67.88,-1,3699
2010-02-12,67.76,67.76,67.76,67.76,-1,100
2010-02-16,68.04,68.04,67.84,67.84,-1,200
2010-02-17,66.99,66.99,66.81,66.81,-1,580
2010-02-18,66.29,65.9901,65.15,66.0,-1,2974
2010-02-19,66.71,66.71,66.26,66.28,-1,1900
2010-02-22,66.31,66.31,66.03,66.03,-1,375
2010-02-23,68.07,67.96,66.55,66.55,-1,6700
2010-02-24,68.38,68.23,68.02,68.02,-1,12759
2010-02-25,69.01,68.96,68.71,68.72,-1,945
2010-02-26,70.25,69.85,69.28,69.28,-1,5840
2010-03-01,69.22,69.22,69.22,69.22,-1,200
2010-03-02,68.68,68.68,68.68,68.68,-1,144
2010-03-03,68.66,68.66,68.36,68.36,-1,500
2010-03-04,69.79,69.7899,69.7899,69.79,-1,2800
2010-03-05,68.209999,68.16,67.97,67.97,-1,3200
2010-03-08,67.4,67.18,67.18,67.2,-1,1666
2010-03-09,67.25,66.55,66.52,67.25,-1,1200
2010-03-10,66.71,66.71,66.43,66.47,-1,150300
2010-03-11,67.39,67.39,67.39,67.39,-1,100
2010-03-12,68.29,68.17,67.85,67.85,-1,49000
2010-03-15,68.26,68.26,67.8,67.8,-1,16400
2010-03-16,69.0199,69.0199,68.47,68.47,-1,30645
2010-03-17,69.23,68.99,68.98,69.22,-1,16000
2010-03-18,69.45,68.9399,68.8999,69.45,-1,4500
2010-03-19,69.2,69.19,69.19,69.19,-1,9400
2010-03-23,68.8,68.8,68.8,68.8,-1,100
2010-03-24,67.73,66.5,66.4358,67.73,-1,550
2010-03-25,66.29,65.45,65.4,66.29,-1,8760
2010-03-29,65.71,65.71,65.35,65.35,-1,400
2010-03-31,65.68,65.68,65.59,65.59,-1,7860
2010-04-01,65.64,65.49,65.34,65.64,-1,6530
2010-04-05,64.46,64.184,63.99,64.46,-1,7450
2010-04-06,64.21,63.55,63.55,63.9201,-1,1515
2010-04-07,65.67,65.58,64.87,64.87,-1,5300
2010-04-08,65.8462,65.1,65.1,65.8462,-1,200
2010-04-12,66.44,66.44,66.44,66.44,-1,1000
2010-04-14,65.9958,65.9958,65.9958,65.9958,-1,100
2010-04-15,66.5,66.5,65.39,65.39,-1,14298
2010-04-20,66.684,66.66,66.66,66.67,-1,950
2010-04-21,67.5,67.5,67.5,67.5,-1,160
2010-04-22,67.64,67.64,67.64,67.64,-1,3000
2010-04-23,67.02,67.02,67.02,67.02,-1,4000
2010-04-27,69.57,69.2,68.38,68.38,-1,11275
2010-04-28,68.68,68.04,67.831,68.53,-1,6588
2010-04-29,68.505,68.45,68.45,68.48,-1,2700
2010-04-30,69.82,69.82,68.95,68.95,-1,17950
2010-05-03,69.730003,69.730003,69.49,69.66,-1,2900
2010-05-04,72.36,72.36,71.22,71.7,-1,17038
2010-05-05,73.14,73.14,73.14,73.14,-1,500
2010-05-06,78.77,77.4,74.13,74.16,-1,13950
2010-05-07,79.39,74.92,74.92,76.1,-1,5100
2010-05-10,73.92,72.54,72.28,72.53,-1,5691
2010-05-11,72.89,72.36,71.78,72.89,-1,1700
2010-05-12,71.66,70.98,70.97,71.64,-1,4667
2010-05-13,71.44,71.0,71.0,71.44,-1,600
2010-05-14,74.52,74.52,72.0,72.0,-1,2550
2010-05-17,75.1,74.4,74.18,74.18,-1,1275
2010-05-19,77.21,75.96,75.95,76.02,-1,2829
2010-05-20,79.919998,79.42,78.67,79.05,-1,23620
2010-05-21,81.49,80.05,78.73,81.02,-1,32337
2010-05-24,80.24,78.5701,78.5701,80.24,-1,2850
2010-05-25,81.35,79.67,79.35,81.35,-1,14685
2010-05-26,79.31,78.571,78.5,79.31,-1,3525
2010-05-27,77.06,76.4,75.97,77.05,-1,7400
2010-05-28,76.45,76.45,75.86,75.93,-1,8000
2010-06-02,77.39,75.963,75.93,77.39,-1,34278
2010-06-03,75.42,75.42,75.0,75.0,-1,455
2010-06-04,78.900002,78.900002,77.03,77.03,-1,19627
2010-06-07,78.8,78.6,78.6,78.8,-1,1092
2010-06-08,79.085,79.085,78.974,78.974,-1,225
2010-06-09,79.26,79.26,78.09,78.58,-1,3675
2010-06-10,77.85,76.47,76.33,77.85,-1,15400
2010-06-11,78.81,78.2001,77.42,77.65,-1,14319
2010-06-14,77.25,77.06,76.47,76.57,-1,1551
2010-06-15,77.83,77.69,77.69,77.83,-1,699
2010-06-16,77.87,77.800003,77.800003,77.87,-1,450
2010-06-17,79.46,79.12,77.89,77.89,-1,725
2010-06-18,78.9,78.646,78.646,78.9,-1,1222
2010-06-21,78.475,78.0,76.85,76.85,-1,927
2010-06-22,79.53,79.53,78.7899,78.83,-1,3254
2010-06-23,80.882,80.74,79.75,79.75,-1,1100
2010-06-24,80.93,79.62,79.21,80.91,-1,8250
2010-06-25,80.46,80.096,78.85,78.85,-1,10325
2010-06-28,81.404,81.404,80.74,81.26,-1,6688
2010-06-29,83.1,83.1,81.92,81.92,-1,11674
2010-06-30,86.4,83.13,82.209999,82.94,-1,5823
2010-07-01,85.84,83.86,83.5,83.73,-1,136486
2010-07-02,83.6,82.33,81.91,83.15,-1,46916
2010-07-06,83.72,83.65,82.42,82.42,-1,9323
2010-07-07,83.45,81.858,81.56,83.45,-1,6249
2010-07-08,81.15,80.68,80.47,80.67,-1,106492
2010-07-09,79.99,79.8,79.74,79.99,-1,5901
2010-07-12,80.1399,80.1399,79.63,79.63,-1,893
2010-07-13,79.16,78.309,77.92,79.16,-1,9139
2010-07-14,80.01,79.92,78.77,78.77,-1,6340
2010-07-15,81.4,81.07,80.32,80.32,-1,19649
2010-07-16,81.54,81.34,80.99,80.99,-1,8235
2010-07-19,81.34,80.57,80.57,81.34,-1,9856
2010-07-20,81.35,80.72,80.71,81.31,-1,14502
2010-07-21,83.33,83.33,81.13,81.13,-1,9076
2010-07-22,82.66,81.68,81.48,82.66,-1,19153
2010-07-23,81.82,80.1,80.05,81.63,-1,4369
2010-07-26,79.98,79.69,78.83,79.61,-1,3815
2010-07-27,79.06,78.32,78.32,78.89,-1,1750
2010-07-28,78.86,78.48,77.766,77.97,-1,16666
2010-07-29,78.2255,78.0901,76.86,77.11,-1,26210
2010-07-30,80.4,80.4,79.649,79.88,-1,23558
2010-08-02,79.02,78.36,78.1801,78.92,-1,30374
2010-08-03,79.07,78.39,78.289,78.33,-1,11392
2010-08-04,78.6,78.1185,77.78,78.3321,-1,5710
2010-08-05,78.75,78.116,77.9904,78.68,-1,12501
2010-08-06,79.255,79.21,78.5985,78.62,-1,3760
2010-08-09,78.91,78.87,78.57,78.57,-1,5850
2010-08-10,80.120003,78.53,78.5,78.86,-1,8369
2010-08-11,80.58,80.58,78.87,78.87,-1,22058
2010-08-12,81.33,80.04,79.68,80.3,-1,32659
2010-08-13,82.096,81.9,80.98,80.98,-1,31043
2010-08-16,86.1499,85.955,84.7,85.27,-1,17930
2010-08-17,86.29,85.08,84.75,86.29,-1,33278
2010-08-18,87.44,86.12,85.95,86.4,-1,51300
2010-08-19,89.046,88.4399,86.12,86.3,-1,13691
2010-08-20,89.44,88.21,88.03,89.04,-1,28931
2010-08-23,88.4399,88.19,87.19,87.8,-1,12631
2010-08-24,91.35,91.0,89.17,89.46,-1,94386
2010-08-25,93.24,90.58,90.01,92.6,-1,47747
2010-08-26,92.25,92.19,90.614,90.89,-1,24122
2010-08-27,91.7,87.63,87.49,91.14,-1,64063
2010-08-30,90.5,90.32,88.161,88.32,-1,51011
2010-08-31,92.09,91.94,90.738,91.14,-1,20931
2010-09-01,91.2999,88.56,87.32,89.43,-1,57247
2010-09-02,87.5,86.6,85.99,87.5,-1,35516
2010-09-03,85.1138,84.83,83.38,83.8,-1,34861
2010-09-07,88.33,88.07,86.7334,87.05,-1,6985
2010-09-08,87.4,86.87,86.16,87.28,-1,24892
2010-09-09,85.269997,83.98,83.39,85.16,-1,45167
2010-09-10,83.425,83.0,82.48,83.1,-1,26649
2010-09-13,84.14,83.71,82.4,82.4,-1,67723
2010-09-14,85.22,85.22,84.11,84.11,-1,25274
2010-09-15,83.95,82.776,82.736,83.65,-1,22424
2010-09-16,81.942,81.71,80.6,81.6,-1,36284
2010-09-17,82.33,81.9,81.31,81.94,-1,19592
2010-09-20,82.9899,82.64,81.92,82.55,-1,29982
2010-09-21,85.4,84.45,83.26,83.4,-1,66305
2010-09-22,86.5,85.93,85.4,85.79,-1,17776
2010-09-23,87.215,86.4601,85.7,87.05,-1,11327
2010-09-24,85.23,84.6101,84.6101,85.23,-1,26179
2010-09-27,87.13,87.1,85.9,85.9,-1,28469
2010-09-28,88.3789,88.2,87.25,87.25,-1,23521
