Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2010-01-04,22.57,22.57,22.44,22.44,,5755
2010-01-05,22.63,22.61,22.5298,22.63,,22782
2010-01-06,22.711,22.65,22.65,22.67,,6275
2010-01-07,22.83,22.83,22.691,22.7,,5731
2010-01-08,22.98,22.98,22.76,22.76,,4982
2010-01-11,23.12,23.12,23.0,23.1125,,9061
2010-01-12,22.8585,22.74,22.65,22.85,,5162
2010-01-13,23.03,23.03,22.7236,22.75,,7076
2010-01-14,23.06,23.028,22.99,22.99,,699
2010-01-15,22.7505,22.616,22.61,22.7505,,4999
2010-01-19,23.02,23.02,22.76,22.77,,4249
2010-01-20,22.8,22.67,22.4799,22.8,,4231
2010-01-21,22.63,22.0946,22.03,22.63,,20225
2010-01-22,22.114,21.71,21.71,22.0,,4019
2010-01-25,21.85,21.7027,21.64,21.84,,3087
2010-01-26,21.5436,21.42,21.42,21.5436,,2932
2010-01-27,21.34,21.31,21.214,21.32,,4884
2010-01-28,21.64,21.4125,21.0445,21.64,,11809
2010-01-29,21.6704,21.324,21.324,21.6704,,3637
2010-02-01,21.47,21.456,21.32,21.32,,2657
2010-02-02,21.7348,21.7252,21.676,21.69,,785
2010-02-03,21.88,21.7701,21.76,21.88,,915
2010-02-04,21.326,21.14,21.14,21.3,,3629
2010-02-05,21.08,20.97,20.5601,21.08,,7606
2010-02-08,21.0301,20.74,20.74,20.96,,3125
2010-02-09,21.2,21.11,21.01,21.01,,10394
2010-02-10,21.13,20.9999,20.858,21.13,,2745
2010-02-11,21.27,21.248,20.86,20.86,,8113
2010-02-12,21.3195,21.227,21.023,21.05,,3700
2010-02-16,21.79,21.79,21.55,21.55,,11002
2010-02-17,21.9776,21.96,21.89,21.92,,2254
2010-02-18,22.24,22.24,22.0,22.0001,,6161
2010-02-19,22.3,22.3,22.28,22.28,,219
2010-02-22,22.35,22.34,22.29,22.35,,4323
2010-02-23,22.31,22.0,22.0,22.31,,7372
2010-02-24,22.25,22.25,22.04,22.11,,5702
2010-02-25,22.12,22.1,21.75,21.95,,11376
2010-02-26,22.149,22.149,22.149,22.149,,700
2010-03-01,22.619,22.619,22.5501,22.5501,,410
2010-03-02,22.84,22.78,22.7,22.7,,6628
