date,SPY,TLT.O,XLK
2015-01-06,0.98331624,0.016309857,0.00037391
2015-01-07,0.9844214,0.014921471,0.00065717864
2015-01-08,0.9803703,0.01789076,0.001738933
2015-01-09,0.9813312,0.016854571,0.0018141863
2015-01-12,0.97778,0.019920608,0.002299438
2015-01-13,0.98087317,0.017370522,0.0017562336
2015-01-14,0.97108364,0.026528802,0.002387649
2015-01-15,0.9691458,0.02875057,0.00210358
2015-01-16,0.96482676,0.031094387,0.004078797
2015-01-20,0.95777935,0.03762097,0.0045996495
2015-01-21,0.95234966,0.04193433,0.00571603
2015-01-22,0.9407461,0.04387387,0.015379982
2015-01-23,0.9447804,0.041571047,0.013648592
2015-01-26,0.93787706,0.04406173,0.018061182
2015-01-27,0.95760596,0.027975166,0.014418851
2015-01-28,0.9591353,0.025410302,0.015454338
2015-01-29,0.94417036,0.029966608,0.025863076
2015-01-30,0.9331301,0.033830542,0.03303942
2015-02-02,0.9199234,0.034296386,0.04578025
2015-02-03,0.9158984,0.024701394,0.05940024
2015-02-04,0.91986793,0.02452284,0.0556092
2015-02-05,0.8891908,0.027266642,0.083542615
2015-02-06,0.9022016,0.031452082,0.06634642
2015-02-09,0.9119484,0.029421942,0.058629707
2015-02-10,0.86649686,0.032047104,0.10145607
2015-02-11,0.8864437,0.029063316,0.08449301
2015-02-12,0.8293616,0.031278502,0.13935983
2015-02-13,0.8144495,0.031739745,0.15381081
2015-02-17,0.84764075,0.035010077,0.11734923
2015-02-18,0.8491243,0.035455097,0.11542061
2015-02-19,0.8458425,0.037634194,0.11652333
2015-02-20,0.8184361,0.036836036,0.14472787
2015-02-23,0.81962806,0.03984688,0.14052506
2015-02-24,0.79663503,0.045493238,0.15787181
2015-02-25,0.78982157,0.04646313,0.16371532
2015-02-26,0.7797161,0.051510505,0.16877344
2015-02-27,0.75832564,0.05285151,0.18882285
2015-03-02,0.73743516,0.049991257,0.21257362
2015-03-03,0.72566605,0.051195864,0.22313803
2015-03-04,0.7302807,0.048545707,0.22117363
2015-03-05,0.7386874,0.043007467,0.21830519
2015-03-06,0.70314115,0.037853472,0.25900543
2015-03-09,0.689621,0.03771799,0.27266103
2015-03-10,0.663119,0.042497065,0.29438385
2015-03-11,0.6683515,0.04140786,0.2902407
2015-03-12,0.55623275,0.032898784,0.41086847
2015-03-13,0.58105,0.030558402,0.38839167
2015-03-16,0.51236314,0.024906762,0.4627301
2015-03-17,0.5653094,0.025230428,0.40946016
2015-03-18,0.41435122,0.022105793,0.5635429
2015-03-19,0.4267902,0.023304598,0.5499052
2015-03-20,0.4024845,0.0212562,0.57625926
2015-03-23,0.49056697,0.023424396,0.48600858
2015-03-24,0.52606934,0.024834687,0.44909596
2015-03-25,0.53169227,0.024113497,0.44419426
2015-03-26,0.6582872,0.027221333,0.3144914
2015-03-27,0.66961056,0.029433742,0.3009557
2015-03-30,0.60809416,0.024324715,0.36758116
2015-03-31,0.5786405,0.023400862,0.39795864
2015-04-01,0.6575695,0.023823142,0.31860727
2015-04-02,0.63859934,0.023129825,0.33827084
2015-04-06,0.6785388,0.026758296,0.29470292
2015-04-07,0.6937393,0.02752703,0.27873367
2015-04-08,0.7813679,0.024706554,0.19392553
2015-04-09,0.82024765,0.026914576,0.15283778
2015-04-10,0.8072862,0.023797473,0.16891633
2015-04-13,0.85088515,0.024843384,0.12427143
2015-04-14,0.8966059,0.02232334,0.081070796
2015-04-15,0.88389015,0.023062939,0.09304698
2015-04-16,0.91159606,0.020839883,0.067564026
2015-04-17,0.87891746,0.023126794,0.097955786
2015-04-20,0.8801631,0.025453234,0.09438373
2015-04-21,0.897314,0.027245374,0.075440705
2015-04-22,0.91295457,0.026155327,0.060890134
2015-04-23,0.93383354,0.023668375,0.042498015
2015-04-24,0.9465805,0.023553187,0.029866215
2015-04-27,0.9481309,0.024868038,0.027001081
2015-04-28,0.93814266,0.029512212,0.03234514
2015-04-29,0.9461764,0.031314403,0.022509169
2015-04-30,0.932444,0.03523812,0.032317914
2015-05-01,0.894672,0.04473684,0.060591202
2015-05-04,0.9125514,0.04698252,0.04046606
2015-05-05,0.88699895,0.052770533,0.06023051
2015-05-06,0.8682494,0.06498092,0.06676978
2015-05-07,0.8617141,0.073504396,0.064781465
2015-05-08,0.8030818,0.07067959,0.12623861
2015-05-11,0.80779076,0.059604377,0.13260496
2015-05-12,0.8103897,0.058827166,0.13078314
2015-05-13,0.8034662,0.06252459,0.13400927
2015-05-14,0.7190449,0.06230178,0.21865332
2015-05-15,0.7248626,0.06228029,0.21285713
