date,SPY,TLT.O,XLK
2015-04-02,0.26877493,0.41454044,0.31668466
2015-04-06,0.26341087,0.4234917,0.31309745
2015-04-07,0.27263293,0.41602662,0.3113404
2015-04-08,0.27608517,0.40709928,0.31681558
2015-04-09,0.25099075,0.4303521,0.31865713
2015-04-10,0.2501455,0.4368798,0.31297466
2015-04-13,0.25345626,0.43653107,0.3100126
2015-04-14,0.2578737,0.4427524,0.29937395
2015-04-15,0.25694308,0.43890896,0.30414793
2015-04-16,0.2570005,0.4374348,0.3055648
2015-04-17,0.25370878,0.4428098,0.30348146
2015-04-20,0.24947697,0.44400862,0.30651435
2015-04-21,0.2536196,0.4551485,0.29123184
2015-04-22,0.26440874,0.44193417,0.29365706
2015-04-23,0.2726983,0.42765036,0.29965135
2015-04-24,0.25814632,0.43938923,0.30246451
2015-04-27,0.2599437,0.43543127,0.30462506
2015-04-28,0.26823622,0.4273675,0.3043963
2015-04-29,0.27534097,0.427361,0.29729798
2015-04-30,0.2638249,0.43961635,0.29655877
2015-05-01,0.26366153,0.4468561,0.28948238
2015-05-04,0.26828068,0.44081032,0.29090896
2015-05-05,0.27213553,0.43370762,0.2941568
2015-05-06,0.27354667,0.43333787,0.29311556
2015-05-07,0.27328518,0.44179192,0.2849229
2015-05-08,0.26913306,0.4365488,0.29431817
2015-05-11,0.272554,0.4272989,0.30014712
2015-05-12,0.2690965,0.42651725,0.30438626
2015-05-13,0.26239392,0.42901388,0.3085921
2015-05-14,0.2646596,0.42687798,0.30846247
2015-05-15,0.2754907,0.41642308,0.3080863
2015-05-18,0.27583948,0.41187933,0.31228122
2015-05-19,0.26858863,0.43144616,0.2999651
2015-05-20,0.261546,0.4427392,0.29571477
2015-05-21,0.27468196,0.4267745,0.2985435
2015-05-22,0.27548826,0.42345902,0.30105266
2015-05-26,0.2717334,0.42547,0.30279666
2015-05-27,0.26919246,0.42532605,0.3054815
2015-05-28,0.28359205,0.41209263,0.30431533
2015-05-29,0.27984375,0.4179227,0.30223358
2015-06-01,0.27248943,0.41988143,0.3076292
2015-06-02,0.26785442,0.42653754,0.30560803
2015-06-03,0.27712768,0.41923612,0.30363616
2015-06-04,0.28033474,0.4104758,0.3091895
2015-06-05,0.27530548,0.4150121,0.3096824
2015-06-08,0.2698006,0.42588106,0.30431834
2015-06-09,0.27390823,0.4279474,0.29814434
2015-06-10,0.2760766,0.42817035,0.2957531
